Token ID	Token	Lemma	POS	BN Synset	Gloss
d001.s001.t001	এই	এই	X		
d001.s001.t002	নথিটি	নথি	N	bn:00028015n	Writing that provides information (especially information of an official nature)
d001.s001.t003	ইউরোপীয়	ইউরোপ	N		
d001.s001.t004	পাবলিক	পাবলিক	A	bn:00109211a	Not private; open to or concerning the people as a whole
d001.s001.t005	অ্যাসেসমেন্ট	অ্যাসেসমেন্ট	N	bn:00006502n	The act of judging or assessing a person or situation or event
d001.s001.t006	রিপোর্টের	রিপোর্ট	N		
d001.s001.t007	(	(	X		
d001.s001.t008	ইপিএআর	ইপিএআর	N		
d001.s001.t009	)	)	X		
d001.s001.t010	সারাংশ	সারাংশ	N	bn:00075142n	A brief statement that presents the main points in a concise form
d001.s001.t011	।	।	X		
d001.s002.t001	কমিটি	কমিটি	N	bn:00021015n	A special group delegated to consider some matter
d001.s002.t002	ফর	ফর	N		
d001.s002.t003	মেডিসিনাল	মেডিসিনাল	N		
d001.s002.t004	প্রোডাক্টস	প্রোডাক্টস	N	bn:00054416n	Commodities offered for sale
d001.s002.t005	ফর	ফর	N		
d001.s002.t006	হিউম্যান	হিউম্যান	N	bn:00044576n	Any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage
d001.s002.t007	ইউজ	ইউজ	N	bn:00030627n	The act of using
d001.s002.t008	(	(	X		
d001.s002.t009	সিএইচএমপি	সিএইচএমপি	N	bn:00302314n	The Committee for Medicinal Products for Human Use, formerly known as Committee for Proprietary Medicinal Products, is the European Medicines Agency's committee responsible for elaborating the agency's opinions on all issues regarding medicinal products for human use.
d001.s002.t010	)	)	X		
d001.s002.t011	গবেষণা	গবেষণা	N	bn:00074790n	A detailed critical inspection
d001.s002.t012	মূল্যায়ন	মূল্যায়ন	V	bn:00087869v	Make plain and comprehensible
d001.s002.t013	করে	করে	V		
d001.s002.t014	কিভাবে	কিভাবে	R		
d001.s002.t015	ঔষধ	ঔষধ	N		
d001.s002.t016	ব্যবহার	ব্যবহার	V	bn:00082705v	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose
d001.s002.t017	করতে	করতে	V		
d001.s002.t018	হয়	হয়	N	bn:00079778n	The word class that serves as the predicate of a sentence
d001.s002.t019	সে	।	X		
d001.s002.t020	সম্পর্কে	সম্পর্ক	N		
d001.s002.t021	তাদের	তাদের	X		
d001.s002.t022	সুপারিশে	সুপারিশ	N	bn:00066562n	Something (as a course of action) that is recommended as advisable
d001.s002.t023	পৌঁছানোর	পৌঁছানো	V	bn:00082790v	Reach a destination, either real or abstract
d001.s002.t024	জন্য	জন্য	X		
d001.s002.t025	।	।	X		
d001.s003.t001	আপনার	আপনার	X		
d001.s003.t002	চিকিৎসা	চিকিৎসা			
d001.s003.t003	সংক্রান্ত	সংক্রান্ত			
