Token ID	Token	Lemma	POS	BN Synset	Gloss
d001.s001.t001	এই	এই	DAB		
d001.s001.t002	নথিটি	নথি	PU	bn:00028015n	Writing that provides information (especially information of an official nature)
d001.s001.t003	ইউরোপীয়	ইউরোপ	NP		
d001.s001.t004	পাবলিক	পাবলিক	JJ	bn:00109211a	Not private; open to or concerning the people as a whole
d001.s001.t005	অ্যাসেসমেন্ট	অ্যাসেসমেন্ট	NC	bn:00006502n	The act of judging or assessing a person or situation or event
d001.s001.t006	রিপোর্টের	রিপোর্ট	NC		
d001.s001.t007	(	(	RDS		
d001.s001.t008	ইপিএআর	ইপিএআর	NP		
d001.s001.t009	)	)	RDS		
d001.s001.t010	সারাংশ	সারাংশ	JQ	bn:00075142n	A brief statement that presents the main points in a concise form
d001.s001.t011	।	।	PU		
d001.s002.t001	কমিটি	কমিটি	NC	bn:00021015n	A special group delegated to consider some matter
d001.s002.t002	ফর	ফর	NP		
d001.s002.t003	মেডিসিনাল	মেডিসিনাল	NP		
d001.s002.t004	প্রোডাক্টস	প্রোডাক্টস	NC	bn:00087869v	Make plain and comprehensible
d001.s002.t005	ফর	ফর	NP		
d001.s002.t006	হিউম্যান	হিউম্যান	NP	bn:00106556a	Having the properties of medicine
d001.s002.t007	ইউজ	ইউজ	NP	bn:00030627n	The act of using
d001.s002.t008	(	(	RDS		
d001.s002.t009	সিএইচএমপি	সিএইচএমপি	NP	bn:00302314n	The Committee for Medicinal Products for Human Use, formerly known as Committee for Proprietary Medicinal Products, is the European Medicines Agency's committee responsible for elaborating the agency's opinions on all issues regarding medicinal products for human use.
d001.s002.t010	)	)	RDS		
d001.s002.t011	গবেষণা	গবেষণা	NC	bn:00074790n	A detailed critical inspection
d001.s002.t012	মূল্যায়ন	মূল্যায়ন	NC	bn:00087869v	Make plain and comprehensible
d001.s002.t013	করে	করে	VM		
d001.s002.t014	কিভাবে	কিভাবে	AMN		
d001.s002.t015	ঔষধ	ঔষধ	NC		
d001.s002.t016	ব্যবহার	ব্যবহার	NC	bn:00082705v	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose
d001.s002.t017	করতে	করতে	VM		
d001.s002.t018	হয়	হয়	PU	bn:00082720v	Evaluate or estimate the nature, quality, ability, extent, or significance of
d001.s002.t019	সে	।	PU		
d001.s002.t020	সম্পর্কে	সম্পর্ক	NC		
d001.s002.t021	তাদের	তাদের	PPR		
d001.s002.t022	সুপারিশে	সুপারিশ	NC	bn:00087107v	Carry out or perform an action
d001.s002.t023	পৌঁছানোর	পৌঁছানো	NV	bn:00082226v	To gain with effort
d001.s002.t024	জন্য	জন্য	PP		
d001.s002.t025	।	।	PU		
d001.s003.t001	আপনার	আপনার	PPR		
d001.s003.t002	চিকিৎসা	চিকিৎসা			
d001.s003.t003	সংক্রান্ত	সংক্রান্ত			
d001.s003.t004	অবস্থা	অবস্থা	NC	bn:00021648n	An illness, disease, or other medical problem
d001.s003.t005	অথবা	অথবা	CSB		
d001.s003.t006	আপনার	আপনার			
d001.s003.t007	চিকিৎসার	চিকিৎসা	NC	bn:00106555a	Requiring or amenable to treatment by medicine especially as opposed to surgery
d001.s003.t008	বিষয়ে	বিষয়	NC		
d001.s003.t009	যদি	যদি	CSB		
d001.s003.t010	আরও	আরও	JQ	bn:00106935a	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
d001.s003.t011	তথ্যের	তথ্য	NC	bn:00025314n	A collection of facts from which conclusions may be drawn
d001.s003.t012	প্রয়োজন	প্রয়োজন	NC	bn:00091028v	Have need of
d001.s003.t013	হয়	হয়	PU		
d001.s003.t014	,	,	PU		
d001.s003.t015	তা	তা			
d001.s003.t016	হলে	হলে	LC	bn:00114246r	In addition
d001.s003.t017	প্যাকেজ	প্যাকেজ	NP	bn:00013882n	A collection of things wrapped or boxed together
d001.s003.t018	লিফলেট	লিফলেট	NC	bn:00012133n	A small book usually having a paper cover
d001.s003.t019	(	(	RDS		
d001.s003.t020	ইপিএআর-এর	ইপিএআর-এর	NP		
d001.s003.t021	অংশ	অংশ	NC	bn:00021395n	Something determined in relation to something that includes it
d001.s003.t022	)	)	RDS		
d001.s003.t023	অথবা	অথবা	CSB		
d001.s003.t024	আপনার	আপনার	PPR		
d001.s003.t025	ডাক্তার	ডাক্তার	NC	bn:00027976n	A licensed medical practitioner
d001.s003.t026	বা	বা	CCD		
d001.s003.t027	ফার্মাসিস্টের	ফার্মাসিস্ট	NC	bn:00004992n	A health professional trained in the art of preparing and dispensing drugs
d001.s003.t028	সঙ্গে	সঙ্গে			
d001.s003.t029	যোগাযোগ	যোগাযোগ	NC	bn:00085696v	Be in or establish communication with
d001.s003.t030	করুন	করুন	VM	bn:00092424v	Interpret something that is written or printed
d001.s003.t031	।	।			
d001.s004.t001	যদি	যদি	CSB		
d001.s004.t002	আপনি	আপনি	PPR		
d001.s004.t003	সিএইচএমপির	সিএইচএমপির	NC		
d001.s004.t004	সুপারিশের	সুপারিশ	NC		
d001.s004.t005	ভিত্তিতে	ভিত্তি	NC		
d001.s004.t006	আরো	আরো	JQ	bn:00106935a	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
d001.s004.t007	তথ্য	তথ্য	NC	bn:00025314n	A collection of facts from which conclusions may be drawn
d001.s004.t008	চান	চান	NC	bn:00086682v	Feel or have a desire for; want strongly
d001.s004.t009	,	,	PU		
d001.s004.t010	তাহলে	তাহলে	CSB		
d001.s004.t011	বৈজ্ঞানিক	বৈজ্ঞানিক	JJ		
d001.s004.t012	আলোচনা	আলোচনা	NC	bn:00027523n	An extended communication (often interactive) dealing with some particular topic
d001.s004.t013	(	(	RDS		
d001.s004.t014	ইপারেরও	ইপারেরও	PU	bn:00114246r	In addition
d001.s004.t015	অংশ	অংশ	NC	bn:00021395n	Something determined in relation to something that includes it
d001.s004.t016	)	)	RDS		
d001.s004.t017	পড়ুন	পড়ুন	NP	bn:00092424v	Interpret something that is written or printed
d001.s004.t018	।	।	PU		
d001.s005.t001	আলিমতা	আলিমতা	NC		
d001.s005.t002	কি	কি	PWH		
d001.s005.t003	?	?	PU		
d001.s006.t001	আলিমতা	আলিমতা	NC	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s006.t002	হচ্ছে	হচ্ছে	VM		
d001.s006.t003	এমন	এমন			
d001.s006.t004	এক	এক	JQ		
d001.s006.t005	পাউডার	পাউডার	NC	bn:00063926n	A solid substance in the form of tiny loose particles; a solid that has been pulverized
d001.s006.t006	,	,	PU		
d001.s006.t007	যা	যা	PRL		
d001.s006.t008	ইনফিউশনের	ইনফিউশন	NP	bn:00046734n	(medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force)
d001.s006.t009	(	(	RDS		
