Token ID	Token	Lemma	POS	Bengali Token	Bengali Lemma	POS BEN	BN Synset	Correct? 	Synonyms?	BN Gloss	Token ID BEN	Annotator notes	English Lemma - WN Glosses	English Lemma - WN Glosses	English Lemma - BN Synsets	English Lemma - BN Glosses
d001.s001.t001	This		X	এই	এই	DAB	n/a			n/a	d001.s001.t001					
d001.s001.t002	document	document	N	নথিটি	নথি	PU	bn:00028015n	1	1	Writing that provides information (especially information of an official nature)	d001.s001.t002					
d001.s001.t003	is	be	V	নথিটি	নথি	PU	n/a			n/a	d001.s001.t002					
d001.s001.t004	a		X	নথিটি	নথি	PU	n/a			n/a	d001.s001.t002					
d001.s001.t005	summary	summary	N	সারাংশ	সারাংশ	JQ	bn:00075142n	1	1	A brief statement that presents the main points in a concise form	d001.s001.t010					
d001.s001.t006	of		X	ইউরোপীয়	ইউরোপ	NP	n/a			n/a	d001.s001.t003					
d001.s001.t007	the		X	রিপোর্টের	রিপোর্ট	NC	n/a			n/a	d001.s001.t006					
d001.s001.t008	European	european	J	ইউরোপীয়	ইউরোপ	NP	bn:00102440a	1	1	Of or relating to or characteristic of Europe or the people of Europe	d001.s001.t003					
d001.s001.t009	Public	public	J	পাবলিক	পাবলিক	JJ	bn:00109211a	1	1	Not private; open to or concerning the people as a whole	d001.s001.t004					
d001.s001.t010	Assessment	assessment	N	অ্যাসেসমেন্ট	অ্যাসেসমেন্ট	NC	bn:00006502n	1	1	The act of judging or assessing a person or situation or event	d001.s001.t005					
d001.s001.t011	Report	report	N	রিপোর্টের	রিপোর্ট	NC	bn:00067181n	1	1	A written document describing the findings of some individual or group	d001.s001.t006					
d001.s001.t012	(		X	(	(	RDS	n/a			n/a	d001.s001.t007					
d001.s001.t013	EPAR	epar	N	ইপিএআর	ইপিএআর	NP	n/a			n/a	d001.s001.t008					
d001.s001.t014	)		X	)	)	RDS	n/a			n/a	d001.s001.t009					
d001.s001.t015	.		X	সারাংশ+।	সারাংশ+।	JQ+PU	n/a			n/a	d001.s001.t010+d001.s001.t011					
d001.s002.t001	It		X	মেডিসিনাল	মেডিসিনাল	NP	n/a			n/a	d001.s002.t003					
d001.s002.t002	explains	explain	V	প্রোডাক্টস+মূল্যায়ন	প্রোডাক্টস+মূল্যায়ন	NC+NC	bn:00087869v	0	0	Make plain and comprehensible	d001.s002.t004+d001.s002.t012	POS mismatch, there is no single word corresponding to the English word in the Bengali sentence	Make plain and comprehensible; Define; Serve as a reason or cause or justification of	make plain and comprehensible; define; serve as a reason or cause or justification of	bn:00087869v; bn:00087870v; bn:00087819v	Make plain and comprehensible; Define; Serve as a reason or cause or justification of
d001.s002.t003	how		X	কিভাবে	কিভাবে	AMN	n/a			n/a	d001.s002.t014					
d001.s002.t004	the		X	ফর	ফর	NP	n/a			n/a	d001.s002.t002					
d001.s002.t005	Committee	committee	N	কমিটি	কমিটি	NC	bn:00021015n	1	1	A special group delegated to consider some matter - Milton Berle	d001.s002.t001					
d001.s002.t006	for		X	প্রোডাক্টস	প্রোডাক্টস	NC	n/a			n/a	d001.s002.t004					
d001.s002.t007	Medicinal	medicinal	J	মেডিসিনাল+হিউম্যান	মেডিসিনাল+হিউম্যান	NP+NP	bn:00106556a	1	1	Having the properties of medicine	d001.s002.t003+d001.s002.t006	POS mismatch, first word matches				
d001.s002.t008	Products	product	N	প্রোডাক্টস	প্রোডাক্টস	NC	bn:00064584n	1	1	An artifact that has been created by someone or some process	d001.s002.t004					
d001.s002.t009	for		X	ফর	ফর	NP	n/a			n/a	d001.s002.t005					
d001.s002.t010	Human	human	J	হিউম্যান	হিউম্যান	NP	bn:00104385a	1	1	Relating to a person	d001.s002.t006					
d001.s002.t011	Use	use	N	ইউজ	ইউজ	NP	bn:00030627n	1	1	The act of using	d001.s002.t007					
d001.s002.t012	(		X	(	(	RDS	n/a			n/a	d001.s002.t008					
d001.s002.t013	CHMP	chmp	N	সিএইচএমপি	সিএইচএমপি	NP	bn:00302314n	1	1	The Committee for Medicinal Products for Human Use, formerly known as Committee for Proprietary Medicinal Products, is the European Medicines Agency's committee responsible for elaborating the agency's opinions on all issues regarding medicinal products for human use.	d001.s002.t009					
d001.s002.t014	)		X	)	)	RDS	n/a			n/a	d001.s002.t010					
d001.s002.t015	assessed	assess	V	মূল্যায়ন+হয়	মূল্যায়ন+হয়	NC+PU	bn:00082720v	1	1	Evaluate or estimate the nature, quality, ability, extent, or significance of	d001.s002.t012+d001.s002.t018	POS mismatch, first word matches				
d001.s002.t016	the		X	ফর	ফর	NP	n/a			n/a	d001.s002.t002					
d001.s002.t017	studies	study	N	গবেষণা	গবেষণা	NC	bn:00074790n	1	1	A detailed critical inspection	d001.s002.t011					
d001.s002.t018	performed	perform	V	ইউজ+সুপারিশে	ইউজ+সুপারিশ	NP+NC	bn:00087107v	0	0	Carry out or perform an action	d001.s002.t007+d001.s002.t022	POS mismatch	Carry out or perform an action; Perform a function; Give a performance (of something); Get (something) done	carry out or perform an action; perform a function; give a performance (of something); get (something) done	bn:00087107v; bn:00091550v; bn:00091551v; bn:00087108v	Carry out or perform an action; Perform a function; Give a performance (of something); Get (something) done
d001.s002.t019	,		X	ঔষধ+সুপারিশে	ঔষধ+সুপারিশ	NC+NC	n/a			n/a	d001.s002.t015+d001.s002.t022					
d001.s002.t020	to		X	করে	করে	VM	n/a			n/a	d001.s002.t013					
d001.s002.t021	reach	reach	V	পৌঁছানোর	পৌঁছানো	NV	bn:00082226v	1	1	To gain with effort	d001.s002.t023					
