ID	English	Bengali Translation
d001.s001	This document is a summary of the European Public Assessment Report ( EPAR ) .	এই নথিটি ইউরোপীয় পাবলিক অ্যাসেসমেন্ট রিপোর্ট (EPAR) এর একটি সারাংশ।
d001.s002	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	এটি ব্যাখ্যা করে যে কীভাবে কমিটি ফর মেডিসিনাল প্রোডাক্টস ফর হিউম্যান ইউজ (CHMP) সম্পাদিত অধ্যয়নগুলিকে মূল্যায়ন করেছে, কীভাবে ওষুধটি ব্যবহার করতে হবে সে সম্পর্কে তাদের সুপারিশে পৌঁছাতে।
d001.s003	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	আপনার যদি আপনার চিকিৎসার অবস্থা বা আপনার চিকিত্সা সম্পর্কে আরও তথ্যের প্রয়োজন হয়, তাহলে প্যাকেজ লিফলেটটি পড়ুন (এছাড়াও EPAR-এর অংশ) অথবা আপনার ডাক্তার বা ফার্মাসিস্টের সাথে যোগাযোগ করুন।
d001.s004	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	আপনি যদি CHMP সুপারিশের ভিত্তিতে আরও তথ্য চান, তাহলে বৈজ্ঞানিক আলোচনা পড়ুন (এছাড়াও EPAR-এর অংশ)।
d001.s005	What is Alimta ?	আলিমতা কি?
d001.s006	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	আলিমতা হল একটি পাউডার যা আধানের জন্য একটি দ্রবণে তৈরি করা হয় ( শিরায় ফোঁটা)।
d001.s007	It contains the active substance pemetrexed .	এটি সক্রিয় পদার্থ pemetrexed রয়েছে.
d001.s008	What is Alimta used for ?	Alimta কি জন্য ব্যবহার করা হয়?
d001.s009	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	আলিমতা দুই ধরনের ক্যান্সারের চিকিৎসায় ব্যবহৃত হয়: প্লুরাল মেসোথেলিওমা (ফুসফুসের আস্তরণের ক্যান্সার যা সাধারণত অ্যাসবেস্টসের সংস্পর্শে আসে)।
d001.s010	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	অ্যালিমটা সিসপ্ল্যাটিন (আরেকটি ক্যানসার বিরোধী ওষুধ) এর সাথে ব্যবহার করা হয় যখন ক্যান্সার নির্মূল করা যায় না (একা অস্ত্রোপচারের মাধ্যমে অপসারণ করা যায় না) এবং ম্যালিগন্যান্ট (শরীরের অন্যান্য অংশে ছড়িয়ে পড়েছে বা সহজেই ছড়িয়ে পড়ার সম্ভাবনা রয়েছে), এমন রোগীদের ক্ষেত্রে উন্নত বা মেটাস্ট্যাটিক নন-স্মল সেল ফুসফুসের ক্যান্সারের আগে কেমোথেরাপি (ক্যান্সারের ওষুধ) গ্রহণ করা হয়েছে যা স্কোয়ামাস কোষকে প্রভাবিত করছে না।
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	অ্যালিমটা এমন রোগীদের ক্ষেত্রে সিসপ্ল্যাটিনের সংমিশ্রণে ব্যবহার করা হয় যাদের আগে চিকিৎসা করা হয়নি, এবং যারা অতীতে অন্য ধরনের কেমোথেরাপি পেয়েছেন তাদের ক্ষেত্রে নিজে থেকেই।
d001.s012	The medicine can only be obtained with a prescription .	ওষুধটি শুধুমাত্র একটি প্রেসক্রিপশনের মাধ্যমে পাওয়া যেতে পারে।
d001.s013	How is Alimta used ?	কিভাবে Alimta ব্যবহার করা হয়?
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	আলিমতা শুধুমাত্র একজন ডাক্তারের তত্ত্বাবধানে দেওয়া উচিত যিনি ক্যানসার প্রতিরোধী কেমোথেরাপি ব্যবহারে যোগ্য।
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .	আলিমতার প্রস্তাবিত ডোজ হল 500 মিলিগ্রাম প্রতি বর্গ মিটার শরীরের পৃষ্ঠের ক্ষেত্রফল (রোগীর উচ্চতা এবং ওজন ব্যবহার করে গণনা করা হয়)।
d001.s016	It is given once every three weeks as an intravenous infusion lasting 10 minutes .	এটি প্রতি তিন সপ্তাহে একবার দেওয়া হয় একটি শিরায় আধান হিসাবে 10 মিনিট স্থায়ী হয়।
d001.s017	To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	পার্শ্ব প্রতিক্রিয়া কমাতে, রোগীদের কর্টিকোস্টেরয়েড এবং ফলিক অ্যাসিড (এক ধরনের ভিটামিন) গ্রহণ করা উচিত এবং আলিমতার সাথে চিকিত্সার সময় ভিটামিন বি 12 এর ইনজেকশন গ্রহণ করা উচিত।
d001.s018	When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .	যখন সিসপ্ল্যাটিনের সাথে আলিমতা দেওয়া হয়, তখন সিসপ্ল্যাটিন ডোজ আগে বা পরে একটি অ্যান্টি-এমেটিক ওষুধ (বমি প্রতিরোধ করার জন্য) এবং তরল (ডিহাইড্রেশন প্রতিরোধ করার জন্য) দেওয়া উচিত।
