d001.s001.t002  bn:00028015n
d001.s001.t004  bn:00109211a                   
d001.s001.t005  bn:00006502n                   
d001.s001.t010  bn:00075142n                   
d001.s002.t001  bn:00021015n                   
d001.s002.t004  bn:00054416n                   
d001.s002.t006  bn:00044576n                   
d001.s002.t007  bn:00030627n                   
d001.s002.t009  bn:00302314n                   
d001.s002.t011  bn:00074790n                   
d001.s002.t012  bn:00087869v                   
d001.s002.t016  bn:00082705v                   
d001.s002.t018  bn:00079778n                   
d001.s002.t022  bn:00066562n                   
d001.s002.t023  bn:00082790v                   
d001.s003.t004  bn:00021644n                   
d001.s003.t007  bn:00047235n                   
d001.s003.t010  bn:00106935a                   
d001.s003.t011  bn:00025314n                   
d001.s003.t012  bn:00091028v                   
d001.s003.t016  bn:00085337v                   
d001.s003.t017  bn:00013882n                   
d001.s003.t018  bn:00012133n                   
d001.s003.t021  bn:00021395n                   
d001.s003.t025  bn:00027976n                   
d001.s003.t027  bn:00004992n                   
d001.s003.t029  bn:00085696v                   
d001.s003.t030  bn:00087107v                   
d001.s004.t006  bn:00106935a                   
d001.s004.t007  bn:00025314n                   
d001.s004.t008  bn:00086682v                   
d001.s004.t012  bn:00027523n                   
d001.s004.t014  bn:00114246r                   
d001.s004.t015  bn:00021395n                   
d001.s004.t017  bn:00092424v                   
d001.s006.t001  bn:00602447n                   
d001.s006.t005  bn:00063926n                   
d001.s006.t008  bn:00046734n                   
d001.s006.t011  bn:00087306v                   
d001.s006.t015  bn:00072760n                   
d001.s006.t016  bn:00083187v                   
d001.s007.t002  bn:00085499v                   
d001.s007.t003  bn:00001155n                   
d001.s007.t004  bn:00074986n                   
d001.s007.t005  bn:00602447n                   
d001.s008.t001  bn:00602447n                   
d001.s008.t004  bn:00082705v                   
d001.s009.t001  bn:00602447n                   
d001.s009.t003  bn:00078798n                   
d001.s009.t009  bn:00108692a                   
d001.s009.t010  bn:00054512n                   
d001.s009.t013  bn:00032379n                   
d001.s009.t015  bn:00084069v                   
d001.s009.t016  bn:00114778r                   
d001.s009.t019  bn:00015180n                   
d001.s010.t001  bn:00602447n                   
d001.s010.t002  bn:00577781n                   
d001.s010.t005  bn:00097220a                   
d001.s010.t006  bn:00097220a                   
d001.s010.t007  bn:00054128n                   
d001.s010.t012  bn:00082705v                   
d001.s010.t016  bn:00015180n                   
d001.s010.t019  bn:00096871a                   
d001.s010.t020  bn:00059129n                   
d001.s010.t022  bn:00092783v                   
d001.s010.t028  bn:00106363a                   
d001.s010.t031  bn:00108011a                   
d001.s010.t032  bn:00021395n                   
d001.s010.t033  bn:00092083v                   
d001.s010.t037  bn:00115155r                   
d001.s011.t004  bn:00116360r                   
d001.s011.t006  bn:00061017n                   
d001.s011.t008  bn:00602447n                   
d001.s011.t009  bn:00020872n                   
d001.s011.t010  bn:00602447n                   
d001.s011.t011  bn:00082705v                   
d001.s011.t017  bn:00078798n                   
d001.s011.t018  bn:00018141n                   
d001.s011.t020  bn:00111411a                   
d001.s012.t002  bn:00116450r                   
d001.s012.t004  bn:00064195n                   
d001.s012.t006  bn:00082276v                   
d001.s013.t002  bn:00602447n                   
d001.s013.t003  bn:00082705v                   
d001.s014.t001  bn:00097220a                   
d001.s014.t002  bn:00018141n                   
d001.s014.t006  bn:00027976n                   
d001.s014.t008  bn:00602447n                   
d001.s014.t009  bn:00088826v                   
d001.s015.t001  bn:00602447n                   
d001.s015.t003  bn:00028320n                   
d001.s015.t008  bn:00054701n                   
d001.s015.t010  bn:00061017n                   
d001.s015.t013  bn:00080831n                   
d001.s015.t014  bn:00082705v                   
d001.s015.t016  bn:00084373v                   
d001.s015.t017  bn:00087107v                   
d001.s016.t002  bn:00102467a                   
d001.s016.t004  bn:00043484n                   
d001.s016.t005  bn:00115811r                   
d001.s016.t007  bn:00088826v                   
d001.s016.t012  bn:00055094n                   
d001.s016.t013  bn:00087620v                   
d001.s016.t014  bn:00011744n                   
d001.s016.t015  bn:00085363v                   
d001.s017.t005  bn:00001507n                   
d001.s017.t008  bn:00000902n                   
d001.s017.t011  bn:00078798n                   
d001.s017.t021  bn:00046785n                   
d001.s017.t022  bn:00085689v                   
d001.s018.t001  bn:00602447n                   
d001.s018.t003  bn:00602447n                   
d001.s018.t004  bn:00088826v                   
d001.s018.t009  bn:00054128n                   
d001.s018.t011  bn:00083115v                   
d001.s018.t012  bn:00088454v                   
d001.s018.t013  bn:00087107v                   
d001.s018.t017  bn:00035426n                   
d001.s018.t019  bn:00025983n                   
d001.s018.t022  bn:27114566r                   
d001.s018.t024  bn:00577781n                   
d001.s018.t026  bn:00114512r                   
d001.s018.t028  bn:00114165r                   
d001.s019.t002  bn:00011346n                   
d001.s019.t003  bn:00023139n                   
d001.s019.t007  bn:00108011a                   
d001.s019.t008  bn:00099474a                   
d001.s019.t013  bn:00047235n                   
d001.s019.t014  bn:00086514v                   
d001.s019.t016  bn:00083908v                   
d001.s019.t020  bn:00028320n                   
d001.s019.t021  bn:00084079v                   
d001.s020.t001  bn:00106827a                   
d001.s020.t003  bn:00106826a                   
d001.s020.t004  bn:00049083n                   
d001.s020.t005  bn:00048242n                   
d001.s020.t008  bn:00061017n                   
d001.s020.t010  bn:00602447n                   
d001.s020.t011  bn:00030627n                   
d001.s020.t013  bn:00082418v                   
d001.s020.t016  bn:00116360r                   
d001.s021.t001  bn:00106935a                   
d001.s021.t002  bn:00025314n                   
d001.s021.t005  bn:00054416n                   
d001.s021.t008  bn:00087787v                   
d001.s021.t011  bn:00114246r                   
d001.s022.t001  bn:00602447n                   
d001.s023.t003  bn:00602447n                   
d001.s023.t005  bn:00096387a                   
d001.s023.t006  bn:00074986n                   
d001.s023.t008  bn:00100866a                   
d001.s023.t009  bn:00054128n                   
d001.s023.t014  bn:00087100v                   
d001.s023.t015  bn:00087107v                   
d001.s023.t018  bn:00015180n                   
d001.s023.t019  bn:00017027n                   
d001.s023.t020  bn:00090098v                   
d001.s023.t021  bn:00087107v                   
d001.s023.t025  bn:00018111n                   
d001.s023.t026  bn:00004691n                   
d001.s023.t027  bn:00083389v                   
d001.s024.t005  bn:00001155n                   
d001.s024.t007  bn:00085761v                   
d001.s024.t013  bn:00017027n                   
d001.s024.t015  bn:00053803n                   
d001.s024.t016  bn:00026301n                   
d001.s024.t018  bn:00067714n                   
d001.s024.t019  bn:00013726n                   
d001.s024.t022  bn:00084082v                   
d001.s024.t024  bn:00089893v                   
d001.s024.t026  bn:00001130n                   
d001.s024.t027  bn:00083623v                   
d001.s024.t028  bn:00083623v                   
d001.s025.t002  bn:00602447n                   
d001.s025.t003  bn:00082596v                   
d001.s025.t004  bn:00087107v                   
d001.s026.t002  bn:00108692a                   
d001.s026.t003  bn:00054512n                   
d001.s026.t007  bn:00602447n                   
d001.s026.t010  bn:00061017n                   
d001.s026.t013  bn:00099598a                   
d001.s026.t015  bn:00082596v                   
d001.s026.t016  bn:00087107v                   
d001.s026.t019  bn:00027546n                   
d001.s026.t021  bn:00018141n                   
d001.s027.t002  bn:00020872n                   
d001.s027.t004  bn:00029874n                   
d001.s027.t005  bn:00114234r                   
d001.s028.t010  bn:00602447n                   
d001.s028.t019  bn:00085450v                   
d001.s028.t022  bn:00089893v                   
d001.s028.t023  bn:00115781r                   
d001.s028.t024  bn:00116147r                   
d001.s028.t025  bn:00096528a                   
d001.s028.t027  bn:00054585n                   
d001.s028.t028  bn:00027546n                   
d001.s028.t031  bn:00061017n                   
d001.s028.t035  bn:00018141n                   
d001.s028.t036  bn:00088208v                   
d001.s029.t001  bn:00602447n                   
d001.s029.t002  bn:00085450v                   
d001.s029.t005  bn:00602447n                   
d001.s029.t009  bn:00015180n                   
d001.s029.t010  bn:00109002a                   
d001.s029.t011  bn:00054128n                   
d001.s029.t014  bn:00114246r                   
d001.s029.t016  bn:00020872n                   
d001.s029.t018  bn:00577781n                   
d001.s029.t024  bn:00089893v                   
d001.s029.t028  bn:00061017n                   
d001.s029.t029  bn:00089893v                   
d001.s029.t032  bn:00060927n                   
d001.s029.t034  bn:00015180n                   
d001.s029.t036  bn:00018141n                   
d001.s030.t004  bn:00099598a                   
d001.s030.t005  bn:00054019n                   
d001.s030.t010  bn:00085382v                   
d001.s031.t003  bn:00602447n                   
d001.s031.t005  bn:00037022n                   
d001.s032.t001  bn:00602447n                   
d001.s032.t003  bn:00108692a                   
d001.s032.t008  bn:00030811n                   
d001.s032.t009  bn:00077268n                   
d001.s032.t010  bn:00089667v                   
d001.s033.t001  bn:00061017n                   
d001.s033.t003  bn:00602447n                   
d001.s033.t004  bn:00066495n                   
d001.s033.t005  bn:00061017n                   
d001.s033.t006  bn:00054001n                   
d001.s033.t007  bn:00085382v                   
d001.s033.t008  bn:00085382v                   
d001.s033.t010  bn:00055794n                   
d001.s034.t008  bn:00602447n                   
d001.s034.t009  bn:00114354r                   
d001.s034.t011  bn:00102038a                   
d001.s035.t002  bn:00018141n                   
d001.s035.t005  bn:00061017n                   
d001.s035.t009  bn:00030811n                   
d001.s035.t011  bn:00077268n                   
d001.s035.t014  bn:00055794n                   
d001.s035.t017  bn:00602447n                   
d001.s035.t020  bn:00055794n                   
d001.s035.t021  bn:00085450v                   
d001.s036.t002  bn:00018141n                   
d001.s036.t003  bn:00116360r                   
d001.s036.t004  bn:00088208v                   
d001.s036.t005  bn:00061017n                   
d001.s036.t010  bn:00097854a                   
d001.s036.t011  bn:00030811n                   
d001.s036.t013  bn:00077268n                   
d001.s036.t016  bn:00055794n                   
d001.s037.t001  bn:00114627r                   
d001.s037.t008  bn:00061017n                   
d001.s037.t009  bn:00015180n                   
d001.s037.t011  bn:00017027n                   
d001.s037.t012  bn:00082427v                   
d001.s037.t013  bn:00087107v                   
d001.s037.t014  bn:00116360r                   
d001.s037.t018  bn:00030811n                   
d001.s037.t019  bn:00077268n                   
d001.s037.t020  bn:00106124a                   
d001.s037.t024  bn:00602447n                   
d001.s037.t028  bn:00602447n                   
d001.s038.t003  bn:00061017n                   
d001.s038.t004  bn:00015180n                   
d001.s038.t005  bn:00082427v                   
d001.s038.t007  bn:00017027n                   
d001.s038.t013  bn:00602447n                   
d001.s038.t021  bn:00030811n                   
d001.s038.t022  bn:00077268n                   
d001.s038.t023  bn:00110561a                   
d002.s001.t001  bn:14324775n                   
d002.s001.t004  bn:00106488a                   
d002.s001.t005  bn:00014687n                   
