Token ID	Token	Lemma	POS	Chinese Token	POS ZH	BN Synset	Correct?	Synonyms?	BN Gloss	Token ID ZH	Annotator notes	Chinese Token - BN Synset	Chinese Token - BN Gloss	English Lemma - WN Synsets	English Lemma - WN Glosses	English Lemma - BN Synsets	English Lemma - BN Glosses	Add Annotation	ZH Token-BN Synset	ZH Token-BN Gloss
d001.s001.t001	This		X	本	DT					z001.s001.t001										
d001.s001.t002	document	document	N	文件	NN	bn:00028015n	1	1	Writing that provides information (especially information of an official nature)	z001.s001.t002										
d001.s001.t003	is	be	V	是	VC					z001.s001.t003										
d001.s001.t004	a		X	是	VC					z001.s001.t003										
d001.s001.t005	summary	summary	N	摘要	NN	bn:00075142n	1	1	A brief statement that presents the main points in a concise form	z001.s001.t012										
d001.s001.t006	of		X	欧洲	NR					z001.s001.t004										
d001.s001.t007	the		X	的	DEG					z001.s001.t011										
d001.s001.t008	European	european	J	欧洲	NR	bn:00102440a	0	1	Of or relating to or characteristic of Europe or the people of Europe	z001.s001.t004									bn:00102440a	Of or relating to or characteristic of Europe or the people of Europe
d001.s001.t009	Public	public	J	公共	JJ	bn:00109211a	1	1	Not private; open to or concerning the people as a whole	z001.s001.t005										
d001.s001.t010	Assessment	assessment	N	评估	NN	bn:00006502n	1	1	The act of judging or assessing a person or situation or event	z001.s001.t006										
d001.s001.t011	Report	report	N	报告	NN	bn:00067181n	1	1	A written document describing the findings of some individual or group	z001.s001.t007										
d001.s001.t012	(		X	(	PU					z001.s001.t008										
d001.s001.t013	EPAR	epar	N	EPAR	NR					z001.s001.t009										
d001.s001.t014	)		X	)	PU					z001.s001.t010										
d001.s001.t015	.		X	。	PU					z001.s001.t013										
d001.s002.t001	It		X	它	PN					z001.s002.t001										
d001.s002.t002	explains	explain	V	它➕解释	PN➕VV	bn:00087869v	0	0	Make plain and comprehensible	z001.s002.t001➕z001.s002.t002	Second Word Matched									
d001.s002.t003	how		X	如何	AD					z001.s002.t011										
d001.s002.t004	the		X	n/a																
d001.s002.t005	Committee	committee	N	委员会	NN	bn:00021015n	1	1	A special group delegated to consider some matter - Milton Berle	z001.s002.t007										
d001.s002.t006	for		X	n/a																
d001.s002.t007	Medicinal	medicinal	J	n/a		bn:00106556a	0	0	Having the properties of medicine		Missing Translation									
d001.s002.t008	Products	product	N	药品	NN	bn:00064584n	0	0	An artifact that has been created by someone or some process	z001.s002.t006									bn:00054128n	(medicine) something that treats or prevents or alleviates the symptoms of disease
d001.s002.t009	for		X	n/a																
d001.s002.t010	Human	human	J	人	JJ	bn:00104385a	1	1	Relating to a person	z001.s002.t004										
d001.s002.t011	Use	use	N	用	JJ	bn:00030627n	0	1	The act of using	z001.s002.t005	PoS Tag Mismatch								bn:02470956n;bn:27120471n	"Radical 101 or radical use meaning ""use"" is one of the 23 Kangxi radicals composed of 5 strokes.;By using (a thing or an approach)."
d001.s002.t012	(		X	(	PU					z001.s002.t008										
d001.s002.t013	CHMP	chmp	N	CHMP	NR	bn:00302314n	1	1	The Committee for Medicinal Products for Human Use, formerly known as Committee for Proprietary Medicinal Products, is the European Medicines Agency's committee responsible for elaborating the agency's opinions on all issues regarding medicinal products for human use.	z001.s002.t009										
d001.s002.t014	)		X	)	PU					z001.s002.t010										
