Token ID	Token	Lemma	POS
d001.s001.t001	本		DT
d001.s001.t002	文件		NN
d001.s001.t003	是		VC
d001.s001.t004	欧洲		NR
d001.s001.t005	公共		JJ
d001.s001.t006	评估		NN
d001.s001.t007	报告		NN
d001.s001.t008	(		PU
d001.s001.t009	EPAR		NR
d001.s001.t010	)		PU
d001.s001.t011	的		DEG
d001.s001.t012	摘要		NN
d001.s001.t013	。		PU
d001.s002.t001	它		PN
d001.s002.t002	解释		VV
d001.s002.t003	了		AS
d001.s002.t004	人		JJ
d001.s002.t005	用		JJ
d001.s002.t006	药品		NN
d001.s002.t007	委员会		NN
d001.s002.t008	(		PU
d001.s002.t009	CHMP		NR
d001.s002.t010	)		PU
d001.s002.t011	如何		AD
d001.s002.t012	评估		VV
d001.s002.t013	所		MSP
d001.s002.t014	进行		VV
d001.s002.t015	的		DEC
d001.s002.t016	研究		NN
d001.s002.t017	，		PU
d001.s002.t018	以		MSP
d001.s002.t019	得出		VV
d001.s002.t020	关于		P
d001.s002.t021	如何		AD
d001.s002.t022	使用		VV
d001.s002.t023	药物		NN
d001.s002.t024	的		DEG
d001.s002.t025	建议		NN
d001.s002.t026	。		PU
d001.s003.t001	如果		CS
d001.s003.t002	您		PN
d001.s003.t003	需要		VV
d001.s003.t004	更		AD
d001.s003.t005	多		CD
d001.s003.t006	有关		P
d001.s003.t007	您		PN
d001.s003.t008	的		DEG
d001.s003.t009	医疗		NN
d001.s003.t010	状况		NN
d001.s003.t011	或		CC
d001.s003.t012	治疗		NN
d001.s003.t013	的		DEG
d001.s003.t014	信息		NN
d001.s003.t015	，		PU
d001.s003.t016	请		VV
d001.s003.t017	阅读		VV
d001.s003.t018	药品		NN
d001.s003.t019	说明书		NN
d001.s003.t020	（		PU
d001.s003.t021	也是		VC
d001.s003.t022	EPAR		NR
d001.s003.t023	的		DEG
d001.s003.t024	一部分		CD
d001.s003.t025	）		PU
d001.s003.t026	或		CC
d001.s003.t027	联系		VV
d001.s003.t028	您		PN
d001.s003.t029	的		DEG
d001.s003.t030	医生		NN
d001.s003.t031	或		CC
d001.s003.t032	药剂		NN
d001.s003.t033	师		NN
d001.s003.t034	。		PU
d001.s004.t001	如果		CS
d001.s004.t002	您		PN
d001.s004.t003	想		VV
d001.s004.t004	了解		VV
d001.s004.t005	有关		P
d001.s004.t006	CHMP		NR
d001.s004.t007	建议		NN
d001.s004.t008	的		DEG
d001.s004.t009	更		AD
d001.s004.t010	多		CD
d001.s004.t011	信息		NN
d001.s004.t012	，		PU
d001.s004.t013	请		VV
d001.s004.t014	阅读		VV
d001.s004.t015	科学		NN
d001.s004.t016	讨论		NN
d001.s004.t017	（		PU
d001.s004.t018	也是		VC
d001.s004.t019	EPAR		NR
d001.s004.t020	的		DEG
d001.s004.t021	一部分		CD
d001.s004.t022	）		PU
d001.s004.t023	。		PU
d001.s005.t001	什么		PN
d001.s005.t002	是		VC
d001.s005.t003	Alimta		NN
d001.s005.t004	？		PU
d001.s006.t001	Alimta		NR
d001.s006.t002	是		VC
d001.s006.t003	一		CD
d001.s006.t004	种		M
d001.s006.t005	粉末		NN
d001.s006.t006	，		PU
d001.s006.t007	可		VV
d001.s006.t008	制成		VV
d001.s006.t009	输液		NN
d001.s006.t010	溶液		NN
d001.s006.t011	（		PU
d001.s006.t012	滴入		VV
d001.s006.t013	静脉		NN
d001.s006.t014	）		PU
d001.s006.t015	。		PU
