d001.s001.t002  bn:00028015n
d001.s001.t004  bn:00102440a                   
d001.s001.t005  bn:00109211a                   
d001.s001.t006  bn:00006502n                   
d001.s001.t007  bn:00067181n                   
d001.s001.t012  bn:00075142n                   
d001.s002.t002  bn:00087869v                   
d001.s002.t004  bn:00104385a                   
d001.s002.t005  bn:00030627n                   
d001.s002.t006  bn:00054128n                   
d001.s002.t007  bn:00021015n                   
d001.s002.t009  bn:00302314n                   
d001.s002.t011  bn:13606173r                   
d001.s002.t012  bn:00082720v                   
d001.s002.t014  bn:00087107v                   
d001.s002.t016  bn:00074790n                   
d001.s002.t019  bn:00082226v                   
d001.s002.t021  bn:13606173r                   
d001.s002.t022  bn:00082705v                   
d001.s002.t023  bn:00054128n                   
d001.s002.t025  bn:00066562n                   
d001.s003.t003  bn:00091028v                   
d001.s003.t004  bn:00116285r                   
d001.s003.t005  bn:00105858a                   
d001.s003.t009  bn:00106555a                   
d001.s003.t010  bn:00021648n                   
d001.s003.t012  bn:00111810a                   
d001.s003.t014  bn:00025314n                   
d001.s003.t017  bn:00092424v                   
d001.s003.t018  bn:00054128n                   
d001.s003.t019  bn:00012133n                   
d001.s003.t021  bn:00114246r                   
d001.s003.t025  bn:00021395n                   
d001.s003.t028  bn:00085696v                   
d001.s003.t031  bn:00027976n                   
d001.s003.t033  bn:00004992n                   
d001.s004.t003  bn:00086682v                   
d001.s004.t004  bn:00095375v                   
d001.s004.t005  bn:00109659a                   
d001.s004.t006  bn:00302314n                   
d001.s004.t007  bn:00066562n                   
d001.s004.t009  bn:00116285r                   
d001.s004.t011  bn:00025314n                   
d001.s004.t014  bn:00092424v                   
d001.s004.t015  bn:00110175a                   
d001.s004.t016  bn:00027523n                   
d001.s004.t018  bn:00114246r                   
d001.s004.t022  bn:00021395n                   
d001.s005.t003  bn:00602447n                   
d001.s006.t001  bn:00602447n                   
d001.s006.t004  bn:00078798n                   
d001.s006.t005  bn:00063926n                   
d001.s006.t008  bn:00083187v                   
d001.s006.t009  bn:00046734n                   
d001.s006.t010  bn:00072760n                   
d001.s006.t012  bn:00087306v                   
d001.s006.t013  bn:00079681n                   
d001.s007.t002  bn:00085499v                   
d001.s007.t003  bn:00096387a                   
d001.s007.t004  bn:00074986n                   
d001.s008.t001  bn:00602447n                   
d001.s008.t003  bn:00036822n                   
