Token ID	Token	POS	EN Token	BN Synset
d001.s001.t001	本	X	This	
d001.s001.t002	文件	N	document	bn:00028015n
d001.s001.t003	是	V	is	
d001.s001.t004	欧洲	A	European	bn:00102440a
d001.s001.t005	公共	A	Public	bn:00109211a
d001.s001.t006	评估	N	Assessment	bn:00006502n
d001.s001.t007	报告	N	Report	bn:00067181n
d001.s001.t008	(	X	(	
d001.s001.t009	EPAR	N	EPAR	
d001.s001.t010	)	X	)	
d001.s001.t011	的	X	the	
d001.s001.t012	摘要	N	summary	bn:00075142n
d001.s001.t013	。	X	.	
d001.s002.t001	它	X	It	
d001.s002.t002	解释	V		bn:00087869v
d001.s002.t003	了	X		
d001.s002.t004	人	A	Human	bn:00104385a
d001.s002.t005	用	N	Use	bn:00030627n
d001.s002.t006	药品	N	Medicinal Products	bn:00054128n
d001.s002.t007	委员会	N	Committee	bn:00021015n
d001.s002.t008	(	X	(	
d001.s002.t009	CHMP	N	CHMP	bn:00302314n
d001.s002.t010	)	X	)	
d001.s002.t011	如何	R	how	bn:13606173r
d001.s002.t012	评估	V		bn:00082720v
d001.s002.t013	所	X		
d001.s002.t014	进行	V	performed	bn:00087107v
d001.s002.t015	的	X	the	
d001.s002.t016	研究	N	studies	bn:00074790n
d001.s002.t017	，	X	,	
d001.s002.t018	以	X	to	
d001.s002.t019	得出	V	reach	bn:00082226v
d001.s002.t020	关于	X	on	
d001.s002.t021	如何	R	how	bn:13606173r
d001.s002.t022	使用	V	use	bn:00082705v
d001.s002.t023	药物	N	medicine	bn:00054128n
d001.s002.t024	的	X		
d001.s002.t025	建议	N	recommendations	bn:00066562n
d001.s002.t026	。	X	.	
d001.s003.t001	如果	X	If	
d001.s003.t002	您	X	you	
d001.s003.t003	需要	V	need	bn:00091028v
d001.s003.t004	更	R	more	bn:00116285r
d001.s003.t005	多	A		bn:00105858a
d001.s003.t006	有关	X	about	
d001.s003.t007	您	X	your	
d001.s003.t008	的	X		
d001.s003.t009	医疗	A	medical	bn:00106555a
d001.s003.t010	状况	N	condition	bn:00021648n
d001.s003.t011	或	X	or	
d001.s003.t012	治疗	A	treatment	bn:00111810a
d001.s003.t013	的	X	the	
d001.s003.t014	信息	N	information	bn:00025314n
d001.s003.t015	，	X	,	
d001.s003.t016	请	V		
d001.s003.t017	阅读	V	read	bn:00092424v
d001.s003.t018	药品	N		bn:00054128n
d001.s003.t019	说明书	N	Leaflet	bn:00012133n
d001.s003.t020	（	X	(	
d001.s003.t021	也	R	also	bn:00114246r
d001.s003.t022	是	V		
d001.s003.t023	EPAR	N	EPAR	
d001.s003.t024	的	X	of	
d001.s003.t025	一部分	N	part	bn:00021395n
d001.s003.t026	）	X	)	
d001.s003.t027	或	X	or	
d001.s003.t028	联系	V	contact	bn:00085696v
d001.s003.t029	您	X	your	
d001.s003.t030	的	X		
d001.s003.t031	医生	N	doctor	bn:00027976n
d001.s003.t032	或	X	or	
d001.s003.t033	药剂师	N	pharmacist	bn:00004992n
