Sentence ID	Sentence
d001.s001	本文件是欧洲公共评估报告(EPAR)的摘要。
d001.s002	它解释了人用药品委员会(CHMP)如何评估所进行的研究，以得出关于如何使用药物的建议。
d001.s003	如果您需要更多有关您的医疗状况或治疗的信息，请阅读药品说明书（也是EPAR的一部分）或联系您的医生或药剂师。
d001.s004	如果您想了解有关CHMP建议的更多信息，请阅读科学讨论（也是EPAR的一部分）。
d001.s005	什么是Alimta？
d001.s006	Alimta是一种粉末，可制成输液溶液（滴入静脉）。
d001.s007	它含有活性成分培美曲塞。
d001.s008	Alimta的用途是什么？
d001.s009	Alimta用于治疗两种类型的癌症：胸膜间皮瘤（肺部内膜癌症，通常由接触石棉引起）。
d001.s010	当癌症无法切除（不能仅通过手术切除）且为恶性（已经扩散或可能轻易扩散到身体其他部位），且之前未接受过化疗（抗癌药物）的晚期或转移性非小细胞肺癌患者（未影响鳞状细胞）时，Alimta与顺铂（另一种抗癌药物）一起使用。
d001.s011	对于以前未接受过治疗的患者，Alimta与顺铂联合使用；对于以前接受过其他类型化疗的患者，Alimta可单独使用。
d001.s012	这种药必须凭处方才能买到。
d001.s013	Alimta如何使用？
d001.s014	Alimta只能在具有抗癌化疗使用资质的医生的监督下使用。
d001.s015	Alimta的推荐剂量为每平方米体表面积500毫克（根据患者的身高和体重计算）。
d001.s016	每三周进行一次静脉输注，每次持续10分钟。
d001.s017	为了减少副作用，患者在使用Alimta治疗期间应该服用皮质类固醇和叶酸（一种维生素），并注射维生素B12。
d001.s018	当Alimta与顺铂一起服用时，还应在顺铂给药之前或之后给予止吐药（以防止呕吐）和液体（以防止脱水）。
d001.s019	对于血细胞计数异常或出现其他副作用的患者，应推迟或停止治疗，或减少剂量。
d001.s020	不建议患有中度或重度肾脏疾病的患者使用Alimta。
d001.s021	欲了解更多信息，请参阅产品特性摘要（也是EPAR的一部分）。
d001.s022	Alimta如何发挥作用？
d001.s023	Alimta中的活性成分培美曲塞是一种细胞毒药物（杀死正在分裂的细胞，如癌细胞的药物），属于抗代谢药类。
d001.s024	在体内，培美曲塞被转化成活性形式，从而抑制参与生成核苷酸（DNA和RNA的组成部分，即细胞的遗传物质）的酶的活性。
d001.s025	Alimta的研究进展如何？
d001.s026	为了治疗恶性胸膜间皮瘤，Alimta已在一项主要研究中对456名之前未接受过化疗的患者进行了研究。
d001.s027	比较了Alimta与顺铂联合治疗与单独使用顺铂治疗的效果。
d001.s028	在非小细胞肺癌的治疗方面，一项涉及571名既往接受过化疗的局部晚期或转移性疾病患者的研究比较了Alimta与多西他赛（另一种抗癌药物）的效果。
d001.s029	在一项涉及1725名过去未接受过化疗的肺癌患者的研究中，阿利泰还与吉西他滨(另一种抗癌药)进行了比较，两者都与顺铂联合使用。
d001.s030	在这三项研究中，疗效的主要衡量标准是患者存活的时间。
d001.s031	Alimta在研究期间显示出了什么益处？
d001.s032	Alimta延长了恶性胸膜间皮瘤患者的生存时间。
d001.s033	接受Alimta和顺铂治疗的患者平均生存期为12.1个月，而仅接受顺铂治疗的患者平均生存期为9.3个月。
d001.s034	在治疗非小细胞肺癌患者方面，Alimta与对照药物一样有效。
d001.s035	对于过去接受过化疗的患者，使用Alimta治疗后平均生存期为8.3个月，而使用多西他赛治疗后平均生存期为7.9个月。
d001.s036	对于既往未接受过化疗的患者，两组平均生存期均为10.3个月。
d001.s037	然而，在这两项研究中，对于癌症未影响到鳞状细胞的患者，接受Alimta治疗的患者比接受对照药物治疗的患者存活时间更长。
