ID	English	Chinese Translation
d001.s001	This document is a summary of the European Public Assessment Report ( EPAR ) .	本文件是欧洲公共评估报告 (EPAR) 的摘要。
d001.s002	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	它解释了人用药品委员会 (CHMP) 如何评估所进行的研究，以得出关于如何使用药物的建议。
d001.s003	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	如果您需要更多有关您的医疗状况或治疗的信息，请阅读药品说明书（也是 EPAR 的一部分）或联系您的医生或药剂师。
d001.s004	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	如果您想了解有关 CHMP 建议的更多信息，请阅读科学讨论（也是 EPAR 的一部分）。
d001.s005	What is Alimta ?	什么是 Alimta？
d001.s006	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	Alimta 是一种粉末，可制成输液溶液（滴入静脉）。
d001.s007	It contains the active substance pemetrexed .	它含有活性成分培美曲塞。
d001.s008	What is Alimta used for ?	Alimta 的用途是什么？
d001.s009	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta 用于治疗两种类型的癌症：胸膜间皮瘤（肺部内膜癌症，通常由接触石棉引起）。
d001.s010	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	当癌症无法切除（不能仅通过手术切除）且为恶性（已经扩散或可能轻易扩散到身体其他部位），且之前未接受过化疗（抗癌药物）的晚期或转移性非小细胞肺癌患者（未影响鳞状细胞）时，Alimta 与顺铂（另一种抗癌药物）一起使用。
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	对于以前未接受过治疗的患者，Alimta 与顺铂联合使用；对于以前接受过其他类型化疗的患者，Alimta 可单独使用。
d001.s012	The medicine can only be obtained with a prescription .	这种药必须凭处方才能买到。
d001.s013	How is Alimta used ?	Alimta 如何使用？
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	Alimta 只能在具有抗癌化疗使用资质的医生的监督下使用。
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .	Alimta 的推荐剂量为每平方米体表面积 500 毫克（根据患者的身高和体重计算）。
d001.s016	It is given once every three weeks as an intravenous infusion lasting 10 minutes .	每三周进行一次静脉输注，每次持续 10 分钟。
d001.s017	To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	为了减少副作用，患者在使用 Alimta 治疗期间应该服用皮质类固醇和叶酸（一种维生素），并注射维生素 B12。
d001.s018	When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .	当 Alimta 与顺铂一起服用时，还应在顺铂给药之前或之后给予止吐药（防止呕吐）和液体（防止脱水）。
d001.s019	Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .	对于血细胞计数异常或出现其他副作用的患者，应推迟或停止治疗，或减少剂量。
d001.s020	Alimta is not recommended for use in patients with moderate or severe kidney problems .	不建议患有中度或重度肾脏疾病的患者使用 Alimta。
d001.s021	For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	欲了解更多信息，请参阅产品特性摘要（也是 EPAR 的一部分）。
d001.s022	How does Alimta work ?	Alimta 如何发挥作用？
d001.s023	The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .	Alimta 中的活性成分培美曲塞是一种细胞毒药物（杀死正在分裂的细胞，如癌细胞的药物），属于抗代谢药类。
