d001.s001.t001	document%1:10:00::	wn:06470073n	bn:00028015n
d001.s001.t002	summary%1:10:00::	wn:06467007n	bn:00075142n
d001.s001.t003	european%3:01:00::	wn:02968325a	bn:00102440a
d001.s001.t004	public%3:00:00::	wn:01861205a	bn:00109211a
d001.s001.t005	assessment%1:04:00::	wn:00874067n	bn:00006502n
d001.s001.t006	report%1:10:03::	wn:07218470n	bn:00067181n
d001.s002.t001	explain%2:32:01::	wn:01065456v	bn:00087870v
d001.s002.t002	committee%1:14:00::	wn:08324514n	bn:00021015n
d001.s002.t003	medicinal%5:00:00:healthful:00	wn:01166656a	bn:00106556a
d001.s002.t004	product%1:06:00::	wn:04007894n	bn:00064584n
d001.s002.t005	human%3:01:01::	wn:02743391a	bn:00104385a
d001.s002.t006	use%1:04:00::	wn:00947128n	bn:00030627n
d001.s002.t007	assess%2:31:00::	wn:00681429v	bn:00082720v
d001.s002.t008	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s002.t009	perform%2:36:00::	wn:01712704v	bn:00087107v
d001.s002.t010	reach%2:38:06::	wn:02022162v	bn:00088789v
d001.s002.t011	recommendation%1:10:00::	wn:06671637n	bn:00066562n
d001.s002.t012	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s002.t013	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s003.t001	need%2:34:01::	wn:01189113v	bn:00091029v
d001.s003.t002	more%3:00:01::	wn:01555133a	bn:00106935a
d001.s003.t003	information%1:14:00::	wn:08462320n	bn:00025314n
d001.s003.t004	medical%3:00:00::	wn:01168988a	bn:00106555a
d001.s003.t005	condition%1:26:05::	wn:13923440n	bn:00021648n
d001.s003.t006	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s003.t007	read%2:31:00::	wn:00625119v	bn:00092424v
d001.s003.t008	package%1:14:00::	wn:08008017n	bn:00013882n
d001.s003.t009	leaflet%1:10:00::	wn:06413889n	bn:00012133n
d001.s003.t010	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s003.t011	part%1:09:00::	wn:05867413n	bn:00027912n
d001.s003.t012	contact%2:32:00::	wn:00743344v	bn:00085696v
d001.s003.t013	doctor%1:18:00::	wn:10020890n	bn:00027976n
d001.s003.t014	pharmacist%1:18:00::	wn:10421470n	bn:00004992n
d001.s004.t001	want%2:37:00::	wn:01825237v	bn:00086682v
d001.s004.t002	more%3:00:01::	wn:01555133a	bn:00106935a
d001.s004.t003	information%1:14:00::	wn:08462320n	bn:00025314n
d001.s004.t004	basis%1:24:00::	wn:13790912n	bn:00008870n
d001.s004.t005	recommendation%1:10:00::	wn:06671637n	bn:00066562n
d001.s004.t006	read%2:31:00::	wn:00625119v	bn:00092424v
d001.s004.t007	scientific%3:00:00::	wn:02084804a	bn:00110176a
d001.s004.t008	discussion%1:10:02::	wn:07138085n	bn:00027523n
d001.s004.t009	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s004.t010	part%1:09:00::	wn:05867413n	bn:00027912n
d001.s006.t001	powder%1:06:01::	wn:03994008n	bn:00063927n
d001.s006.t002	make_up%2:42:00::	wn:02620587v	bn:00083187v
d001.s006.t003	solution%1:27:00::	wn:14589223n	bn:00072760n
d001.s006.t004	infusion%1:04:00::	wn:00323532n	bn:00046734n
d001.s006.t005	drip%2:35:10::	wn:01611516v	bn:00087306v
d001.s006.t006	vein%1:08:00::	wn:05418717n	bn:00079681n
d001.s007.t001	contain%2:42:00::	wn:02629535v	bn:00085499v
d001.s007.t002	active%3:00:07::	wn:00042457a	bn:00096387a
d001.s007.t003	substance%1:03:01::	wn:00020090n	bn:00074987n
d001.s008.t001	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s009.t001	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s009.t002	treat%2:29:00::	wn:00078760v	bn:00084532v
d001.s009.t003	type%1:09:00::	wn:05840188n	bn:00078798n
d001.s009.t004	cancer%1:26:00::	wn:14239918n	bn:00015180n
d001.s009.t005	pleural%3:01:00::	wn:02947653a	bn:00108692a
d001.s009.t006	mesothelioma%1:26:00::	wn:14251435n	bn:00054512n
d001.s009.t007	cancer%1:26:00::	wn:14239918n	bn:00015180n
d001.s009.t008	lining%1:06:00::	wn:03673767n	bn:00051366n
d001.s009.t009	lung%1:08:00::	wn:05387544n	bn:00052341n
d001.s009.t010	usually%4:02:00::	wn:00106921r	bn:00114778r
d001.s009.t011	cause%2:36:00::	wn:01645601v	bn:00084699v
d001.s009.t012	exposure%1:04:01::	wn:00204659n	bn:00032384n
d001.s009.t013	asbestos%1:27:00::	wn:14725591n	bn:00006236n
