Token ID	Token	Lemma	POS	BN Synset
	This	this	DET	
d001.s001.t001	document	document	NOUN	bn:00028015n
	is	be	VERB	
	a	a	DET	
d001.s001.t002	summary	summary	NOUN	bn:00075142n
	of	of	ADP	
	the	the	DET	
d001.s001.t003	European	european	ADJ	bn:00102440a
d001.s001.t004	Public	public	ADJ	bn:00109211a
d001.s001.t005	Assessment	assessment	NOUN	bn:00006502n
d001.s001.t006	Report	report	NOUN	bn:00067181n
	(	(	.	
	EPAR	epar	NOUN	
	)	)	.	
	.	.	.	
	-end-	-end-	-end-	
	It	it	PRON	
d001.s002.t001	explains	explain	VERB	bn:00087870v
	how	how	ADV	
	the	the	DET	
d001.s002.t002	Committee	committee	NOUN	bn:00021015n
	for	for	ADP	
d001.s002.t003	Medicinal	medicinal	ADJ	bn:00106556a
d001.s002.t004	Products	product	NOUN	bn:00064584n
	for	for	ADP	
d001.s002.t005	Human	human	ADJ	bn:00104385a
d001.s002.t006	Use	use	NOUN	bn:00030627n
	(	(	.	
	CHMP	chmp	NOUN	
	)	)	.	
d001.s002.t007	assessed	assess	VERB	bn:00082720v
	the	the	DET	
d001.s002.t008	studies	study	NOUN	bn:00074790n
d001.s002.t009	performed	perform	VERB	bn:00087107v
	,	,	.	
	to	to	PRT	
d001.s002.t010	reach	reach	VERB	bn:00088789v
	their	they	PRON	
d001.s002.t011	recommendations	recommendation	NOUN	bn:00066562n
	on	on	ADP	
	how	how	ADV	
	to	to	PRT	
d001.s002.t012	use	use	VERB	bn:00082705v
	the	the	DET	
d001.s002.t013	medicine	medicine	NOUN	bn:00054128n
	.	.	.	
	-end-	-end-	-end-	
	If	if	ADP	
	you	you	PRON	
d001.s003.t001	need	need	VERB	bn:00091029v
d001.s003.t002	more	more	ADJ	bn:00106935a
d001.s003.t003	information	information	NOUN	bn:00025314n
	about	about	ADP	
	your	you	PRON	
d001.s003.t004	medical	medical	ADJ	bn:00106555a
d001.s003.t005	condition	condition	NOUN	bn:00021648n
	or	or	CONJ	
	your	you	PRON	
d001.s003.t006	treatment	treatment	NOUN	bn:00047235n
	,	,	.	
d001.s003.t007	read	read	VERB	bn:00092424v
	the	the	DET	
d001.s003.t008	Package	package	NOUN	bn:00013882n
d001.s003.t009	Leaflet	leaflet	NOUN	bn:00012133n
	(	(	.	
d001.s003.t010	also	also	ADV	bn:00114246r
d001.s003.t011	part	part	NOUN	bn:00027912n
	of	of	ADP	
	the	the	DET	
	EPAR	epar	NOUN	
	)	)	.	
	or	or	CONJ	
d001.s003.t012	contact	contact	VERB	bn:00085696v
	your	you	PRON	
d001.s003.t013	doctor	doctor	NOUN	bn:00027976n
	or	or	CONJ	
d001.s003.t014	pharmacist	pharmacist	NOUN	bn:00004992n
	.	.	.	
	-end-	-end-	-end-	
	If	if	ADP	
	you	you	PRON	
d001.s004.t001	want	want	VERB	bn:00086682v
d001.s004.t002	more	more	ADJ	bn:00106935a
d001.s004.t003	information	information	NOUN	bn:00025314n
	on	on	ADP	
	the	the	DET	
d001.s004.t004	basis	basis	NOUN	bn:00008870n
	of	of	ADP	
	the	the	DET	
	CHMP	chmp	NOUN	
d001.s004.t005	recommendations	recommendation	NOUN	bn:00066562n
	,	,	.	
d001.s004.t006	read	read	VERB	bn:00092424v
	the	the	DET	
d001.s004.t007	Scientific	scientific	ADJ	bn:00110176a
d001.s004.t008	Discussion	discussion	NOUN	bn:00027523n
	(	(	.	
d001.s004.t009	also	also	ADV	bn:00114246r
d001.s004.t010	part	part	NOUN	bn:00027912n
	of	of	ADP	
	the	the	DET	
	EPAR	epar	NOUN	
	)	)	.	
	.	.	.	
	-end-	-end-	-end-	
	What	what	PRON	
	is	be	VERB	
	Alimta	alimta	NOUN	
	?	?	.	
	-end-	-end-	-end-	
	Alimta	alimta	NOUN	
	is	be	VERB	
	a	a	DET	
d001.s006.t001	powder	powder	NOUN	bn:00063927n
	that	that	DET	
	is	be	VERB	
d001.s006.t002	made up	make_up	VERB	bn:00083187v
	into	into	ADP	
	a	a	DET	
d001.s006.t003	solution	solution	NOUN	bn:00072760n
	for	for	ADP	
d001.s006.t004	infusion	infusion	NOUN	bn:00046734n
	(	(	.	
d001.s006.t005	drip	drip	VERB	bn:00087306v
	into	into	ADP	
	a	a	DET	
