Token ID	Token	Lemma	POS
	This	this	DET
d001.s001.t001	document	document	NOUN
	is	be	VERB
	a	a	DET
d001.s001.t002	summary	summary	NOUN
	of	of	ADP
	the	the	DET
d001.s001.t003	European	european	ADJ
d001.s001.t004	Public	public	ADJ
d001.s001.t005	Assessment	assessment	NOUN
d001.s001.t006	Report	report	NOUN
	(	(	.
	EPAR	epar	NOUN
	)	)	.
	.	.	.
	-end-	-end-	-end-
	It	it	PRON
d001.s002.t001	explains	explain	VERB
	how	how	ADV
	the	the	DET
d001.s002.t002	Committee	committee	NOUN
	for	for	ADP
d001.s002.t003	Medicinal	medicinal	ADJ
d001.s002.t004	Products	product	NOUN
	for	for	ADP
d001.s002.t005	Human	human	ADJ
d001.s002.t006	Use	use	NOUN
	(	(	.
	CHMP	chmp	NOUN
	)	)	.
d001.s002.t007	assessed	assess	VERB
	the	the	DET
d001.s002.t008	studies	study	NOUN
d001.s002.t009	performed	perform	VERB
	,	,	.
	to	to	PRT
d001.s002.t010	reach	reach	VERB
	their	they	PRON
d001.s002.t011	recommendations	recommendation	NOUN
	on	on	ADP
	how	how	ADV
	to	to	PRT
d001.s002.t012	use	use	VERB
	the	the	DET
d001.s002.t013	medicine	medicine	NOUN
	.	.	.
	-end-	-end-	-end-
	If	if	ADP
	you	you	PRON
d001.s003.t001	need	need	VERB
d001.s003.t002	more	more	ADJ
d001.s003.t003	information	information	NOUN
	about	about	ADP
	your	you	PRON
d001.s003.t004	medical	medical	ADJ
d001.s003.t005	condition	condition	NOUN
	or	or	CONJ
	your	you	PRON
d001.s003.t006	treatment	treatment	NOUN
	,	,	.
d001.s003.t007	read	read	VERB
	the	the	DET
d001.s003.t008	Package	package	NOUN
d001.s003.t009	Leaflet	leaflet	NOUN
	(	(	.
d001.s003.t010	also	also	ADV
d001.s003.t011	part	part	NOUN
	of	of	ADP
	the	the	DET
	EPAR	epar	NOUN
	)	)	.
	or	or	CONJ
d001.s003.t012	contact	contact	VERB
	your	you	PRON
d001.s003.t013	doctor	doctor	NOUN
	or	or	CONJ
d001.s003.t014	pharmacist	pharmacist	NOUN
	.	.	.
	-end-	-end-	-end-
	If	if	ADP
	you	you	PRON
d001.s004.t001	want	want	VERB
d001.s004.t002	more	more	ADJ
d001.s004.t003	information	information	NOUN
	on	on	ADP
	the	the	DET
d001.s004.t004	basis	basis	NOUN
	of	of	ADP
	the	the	DET
	CHMP	chmp	NOUN
d001.s004.t005	recommendations	recommendation	NOUN
	,	,	.
d001.s004.t006	read	read	VERB
	the	the	DET
d001.s004.t007	Scientific	scientific	ADJ
d001.s004.t008	Discussion	discussion	NOUN
	(	(	.
d001.s004.t009	also	also	ADV
d001.s004.t010	part	part	NOUN
	of	of	ADP
	the	the	DET
	EPAR	epar	NOUN
	)	)	.
	.	.	.
	-end-	-end-	-end-
	What	what	PRON
	is	be	VERB
	Alimta	alimta	NOUN
	?	?	.
	-end-	-end-	-end-
	Alimta	alimta	NOUN
	is	be	VERB
	a	a	DET
d001.s006.t001	powder	powder	NOUN
	that	that	DET
	is	be	VERB
d001.s006.t002	made up	make_up	VERB
	into	into	ADP
	a	a	DET
d001.s006.t003	solution	solution	NOUN
	for	for	ADP
d001.s006.t004	infusion	infusion	NOUN
	(	(	.
d001.s006.t005	drip	drip	VERB
	into	into	ADP
	a	a	DET
d001.s006.t006	vein	vein	NOUN
	)	)	.
	.	.	.
	-end-	-end-	-end-
	It	it	PRON
d001.s007.t001	contains	contain	VERB
	the	the	DET
d001.s007.t002	active	active	ADJ
d001.s007.t003	substance	substance	NOUN
	pemetrexed	pemetrex	VERB
	.	.	.
	-end-	-end-	-end-
	What	what	PRON
	is	be	VERB
	Alimta	alimta	NOUN
d001.s008.t001	used	use	VERB
	for	for	ADP
	?	?	.
	-end-	-end-	-end-
	Alimta	alimta	NOUN
	is	be	VERB
d001.s009.t001	used	use	VERB
	to	to	PRT
