d001.s001.t002 bn:00028015n
d001.s001.t005 bn:00075142n
d001.s001.t008 bn:00102440a
d001.s001.t009 bn:00109211a
d001.s001.t010 bn:00005120n
d001.s001.t011 bn:00067181n
d001.s002.t002 bn:00087869v
d001.s002.t005 bn:00021015n
d001.s002.t007 bn:00106556a
d001.s002.t008 bn:00064584n
d001.s002.t010 bn:00104386a
d001.s002.t011 bn:00082705v
d001.s002.t013 bn:00114246r
d001.s002.t015 bn:00082720v
d001.s002.t017 bn:00074790n
d001.s002.t018 bn:00091550v
d001.s002.t021 bn:00082790v
d001.s002.t023 bn:00066562n
d001.s002.t029 bn:00054128n
d001.s003.t003 bn:00082822v
d001.s003.t004 bn:00106936a
d001.s003.t005 bn:00046698n
d001.s003.t008 bn:00106555a
d001.s003.t009 bn:00021644n
d001.s003.t012 bn:00047235n
d001.s003.t014 bn:00092424v
d001.s003.t016 bn:00060109n
d001.s003.t017 bn:00012133n
d001.s003.t019 bn:00114246r
d001.s003.t020 bn:00021395n
d001.s003.t026 bn:00085696v
d001.s003.t028 bn:00027976n
d001.s003.t030 bn:00004992n
d001.s004.t003 bn:00086682v
d001.s004.t004 bn:00106935a
d001.s004.t005 bn:00046705n
d001.s004.t008 bn:00008870n
d001.s004.t011 bn:00099742a
d001.s004.t012 bn:00066562n
d001.s004.t014 bn:00092424v
d001.s004.t016 bn:00110176a
d001.s004.t017 bn:00027523n
d001.s004.t019 bn:00114246r
d001.s004.t020 bn:00021395n
d001.s005.t003 bn:00097350a
d001.s006.t001 bn:00066070n
d001.s006.t004 bn:00063926n
d001.s006.t010 bn:00072760n
d001.s006.t012 bn:00032469n
d001.s006.t014 bn:00087325v
d001.s006.t017 bn:00079681n
d001.s007.t002 bn:00085499v
d001.s007.t004 bn:00096387a
d001.s007.t005 bn:00074985n
d001.s007.t006 bn:00054535n
d001.s008.t003 bn:00097218a
d001.s008.t004 bn:00082705v
d001.s009.t001 bn:00041942n
d001.s009.t003 bn:00082705v
d001.s009.t005 bn:00084532v
d001.s009.t007 bn:00078798n
d001.s009.t009 bn:00015180n
d001.s009.t011 bn:00108692a
d001.s009.t017 bn:00051366n
d001.s009.t020 bn:00052341n
d001.s009.t023 bn:00114778r
d001.s009.t024 bn:00084699v
d001.s009.t026 bn:00032375n
d001.s009.t028 bn:00006236n
d001.s010.t001 bn:00041942n
d001.s010.t003 bn:00082705v
