New ID	Token	Lemma	POS	Old ID
	This	this	DET	
d001.s001.t001	document	document	NOUN	d001.s001.t001
	is	be	VERB	
	a	a	DET	
d001.s001.t002	summary	summary	NOUN	d001.s001.t002
	of	of	ADP	
	the	the	DET	
d001.s001.t003	European	european	ADJ	d001.s001.t003
d001.s001.t004	Public	public	ADJ	d001.s001.t004
d001.s001.t005	Assessment	assessment	NOUN	d001.s001.t005
d001.s001.t006	Report	report	NOUN	d001.s001.t006
	(	(	.	
	EPAR	epar	NOUN	
	)	)	.	
	.	.	.	
	It	it	PRON	
d001.s002.t001	explains	explain	VERB	d001.s002.t001
	how	how	ADV	
	the	the	DET	
d001.s002.t002	Committee	committee	NOUN	d001.s002.t002
	for	for	ADP	
d001.s002.t003	Medicinal	medicinal	ADJ	d001.s002.t003
d001.s002.t004	Products	product	NOUN	d001.s002.t004
	for	for	ADP	
d001.s002.t005	Human	human	ADJ	d001.s002.t005
d001.s002.t006	Use	use	NOUN	d001.s002.t006
	(	(	.	
	CHMP	chmp	NOUN	
	)	)	.	
d001.s002.t007	assessed	assess	VERB	d001.s002.t007
	the	the	DET	
d001.s002.t008	studies	study	NOUN	d001.s002.t008
d001.s002.t009	performed	perform	VERB	d001.s002.t009
	,	,	.	
	to	to	PRT	
d001.s002.t010	reach	reach	VERB	d001.s002.t010
	their	they	PRON	
d001.s002.t011	recommendations	recommendation	NOUN	d001.s002.t011
	on	on	ADP	
	how	how	ADV	
	to	to	PRT	
d001.s002.t012	use	use	VERB	d001.s002.t012
	the	the	DET	
d001.s002.t013	medicine	medicine	NOUN	d001.s002.t013
	.	.	.	
	If	if	ADP	
	you	you	PRON	
d001.s003.t001	need	need	VERB	d001.s003.t001
d001.s003.t002	more	more	ADJ	d001.s003.t002
d001.s003.t003	information	information	NOUN	d001.s003.t003
	about	about	ADP	
	your	you	PRON	
d001.s003.t004	medical	medical	ADJ	d001.s003.t004
d001.s003.t005	condition	condition	NOUN	d001.s003.t005
	or	or	CONJ	
	your	you	PRON	
d001.s003.t006	treatment	treatment	NOUN	d001.s003.t006
	,	,	.	
d001.s003.t007	read	read	VERB	d001.s003.t007
	the	the	DET	
d001.s003.t008	Package	package	NOUN	d001.s003.t008
d001.s003.t009	Leaflet	leaflet	NOUN	d001.s003.t009
	(	(	.	
d001.s003.t010	also	also	ADV	d001.s003.t010
d001.s003.t011	part	part	NOUN	d001.s003.t011
	of	of	ADP	
	the	the	DET	
	EPAR	epar	NOUN	
	)	)	.	
	or	or	CONJ	
d001.s003.t012	contact	contact	VERB	d001.s003.t012
	your	you	PRON	
d001.s003.t013	doctor	doctor	NOUN	d001.s003.t013
	or	or	CONJ	
d001.s003.t014	pharmacist	pharmacist	NOUN	d001.s003.t014
	.	.	.	
	If	if	ADP	
	you	you	PRON	
d001.s004.t001	want	want	VERB	d001.s004.t001
d001.s004.t002	more	more	ADJ	d001.s004.t002
d001.s004.t003	information	information	NOUN	d001.s004.t003
	on	on	ADP	
	the	the	DET	
d001.s004.t004	basis	basis	NOUN	d001.s004.t004
	of	of	ADP	
	the	the	DET	
	CHMP	chmp	NOUN	
d001.s004.t005	recommendations	recommendation	NOUN	d001.s004.t005
	,	,	.	
d001.s004.t006	read	read	VERB	d001.s004.t006
	the	the	DET	
