Token ID	Token	Lemma	POS
d001.s001.t001	This		X
d001.s001.t002	document	document	N
d001.s001.t003	is	be	V
d001.s001.t004	a		X
d001.s001.t005	summary	summary	N
d001.s001.t006	of		X
d001.s001.t007	the		X
d001.s001.t008	European	european	J
d001.s001.t009	Public	public	J
d001.s001.t010	Assessment	assessment	N
d001.s001.t011	Report	report	N
d001.s001.t012	(		X
d001.s001.t013	EPAR	epar	N
d001.s001.t014	)		X
d001.s001.t015	.		X
d001.s002.t001	It		X
d001.s002.t002	explains	explain	V
d001.s002.t003	how		X
d001.s002.t004	the		X
d001.s002.t005	Committee	committee	N
d001.s002.t006	for		X
d001.s002.t007	Medicinal	medicinal	J
d001.s002.t008	Products	product	N
d001.s002.t009	for		X
d001.s002.t010	Human	human	J
d001.s002.t011	Use	use	N
d001.s002.t012	(		X
d001.s002.t013	CHMP	chmp	N
d001.s002.t014	)		X
d001.s002.t015	assessed	assess	V
d001.s002.t016	the		X
d001.s002.t017	studies	study	N
d001.s002.t018	performed	perform	V
d001.s002.t019	,		X
d001.s002.t020	to		X
d001.s002.t021	reach	reach	V
d001.s002.t022	their		X
d001.s002.t023	recommendations	recommendation	N
d001.s002.t024	on		X
d001.s002.t025	how		X
d001.s002.t026	to		X
d001.s002.t027	use	use	V
d001.s002.t028	the		X
d001.s002.t029	medicine	medicine	N
d001.s002.t030	.		X
d001.s003.t001	If		X
d001.s003.t002	you		X
d001.s003.t003	need	need	V
d001.s003.t004	more	more	J
d001.s003.t005	information	information	N
d001.s003.t006	about		X
d001.s003.t007	your		X
d001.s003.t008	medical	medical	J
d001.s003.t009	condition	condition	N
d001.s003.t010	or		X
d001.s003.t011	your		X
d001.s003.t012	treatment	treatment	N
d001.s003.t013	,		X
d001.s003.t014	read	read	V
d001.s003.t015	the		X
d001.s003.t016	Package	package	N
d001.s003.t017	Leaflet	leaflet	N
d001.s003.t018	(		X
d001.s003.t019	also	also	R
d001.s003.t020	part	part	N
d001.s003.t021	of		X
d001.s003.t022	the		X
d001.s003.t023	EPAR	epar	N
d001.s003.t024	)		X
d001.s003.t025	or		X
d001.s003.t026	contact	contact	V
d001.s003.t027	your		X
d001.s003.t028	doctor	doctor	N
d001.s003.t029	or		X
d001.s003.t030	pharmacist	pharmacist	N
d001.s003.t031	.		X
d001.s004.t001	If		X
d001.s004.t002	you		X
d001.s004.t003	want	want	V
d001.s004.t004	more	more	J
d001.s004.t005	information	information	N
d001.s004.t006	on		X
d001.s004.t007	the		X
d001.s004.t008	basis	basis	N
d001.s004.t009	of		X
d001.s004.t010	the		X
d001.s004.t011	CHMP	chmp	N
d001.s004.t012	recommendations	recommendation	N
d001.s004.t013	,		X
d001.s004.t014	read	read	V
d001.s004.t015	the		X
d001.s004.t016	Scientific	scientific	J
d001.s004.t017	Discussion	discussion	N
d001.s004.t018	(		X
d001.s004.t019	also	also	R
d001.s004.t020	part	part	N
d001.s004.t021	of		X
d001.s004.t022	the		X
d001.s004.t023	EPAR	epar	N
d001.s004.t024	)		X
d001.s004.t025	.		X
d001.s005.t001	What		X
d001.s005.t002	is	be	V
d001.s005.t003	Alimta	alimta	N
d001.s005.t004	?		X
d001.s006.t001	Alimta	alimta	N
