Token ID	Token	POS	Lemma	BN Synset
d001.s001.t000	this	DET	this	
d001.s001.t001	document	NOUN	document	bn:00028015n
d001.s001.t002	is	AUX	be	
d001.s001.t003	a	DET	a	
d001.s001.t004	summary	NOUN	summary	bn:00075142n
d001.s001.t005	of	ADP	of	
d001.s001.t006	the	DET	the	
d001.s001.t007	european	ADJ	european	bn:00102440a
d001.s001.t008	public	ADJ	public	bn:00109211a
d001.s001.t009	assessment	NOUN	assessment	bn:00005120n
d001.s001.t010	report	NOUN	report	bn:00067181n
d001.s001.t011	(	PUNCT	(	
d001.s001.t012	epar	PROPN	epar	
d001.s001.t013	)	PUNCT	)	
d001.s001.t014	.	PUNCT	.	
d001.s002.t000	it	PRON	it	
d001.s002.t001	explains	VERB	explain	bn:00087869v
d001.s002.t002	how	SCONJ	how	
d001.s002.t003	the	DET	the	
d001.s002.t004	committee	NOUN	committee	bn:00021015n
d001.s002.t005	for	ADP	for	
d001.s002.t006	medicinal	ADJ	medicinal	bn:00106556a
d001.s002.t007	products	NOUN	product	bn:00064584n
d001.s002.t008	for	ADP	for	
d001.s002.t009	human	ADJ	human	bn:00104386a
d001.s002.t010	use	NOUN	use	bn:00030627n
d001.s002.t011	(	PUNCT	(	
d001.s002.t012	chmp	ADV	chmp	bn:00114246r
d001.s002.t013	)	PUNCT	)	
d001.s002.t014	assessed	VERB	assess	bn:00082720v
d001.s002.t015	the	DET	the	
d001.s002.t016	studies	NOUN	study	bn:00074790n
d001.s002.t017	performed	VERB	perform	bn:00091550v
d001.s002.t018	,	PUNCT	,	
d001.s002.t019	to	PART	to	
d001.s002.t020	reach	VERB	reach	bn:00082790v
d001.s002.t021	their	PRON	their	
d001.s002.t022	recommendations	NOUN	recommendation	bn:00066562n
d001.s002.t023	on	ADP	on	
d001.s002.t024	how	SCONJ	how	
d001.s002.t025	to	PART	to	
d001.s002.t026	use	VERB	use	bn:00082705v
d001.s002.t027	the	DET	the	
d001.s002.t028	medicine	NOUN	medicine	bn:00054128n
d001.s002.t029	.	PUNCT	.	
d001.s003.t000	if	SCONJ	if	
d001.s003.t001	you	PRON	you	
d001.s003.t002	need	VERB	need	bn:00082822v
d001.s003.t003	more	ADJ	more	bn:00106936a
d001.s003.t004	information	NOUN	information	bn:00046698n
d001.s003.t005	about	ADP	about	
d001.s003.t006	your	PRON	your	
d001.s003.t007	medical	ADJ	medical	bn:00106555a
d001.s003.t008	condition	NOUN	condition	bn:00021644n
d001.s003.t009	or	CCONJ	or	
d001.s003.t010	your	PRON	your	
d001.s003.t011	treatment	NOUN	treatment	bn:00047235n
d001.s003.t012	,	PUNCT	,	
d001.s003.t013	read	VERB	read	bn:00092424v
d001.s003.t014	the	DET	the	
d001.s003.t015	package	NOUN	package	bn:00060109n
d001.s003.t016	leaflet	NOUN	leaflet	bn:00012133n
d001.s003.t017	(	PUNCT	(	
d001.s003.t018	also	ADV	also	bn:00114246r
d001.s003.t019	part	NOUN	part	bn:00021395n
d001.s003.t020	of	ADP	of	
d001.s003.t021	the	DET	the	
d001.s003.t022	epar	PROPN	epar	
d001.s003.t023	)	PUNCT	)	
d001.s003.t024	or	CCONJ	or	
d001.s003.t025	contact	VERB	contact	bn:00085696v
d001.s003.t026	your	PRON	your	
d001.s003.t027	doctor	NOUN	doctor	bn:00027976n
d001.s003.t028	or	CCONJ	or	
d001.s003.t029	pharmacist	NOUN	pharmacist	bn:00004992n
d001.s003.t030	.	PUNCT	.	
d001.s004.t000	if	SCONJ	if	
d001.s004.t001	you	PRON	you	
d001.s004.t002	want	VERB	want	bn:00086682v
d001.s004.t003	more	ADJ	more	bn:00106935a
d001.s004.t004	information	NOUN	information	bn:00046705n
d001.s004.t005	on	ADP	on	
d001.s004.t006	the	DET	the	
d001.s004.t007	basis	NOUN	basis	bn:00008870n
d001.s004.t008	of	ADP	of	
d001.s004.t009	the	DET	the	
d001.s004.t010	chmp	ADJ	chmp	bn:00099742a
d001.s004.t011	recommendations	NOUN	recommendation	bn:00066562n
d001.s004.t012	,	PUNCT	,	
d001.s004.t013	read	VERB	read	bn:00092424v
d001.s004.t014	the	DET	the	
d001.s004.t015	scientific	ADJ	scientific	bn:00110176a
d001.s004.t016	discussion	NOUN	discussion	bn:00027523n
d001.s004.t017	(	PUNCT	(	
d001.s004.t018	also	ADV	also	bn:00114246r
d001.s004.t019	part	NOUN	part	bn:00021395n
d001.s004.t020	of	ADP	of	
d001.s004.t021	the	DET	the	
d001.s004.t022	epar	PROPN	epar	
d001.s004.t023	)	PUNCT	)	
d001.s004.t024	.	PUNCT	.	
d001.s005.t000	what	PRON	what	
d001.s005.t001	is	AUX	be	
d001.s005.t002	alimta	ADJ	alimta	bn:00097350a
d001.s005.t003	?	PUNCT	?	
d001.s006.t000	alimta	NOUN	alimta	bn:00066070n
d001.s006.t001	is	AUX	be	
d001.s006.t002	a	DET	a	
d001.s006.t003	powder	NOUN	powder	bn:00063926n
d001.s006.t004	that	PRON	that	
