d001.s001.t001	document%1:10:00::
d001.s001.t002	summary%1:10:00::
d001.s001.t003	european%3:01:00::
d001.s001.t004	public%3:00:00::
d001.s001.t005	assessment%1:04:00::
d001.s001.t006	report%1:10:03::
d001.s002.t001	explain%2:32:01::
d001.s002.t002	committee%1:14:00::
d001.s002.t003	medicinal%5:00:00:healthful:00
d001.s002.t004	product%1:06:00::
d001.s002.t005	human%3:01:01::
d001.s002.t006	use%1:04:00::
d001.s002.t007	assess%2:31:00::
d001.s002.t008	study%1:04:00::
d001.s002.t009	perform%2:36:00::
d001.s002.t010	reach%2:38:06::
d001.s002.t011	recommendation%1:10:00::
d001.s002.t012	use%2:34:01::
d001.s002.t013	medicine%1:06:00::
d001.s003.t001	need%2:34:01::
d001.s003.t002	more%3:00:01::
d001.s003.t003	information%1:14:00::
d001.s003.t004	medical%3:00:00::
d001.s003.t005	condition%1:26:05::
d001.s003.t006	treatment%1:04:00::
d001.s003.t007	read%2:31:00::
d001.s003.t008	package%1:14:00::
d001.s003.t009	leaflet%1:10:00::
d001.s003.t010	also%4:02:00::
d001.s003.t011	part%1:09:00::
d001.s003.t012	contact%2:32:00::
d001.s003.t013	doctor%1:18:00::
d001.s003.t014	pharmacist%1:18:00::
d001.s004.t001	want%2:37:00::
d001.s004.t002	more%3:00:01::
d001.s004.t003	information%1:14:00::
d001.s004.t004	basis%1:24:00::
d001.s004.t005	recommendation%1:10:00::
d001.s004.t006	read%2:31:00::
d001.s004.t007	scientific%3:00:00::
d001.s004.t008	discussion%1:10:02::
d001.s004.t009	also%4:02:00::
d001.s004.t010	part%1:09:00::
d001.s006.t001	powder%1:06:01::
d001.s006.t002	make_up%2:42:00::
d001.s006.t003	solution%1:27:00::
d001.s006.t004	infusion%1:04:00::
d001.s006.t005	drip%2:35:10::
d001.s006.t006	vein%1:08:00::
d001.s007.t001	contain%2:42:00::
d001.s007.t002	active%3:00:07::
d001.s007.t003	substance%1:03:01::
d001.s008.t001	use%2:34:01::
d001.s009.t001	use%2:34:01::
d001.s009.t002	treat%2:29:00::
d001.s009.t003	type%1:09:00::
d001.s009.t004	cancer%1:26:00::
d001.s009.t005	pleural%3:01:00::
d001.s009.t006	mesothelioma%1:26:00::
d001.s009.t007	cancer%1:26:00::
d001.s009.t008	lining%1:06:00::
d001.s009.t009	lung%1:08:00::
d001.s009.t010	usually%4:02:00::
d001.s009.t011	cause%2:36:00::
d001.s009.t012	exposure%1:04:01::
d001.s009.t013	asbestos%1:27:00::
d001.s010.t001	use%2:34:01::
d001.s010.t002	together_with%4:02:00::
d001.s010.t003	anticancer%3:01:00::
d001.s010.t004	medicine%1:06:00::
d001.s010.t005	cancer%1:26:00::
d001.s010.t006	remove%2:30:00::
d001.s010.t007	surgery%1:04:01::
d001.s010.t008	alone%5:00:00:exclusive:00
d001.s010.t009	malignant%3:00:02::
d001.s010.t010	spread%2:35:07::
d001.s010.t011	likely%3:00:04::
d001.s010.t012	spread%2:35:07::
d001.s010.t013	easily%4:02:01::
d001.s010.t014	other%3:00:00::
d001.s010.t015	part%1:17:00::
d001.s010.t016	body%1:08:00::
d001.s010.t017	patient%1:18:00::
