ID	Sentence
d000.s000	This document is a summary of the European Public Assessment Report ( EPAR ) .
d000.s001	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .
d000.s002	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .
d000.s003	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .
d000.s004	What is Alimta ?
d000.s005	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .
d000.s006	It contains the active substance pemetrexed .
d000.s007	What is Alimta used for ?
d000.s008	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .
d000.s009	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .
d000.s010	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .
d000.s011	The medicine can only be obtained with a prescription .
d000.s012	How is Alimta used ?
d000.s013	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .
d000.s014	The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) . It is given once every three weeks as an intravenous infusion lasting 10 minutes .
d000.s015	To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .
d000.s016	When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .
d000.s017	Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .
d000.s018	Alimta is not recommended for use in patients with moderate or severe kidney problems .
d000.s019	For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .
d000.s020	How does Alimta work ?
d000.s021	The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .
d000.s022	In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .
d000.s023	How has Alimta been studied ?
d000.s024	For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .
d000.s025	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .
d000.s026	For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .
d000.s027	Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .
d000.s028	In all three studies , the main measure of effectiveness was how long the patients survived .
d000.s029	What benefit has Alimta shown during the studies ?
d000.s030	Alimta increased the survival time of patients with malignant pleural mesothelioma .
d000.s031	Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .
d000.s032	In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .
d000.s033	In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .
d000.s034	In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .
d000.s035	However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .
d000.s036	In contrast , patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta . kalgebra is a mathematical calculator based on content markup MathML language .
d000.s037	Nowadays it is capable to make simple MathML operations ( arithmetic and logical ) and to representate 2D and 3D graphs .
d000.s038	It is actually not necessary to know MathML to use kalgebra . kalgebra is a MathML based graph calculator .
d000.s039	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .
d000.s040	Here 's a screenshot of kalgebra main window kalgebra main window kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .
d000.s041	Below these tabs you will find an input field to type your functions or do your calculations .
d000.s042	If we want to understand how it works , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .
d000.s043	I have based the syntax basically on common sense , it should not be hard for anyone .
d000.s044	I ve looked closely to maxima and maple s syntax so they look very similar . + - * / : Addition , subtraction , multiplication and division . ^ , ** : Power , you can use them both .
d000.s045	Also it is possible to use the unicode ² characters .
