Token ID	Token	Lemma	POS	BN Synset
	This		X
d000.s000.t000	document	document	NOUN	bn:00028015n;wiki:document;wn:document%1:10:00::;wn:papers%1:10:00::;wn:written_document%1:10:00::
	is	be	VERB	
	a		X	
d000.s000.t001	summary	summary	NOUN	bn:00075142n;wiki:summary_(law);wn:sum-up%1:10:00::;wn:summary%1:10:00::
	of		X	
	the		X	
d000.s000.t002	European	european	ADJ	bn:00102440a;wn:european%3:01:00::
d000.s000.t003	Public	public	ADJ	bn:00109211a;wn:public%3:00:00::
d000.s000.t004	Assessment	assessment	NOUN	bn:00006502n;wn:assessment%1:04:00::;wn:judgement%1:04:02::;wn:judgment%1:04:02::
d000.s000.t005	Report	report	NOUN	bn:00067181n;wiki:report;wn:report%1:10:03::;wn:study%1:10:00::;wn:written_report%1:10:00::
	(		X	
	EPAR	epar	NOUN	
	)		X	
	.		X	
	-end-		X	
	It		X	
d000.s001.t000	explains	explain	VERB	bn:00087869v;bn:00087870v;wn:explain%2:32:00::;wn:explain%2:32:01::;wn:explicate%2:32:00::
	how		X	
	the		X	
d000.s001.t001	Committee	committee	NOUN	bn:00021015n;wiki:committee;wn:commission%1:14:00::;wn:committee%1:14:00::
	for		X	
d000.s001.t002	Medicinal	medicinal	ADJ	bn:00106556a;wn:medicative%5:00:00:healthful:00;wn:medicinal%5:00:00:healthful:00
d000.s001.t003	Products	product	NOUN	bn:00064584n;bn:01740339n;wiki:product_(business);wn:product%1:06:00::;wn:production%1:06:00::
	for		X	
d000.s001.t004	Human	human	ADJ	bn:00104385a;wn:human%3:01:01::
d000.s001.t005	Use	use	NOUN	bn:00030627n;bn:00079370n;wn:employment%1:04:01::;wn:exercise%1:04:03::;wn:usage%1:04:00::;wn:use%1:04:00::;wn:use%1:07:02::;wn:utilisation%1:04:00::;wn:utilization%1:04:00::
	(		X	
	CHMP	chmp	NOUN	
	)		X	
d000.s001.t006	assessed	assess	VERB	bn:00082720v;wn:appraise%2:31:01::;wn:assess%2:31:00::;wn:evaluate%2:31:00::;wn:measure%2:31:01::;wn:valuate%2:31:00::;wn:value%2:31:00::
	the		X	
d000.s001.t007	studies	study	NOUN	bn:00074790n;wn:study%1:04:00::;wn:survey%1:04:02::
d000.s001.t008	performed	perform	VERB	bn:00087107v;wn:do%2:36:01::;wn:execute%2:36:01::;wn:perform%2:36:00::
	,		X	
	to		X	
d000.s001.t009	reach	reach	VERB	bn:00082226v;bn:00088789v;wn:accomplish%2:41:00::;wn:achieve%2:41:00::;wn:attain%2:41:00::;wn:get_to%2:38:02::;wn:make%2:38:02::;wn:progress_to%2:38:00::;wn:reach%2:38:06::;wn:reach%2:41:00::
	their		X	
d000.s001.t010	recommendations	recommendation	NOUN	bn:00066562n;wn:recommendation%1:10:00::
	on		X	
	how		X	
	to		X	
d000.s001.t011	use	use	VERB	bn:00082705v;bn:00089140v;wn:apply%2:34:00::;wn:employ%2:34:00::;wn:habituate%2:34:00::;wn:use%2:34:01::;wn:use%2:34:02::;wn:utilise%2:34:00::;wn:utilize%2:34:00::
	the		X	
d000.s001.t012	medicine	medicine	NOUN	bn:00054128n;bn:00061887n;wiki:pharmaceutical_drug;wn:medicament%1:06:00::;wn:medication%1:06:00::;wn:medicinal_drug%1:06:00::;wn:medicine%1:06:00::;wn:pharmaceutic%1:06:00::;wn:pharmaceutical%1:06:00::
	.		X	
	-end-		X	
	If		X	
	you		X	
d000.s002.t000	need	need	VERB	bn:00091028v;bn:00091029v;wn:need%2:34:00::;wn:need%2:34:01::;wn:require%2:34:00::;wn:want%2:34:00::
d000.s002.t001	more	more	ADJ	bn:00106935a;wn:more%3:00:01::;wn:more_than%3:00:00::
d000.s002.t002	information	information	NOUN	bn:00025314n;bn:00046705n;wiki:data;wiki:information;wn:data%1:14:00::;wn:information%1:09:00::;wn:information%1:14:00::
	about		X	
	your		X	
d000.s002.t003	medical	medical	ADJ	bn:00106555a;wn:medical%3:00:00::
d000.s002.t004	condition	condition	NOUN	bn:00021648n;wn:condition%1:26:05::
	or		X	
	your		X	
d000.s002.t005	treatment	treatment	NOUN	bn:00047235n;wn:intervention%1:04:02::;wn:treatment%1:04:00::
	,		X	
d000.s002.t006	read	read	VERB	bn:00092424v;wn:read%2:31:00::
	the		X	
d000.s002.t007	Package	package	NOUN	bn:00013882n;bn:00060109n;wiki:packaging_and_labeling;wiki:parcel_(consignment);wn:bundle%1:14:00::;wn:package%1:06:00::;wn:package%1:14:00::;wn:packet%1:14:00::;wn:parcel%1:06:00::;wn:parcel%1:14:00::
d000.s002.t008	Leaflet	leaflet	NOUN	bn:00012133n;wiki:folded_leaflet;wiki:pamphlet;wn:booklet%1:10:00::;wn:brochure%1:10:00::;wn:folder%1:10:00::;wn:leaflet%1:10:00::;wn:pamphlet%1:10:01::
	(		X	
d000.s002.t009	also	also	ADV	bn:00114246r;wn:also%4:02:00::;wn:as_well%4:02:01::;wn:besides%4:02:03::;wn:likewise%4:02:01::;wn:too%4:02:01::
d000.s002.t010	part	part	NOUN	bn:00021395n;bn:00027912n;wn:component%1:24:00::;wn:component_part%1:24:00::;wn:constituent%1:24:00::;wn:division%1:09:00::;wn:part%1:09:00::;wn:part%1:24:00::;wn:portion%1:24:00::;wn:section%1:09:00::
	of		X	
	the		X	
	EPAR	epar	NOUN	
	)		X	
	or		X	
d000.s002.t011	contact	contact	VERB	bn:00085696v;wn:contact%2:32:00::;wn:get_hold_of%2:32:00::;wn:get_through%2:32:00::;wn:reach%2:32:00::
	your		X	
d000.s002.t012	doctor	doctor	NOUN	bn:00027976n;wiki:physician;wn:doc%1:18:00::;wn:doctor%1:18:00::;wn:dr.%1:18:00::;wn:md%1:18:00::;wn:medico%1:18:00::;wn:physician%1:18:00::
	or		X	
d000.s002.t013	pharmacist	pharmacist	NOUN	bn:00004992n;wiki:apothecary;wiki:pharmacist;wn:apothecary%1:18:00::;wn:chemist%1:18:01::;wn:druggist%1:18:00::;wn:pharmacist%1:18:00::;wn:pill_pusher%1:18:00::;wn:pill_roller%1:18:00::
	.		X	
	-end-		X	
	If		X	
	you		X	
d000.s003.t000	want	want	VERB	bn:00086682v;wn:desire%2:37:00::;wn:want%2:37:00::
d000.s003.t001	more	more	ADJ	bn:00106935a;wn:more%3:00:01::;wn:more_than%3:00:00::
d000.s003.t002	information	information	NOUN	bn:00025314n;bn:00046705n;wiki:data;wiki:information;wn:data%1:14:00::;wn:information%1:09:00::;wn:information%1:14:00::
	on		X	
	the		X	
d000.s003.t003	basis	basis	NOUN	bn:00008786n;bn:00008870n;wn:base%1:09:00::;wn:basis%1:09:00::;wn:basis%1:24:00::;wn:cornerstone%1:09:00::;wn:footing%1:24:00::;wn:foundation%1:09:00::;wn:fundament%1:09:00::;wn:ground%1:24:00::;wn:groundwork%1:09:00::
	of		X	
	the		X	
	CHMP	chmp	NOUN	
d000.s003.t004	recommendations	recommendation	NOUN	bn:00066562n;wn:recommendation%1:10:00::
	,		X	
d000.s003.t005	read	read	VERB	bn:00092424v;wn:read%2:31:00::
	the		X	
d000.s003.t006	Scientific	scientific	ADJ	bn:00110175a;bn:00110176a;wn:scientific%3:00:00::;wn:scientific%3:01:00::
d000.s003.t007	Discussion	discussion	NOUN	bn:00027523n;wiki:discourse;wn:discourse%1:10:00::;wn:discussion%1:10:02::;wn:treatment%1:10:00::
	(		X	
d000.s003.t008	also	also	ADV	bn:00114246r;wn:also%4:02:00::;wn:as_well%4:02:01::;wn:besides%4:02:03::;wn:likewise%4:02:01::;wn:too%4:02:01::
d000.s003.t009	part	part	NOUN	bn:00021395n;bn:00027912n;wn:component%1:24:00::;wn:component_part%1:24:00::;wn:constituent%1:24:00::;wn:division%1:09:00::;wn:part%1:09:00::;wn:part%1:24:00::;wn:portion%1:24:00::;wn:section%1:09:00::
	of		X	
	the		X	
	EPAR	epar	NOUN	
	)		X	
	.		X	
	-end-		X	
	What		X	
	is	be	VERB	
	Alimta	alimta	NOUN	
	?		X	
	-end-		X	
	Alimta	alimta	NOUN	
	is	be	VERB	
	a		X	
d000.s005.t000	powder	powder	NOUN	bn:00063926n;bn:00063927n;wiki:powder_(substance);wn:powder%1:06:01::;wn:powder%1:27:00::;wn:pulverisation%1:27:00::;wn:pulverization%1:27:00::
	that		X	
	is	be	VERB	
d000.s005.t001	made up	make up	VERB	bn:00083187v;wn:be%2:42:02::;wn:comprise%2:42:03::;wn:constitute%2:42:00::;wn:make_up%2:42:00::;wn:represent%2:42:00::
	into		X	
	a		X	
d000.s005.t002	solution	solution	NOUN	bn:00072760n;wiki:solution;wn:solution%1:27:00::
	for		X	
d000.s005.t003	infusion	infusion	NOUN	bn:00046734n;wn:infusion%1:04:00::
	(		X	
