Token ID	Token	POS	Lemma	BN Synset
d001.s001.t000	این	DET	این	
d001.s001.t001	سند	NOUN	سند	bn:00028015n
d001.s001.t002	خلاصه‌ای	NOUN	خلاصه	bn:00067409n
d001.s001.t003	از	ADP	از	
d001.s001.t004	گزارش	NOUN	گزارش	bn:00067181n
d001.s001.t005	ارزیابی	NOUN	ارزیابی	bn:00031973n
d001.s001.t006	عمومی	ADJ	عمومی	bn:00109211a
d001.s001.t007	اروپا	PROPN	اروپا	
d001.s001.t008	(	PUNCT	(	
d001.s001.t009	epar	PROPN	epar	
d001.s001.t010	)	PUNCT	)	
d001.s001.t011	است	AUX	#است	
d001.s001.t012	.	PUNCT	.	
d001.s002.t000	این	PRON	این	
d001.s002.t001	توضیح	NOUN	توضیح	bn:00032328n
d001.s002.t002	می‌دهد	VERB	داد#ده	bn:00082276v
d001.s002.t003	که	SCONJ	که	
d001.s002.t004	چگونه	ADV	چگونه	bn:00115235r
d001.s002.t005	کمیته	NOUN	کمیته	bn:00021015n
d001.s002.t006	محصولات	NOUN	محصول	bn:00037326n
d001.s002.t007	دارویی	ADJ	دارویی	bn:00108518a
d001.s002.t008	برای	ADP	برای	
d001.s002.t009	استفاده	NOUN	استفاده	bn:00030627n
d001.s002.t010	انسانی	ADJ	انسانی	bn:00044576n
d001.s002.t011	(	PUNCT	(	
d001.s002.t012	chmp	PROPN	chmp	
d001.s002.t013	)	PUNCT	)	
d001.s002.t014	مطالعات	NOUN	مطالعه	bn:00061758n
d001.s002.t015	انجام‌شده	ADJ	انجام‌شده	bn:00096397a
d001.s002.t016	را	ADP	را	
d001.s002.t017	ارزیابی	NOUN	ارزیابی	bn:00031973n
d001.s002.t018	کرده	VERB	کرد#کن	bn:00085686v
d001.s002.t019	تا	SCONJ	تا	
d001.s002.t020	به	ADP	به	
d001.s002.t021	توصیه‌های	NOUN	توصیه	bn:00066562n
d001.s002.t022	خود	PRON	خود	
d001.s002.t023	در	ADP	در	
d001.s002.t024	مورد	NOUN	مورد	bn:00032099n
d001.s002.t025	نحوه	NOUN	نحوه	bn:00032286n
d001.s002.t026	استفاده	NOUN	استفاده	bn:00030627n
d001.s002.t027	از	ADP	از	
d001.s002.t028	دارو	NOUN	دارو	bn:00028872n
d001.s002.t029	برسد	VERB	رسید#رس	bn:00085906v
d001.s002.t030	.	PUNCT	.	
d001.s003.t000	اگر	SCONJ	اگر	
d001.s003.t001	به	ADP	به	
