Start Sense
f001.s001.t002 bn:00028015n
f001.s001.t003 bn:00075142n
f001.s001.t005 bn:00067181n
f001.s001.t006 bn:00006502n
f001.s001.t007 bn:00109211a
f001.s001.t008 bn:00031896n
f001.s002.t002 bn:00087869v
f001.s002.t003 bn:00087869v
f001.s002.t006 bn:00021015n
f001.s002.t007 bn:00064584n
f001.s002.t008 bn:00106556a
f001.s002.t010 bn:00030627n
f001.s002.t011 bn:00104385a
f001.s002.t013 bn:00302314n
f001.s002.t015 bn:00074790n
f001.s002.t016 bn:00087107v
f001.s002.t018 bn:00082720v
f001.s002.t019 bn:00082720v
f001.s002.t022 bn:00066562n
f001.s002.t027 bn:00082705v
f001.s002.t029 bn:00054128n
f001.s002.t030 bn:00082226v
f001.s003.t003 bn:00025314n
f001.s003.t004 bn:00106935a
f001.s003.t007 bn:00021648n
f001.s003.t008 bn:00106555a
f001.s003.t010 bn:00047235n
f001.s003.t012 bn:00091028v
f001.s003.t015 bn:00012133n
f001.s003.t016 bn:00013882n
f001.s003.t017 bn:00013882n
f001.s003.t019 bn:00114246r
f001.s003.t020 bn:00021395n
f001.s003.t025 bn:00092424v
f001.s003.t028 bn:00027976n
f001.s003.t030 bn:00004992n
f001.s003.t032 bn:00085696v
f001.s004.t003 bn:00008786n
f001.s004.t004 bn:00066562n
f001.s004.t005 bn:00302314n
f001.s004.t006 bn:00025314n
f001.s004.t007 bn:00106935a
f001.s004.t008 bn:00086682v
f001.s004.t010 bn:00027523n
f001.s004.t011 bn:00110175a
f001.s004.t013 bn:00114246r
f001.s004.t014 bn:00021395n
f001.s004.t019 bn:00092424v
f001.s005.t001 bn:00602447n
f001.s006.t001 bn:00602447n
f001.s006.t002 bn:00063926n
f001.s006.t007 bn:00072760n
f001.s006.t009 bn:00046734n
f001.s006.t011 bn:00028709n
f001.s006.t013 bn:00011396n
f001.s006.t015 bn:00083187v
f001.s007.t001 bn:00085499v
f001.s007.t002 bn:00074986n
f001.s007.t003 bn:00096387a
f001.s007.t004 bn:00602447n
f001.s007.t005 bn:00085499v
f001.s008.t001 bn:00602447n
f001.s008.t005 bn:00082705v
f001.s009.t001 bn:00602447n
f001.s009.t003 bn:00084532v
f001.s009.t005 bn:00078798n
f001.s009.t006 bn:00015180n
f001.s009.t007 bn:00082705v
f001.s009.t010 bn:00054512n
f001.s009.t011 bn:00108692a
f001.s009.t013 bn:00015180n
f001.s009.t014 bn:00051366n
f001.s009.t015 bn:00052341n
f001.s009.t017 bn:00114778r
f001.s009.t023 bn:00032379n
f001.s009.t024 bn:00006236n
f001.s009.t025 bn:00084069v
f001.s010.t001 bn:00602447n
f001.s010.t004 bn:00577781n
f001.s010.t005 bn:00577781n
f001.s010.t010 bn:00054128n
f001.s010.t011 bn:00097220a
f001.s010.t012 bn:00097220a
f001.s010.t016 bn:00015180n
f001.s010.t021 bn:00096871a
f001.s010.t023 bn:00059129n
f001.s010.t025 bn:00092783v
f001.s010.t029 bn:00106363a
f001.s010.t032 bn:00108011a
f001.s010.t033 bn:00021395n
f001.s010.t034 bn:00011744n
f001.s010.t035 bn:00092083v
f001.s010.t037 bn:00105981a
f001.s010.t039 bn:00115155r
f001.s010.t040 bn:00092083v
f001.s010.t043 bn:00082705v
f001.s010.t046 bn:00018141n
f001.s010.t048 bn:00054128n
f001.s010.t049 bn:00015180n
f001.s010.t054 bn:00015180n
f001.s010.t055 bn:00052341n
f001.s010.t056 bn:00017027n
f001.s010.t059 bn:00096528a
f001.s010.t061 bn:00106664a
f001.s010.t062 bn:00087863v
f001.s010.t066 bn:00017027n
f001.s010.t068 bn:00082427v
f001.s010.t069 bn:00082427v
f001.s011.t001 bn:00602447n
f001.s011.t003 bn:00020872n
f001.s011.t005 bn:00577781n
f001.s011.t006 bn:00577781n
f001.s011.t008 bn:00061017n
f001.s011.t012 bn:00084532v
f001.s011.t014 bn:00116360r
f001.s011.t019 bn:00061017n
f001.s011.t022 bn:00060927n
f001.s011.t023 bn:00078798n
f001.s011.t026 bn:00018141n
f001.s011.t028 bn:00087863v
f001.s011.t030 bn:00082705v
f001.s012.t001 bn:00054128n
f001.s012.t002 bn:00116450r
f001.s012.t004 bn:00064195n
f001.s012.t005 bn:00082276v
f001.s012.t006 bn:00082276v
f001.s013.t001 bn:00602447n
f001.s013.t003 bn:00082705v
f001.s014.t001 bn:00602447n
f001.s014.t002 bn:00116450r
f001.s014.t005 bn:00059908n
f001.s014.t006 bn:00027976n
f001.s014.t009 bn:00030627n
f001.s014.t011 bn:00018141n
f001.s014.t012 bn:00097220a
f001.s014.t013 bn:00097220a
f001.s014.t014 bn:00088826v
f001.s015.t001 bn:00028320n
f001.s015.t002 bn:00084373v
f001.s015.t003 bn:00602447n
f001.s015.t005 bn:00054701n
f001.s015.t009 bn:00052501n
f001.s015.t010 bn:00070132n
f001.s015.t012 bn:00075374n
f001.s015.t013 bn:00011744n
f001.s015.t015 bn:00084373v
f001.s015.t016 bn:00114629r
f001.s015.t017 bn:00043545n
f001.s015.t019 bn:00080831n
f001.s015.t020 bn:00061017n
f001.s016.t001 bn:00102467a
f001.s016.t003 bn:00043484n
f001.s016.t004 bn:00115811r
f001.s016.t007 bn:00046734n
f001.s016.t009 bn:00087620v
f001.s016.t011 bn:00087620v
f001.s016.t013 bn:00055094n
f001.s016.t014 bn:00088826v
f001.s017.t002 bn:00084079v
f001.s017.t003 bn:00029874n
f001.s017.t006 bn:00061017n
f001.s017.t008 bn:00001507n
f001.s017.t010 bn:00000902n
f001.s017.t013 bn:00078798n
f001.s017.t014 bn:00080147n
f001.s017.t016 bn:00085689v
f001.s017.t021 bn:00047235n
f001.s017.t023 bn:00602447n
f001.s017.t025 bn:00080147n
f001.s017.t029 bn:00046785n
f001.s018.t002 bn:00602447n
f001.s018.t004 bn:00577781n
f001.s018.t005 bn:00577781n
f001.s018.t006 bn:00088826v
f001.s018.t009 bn:00054128n
f001.s018.t014 bn:00088454v
f001.s018.t016 bn:00083115v
f001.s018.t019 bn:00035426n
f001.s018.t022 bn:00088454v
f001.s018.t024 bn:00025983n
f001.s018.t025 bn:00025983n
f001.s018.t026 bn:00025983n
f001.s018.t028 bn:00114246r
f001.s018.t030 bn:00114512r
f001.s018.t032 bn:00114165r
f001.s018.t034 bn:00028320n
f001.s018.t035 bn:00577781n
f001.s018.t036 bn:00577781n
f001.s018.t037 bn:00088826v
f001.s019.t002 bn:00061017n
f001.s019.t004 bn:00023139n
f001.s019.t005 bn:00011346n
f001.s019.t007 bn:00096158a
f001.s019.t010 bn:00029874n
f001.s019.t011 bn:00023139n
f001.s019.t012 bn:00099474a
f001.s019.t013 bn:00088745v
f001.s019.t015 bn:00047235n
f001.s019.t018 bn:00086514v
f001.s019.t021 bn:00083908v
f001.s019.t024 bn:00028320n
f001.s019.t025 bn:00084079v
f001.s020.t001 bn:00030627n
f001.s020.t003 bn:00602447n
f001.s020.t005 bn:00061017n
f001.s020.t007 bn:00106826a
f001.s020.t008 bn:00048242n
f001.s020.t009 bn:00049083n
f001.s020.t010 bn:00106826a
f001.s020.t012 bn:00110473a
f001.s020.t013 bn:00082418v
f001.s020.t014 bn:00116360r
f001.s021.t002 bn:00025314n
f001.s021.t003 bn:00106935a
f001.s021.t006 bn:00075142n
f001.s021.t008 bn:00064584n
f001.s021.t010 bn:00114246r
f001.s021.t011 bn:00021395n
f001.s021.t016 bn:00087787v
f001.s022.t001 bn:00602447n
f001.s023.t001 bn:00074986n
f001.s023.t002 bn:00096387a
f001.s023.t003 bn:00602447n
f001.s023.t005 bn:00602447n
f001.s023.t008 bn:00054128n
f001.s023.t009 bn:00100866a
f001.s023.t011 bn:00054128n
f001.s023.t013 bn:00017027n
f001.s023.t016 bn:00087100v
f001.s023.t018 bn:00017027n
f001.s023.t019 bn:00015180n
f001.s023.t022 bn:00090098v
f001.s023.t023 bn:00090098v
f001.s023.t028 bn:00018111n
f001.s023.t029 bn:00004691n
f001.s023.t030 bn:00083389v
f001.s023.t031 bn:00083389v
f001.s024.t002 bn:00011744n
f001.s024.t004 bn:00602447n
f001.s024.t006 bn:00035913n
f001.s024.t007 bn:00096382a
f001.s024.t008 bn:00085761v
f001.s024.t009 bn:00085761v
f001.s024.t011 bn:00001130n
f001.s024.t012 bn:00031085n
f001.s024.t016 bn:00084082v
f001.s024.t017 bn:00008788n
f001.s024.t018 bn:00089893v
f001.s024.t021 bn:00013726n
f001.s024.t022 bn:00013726n
f001.s024.t023 bn:00026301n
f001.s024.t025 bn:00067714n
f001.s024.t027 bn:00053801n
f001.s024.t028 bn:00103522a
f001.s024.t029 bn:00017027n
f001.s024.t032 bn:00083623v
f001.s024.t033 bn:00083623v
