f001.s001.t002 bn:00028015n
f001.s001.t003 bn:00067409n
f001.s001.t005 bn:00067181n
f001.s001.t006 bn:00031973n
f001.s001.t007 bn:00109211a
f001.s002.t002 bn:00032328n
f001.s002.t003 bn:00082276v
f001.s002.t005 bn:00115235r
f001.s002.t006 bn:00021015n
f001.s002.t007 bn:00037326n
f001.s002.t008 bn:00108518a
f001.s002.t010 bn:00030627n
f001.s002.t011 bn:00044576n
f001.s002.t015 bn:00061758n
f001.s002.t016 bn:00096397a
f001.s002.t018 bn:00031973n
f001.s002.t019 bn:00085686v
f001.s002.t022 bn:00066562n
f001.s002.t025 bn:00032099n
f001.s002.t026 bn:00032286n
f001.s002.t029 bn:00028872n
f001.s002.t030 bn:00085906v
f001.s003.t003 bn:00025314n
f001.s003.t004 bn:00106124a
f001.s003.t006 bn:00032099n
f001.s003.t007 bn:00063703n
f001.s003.t008 bn:00106554a
f001.s003.t010 bn:00066729n
f001.s003.t012 bn:00026107n
f001.s003.t013 bn:00084526v
f001.s003.t015 bn:00012133n
f001.s003.t016 bn:00099878a
f001.s003.t017 bn:00060556n
f001.s003.t019 bn:00114246r
f001.s003.t020 bn:00060633n
f001.s003.t025 bn:00085686v
f001.s003.t028 bn:00027976n
f001.s003.t030 bn:00004992n
f001.s003.t032 bn:00026265n
f001.s003.t033 bn:00082817v
f001.s004.t003 bn:00008786n
f001.s004.t004 bn:00066562n
f001.s004.t006 bn:00046705n
f001.s004.t007 bn:00102794a
f001.s004.t008 bn:00086682v
f001.s004.t010 bn:00027523n
f001.s004.t011 bn:00110176a
f001.s004.t013 bn:00114246r
f001.s004.t014 bn:00060633n
f001.s004.t019 bn:00085686v
f001.s005.t001 bn:00004467n
f001.s006.t001 bn:00006898n
f001.s006.t002 bn:00102977a
f001.s006.t006 bn:00032600n
f001.s006.t007 bn:00072760n
f001.s006.t009 bn:00022107n
f001.s006.t011 bn:00008127n
f001.s006.t013 bn:00011396n
f001.s007.t001 bn:00098521a
f001.s007.t002 bn:00053867n
f001.s007.t003 bn:00096392a
f001.s007.t004 bn:00101301a
f001.s008.t004 bn:00016401n
f001.s008.t005 bn:00030627n
f001.s008.t006 bn:00082907v
f001.s009.t003 bn:00024461n
f001.s009.t005 bn:00033729n
f001.s009.t006 bn:00015180n
f001.s009.t007 bn:00030627n
f001.s009.t008 bn:00082907v
f001.s009.t010 bn:00054512n
f001.s009.t011 bn:00063016n
f001.s009.t014 bn:00023361n
f001.s009.t015 bn:00052341n
f001.s009.t017 bn:00114778r
f001.s009.t019 bn:00029888n
f001.s009.t020 bn:00080504n
f001.s009.t021 bn:00019475n
f001.s009.t023 bn:00032375n
f001.s009.t024 bn:00006236n
f001.s009.t025 bn:00023652n
f001.s010.t001 bn:00026905n
f001.s010.t002 bn:00096273a
f001.s010.t004 bn:00076843n
f001.s010.t005 bn:00006910n
f001.s010.t007 bn:00000005n
f001.s010.t008 bn:00108011a
f001.s010.t010 bn:00028872n
f001.s010.t012 bn:00015180n
f001.s010.t014 bn:00077270n
f001.s010.t017 bn:00112497a
f001.s010.t018 bn:00043090n
f001.s010.t021 bn:00026574n
f001.s010.t023 bn:00059129n
f001.s010.t024 bn:00108829a
f001.s010.t025 bn:00000330n
f001.s010.t029 bn:00057267n
f001.s010.t032 bn:00051760n
f001.s010.t033 bn:00000903n
f001.s010.t034 bn:00011744n
f001.s010.t035 bn:00096661a
f001.s010.t037 bn:00116211r
f001.s010.t039 bn:00020913n
f001.s010.t040 bn:00027051n
f001.s010.t043 bn:00030627n
f001.s010.t044 bn:00085337v
f001.s010.t046 bn:00018141n
f001.s010.t055 bn:00052341n
f001.s010.t056 bn:00017027n
f001.s010.t057 bn:00057976n
f001.s010.t058 bn:00098029a
f001.s010.t059 bn:00106719a
f001.s010.t061 bn:00054585n
f001.s010.t062 bn:00061505n
f001.s010.t063 bn:00084374v
f001.s010.t066 bn:00017027n
f001.s010.t067 bn:00073708n
f001.s010.t068 bn:00021961n
f001.s010.t069 bn:00085337v
f001.s011.t003 bn:00075743n
f001.s011.t005 bn:00046516n
f001.s011.t006 bn:00006910n
f001.s011.t008 bn:00001742n
f001.s011.t010 bn:00114185r
f001.s011.t012 bn:00024461n
f001.s011.t013 bn:00080504n
f001.s011.t014 bn:00082907v
f001.s011.t017 bn:00026574n
f001.s011.t022 bn:00060927n
f001.s011.t023 bn:00033729n
f001.s011.t024 bn:00108011a
f001.s011.t026 bn:00018141n
f001.s011.t028 bn:00026631n
f001.s011.t029 bn:00082907v
f001.s011.t030 bn:00030627n
f001.s011.t031 bn:00088912v
f001.s012.t001 bn:00028872n
f001.s012.t002 bn:00114234r
f001.s012.t004 bn:00029773n
f001.s012.t005 bn:00109211a
f001.s012.t006 bn:00064570n
f001.s013.t002 bn:00114790r
f001.s013.t003 bn:00079404n
f001.s013.t004 bn:00082907v
f001.s014.t002 bn:00114234r
f001.s014.t005 bn:00079569n
f001.s014.t006 bn:00027976n
f001.s014.t007 bn:00096445a
f001.s014.t009 bn:00030627n
f001.s014.t011 bn:00018141n
f001.s014.t013 bn:00015180n
f001.s014.t014 bn:00076647n
f001.s014.t015 bn:00085337v
f001.s015.t001 bn:00028320n
f001.s015.t002 bn:00107182a
f001.s015.t003 bn:00008547n
f001.s015.t005 bn:00054701n
f001.s015.t007 bn:00001938n
f001.s015.t009 bn:00052501n
f001.s015.t010 bn:00070132n
f001.s015.t012 bn:00075250n
f001.s015.t013 bn:00011744n
f001.s015.t015 bn:00014689n
f001.s015.t017 bn:00043545n
f001.s015.t019 bn:00080831n
f001.s015.t020 bn:00108344a
f001.s016.t003 bn:00043484n
f001.s016.t004 bn:00106124a
f001.s016.t006 bn:00032600n
f001.s016.t007 bn:00046763n
f001.s016.t008 bn:00011396n
f001.s016.t009 bn:00079681n
f001.s016.t011 bn:00029170n
f001.s016.t013 bn:00055094n
f001.s016.t014 bn:00076647n
f001.s016.t015 bn:00085337v
f001.s017.t002 bn:00025777n
f001.s017.t003 bn:00000690n
f001.s017.t004 bn:00105762a
f001.s017.t006 bn:00001742n
f001.s017.t008 bn:00001507n
f001.s017.t010 bn:00000902n
f001.s017.t011 bn:00006850n
f001.s017.t013 bn:00073211n
f001.s017.t014 bn:00080147n
f001.s017.t016 bn:00030627n
f001.s017.t017 bn:00089241v
f001.s017.t020 bn:00050662n
f001.s017.t021 bn:00076843n
f001.s017.t023 bn:00040805n
f001.s017.t026 bn:00007598n
f001.s017.t027 bn:00000020n
f001.s017.t029 bn:00011394n
f001.s018.t001 bn:00021286n
f001.s018.t002 bn:00003700n
f001.s018.t004 bn:00000471n
f001.s018.t005 bn:00006910n
f001.s018.t006 bn:00028320n
f001.s018.t007 bn:00085337v
f001.s018.t009 bn:00054128n
f001.s018.t011 bn:00027565n
f001.s018.t014 bn:00008467n
f001.s018.t019 bn:00051472n
f001.s018.t024 bn:00034197n
f001.s018.t025 bn:00098606a
f001.s018.t026 bn:00011744n
f001.s018.t028 bn:00114246r
f001.s018.t034 bn:00028320n
f001.s018.t038 bn:00085337v
f001.s019.t002 bn:00001742n
f001.s019.t004 bn:00023140n
f001.s019.t005 bn:00011346n
f001.s019.t007 bn:00100895a
f001.s019.t010 bn:00000690n
f001.s019.t011 bn:00105762a
f001.s019.t012 bn:00111001a
f001.s019.t013 bn:00082233v
f001.s019.t015 bn:00076843n
f001.s019.t018 bn:00026014n
f001.s019.t019 bn:00085337v
f001.s019.t021 bn:00059753n
f001.s019.t022 bn:00093287v
f001.s019.t024 bn:00028320n
f001.s019.t025 bn:00025777n
f001.s019.t026 bn:00085337v
f001.s020.t001 bn:00030627n
f001.s020.t005 bn:00001742n
f001.s020.t006 bn:00103595a
f001.s020.t008 bn:00048242n
f001.s020.t009 bn:00108724a
f001.s020.t010 bn:00106548a
f001.s020.t012 bn:00105251a
f001.s020.t013 bn:00066562n
f001.s020.t014 bn:00082907v
f001.s021.t002 bn:00046705n
f001.s021.t003 bn:00108011a
f001.s021.t006 bn:00067409n
f001.s021.t007 bn:00077930n
f001.s021.t008 bn:00019980n
f001.s021.t010 bn:00114246r
f001.s021.t011 bn:00060633n
f001.s021.t015 bn:00066595n
f001.s021.t016 bn:00085450v
f001.s022.t002 bn:00115335r
f001.s022.t003 bn:00058568n
f001.s022.t004 bn:00083081v
f001.s023.t001 bn:00053867n
f001.s023.t002 bn:00096392a
f001.s023.t008 bn:00054128n
f001.s023.t009 bn:00024920n
f001.s023.t011 bn:00108519a
f001.s023.t013 bn:00017027n
f001.s023.t015 bn:00043358n
f001.s023.t016 bn:00027919n
f001.s023.t019 bn:00015180n
f001.s023.t022 bn:00049099n
f001.s023.t023 bn:00084554v
f001.s023.t028 bn:00018111n
f001.s023.t029 bn:00057971n
f001.s023.t030 bn:00003893n
f001.s023.t031 bn:00085337v
f001.s024.t002 bn:00011744n
f001.s024.t006 bn:00035909n
f001.s024.t007 bn:00096392a
f001.s024.t008 bn:00077989n
f001.s024.t009 bn:00085337v
f001.s024.t011 bn:00001174n
f001.s024.t012 bn:00031085n
f001.s024.t016 bn:00032594n
f001.s024.t017 bn:00008788n
f001.s024.t018 bn:00015764n
f001.s024.t019 bn:00085337v
f001.s024.t021 bn:00007533n
f001.s024.t022 bn:00103229a
f001.s024.t027 bn:00053867n
f001.s024.t028 bn:00104971a
f001.s024.t029 bn:00017027n
f001.s024.t032 bn:00047957n
f001.s024.t033 bn:00085337v
f001.s025.t002 bn:00114790r
f001.s025.t004 bn:00061758n
f001.s025.t005 bn:00080504n
f001.s026.t002 bn:00024461n
f001.s026.t003 bn:00054512n
f001.s026.t010 bn:00061758n
f001.s026.t011 bn:00107593a
f001.s026.t013 bn:00067970n
f001.s026.t015 bn:00001742n
f001.s026.t017 bn:00114185r
f001.s026.t018 bn:00018141n
f001.s026.t020 bn:00027546n
f001.s026.t022 bn:00066489n
f001.s026.t026 bn:00042823n
f001.s026.t027 bn:00080504n
f001.s026.t028 bn:00082477v
f001.s027.t001 bn:00001740n
f001.s027.t002 bn:00014207n
f001.s027.t004 bn:00001466n
f001.s027.t006 bn:00076843n
f001.s027.t007 bn:00006910n
f001.s027.t012 bn:00026574n
f001.s027.t013 bn:00021297n
f001.s027.t014 bn:00082596v
f001.s028.t002 bn:00024461n
f001.s028.t003 bn:00015180n
f001.s028.t004 bn:00052341n
f001.s028.t005 bn:00017027n
f001.s028.t006 bn:00057897n
f001.s028.t007 bn:00098029a
f001.s028.t009 bn:00001740n
f001.s028.t010 bn:00097031a
f001.s028.t013 bn:00097173a
f001.s028.t016 bn:00028872n
f001.s028.t019 bn:00108011a
f001.s028.t023 bn:00061758n
f001.s028.t025 bn:00104728a
f001.s028.t027 bn:00001742n
f001.s028.t028 bn:00103595a
f001.s028.t030 bn:00027546n
f001.s028.t031 bn:00100896a
f001.s028.t032 bn:00106110a
f001.s028.t034 bn:00054585n
f001.s028.t038 bn:00060927n
f001.s028.t039 bn:00018141n
f001.s028.t042 bn:00021297n
f001.s028.t043 bn:00083185v
f001.s029.t002 bn:00114246r
f001.s029.t004 bn:00068033n
f001.s029.t006 bn:00000005n
f001.s029.t007 bn:00108011a
f001.s029.t009 bn:00028872n
f001.s029.t011 bn:00015180n
f001.s029.t015 bn:00012596n
f001.s029.t017 bn:00020877n
f001.s029.t019 bn:00046516n
f001.s029.t020 bn:00006910n
f001.s029.t023 bn:00061758n
f001.s029.t024 bn:00104728a
f001.s029.t026 bn:00001742n
f001.s029.t029 bn:00060927n
f001.s029.t030 bn:00018141n
f001.s029.t033 bn:00052341n
f001.s029.t034 bn:00061505n
f001.s029.t037 bn:00021297n
f001.s029.t038 bn:00092823v
f001.s030.t004 bn:00061758n
f001.s030.t006 bn:00081841n
f001.s030.t007 bn:00107593a
f001.s030.t008 bn:00029876n
f001.s030.t010 bn:00029170n
f001.s030.t011 bn:00106070a
f001.s030.t012 bn:00025121n
f001.s030.t013 bn:00001742n
f001.s031.t003 bn:00050662n
f001.s031.t004 bn:00061758n
f001.s031.t006 bn:00079396n
f001.s031.t008 bn:00025766n
f001.s032.t002 bn:00060065n
f001.s032.t003 bn:00030811n
f001.s032.t004 bn:00001742n
f001.s032.t005 bn:00103595a
f001.s032.t007 bn:00054512n
f001.s032.t011 bn:00007148n
f001.s032.t012 bn:00084079v
f001.s033.t001 bn:00001742n
f001.s033.t003 bn:00054653n
f001.s033.t005 bn:00076843n
f001.s033.t006 bn:00006910n
f001.s033.t007 bn:00061505n
f001.s033.t008 bn:00086448v
f001.s033.t010 bn:00016401n
f001.s033.t011 bn:00106548a
f001.s033.t013 bn:00078738n
f001.s033.t015 bn:00014710n
f001.s033.t016 bn:00096787a
f001.s033.t017 bn:00087617v
f001.s033.t020 bn:00043358n
f001.s033.t023 bn:00074057n
f001.s033.t028 bn:00026574n
f001.s033.t032 bn:00093776v
f001.s034.t002 bn:00024461n
f001.s034.t003 bn:00001742n
f001.s034.t004 bn:00103595a
f001.s034.t006 bn:00015180n
f001.s034.t007 bn:00052341n
f001.s034.t008 bn:00017027n
f001.s034.t009 bn:00057897n
f001.s034.t010 bn:00098029a
f001.s034.t014 bn:00065555n
f001.s034.t015 bn:00021297n
f001.s034.t016 bn:00001177n
f001.s034.t017 bn:00102038a
f001.s035.t002 bn:00001742n
f001.s035.t005 bn:00060927n
f001.s035.t006 bn:00018141n
f001.s035.t007 bn:00026631n
f001.s035.t010 bn:00054001n
f001.s035.t011 bn:00060065n
f001.s035.t012 bn:00030811n
f001.s035.t014 bn:00054653n
f001.s035.t016 bn:00051760n
f001.s035.t018 bn:00014710n
f001.s035.t020 bn:00021297n
f001.s036.t002 bn:00001742n
f001.s036.t005 bn:00060927n
f001.s036.t006 bn:00018141n
f001.s036.t007 bn:00061505n
f001.s036.t010 bn:00054001n
f001.s036.t011 bn:00060065n
f001.s036.t012 bn:00030811n
f001.s036.t016 bn:00073699n
f001.s036.t020 bn:00014710n
f001.s037.t003 bn:00043358n
f001.s037.t008 bn:00061758n
f001.s037.t010 bn:00001742n
f001.s037.t012 bn:00015180n
f001.s037.t014 bn:00017027n
f001.s037.t015 bn:00073708n
f001.s037.t018 bn:00011744n
f001.s037.t019 bn:00080504n
f001.s037.t023 bn:00032600n
f001.s037.t024 bn:00026631n
f001.s037.t027 bn:00060065n
f001.s037.t028 bn:00030811n
f001.s037.t029 bn:00106124a
f001.s037.t033 bn:00028872n
f001.s037.t034 bn:00100121a
f001.s037.t035 bn:00090493v
f001.s038.t002 bn:00023212n
f001.s038.t004 bn:00001742n
f001.s038.t006 bn:00015180n
f001.s038.t008 bn:00017027n
f001.s038.t009 bn:00073708n
f001.s038.t012 bn:00011744n
f001.s038.t013 bn:00080504n
f001.s038.t017 bn:00032600n
f001.s038.t018 bn:00026631n
f001.s038.t021 bn:00060065n
f001.s038.t022 bn:00030811n
f001.s038.t023 bn:00110561a
f001.s038.t024 bn:00083340v
f002.s001.t003 bn:00014687n
f002.s001.t004 bn:00053829n
f002.s001.t006 bn:00008786n
f002.s001.t007 bn:00065224n
f002.s001.t008 bn:00080229n
f002.s001.t009 bn:00049910n
f002.s002.t001 bn:00116382r
f002.s002.t002 bn:00099215a
f002.s002.t004 bn:00029881n
f002.s002.t005 bn:00053826n
f002.s002.t007 bn:00112419a
f002.s002.t009 bn:00097495a
f002.s002.t011 bn:00101319a
f002.s002.t014 bn:00069859n
f002.s002.t015 bn:00026817n
f002.s002.t017 bn:00112228a
f002.s002.t019 bn:00095976a
f002.s003.t002 bn:00114117r
f002.s003.t004 bn:00030627n
f002.s003.t006 bn:00046516n
f002.s003.t007 bn:00057131n
f002.s003.t009 bn:00049374n
f002.s004.t003 bn:00014687n
f002.s004.t004 bn:00041412n
f002.s004.t005 bn:00099970a
f002.s005.t003 bn:00009633n
f002.s005.t004 bn:00099970a
f002.s005.t009 bn:00058218n
f002.s005.t010 bn:00082844v
f002.s005.t013 bn:00046516n
f002.s005.t015 bn:00020452n
f002.s005.t016 bn:00102920a
f002.s005.t017 bn:00035928n
f002.s005.t018 bn:00030627n
f002.s005.t019 bn:00082705v
f002.s006.t002 bn:00115639r
f002.s006.t004 bn:00036471n
f002.s006.t005 bn:00071206n
f002.s006.t007 bn:00081285n
f002.s006.t008 bn:00107593a
f002.s006.t009 bn:00046516n
f002.s007.t001 bn:00016440n
f002.s007.t002 bn:00107593a
f002.s007.t003 bn:00051760n
f002.s008.t001 bn:00081285n
f002.s008.t002 bn:00107593a
f002.s008.t004 bn:00104728a
f002.s008.t006 bn:00034193n
f002.s008.t010 bn:00076531n
f002.s008.t012 bn:00000075n
f002.s008.t013 bn:00024936n
f002.s008.t018 bn:00000100n
f002.s009.t002 bn:00062349n
f002.s009.t004 bn:00035619n
f002.s009.t006 bn:00079581n
f002.s009.t007 bn:00031044n
f002.s009.t009 bn:00078813n
f002.s009.t010 bn:00031293n
f002.s009.t012 bn:00029881n
f002.s009.t013 bn:00014688n
f002.s009.t015 bn:00088208v
f002.s010.t002 bn:00086682v
f002.s010.t003 bn:00082811v
f002.s010.t005 bn:00117138r
f002.s010.t006 bn:00081569n
f002.s010.t007 bn:00082811v
f002.s010.t009 bn:00104728a
f002.s010.t010 bn:00018756n
f002.s010.t012 bn:00088912v
f002.s010.t013 bn:00046127n
f002.s010.t014 bn:00082811v
f002.s010.t018 bn:00096547a
f002.s010.t019 bn:00082811v
f002.s010.t020 bn:00030988n
f002.s010.t024 bn:00077989n
f002.s010.t025 bn:00085337v
f002.s010.t028 bn:00026107n
f002.s010.t030 bn:00049374n
f002.s011.t003 bn:00062118n
f002.s011.t006 bn:00008786n
f002.s011.t007 bn:00047021n
f002.s011.t008 bn:00063065n
f002.s011.t009 bn:00080504n
f002.s011.t010 bn:00087845v
f002.s011.t014 bn:00010740n
f002.s011.t015 bn:00101358a
f002.s012.t003 bn:00006689n
f002.s012.t009 bn:00006386n
f002.s012.t010 bn:00088912v
f002.s012.t012 bn:00114246r
f002.s012.t014 bn:00114203r
f002.s012.t015 bn:00092876v
f002.s012.t017 bn:00051969n
f002.s012.t018 bn:00092756v
f002.s014.t005 bn:00030821n
f002.s014.t007 bn:00082477v
f002.s014.t010 bn:00012596n
f002.s014.t011 bn:00030627n
f002.s014.t012 bn:00085689v
f002.s015.t001 bn:00114246r
f002.s015.t002 bn:00063740n
f002.s015.t003 bn:00030627n
f002.s015.t005 bn:00017738n
f002.s015.t007 bn:00009676n
f002.s015.t008 bn:00085337v
f002.s016.t001 bn:00030821n
f002.s016.t002 bn:00114246r
f002.s016.t003 bn:00000005n
f002.s016.t005 bn:00023288n
f002.s016.t006 bn:00023652n
f002.s016.t007 bn:00040284n
f002.s017.t003 bn:00023288n
f002.s017.t005 bn:00026649n
f002.s017.t006 bn:00112067a
f002.s017.t007 bn:00096933a
f002.s017.t010 bn:00036821n
f002.s018.t005 bn:00026650n
f002.s018.t006 bn:00064073n
f002.s018.t007 bn:00104162a
f002.s018.t008 bn:00030627n
f002.s018.t009 bn:00082907v
f002.s019.t006 bn:00060099n
f002.s019.t007 bn:00027730n
f002.s019.t008 bn:00001177n
f002.s019.t010 bn:00036821n
f002.s019.t012 bn:00088208v
f002.s019.t013 bn:00082844v
f002.s019.t015 bn:00042823n
f002.s019.t021 bn:00059141n
f002.s020.t002 bn:00108829a
f002.s020.t006 bn:00077409n
f002.s020.t008 bn:00053226n
f002.s020.t010 bn:00063237n
f002.s020.t019 bn:00036821n
f002.s020.t020 bn:00079373n
f002.s021.t005 bn:00025928n
f002.s021.t006 bn:00079508n
f002.s021.t007 bn:00112067a
f002.s021.t008 bn:00079404n
f002.s021.t009 bn:00082907v
f002.s022.t003 bn:00025928n
f002.s022.t004 bn:00064921n
f002.s022.t005 bn:00051689n
f002.s023.t001 bn:00054625n
f002.s023.t005 bn:00082811v
f002.s023.t006 bn:00053826n
f002.s023.t007 bn:00064921n
f002.s023.t011 bn:00025928n
f002.s023.t012 bn:00086904v
f002.s024.t002 bn:00064921n
f002.s024.t009 bn:00114234r
f002.s024.t011 bn:00000746n
f002.s024.t012 bn:00030627n
f002.s024.t013 bn:00085337v
f002.s024.t015 bn:00105861a
f002.s024.t019 bn:00000146n
f002.s024.t021 bn:00088208v
f002.s024.t022 bn:00082811v
f002.s024.t026 bn:00064921n
f002.s024.t028 bn:00105740a
f002.s024.t029 bn:00005532n
f002.s024.t030 bn:00085363v
f002.s024.t031 bn:00088912v
f002.s026.t005 bn:00025928n
f002.s026.t006 bn:00022129n
f002.s026.t007 bn:00030627n
f002.s026.t008 bn:00082225v
f002.s027.t001 bn:00114714r
f002.s027.t003 bn:00018756n
f002.s027.t005 bn:00051688n
f002.s027.t006 bn:00104094a
f002.s028.t001 bn:00058217n
f002.s028.t002 bn:00093287v
f002.s028.t005 bn:00082817v
f002.s028.t007 bn:00080992n
f002.s028.t008 bn:00079373n
f002.s028.t012 bn:00007020n
f002.s028.t013 bn:00082817v
f002.s029.t001 bn:00101973a
f002.s029.t006 bn:00014137n
f002.s029.t008 bn:00088912v
f002.s029.t010 bn:00031075n
f002.s029.t021 bn:00031293n
f002.s029.t022 bn:00078277n
f002.s029.t023 bn:00108011a
f002.s029.t033 bn:00090448v
f002.s030.t001 bn:00046588n
f002.s030.t002 bn:00085337v
f002.s030.t004 bn:00073211n
f002.s031.t001 bn:00084785v
f002.s031.t012 bn:00058443n
f002.s031.t014 bn:00059141n
f002.s031.t017 bn:00090740v
f002.s031.t018 bn:00030627n
f002.s031.t019 bn:00082705v
f002.s032.t001 bn:00022087n
f002.s032.t004 bn:00035925n
f002.s032.t006 bn:00014687n
f002.s032.t007 bn:00104094a
f002.s033.t002 bn:00076845n
f002.s033.t003 bn:00000152n
f002.s033.t005 bn:00079583n
f002.s033.t006 bn:00111129a
f002.s033.t007 bn:00083980v
f002.s034.t002 bn:00117358r
f002.s034.t003 bn:00019758n
f002.s034.t004 bn:00092753v
f002.s034.t006 bn:00067970n
f002.s034.t010 bn:00022349n
f002.s034.t015 bn:00033857n
f002.s034.t016 bn:00084069v
f002.s034.t017 bn:00079508n
f002.s034.t020 bn:00001410n
f002.s034.t021 bn:00085450v
f002.s034.t023 bn:00114234r
f002.s034.t024 bn:00054625n
f002.s034.t026 bn:00032777n
f002.s034.t027 bn:00040561n
f002.s034.t028 bn:00067181n
f002.s035.t002 bn:00008468n
f002.s035.t005 bn:00032395n
f002.s035.t007 bn:00085363v
f002.s035.t008 bn:00082418v
f002.s035.t010 bn:00079508n
f002.s035.t011 bn:00112067a
f002.s035.t014 bn:00105740a
f002.s035.t015 bn:00004452n
f002.s035.t016 bn:00001410n
f002.s035.t017 bn:00082844v
f002.s036.t002 bn:00056688n
f002.s036.t003 bn:00081292n
f002.s036.t004 bn:00105752a
f002.s037.t001 bn:00000746n
f002.s037.t003 bn:00067897n
f002.s037.t004 bn:00085337v
f002.s039.t001 bn:00035960n
f002.s039.t002 bn:00102542a
f002.s039.t005 bn:00025320n
f002.s039.t008 bn:00032600n
f002.s039.t009 bn:00100386a
f002.s039.t010 bn:00032172n
f002.s039.t011 bn:00082844v
f002.s040.t001 bn:00096817a
f002.s040.t004 bn:00086682v
f002.s040.t006 bn:00010229n
f002.s040.t007 bn:00025928n
f002.s040.t008 bn:00084931v
f002.s040.t010 bn:00018756n
f002.s040.t011 bn:00064460n
f002.s040.t014 bn:00011425n
f002.s040.t015 bn:00082317v
f002.s041.t002 bn:00036962n
f002.s041.t003 bn:00007805n
f002.s041.t004 bn:00046867n
f002.s042.t001 bn:00035960n
f002.s042.t005 bn:00077270n
f002.s042.t006 bn:00046275n
f002.s042.t007 bn:00070034n
f002.s042.t008 bn:00078813n
f002.s042.t009 bn:00093287v
f002.s042.t010 bn:00007805n
f002.s042.t011 bn:00082844v
f002.s042.t013 bn:00082811v
f002.s042.t014 bn:00114171r
f002.s042.t017 bn:00030627n
f002.s042.t018 bn:00082811v
f002.s043.t001 bn:00025320n
f002.s043.t002 bn:00109650a
f002.s043.t003 bn:00032594n
f002.s043.t004 bn:00085337v
f002.s043.t006 bn:00115635r
f002.s043.t009 bn:00030627n
f002.s043.t012 bn:00081559n
f002.s043.t021 bn:00022324n
f002.s043.t022 bn:00097350a
f002.s043.t023 bn:00091437v
f002.s044.t003 bn:00007805n
f002.s044.t004 bn:00067181n
f002.s045.t001 bn:00067181n
f002.s045.t004 bn:00031023n
f002.s045.t005 bn:00004452n
f002.s045.t008 bn:00025320n
f002.s045.t010 bn:00007805n
f002.s045.t011 bn:00082844v
f002.s045.t013 bn:00082811v
f002.s045.t014 bn:00064453n
f002.s045.t016 bn:00027051n
f002.s045.t017 bn:00093287v
f002.s046.t002 bn:00065472n
f002.s046.t003 bn:00032300n
f002.s047.t001 bn:00021492n
f002.s047.t003 bn:00107069a
f002.s047.t004 bn:00086448v
f002.s048.t002 bn:00007149n
f002.s048.t004 bn:00026817n
f002.s048.t005 bn:00000075n
f002.s048.t006 bn:00112228a
f002.s048.t007 bn:00109521a
f002.s048.t009 bn:00046516n
f002.s048.t011 bn:00018756n
f002.s048.t014 bn:00046127n
f002.s048.t015 bn:00084069v
f002.s048.t020 bn:00035619n
f002.s048.t022 bn:00024936n
f002.s048.t024 bn:00085363v
f002.s048.t027 bn:00076531n
f002.s048.t029 bn:00019758n
f002.s048.t030 bn:00091437v
f002.s048.t032 bn:00100306a
f002.s048.t034 bn:00032121n
f002.s048.t035 bn:00085337v
f002.s049.t001 bn:00114281r
f002.s049.t002 bn:00017197n
f002.s049.t005 bn:00014536n
f002.s049.t006 bn:00102948a
f002.s049.t007 bn:00031044n
f002.s049.t008 bn:00088932v
f002.s049.t012 bn:00093776v
f002.s049.t013 bn:00100306a
f002.s049.t016 bn:00078813n
f002.s049.t017 bn:00091437v
f002.s050.t002 bn:00086682v
f002.s050.t005 bn:00036821n
f002.s050.t006 bn:00100416a
f002.s050.t007 bn:00032575n
f002.s050.t009 bn:00032070n
f002.s050.t011 bn:00030627n
f002.s050.t012 bn:00093287v
f002.s050.t014 bn:00107183a
f002.s050.t018 bn:00099758a
f002.s051.t002 bn:00036821n
f002.s051.t004 bn:00085363v
f002.s051.t005 bn:00089856v
f002.s051.t007 bn:00014306n
f002.s051.t008 bn:00058395n
f002.s051.t009 bn:00019758n
f002.s051.t010 bn:00082907v
f002.s051.t012 bn:00026817n
f002.s051.t014 bn:00081285n
f002.s051.t015 bn:00107593a
f002.s051.t016 bn:00069859n
f002.s052.t001 bn:00085427v
f002.s052.t003 bn:00026817n
f002.s052.t007 bn:00026817n
f002.s052.t008 bn:00099521a
f002.s052.t009 bn:00005865n
f002.s052.t010 bn:00091437v
f002.s053.t001 bn:00077270n
f002.s053.t004 bn:00073902n
f002.s053.t005 bn:00000152n
f002.s053.t007 bn:00114234r
f002.s053.t009 bn:00014306n
f002.s053.t011 bn:00030627n
f002.s053.t012 bn:00091437v
f002.s054.t002 bn:00093287v
f002.s054.t004 bn:00017904n
f002.s054.t006 bn:00070821n
f002.s054.t007 bn:00111001a
f002.s054.t010 bn:00005865n
f002.s054.t011 bn:00093287v
f003.s002.t002 bn:00008870n
f003.s002.t003 bn:00109521a
f003.s002.t005 bn:00107973a
f003.s002.t006 bn:00050487n
f003.s002.t007 bn:00030844n
f003.s002.t012 bn:00084758v
f003.s002.t013 bn:00101014a
f003.s002.t014 bn:00083240v
