Token ID	Token	Lemma	POS	Sense	BN Synset
d001.s001.t001	این	این	DET		
d001.s001.t002	سند	سند	NOUN		bn:00028015n
d001.s001.t003	خلاصه‌ای	خلاصه	NOUN		bn:00067409n
d001.s001.t004	از	از	ADP		
d001.s001.t005	گزارش	گزارش	NOUN,EZ		bn:00067181n
d001.s001.t006	ارزیابی	ارزیابی	NOUN,EZ		bn:00031973n
d001.s001.t007	عمومی	عمومی	ADJ,EZ		bn:00109211a
d001.s001.t008	اروپا	اروپا	NOUN		
d001.s001.t009	(	(	PUNCT		
d001.s001.t010	EPAR	EPAR	NOUN		
d001.s001.t011	)	)	PUNCT		
d001.s001.t012	است	است	VERB		
d001.s001.t013	.	.	PUNCT		
d001.s002.t001	این	این	PRON		
d001.s002.t002	توضیح	توضیح	NOUN		bn:00032328n
d001.s002.t003	می‌دهد	داد#ده	VERB		bn:00082276v
d001.s002.t004	که	که	SCONJ		
d001.s002.t005	چگونه	چگونه	ADV		bn:00115235r
d001.s002.t006	کمیته	کمیته	NOUN,EZ		bn:00021015n
d001.s002.t007	محصولات	محصولات	NOUN,EZ		bn:00037326n
d001.s002.t008	دارویی	دارویی	ADJ		bn:00108518a
d001.s002.t009	برای	برای	ADP,EZ		
d001.s002.t010	استفاده	استفاده	NOUN,EZ		bn:00030627n
d001.s002.t011	انسانی	انسانی	ADJ		bn:00044576n
d001.s002.t012	(	(	PUNCT		
d001.s002.t013	CHMP	CHMP	NOUN		
d001.s002.t014	)	)	PUNCT		
d001.s002.t015	مطالعات	مطالعات	NOUN,EZ		bn:00061758n
d001.s002.t016	انجام‌شده	انجام‌شده	ADJ		bn:00096397a
d001.s002.t017	را	را	ADP		
d001.s002.t018	ارزیابی	ارزیابی	NOUN		bn:00031973n
d001.s002.t019	کرده	کرده	VERB		bn:00085686v
d001.s002.t020	تا	تا	SCONJ		
d001.s002.t021	به	به	ADP		
d001.s002.t022	توصیه‌های	توصیه	NOUN,EZ		bn:00066562n
d001.s002.t023	خود	خود	PRON		
d001.s002.t024	در	در	ADP		
d001.s002.t025	مورد	مورد	NOUN,EZ		bn:00032099n
d001.s002.t026	نحوه	نحوه	NOUN,EZ		bn:00032286n
d001.s002.t027	استفاده	استفاده	NOUN		
d001.s002.t028	از	از	ADP		
d001.s002.t029	دارو	دارو	NOUN		bn:00028872n
d001.s002.t030	برسد	رسید#رس	VERB		bn:00085906v
d001.s002.t031	.	.	PUNCT		
d001.s003.t001	اگر	اگر	SCONJ		
d001.s003.t002	به	به	ADP		
d001.s003.t003	اطلاعات	اطلاعات	NOUN,EZ		bn:00025314n
d001.s003.t004	بیشتری	بیشتری	ADJ		bn:00106124a
d001.s003.t005	در	در	ADP		
d001.s003.t006	مورد	مورد	NOUN,EZ		bn:00032099n
d001.s003.t007	وضعیت	وضعیت	NOUN,EZ		bn:00063703n
d001.s003.t008	پزشکی	پزشکی	NOUN		bn:00106554a
d001.s003.t009	یا	یا	CCONJ		
d001.s003.t010	درمان	درمان	NOUN,EZ		bn:00066729n
d001.s003.t011	خود	خود	PRON		
d001.s003.t012	نیاز	نیاز	NOUN		bn:00026107n
d001.s003.t013	دارید	داشت#دار	VERB		bn:00084526v
d001.s003.t014	،	،	PUNCT		
d001.s003.t015	بروشور	بروشور	NOUN		bn:00012133n
d001.s003.t016	بسته	بسته	VERB		bn:00099878a
d001.s003.t017	بندی	بست#بند	NOUN		bn:00060556n
d001.s003.t018	(	(	PUNCT		
d001.s003.t019	همچنین	همچنین	CCONJ		bn:00114246r
d001.s003.t020	بخشی	بخشی	NOUN		bn:00060633n
d001.s003.t021	از	از	ADP		
d001.s003.t022	EPAR	EPAR	NOUN		
d001.s003.t023	)	)	PUNCT		
d001.s003.t024	را	را	ADP		
d001.s003.t025	بخوانید	خواند#خوان	VERB		bn:00085686v
d001.s003.t026	یا	یا	CCONJ		
d001.s003.t027	با	با	ADP		
d001.s003.t028	پزشک	پزشک	NOUN		bn:00027976n
d001.s003.t029	یا	یا	CCONJ		
d001.s003.t030	داروساز	داروساز	NOUN,EZ		bn:00004992n
d001.s003.t031	خود	خود	PRON		
d001.s003.t032	تماس	تماس	NOUN		bn:00026265n
d001.s003.t033	بگیرید	گرفت#گیر	VERB		bn:00082817v
d001.s003.t034	.	.	PUNCT		
d001.s004.t001	اگر	اگر	SCONJ		
d001.s004.t002	بر	بر	ADP		
d001.s004.t003	اساس	اساس	NOUN,EZ		bn:00008786n
d001.s004.t004	توصیه‌های	توصیه	NOUN,EZ		bn:00066562n
d001.s004.t005	CHMP	CHMP	NOUN		
d001.s004.t006	اطلاعات	اطلاعات	NOUN,EZ		bn:00046705n
d001.s004.t007	بیشتری	بیشتری	ADJ		bn:00102794a
d001.s004.t008	می‌خواهید	خواست#خواه	VERB		bn:00086682v
d001.s004.t009	،	،	PUNCT		
d001.s004.t010	بحث	بحث	NOUN,EZ		bn:00027523n
d001.s004.t011	علمی	علمی	ADJ		bn:00110176a
d001.s004.t012	(	(	PUNCT		
d001.s004.t013	همچنین	همچنین	CCONJ		bn:00114246r
d001.s004.t014	بخشی	بخشی	NOUN		bn:00060633n
d001.s004.t015	از	از	ADP		
d001.s004.t016	EPAR	EPAR	NOUN		
d001.s004.t017	)	)	PUNCT		
d001.s004.t018	را	را	ADP		
d001.s004.t019	بخوانید	خواند#خوان	VERB		bn:00085686v
d001.s004.t020	.	.	PUNCT		
d001.s005.t001	آلیمتا	آلیمتا	NOUN		bn:00004467n
d001.s005.t002	چیست	چیست	VERB		
d001.s005.t003	؟	؟	PUNCT		
d001.s006.t001	آلیمتا	آلیمتا	NOUN		bn:00006898n
d001.s006.t002	پودری	پودر	ADJ		bn:00102977a
d001.s006.t003	است	است	VERB		
d001.s006.t004	که	که	SCONJ		
d001.s006.t005	به	به	ADP		
d001.s006.t006	صورت	صورت	NOUN,EZ		bn:00032600n
d001.s006.t007	محلولی	محلول	NOUN		bn:00072760n
d001.s006.t008	برای	برای	ADP,EZ		
d001.s006.t009	انفوزیون	انفوزیون	NOUN		bn:00022107n
d001.s006.t010	(	(	PUNCT		
d001.s006.t011	قطره	قطره	NOUN		bn:00008127n
d001.s006.t012	در	در	ADP		
d001.s006.t013	رگ	رگ	NOUN,EZ		bn:00011396n
d001.s006.t014	)	)	PUNCT		
d001.s006.t015	ساخته_می‌شود	ساخت#ساز	VERB		
d001.s006.t016	.	.	PUNCT		
d001.s007.t001	حاوی	حاوی	ADJ,EZ		bn:00098521a
d001.s007.t002	ماده	ماده	NOUN,EZ		bn:00053867n
d001.s007.t003	فعال	فعال	ADJ,EZ		bn:00096392a
d001.s007.t004	پمترکسد	پمترکسد	NOUN		bn:00101301a
d001.s007.t005	است	است	VERB		
d001.s007.t006	.	.	PUNCT		
d001.s008.t001	آلیمتا	آلیمتا	NOUN		
d001.s008.t002	برای	برای	ADP,EZ		
