Token ID FAR,Farsi Token,Farsi Lemma,POS FAR,ENG Tokens,ENG Token ID,BN Synset,Add Annotation,Correct?,Synonyms?,BN Gloss,Annotator notes,Farsi Synsets,Farsi Glosses,Eng WN Synsets,Eng WN Glosses,Eng BN Synsets,Eng BN Glosses
f001.s001.t001,این,این,DET,This,d001.s001.t001,,,,,,,,,,,,
f001.s001.t002,سند,سند,NOUN,document,d001.s001.t002,bn:00028015n,,1,,Writing that provides information (especially information of an official nature),,,,,,,
f001.s001.t003,خلاصه‌ای,خلاصه,NOUN,a summary,"d001.s001.t004, d001.s001.t005",bn:00075142n,,1,,A brief statement that presents the main points in a concise form,,,,,,,
f001.s001.t004,از,از,ADP,of,d001.s001.t006,,,,,,,,,,,,
f001.s001.t005,گزارش,گزارش,"NOUN,EZ",Report,d001.s001.t011,bn:00067181n,,1,,A written document describing the findings of some individual or group,,,,,,,
f001.s001.t006,ارزیابی,ارزیابی,"NOUN,EZ",Assessment,d001.s001.t010,bn:00006502n,,1,,The act of judging or assessing a person or situation or event,,,,,,,
f001.s001.t007,عمومی,عمومی,"ADJ,EZ",Public,d001.s001.t009,bn:00109211a,,1,,Not private; open to or concerning the people as a whole,,,,,,,
f001.s001.t008,اروپا,اروپا,NOUN,European,d001.s001.t008,bn:00031896n,,2,0,Of or relating to or characteristic of Europe or the people of Europe,POS mismatch,bn:03242180n;bn:00422777n;bn:00031894n;bn:00031896n,"In Greek mythology, Europa was the mother of King Minos of Crete, a woman with Phoenician origin of high lineage, and after whom the continent Europe was named. ;Europa is a 1991 Danish art drama film directed by Lars von Trier. ;The 4th largest of Jupiter's satellites; covered with a smooth shell of frozen water ;The 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer to all of the continent except the British Isles",wn:02968325a,of or relating to or characteristic of Europe or the people of Europe,,
f001.s001.t009,(,(,PUNCT,(,d001.s001.t012,,,,,,,,,,,,
f001.s001.t010,EPAR,EPAR,NOUN,EPAR,d001.s001.t013,,1,1,,,,,,,,,
f001.s001.t011,),),PUNCT,),d001.s001.t014,,,,,,,,,,,,
f001.s001.t012,است,است,VERB,is,d001.s001.t003,,1,1,,,,,,,,,
f001.s001.t013,.,.,PUNCT,.,d001.s001.t015,,,,,,,,,,,,
f001.s002.t001,این,این,PRON,It,d001.s002.t001,,,,,,,,,,,,
f001.s002.t002,توضیح,توضیح,NOUN,explains,d001.s002.t002,bn:00087869v,,1,,Make plain and comprehensible,,,,,,,
f001.s002.t003,می‌دهد,داد#ده,VERB,explains,d001.s002.t002,bn:00087869v,,1,,Make plain and comprehensible,,,,,,,
f001.s002.t004,که,که,SCONJ,the,d001.s002.t004,,,,,,,,,,,,
f001.s002.t005,چگونه,چگونه,ADV,how,d001.s002.t003,,,,,,,,,,,,
f001.s002.t006,کمیته,کمیته,"NOUN,EZ",Committee,d001.s002.t005,bn:00021015n,,1,,A special group delegated to consider some matter - Milton Berle,,,,,,,
f001.s002.t007,محصولات,محصولات,"NOUN,EZ",Products,d001.s002.t008,bn:00064584n,,1,,An artifact that has been created by someone or some process,Farsi Lemma is wrong.,,,,,,
f001.s002.t008,دارویی,دارویی,ADJ,Medicinal,d001.s002.t007,bn:00106556a,,1,,Having the properties of medicine,,,,,,,
f001.s002.t009,برای,برای,"ADP,EZ",for,d001.s002.t009,,,,,,,,,,,,
f001.s002.t010,استفاده,استفاده,"NOUN,EZ",Use,d001.s002.t011,bn:00030627n,,1,,The act of using,,,,,,,
f001.s002.t011,انسانی,انسانی,ADJ,Human,d001.s002.t010,bn:00104385a,,1,,Relating to a person,,,,,,,
f001.s002.t012,(,(,PUNCT,(,d001.s002.t012,,,,,,,,,,,,
f001.s002.t013,CHMP,CHMP,NOUN,CHMP,d001.s002.t013,bn:00302314n,,1,,"The Committee for Medicinal Products for Human Use, formerly known as Committee for Proprietary Medicinal Products, is the European Medicines Agency's committee responsible for elaborating the agency's opinions on all issues regarding medicinal products for human use.",,,,,,,
f001.s002.t014,),),PUNCT,),d001.s002.t014,,,,,,,,,,,,
f001.s002.t015,مطالعات,مطالعات,"NOUN,EZ",studies,d001.s002.t017,bn:00074790n,,1,,A detailed critical inspection,,,,,,,
f001.s002.t016,انجام‌شده,انجام‌شده,ADJ,performed,d001.s002.t018,bn:00087107v,,1,,Carry out or perform an action,,,,,,,
f001.s002.t017,را,را,ADP,,,,,,,,,,,,,,
f001.s002.t018,ارزیابی,ارزیابی,NOUN,assessed,d001.s002.t015,bn:00082720v,,1,,"Evaluate or estimate the nature, quality, ability, extent, or significance of",,,,,,,
f001.s002.t019,کرده,کرده,VERB,assessed,d001.s002.t015,bn:00082720v,,1,,"Evaluate or estimate the nature, quality, ability, extent, or significance of",,,,,,,
f001.s002.t020,تا,تا,SCONJ,to,d001.s002.t020,,,,,,,,,,,,
f001.s002.t021,به,به,ADP,,,,,,,,,,,,,,
f001.s002.t022,توصیه‌های,توصیه,"NOUN,EZ",recommendations,d001.s002.t023,bn:00066562n,,1,,Something (as a course of action) that is recommended as advisable,,,,,,,
f001.s002.t023,خود,خود,PRON,their,d001.s002.t022,,,,,,,,,,,,
f001.s002.t024,در,در,ADP,to,d001.s002.t026,,,,,,,,,,,,
f001.s002.t025,مورد,مورد,"NOUN,EZ",on,d001.s002.t024,,1,1,,,,bn:03061364n;bn:15899126n;bn:00038799n;bn:13899825n;bn:16128962n;bn:15059017n;bn:00016404n;bn:13889293n;bn:00016402n;bn:00016401n;bn:00016411n;bn:09103203n;bn:15428009n;bn:00032099n,"Murd is a village in Abezhdan Rural District, Abezhdan District, Andika County, Khuzestan Province, Iran.	;A case of some merchandise is a collection of items packaged together.	;Type genus of the Myrtaceae	;Mowrd is a village in Tayebi-ye Sarhadi-ye Gharbi Rural District, Charusa District, Kohgiluyeh County, Kohgiluyeh and Boyer-Ahmad Province, Iran.	;Murd is a village in Deh Tall Rural District, in the Central District of Bastak County, Hormozgan Province, Iran.	;Murd is a village in Hati Rural District, Hati District, Lali County, Khuzestan Province, Iran.	;The actual state of things	;Myrtaceae is the myrtle family, a family of dicotyledonous plants placed within the order Myrtales.	;A special set of circumstances	;An occurrence of something	;Nouns or pronouns or adjectives (often marked by inflection) related in some way to other words in a sentence	;n/a	;Murd is a village in Dehdez Rural District, Dehdez District, Izeh County, Khuzestan Province, Iran.	;An item of information that is typical of a class or group",,,,
f001.s002.t026,نحوه,نحوه,"NOUN,EZ",how,d001.s002.t025,,1,1,,,,,,,,,
f001.s002.t027,استفاده,استفاده,NOUN,use,d001.s002.t027,bn:00082705v,,1,,Put into service; make work or employ for a particular purpose or for its inherent or natural purpose,,,,,,,
f001.s002.t028,از,از,ADP,the,d001.s002.t028,,,,,,,,,,,,
f001.s002.t029,دارو,دارو,NOUN,medicine,d001.s002.t029,bn:00054128n,,1,,(medicine) something that treats or prevents or alleviates the symptoms of disease,,,,,,,
f001.s002.t030,برسد,رسید#رس,VERB,reach,d001.s002.t021,bn:00082226v,,1,,To gain with effort,,,,,,,
f001.s002.t031,.,.,PUNCT,", .","d001.s002.t019, d001.s002.t030",,,,,,,,,,,,
f001.s003.t001,اگر,اگر,SCONJ,If,d001.s003.t001,,,,,,,,,,,,
f001.s003.t002,به,به,ADP,,,,,,,,,,,,,,
f001.s003.t003,اطلاعات,اطلاعات,"NOUN,EZ",information,d001.s003.t005,bn:00025314n,,1,,A collection of facts from which conclusions may be drawn,,,,,,,
f001.s003.t004,بیشتری,بیشتری,ADJ,more,d001.s003.t004,bn:00106935a,,1,,(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree,Wrong Lemmatization.,,,,,,
f001.s003.t005,در,در,ADP,the,d001.s003.t022,,,,,,,,,,,,
f001.s003.t006,مورد,مورد,"NOUN,EZ",about,d001.s003.t006,,1,1,,,,bn:03061364n;bn:15899126n;bn:00038799n;bn:13899825n;bn:16128962n;bn:15059017n;bn:00016404n;bn:13889293n;bn:00016402n;bn:00016401n;bn:00016411n;bn:09103203n;bn:15428009n;bn:00032099n,"Murd is a village in Abezhdan Rural District, Abezhdan District, Andika County, Khuzestan Province, Iran.	;A case of some merchandise is a collection of items packaged together.	;Type genus of the Myrtaceae	;Mowrd is a village in Tayebi-ye Sarhadi-ye Gharbi Rural District, Charusa District, Kohgiluyeh County, Kohgiluyeh and Boyer-Ahmad Province, Iran.	;Murd is a village in Deh Tall Rural District, in the Central District of Bastak County, Hormozgan Province, Iran.	;Murd is a village in Hati Rural District, Hati District, Lali County, Khuzestan Province, Iran.	;The actual state of things	;Myrtaceae is the myrtle family, a family of dicotyledonous plants placed within the order Myrtales.	;A special set of circumstances	;An occurrence of something	;Nouns or pronouns or adjectives (often marked by inflection) related in some way to other words in a sentence	;n/a	;Murd is a village in Dehdez Rural District, Dehdez District, Izeh County, Khuzestan Province, Iran.	;An item of information that is typical of a class or group",,,,
f001.s003.t007,وضعیت,وضعیت,"NOUN,EZ",condition,d001.s003.t009,bn:00021648n,,1,,"An illness, disease, or other medical problem",,,,,,,
f001.s003.t008,پزشکی,پزشکی,NOUN,medical,d001.s003.t008,bn:00106555a,,1,,Requiring or amenable to treatment by medicine especially as opposed to surgery,,,,,,,
f001.s003.t009,یا,یا,CCONJ,or,d001.s003.t010,,,,,,,,,,,,
f001.s003.t010,درمان,درمان,"NOUN,EZ",treatment,d001.s003.t012,bn:00047235n,,1,,Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),,,,,,,
f001.s003.t011,خود,خود,PRON,your,d001.s003.t007,,,,,,,,,,,,
f001.s003.t012,نیاز,نیاز,NOUN,need,d001.s003.t003,bn:00091028v,,1,,Have need of,,,,,,,
f001.s003.t013,دارید,داشت#دار,VERB,you,d001.s003.t002,,1,0,,,"It should be aligned with ""need"", it is a part of verb. However, It can be partially correct, last two characters of persian word can refer to ""you"".",bn:00002096n,The practice of cultivating the land or raising stock,,,,
f001.s003.t014,،,،,PUNCT,",",d001.s003.t013,,,,,,,,,,,,
f001.s003.t015,بروشور,بروشور,NOUN,Leaflet,d001.s003.t017,bn:00012133n,,1,,A small book usually having a paper cover,,,,,,,
f001.s003.t016,بسته,بسته,VERB,Package,d001.s003.t016,bn:00013882n,,1,,A collection of things wrapped or boxed together,,,,,,,
f001.s003.t017,بندی,بست#بند,NOUN,Package,d001.s003.t016,bn:00013882n,,1,,A collection of things wrapped or boxed together,,,,,,,
f001.s003.t018,(,(,PUNCT,(,d001.s003.t018,,,,,,,,,,,,
f001.s003.t019,همچنین,همچنین,CCONJ,also,d001.s003.t019,bn:00114246r,,1,,In addition,,,,,,,
f001.s003.t020,بخشی,بخشی,NOUN,part,d001.s003.t020,bn:00021395n,,1,,Something determined in relation to something that includes it,,,,,,,
f001.s003.t021,از,از,ADP,of,d001.s003.t021,,,,,,,,,,,,
f001.s003.t022,EPAR,EPAR,NOUN,EPAR,d001.s003.t023,,1,1,,,,,,,,,
f001.s003.t023,),),PUNCT,),d001.s003.t024,,,,,,,,,,,,
f001.s003.t024,را,را,ADP,,,,,,,,,,,,,,
f001.s003.t025,بخوانید,خواند#خوان,VERB,read,d001.s003.t014,bn:00092424v,,1,,Interpret something that is written or printed,,,,,,,
f001.s003.t026,یا,یا,CCONJ,or,d001.s003.t025,,,,,,,,,,,,
f001.s003.t027,با,با,ADP,,,,,,,,,,,,,,
f001.s003.t028,پزشک,پزشک,NOUN,doctor,d001.s003.t028,bn:00027976n,,1,,A licensed medical practitioner,,,,,,,
f001.s003.t029,یا,یا,CCONJ,or,d001.s003.t029,,,,,,,,,,,,
f001.s003.t030,داروساز,داروساز,"NOUN,EZ",pharmacist,d001.s003.t030,bn:00004992n,,1,,A health professional trained in the art of preparing and dispensing drugs,,,,,,,
f001.s003.t031,خود,خود,PRON,your,d001.s003.t027,,,,,,,,,,,,
f001.s003.t032,تماس,تماس,NOUN,contact,d001.s003.t026,bn:00085696v,,1,,Be in or establish communication with,,,,,,,
f001.s003.t033,بگیرید,گرفت#گیر,VERB,your,d001.s003.t011,,1,0,,,"It should be aligned with ""contact"", it is a part of verb. However, It can be partially correct, last two characters of persian word can refer to ""you"".",bn:01441273n;bn:09170539n;bn:00029648n,"Eclipse is a Canadian drama film, written and directed by Jeremy Podeswa and released in 1994.	;n/a	;One celestial body obscures another",,,,
f001.s003.t034,.,.,PUNCT,". ,","d001.s003.t031, d001.s003.t013",,,,,,,,,,,,
f001.s004.t001,اگر,اگر,SCONJ,If,d001.s004.t001,,,,,,,,,,,,
f001.s004.t002,بر,بر,ADP,on,d001.s004.t006,,,,,,,,,,,,
f001.s004.t003,اساس,اساس,"NOUN,EZ",basis,d001.s004.t008,bn:00008786n,,1,,The fundamental assumptions from which something is begun or developed or calculated or explained,,,,,,,
f001.s004.t004,توصیه‌های,توصیه,"NOUN,EZ",recommendations the,"d001.s004.t012, d001.s004.t010",bn:00066562n,,1,,Something (as a course of action) that is recommended as advisable,,,,,,,
f001.s004.t005,CHMP,CHMP,NOUN,CHMP,d001.s004.t011,bn:00302314n,,1,,"The Committee for Medicinal Products for Human Use, formerly known as Committee for Proprietary Medicinal Products, is the European Medicines Agency's committee responsible for elaborating the agency's opinions on all issues regarding medicinal products for human use.",,,,,,,
f001.s004.t006,اطلاعات,اطلاعات,"NOUN,EZ",information,d001.s004.t005,bn:00025314n,,1,,A collection of facts from which conclusions may be drawn,,,,,,,
f001.s004.t007,بیشتری,بیشتری,ADJ,more,d001.s004.t004,bn:00106935a,,1,,(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree,,,,,,,
f001.s004.t008,می‌خواهید,خواست#خواه,VERB,you want,"d001.s004.t002, d001.s004.t003",bn:00086682v,,1,,Feel or have a desire for; want strongly,,,,,,,
f001.s004.t009,،,،,PUNCT,",",d001.s004.t013,,,,,,,,,,,,
f001.s004.t010,بحث,بحث,"NOUN,EZ",Discussion,d001.s004.t017,bn:00027523n,,1,,An extended communication (often interactive) dealing with some particular topic,,,,,,,
f001.s004.t011,علمی,علمی,ADJ,Scientific,d001.s004.t016,bn:00110175a,,1,,Of or relating to the practice of science,,,,,,,
f001.s004.t012,(,(,PUNCT,(,d001.s004.t018,,,,,,,,,,,,
f001.s004.t013,همچنین,همچنین,CCONJ,also,d001.s004.t019,bn:00114246r,,1,,In addition,,,,,,,
f001.s004.t014,بخشی,بخشی,NOUN,part,d001.s004.t020,bn:00021395n,,1,,Something determined in relation to something that includes it,,,,,,,
f001.s004.t015,از,از,ADP,of,d001.s004.t021,,,,,,,,,,,,
f001.s004.t016,EPAR,EPAR,NOUN,EPAR,d001.s004.t023,,1,1,,,,,,,,,
f001.s004.t017,),),PUNCT,),d001.s004.t024,,,,,,,,,,,,
f001.s004.t018,را,را,ADP,the,d001.s004.t015,,,,,,,,,,,,
f001.s004.t019,بخوانید,خواند#خوان,VERB,read,d001.s004.t014,bn:00092424v,,1,,Interpret something that is written or printed,,,,,,,
f001.s004.t020,.,.,PUNCT,". ,","d001.s004.t025, d001.s004.t013",,,,,,,,,,,,
f001.s005.t001,آلیمتا,آلیمتا,NOUN,Alimta,d001.s005.t003,bn:00602447n,,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,,,,,,,
f001.s005.t002,چیست,چیست,VERB,What,d001.s005.t001,,1,1,,,,,,,,,
f001.s005.t003,؟,؟,PUNCT,?,d001.s005.t004,,,,,,,,,,,,
f001.s006.t001,آلیمتا,آلیمتا,NOUN,Alimta,d001.s006.t001,bn:00602447n,,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,,,,,,,
f001.s006.t002,پودری,پودر,ADJ,a powder,"d001.s006.t003, d001.s006.t004",bn:00063926n,,1,,A solid substance in the form of tiny loose particles; a solid that has been pulverized,,,,,,,
f001.s006.t003,است,است,VERB,is,d001.s006.t002,,1,1,,,,,,,,,
f001.s006.t004,که,که,SCONJ,that,d001.s006.t005,,,,,,,,,,,,
f001.s006.t005,به,به,ADP,a,d001.s006.t009,,,,,,,,,,,,
f001.s006.t006,صورت,صورت,"NOUN,EZ",,,,1,1,,,"Aligned to nothing, actually there is no word that should be aligned to this in english sentence. ",bn:00058304n;bn:00025766n;bn:14565992n;bn:03293249n;bn:01612191n;bn:00046300n;bn:00068132n;bn:00085595v;bn:03097690n;bn:00023153n;bn:00032600n;bn:00032633n;bn:01845290n;bn:03203445n;bn:00000746n,"The dividend of a fraction	;An award for winning a championship or commemorating some other event	;Surat is a village in Sajjadrud Rural District, Bandpey-ye Sharqi District, Babol County, Mazandaran Province, Iran.	;Face is a British crime drama directed by Antonia Bird and written by Ronan Bennett.	;Face is a 2009 Taiwanese-French film written and directed by Tsai Ming-liang.	;The property possessed by a line or surface that departs from the vertical	;A list of names	;Oppose, as in hostility or a competition	;Face is a 2004 Korean horror film directed by Yoo Sang-gon.	;The human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)	;The front of the human head from the forehead to the chin and ear to ear	;Care for the face that usually involves cleansing and massage and the application of cosmetic creams	;Face is a 2000 Japanese film directed by Junji Sakamoto.	;A facial is a sexual activity in which a man ejaculates semen onto the face of one or more sexual partners.	;An itemized statement of money owed for goods shipped or services rendered",,,,
f001.s006.t007,محلولی,محلول,NOUN,into solution,"d001.s006.t008, d001.s006.t010",bn:00072760n,,1,,A homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution,,,,,,,
f001.s006.t008,برای,برای,"ADP,EZ",for,d001.s006.t011,,,,,,,,,,,,
f001.s006.t009,انفوزیون,انفوزیون,NOUN,infusion,d001.s006.t012,wn:00323532n,,2,1,(medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force),"Exact translation, could be ""تزریق""",bn:02996368n,"Infusion is the process of extracting chemical compounds or flavors from plant material in a solvent such as water, oil or alcohol, by allowing the material to remain suspended in the solvent over time.",wn:14848785n; wn:13500023n; wn:00323532n; wn:00248748n,a solution obtained by steeping or soaking a substance (usually in water); the process of extracting certain active properties (as a drug from a plant) by steeping or soaking (usually in water); (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force); the act of infusing or introducing a certain modifying element or quality,,
f001.s006.t010,(,(,PUNCT,(,d001.s006.t013,,,,,,,,,,,,
