Token ID	Token	Lemma	POS	Sense	BN Synset
f001.s001.t001	این	این	DET		
f001.s001.t002	سند	سند	NOUN		bn:00028015n
f001.s001.t003	خلاصه‌ای	خلاصه	NOUN		bn:00075142n
f001.s001.t004	از	از	ADP		
f001.s001.t005	گزارش	گزارش	NOUN,EZ		bn:00067181n
f001.s001.t006	ارزیابی	ارزیابی	NOUN,EZ		bn:00006502n
f001.s001.t007	عمومی	عمومی	ADJ,EZ		bn:00109211a
f001.s001.t008	اروپا	اروپا	NOUN		bn:00031896n
f001.s001.t009	(	(	PUNCT		
f001.s001.t010	EPAR	EPAR	NOUN		
f001.s001.t011	)	)	PUNCT		
f001.s001.t012	است	است	VERB		
f001.s001.t013	.	.	PUNCT		
f001.s002.t001	این	این	PRON		
f001.s002.t002	توضیح	توضیح	NOUN		bn:00087869v
f001.s002.t003	می‌دهد	داد#ده	VERB		bn:00087869v
f001.s002.t004	که	که	SCONJ		
f001.s002.t005	چگونه	چگونه	ADV		
f001.s002.t006	کمیته	کمیته	NOUN,EZ		bn:00021015n
f001.s002.t007	محصولات	محصولات	NOUN,EZ		bn:00064584n
f001.s002.t008	دارویی	دارویی	ADJ		bn:00106556a
f001.s002.t009	برای	برای	ADP,EZ		
f001.s002.t010	استفاده	استفاده	NOUN,EZ		bn:00030627n
f001.s002.t011	انسانی	انسانی	ADJ		bn:00104385a
f001.s002.t012	(	(	PUNCT		
f001.s002.t013	CHMP	CHMP	NOUN		bn:00302314n
f001.s002.t014	)	)	PUNCT		
f001.s002.t015	مطالعات	مطالعات	NOUN,EZ		bn:00074790n
f001.s002.t016	انجام‌شده	انجام‌شده	ADJ		bn:00087107v
f001.s002.t017	را	را	ADP		
f001.s002.t018	ارزیابی	ارزیابی	NOUN		bn:00082720v
f001.s002.t019	کرده	کرده	VERB		bn:00082720v
f001.s002.t020	تا	تا	SCONJ		
f001.s002.t021	به	به	ADP		
f001.s002.t022	توصیه‌های	توصیه	NOUN,EZ		bn:00066562n
f001.s002.t023	خود	خود	PRON		
f001.s002.t024	در	در	ADP		
f001.s002.t025	مورد	مورد	NOUN,EZ		
f001.s002.t026	نحوه	نحوه	NOUN,EZ		
f001.s002.t027	استفاده	استفاده	NOUN		bn:00082705v
f001.s002.t028	از	از	ADP		
f001.s002.t029	دارو	دارو	NOUN		bn:00054128n
f001.s002.t030	برسد	رسید#رس	VERB		bn:00082226v
f001.s002.t031	.	.	PUNCT		
f001.s003.t001	اگر	اگر	SCONJ		
f001.s003.t002	به	به	ADP		
f001.s003.t003	اطلاعات	اطلاعات	NOUN,EZ		bn:00025314n
f001.s003.t004	بیشتری	بیشتری	ADJ		bn:00106935a
f001.s003.t005	در	در	ADP		
f001.s003.t006	مورد	مورد	NOUN,EZ		
f001.s003.t007	وضعیت	وضعیت	NOUN,EZ		bn:00021648n
f001.s003.t008	پزشکی	پزشکی	NOUN		bn:00106555a
f001.s003.t009	یا	یا	CCONJ		
f001.s003.t010	درمان	درمان	NOUN,EZ		bn:00047235n
f001.s003.t011	خود	خود	PRON		
f001.s003.t012	نیاز	نیاز	NOUN		bn:00091028v
f001.s003.t013	دارید	داشت#دار	VERB		
f001.s003.t014	،	،	PUNCT		
f001.s003.t015	بروشور	بروشور	NOUN		bn:00012133n
f001.s003.t016	بسته	بسته	VERB		bn:00013882n
f001.s003.t017	بندی	بست#بند	NOUN		bn:00013882n
f001.s003.t018	(	(	PUNCT		
f001.s003.t019	همچنین	همچنین	CCONJ		bn:00114246r
f001.s003.t020	بخشی	بخشی	NOUN		bn:00021395n
f001.s003.t021	از	از	ADP		
f001.s003.t022	EPAR	EPAR	NOUN		
f001.s003.t023	)	)	PUNCT		
f001.s003.t024	را	را	ADP		
f001.s003.t025	بخوانید	خواند#خوان	VERB		bn:00092424v
f001.s003.t026	یا	یا	CCONJ		
f001.s003.t027	با	با	ADP		
f001.s003.t028	پزشک	پزشک	NOUN		bn:00027976n
f001.s003.t029	یا	یا	CCONJ		
f001.s003.t030	داروساز	داروساز	NOUN,EZ		bn:00004992n
f001.s003.t031	خود	خود	PRON		
f001.s003.t032	تماس	تماس	NOUN		bn:00085696v
f001.s003.t033	بگیرید	گرفت#گیر	VERB		
f001.s003.t034	.	.	PUNCT		
f001.s004.t001	اگر	اگر	SCONJ		
f001.s004.t002	بر	بر	ADP		
f001.s004.t003	اساس	اساس	NOUN,EZ		bn:00008786n
f001.s004.t004	توصیه‌های	توصیه	NOUN,EZ		bn:00066562n
f001.s004.t005	CHMP	CHMP	NOUN		bn:00302314n
f001.s004.t006	اطلاعات	اطلاعات	NOUN,EZ		bn:00025314n
f001.s004.t007	بیشتری	بیشتری	ADJ		bn:00106935a
f001.s004.t008	می‌خواهید	خواست#خواه	VERB		bn:00086682v
f001.s004.t009	،	،	PUNCT		
f001.s004.t010	بحث	بحث	NOUN,EZ		bn:00027523n
f001.s004.t011	علمی	علمی	ADJ		bn:00110175a
f001.s004.t012	(	(	PUNCT		
f001.s004.t013	همچنین	همچنین	CCONJ		bn:00114246r
f001.s004.t014	بخشی	بخشی	NOUN		bn:00021395n
f001.s004.t015	از	از	ADP		
f001.s004.t016	EPAR	EPAR	NOUN		
f001.s004.t017	)	)	PUNCT		
f001.s004.t018	را	را	ADP		
f001.s004.t019	بخوانید	خواند#خوان	VERB		bn:00092424v
f001.s004.t020	.	.	PUNCT		
f001.s005.t001	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s005.t002	چیست	چیست	VERB		
f001.s005.t003	؟	؟	PUNCT		
f001.s006.t001	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s006.t002	پودری	پودر	ADJ		bn:00063926n
f001.s006.t003	است	است	VERB		
f001.s006.t004	که	که	SCONJ		
f001.s006.t005	به	به	ADP		
f001.s006.t006	صورت	صورت	NOUN,EZ		
f001.s006.t007	محلولی	محلول	NOUN		bn:00072760n
f001.s006.t008	برای	برای	ADP,EZ		
f001.s006.t009	انفوزیون	انفوزیون	NOUN		bn:00046734n
f001.s006.t010	(	(	PUNCT		
f001.s006.t011	قطره	قطره	NOUN		bn:00028709n
f001.s006.t012	در	در	ADP		
f001.s006.t013	رگ	رگ	NOUN,EZ		bn:00011396n
f001.s006.t014	)	)	PUNCT		
f001.s006.t015	ساخته_می‌شود	ساخت#ساز	VERB		bn:00083187v
f001.s006.t016	.	.	PUNCT		
f001.s007.t001	حاوی	حاوی	ADJ,EZ		bn:00085499v
f001.s007.t002	ماده	ماده	NOUN,EZ		bn:00074986n
f001.s007.t003	فعال	فعال	ADJ,EZ		bn:00096387a
f001.s007.t004	پمترکسد	پمترکسد	NOUN		bn:00602447n
f001.s007.t005	است	است	VERB		bn:00085499v
f001.s007.t006	.	.	PUNCT		
