Token ID	Token	Lemma	POS	Sense
d001.s001.t001	این	این	DET	
d001.s001.t002	سند	سند	NOUN	
d001.s001.t003	خلاصه‌ای	خلاصه	NOUN	
d001.s001.t004	از	از	ADP	
d001.s001.t005	گزارش	گزارش	NOUN,EZ	
d001.s001.t006	ارزیابی	ارزیابی	NOUN,EZ	
d001.s001.t007	عمومی	عمومی	ADJ,EZ	
d001.s001.t008	اروپا	اروپا	NOUN	
d001.s001.t009	(	(	PUNCT	
d001.s001.t010	EPAR	EPAR	NOUN	
d001.s001.t011	)	)	PUNCT	
d001.s001.t012	است	است	VERB	
d001.s001.t013	.	.	PUNCT	
d001.s002.t001	این	این	PRON	
d001.s002.t002	توضیح	توضیح	NOUN	
d001.s002.t003	می‌دهد	داد#ده	VERB	
d001.s002.t004	که	که	SCONJ	
d001.s002.t005	چگونه	چگونه	ADV	
d001.s002.t006	کمیته	کمیته	NOUN,EZ	
d001.s002.t007	محصولات	محصولات	NOUN,EZ	
d001.s002.t008	دارویی	دارویی	ADJ	
d001.s002.t009	برای	برای	ADP,EZ	
d001.s002.t010	استفاده	استفاده	NOUN,EZ	
d001.s002.t011	انسانی	انسانی	ADJ	
d001.s002.t012	(	(	PUNCT	
d001.s002.t013	CHMP	CHMP	NOUN	
d001.s002.t014	)	)	PUNCT	
d001.s002.t015	مطالعات	مطالعات	NOUN,EZ	
d001.s002.t016	انجام‌شده	انجام‌شده	ADJ	
d001.s002.t017	را	را	ADP	
d001.s002.t018	ارزیابی	ارزیابی	NOUN	
d001.s002.t019	کرده	کرده	VERB	
d001.s002.t020	تا	تا	SCONJ	
d001.s002.t021	به	به	ADP	
d001.s002.t022	توصیه‌های	توصیه	NOUN,EZ	
d001.s002.t023	خود	خود	PRON	
d001.s002.t024	در	در	ADP	
d001.s002.t025	مورد	مورد	NOUN,EZ	
d001.s002.t026	نحوه	نحوه	NOUN,EZ	
d001.s002.t027	استفاده	استفاده	NOUN	
d001.s002.t028	از	از	ADP	
d001.s002.t029	دارو	دارو	NOUN	
d001.s002.t030	برسد	رسید#رس	VERB	
d001.s002.t031	.	.	PUNCT	
d001.s003.t001	اگر	اگر	SCONJ	
d001.s003.t002	به	به	ADP	
d001.s003.t003	اطلاعات	اطلاعات	NOUN,EZ	
d001.s003.t004	بیشتری	بیشتری	ADJ	
d001.s003.t005	در	در	ADP	
d001.s003.t006	مورد	مورد	NOUN,EZ	
d001.s003.t007	وضعیت	وضعیت	NOUN,EZ	
d001.s003.t008	پزشکی	پزشکی	NOUN	
d001.s003.t009	یا	یا	CCONJ	
d001.s003.t010	درمان	درمان	NOUN,EZ	
d001.s003.t011	خود	خود	PRON	
d001.s003.t012	نیاز	نیاز	NOUN	
d001.s003.t013	دارید	داشت#دار	VERB	
d001.s003.t014	،	،	PUNCT	
d001.s003.t015	بروشور	بروشور	NOUN	
d001.s003.t016	بسته	بسته	VERB	
d001.s003.t017	بندی	بست#بند	NOUN	
d001.s003.t018	(	(	PUNCT	
d001.s003.t019	همچنین	همچنین	CCONJ	
d001.s003.t020	بخشی	بخشی	NOUN	
d001.s003.t021	از	از	ADP	
d001.s003.t022	EPAR	EPAR	NOUN	
d001.s003.t023	)	)	PUNCT	
d001.s003.t024	را	را	ADP	
d001.s003.t025	بخوانید	خواند#خوان	VERB	
d001.s003.t026	یا	یا	CCONJ	
d001.s003.t027	با	با	ADP	
d001.s003.t028	پزشک	پزشک	NOUN	
d001.s003.t029	یا	یا	CCONJ	
d001.s003.t030	داروساز	داروساز	NOUN,EZ	
d001.s003.t031	خود	خود	PRON	
d001.s003.t032	تماس	تماس	NOUN	
d001.s003.t033	بگیرید	گرفت#گیر	VERB	
d001.s003.t034	.	.	PUNCT	
d001.s004.t001	اگر	اگر	SCONJ	
d001.s004.t002	بر	بر	ADP	
d001.s004.t003	اساس	اساس	NOUN,EZ	
d001.s004.t004	توصیه‌های	توصیه	NOUN,EZ	
d001.s004.t005	CHMP	CHMP	NOUN	
d001.s004.t006	اطلاعات	اطلاعات	NOUN,EZ	
d001.s004.t007	بیشتری	بیشتری	ADJ	
d001.s004.t008	می‌خواهید	خواست#خواه	VERB	
d001.s004.t009	،	،	PUNCT	
d001.s004.t010	بحث	بحث	NOUN,EZ	
d001.s004.t011	علمی	علمی	ADJ	
d001.s004.t012	(	(	PUNCT	
d001.s004.t013	همچنین	همچنین	CCONJ	
d001.s004.t014	بخشی	بخشی	NOUN	
d001.s004.t015	از	از	ADP	
d001.s004.t016	EPAR	EPAR	NOUN	
d001.s004.t017	)	)	PUNCT	
d001.s004.t018	را	را	ADP	
d001.s004.t019	بخوانید	خواند#خوان	VERB	
d001.s004.t020	.	.	PUNCT	
d001.s005.t001	آلیمتا	آلیمتا	NOUN	
d001.s005.t002	چیست	چیست	VERB	
d001.s005.t003	؟	؟	PUNCT	
d001.s006.t001	آلیمتا	آلیمتا	NOUN	
d001.s006.t002	پودری	پودر	ADJ	
d001.s006.t003	است	است	VERB	
d001.s006.t004	که	که	SCONJ	
d001.s006.t005	به	به	ADP	
d001.s006.t006	صورت	صورت	NOUN,EZ	
d001.s006.t007	محلولی	محلول	NOUN	
d001.s006.t008	برای	برای	ADP,EZ	
d001.s006.t009	انفوزیون	انفوزیون	NOUN	
d001.s006.t010	(	(	PUNCT	
d001.s006.t011	قطره	قطره	NOUN	
d001.s006.t012	در	در	ADP	
d001.s006.t013	رگ	رگ	NOUN,EZ	
d001.s006.t014	)	)	PUNCT	
d001.s006.t015	ساخته_می‌شود	ساخت#ساز	VERB	
d001.s006.t016	.	.	PUNCT	
d001.s007.t001	حاوی	حاوی	ADJ,EZ	
d001.s007.t002	ماده	ماده	NOUN,EZ	
d001.s007.t003	فعال	فعال	ADJ,EZ	
d001.s007.t004	پمترکسد	پمترکسد	NOUN	
d001.s007.t005	است	است	VERB	
d001.s007.t006	.	.	PUNCT	
d001.s008.t001	آلیمتا	آلیمتا	NOUN	
d001.s008.t002	برای	برای	ADP,EZ	
d001.s008.t003	چه	چه	DET	
d001.s008.t004	مواردی	موارد	NOUN	
d001.s008.t005	استفاده	استفاده	NOUN	
d001.s008.t006	می‌شود	شد#شو	VERB	
d001.s008.t007	؟	؟	PUNCT	
d001.s009.t001	آلیمتا	آلیمتا	NOUN	
d001.s009.t002	برای	برای	ADP,EZ	
d001.s009.t003	درمان	درمان	NOUN,EZ	
d001.s009.t004	دو	دو	NUM	
d001.s009.t005	نوع	نوع	NOUN	
d001.s009.t006	سرطان	سرطان	NOUN	
d001.s009.t007	استفاده	استفاده	NOUN	
d001.s009.t008	می‌شود	شد#شو	VERB	
d001.s009.t009	:	:	PUNCT	
d001.s009.t010	مزوتلیومای	مزوتلیومای	NOUN,EZ	
d001.s009.t011	پلور	پلور	NOUN	
d001.s009.t012	(	(	PUNCT	
d001.s009.t013	سرطان	سرطان	NOUN,EZ	
d001.s009.t014	پوشش	پوشش	NOUN,EZ	
d001.s009.t015	ریه	ریه	NOUN	
d001.s009.t016	که	که	SCONJ	
d001.s009.t017	معمولا	معمولا	ADV	
d001.s009.t018	در	در	ADP	
d001.s009.t019	اثر	اثر	NOUN,EZ	
d001.s009.t020	قرار	قرار	NOUN	
d001.s009.t021	گرفتن	گرفتن	NOUN	
d001.s009.t022	در	در	ADP	
d001.s009.t023	معرض	معرض	NOUN,EZ	
d001.s009.t024	آزبست	آزبست	NOUN	
d001.s009.t025	ایجاد	ایجاد	NOUN	
d001.s009.t026	می‌شود	شد#شو	VERB	
d001.s009.t027	)	)	PUNCT	
d001.s009.t028	.	.	PUNCT	
d001.s010.t001	آلیمتا	آلیمتا	NOUN	
d001.s010.t002	همراه	همراه	NOUN	
d001.s010.t003	با	با	ADP	
