Token ID	Token	Lemma	POS	BN Synset
d001.s001.t001	این	این	X	
d001.s001.t002	سند	سند	N	bn:00028015n
d001.s001.t003	خلاصه‌ای	خلاصه	N	bn:00075142n
d001.s001.t004	از	از	X	
d001.s001.t005	گزارش	گزارش	N	bn:00067181n
d001.s001.t006	ارزیابی	ارزیابی	N	bn:00006502n
d001.s001.t007	عمومی	عمومی	A	bn:00109211a
d001.s001.t008	اروپا	اروپا	N	bn:00031896n
d001.s001.t009	(	(	X	
d001.s001.t010	EPAR	EPAR	N	
d001.s001.t011	)	)	X	
d001.s001.t012	است	است	V	
d001.s001.t013	.	.	X	
d001.s002.t001	این	این	X	
d001.s002.t002	توضیح می‌دهد	توضیح ده	V	bn:00087869v
d001.s002.t003	که	که	X	
d001.s002.t004	چگونه	چگونه	R	
d001.s002.t005	کمیته	کمیته	N	bn:00021015n
d001.s002.t006	محصولات	محصولات	N	bn:00064584n
d001.s002.t007	دارویی	دارویی	A	bn:00106556a
d001.s002.t008	برای	برای	X	
d001.s002.t009	استفاده	استفاده	N	bn:00030627n
d001.s002.t010	انسانی	انسانی	A	bn:00104385a
d001.s002.t011	(	(	X	
d001.s002.t012	CHMP	CHMP	N	bn:00302314n
d001.s002.t013	)	)	X	
d001.s002.t014	مطالعات	مطالعات	N	bn:00074790n
d001.s002.t015	انجام‌شده	انجام‌شده	A	bn:00101698a
d001.s002.t016	را	را	X	
d001.s002.t017	ارزیابی کرده	ارزیابی کرد	V	bn:00082720v
d001.s002.t018	تا	تا	X	
d001.s002.t019	به	به	X	
d001.s002.t020	توصیه‌های	توصیه	N	bn:00066562n
d001.s002.t021	خود	خود	X	
d001.s002.t022	در	در	X	
d001.s002.t023	مورد	مورد	N	
d001.s002.t024	نحوه	نحوه	N	
d001.s002.t025	استفاده	استفاده	N	bn:00036822n
d001.s002.t026	از	از	X	
d001.s002.t027	دارو	دارو	N	bn:00054128n
d001.s002.t028	برسد	رسید#رس	V	bn:00082226v
d001.s002.t029	.	.	X	
d001.s003.t001	اگر	اگر	X	
d001.s003.t002	به	به	X	
d001.s003.t003	اطلاعات	اطلاعات	N	bn:00025314n
d001.s003.t004	بیشتری	بیشتری	A	bn:00106935a
d001.s003.t005	در	در	X	
d001.s003.t006	مورد	مورد	N	
d001.s003.t007	وضعیت	وضعیت	N	bn:00021648n
d001.s003.t008	پزشکی	پزشکی	N	bn:00054128n
d001.s003.t009	یا	یا	X	
d001.s003.t010	درمان	درمان	N	bn:00047235n
d001.s003.t011	خود	خود	X	
d001.s003.t012	نیاز	نیاز	N	bn:00026107n
d001.s003.t013	دارید	دار	V	
d001.s003.t014	،	،	X	
d001.s003.t015	بروشور	بروشور	N	bn:00012133n
d001.s003.t016	بسته بندی	بسته بندی	N	bn:00013882n
d001.s003.t017	(	(	X	
d001.s003.t018	همچنین	همچنین	X	
d001.s003.t019	بخشی	بخشی	N	bn:00021395n
d001.s003.t020	از	از	X	
d001.s003.t021	EPAR	EPAR	N	
d001.s003.t022	)	)	X	
d001.s003.t023	را	را	X	
d001.s003.t024	بخوانید	خوان	V	bn:00092424v
d001.s003.t025	یا	یا	X	
d001.s003.t026	با	با	X	
d001.s003.t027	پزشک	پزشک	N	bn:00027976n
d001.s003.t028	یا	یا	X	
d001.s003.t029	داروساز	داروساز	N	bn:00004992n
d001.s003.t030	خود	خود	X	
d001.s003.t031	تماس بگیرید	تماس گیر	V	bn:00085696v
d001.s003.t032	.	.	X	
d001.s004.t001	اگر	اگر	X	
d001.s004.t002	بر	بر	X	
d001.s004.t003	اساس	اساس	N	bn:00008786n
d001.s004.t004	توصیه‌های	توصیه	N	bn:00066562n
d001.s004.t005	CHMP	CHMP	N	bn:00302314n
d001.s004.t006	اطلاعات	اطلاعات	N	bn:00025314n
d001.s004.t007	بیشتری	بیشتری	A	bn:00106935a
d001.s004.t008	می‌خواهید	خواه	V	bn:00086682v
d001.s004.t009	،	،	X	
d001.s004.t010	بحث	بحث	N	bn:00027523n
d001.s004.t011	علمی	علمی	A	bn:00110175a
d001.s004.t012	(	(	X	
d001.s004.t013	همچنین	همچنین	X	
d001.s004.t014	بخشی	بخشی	N	bn:00021395n
d001.s004.t015	از	از	X	
d001.s004.t016	EPAR	EPAR	N	
d001.s004.t017	)	)	X	
d001.s004.t018	را	را	X	
d001.s004.t019	بخوانید	خوان	V	bn:00092424v
d001.s004.t020	.	.	X	
d001.s005.t001	آلیمتا	آلیمتا	N	bn:00602447n
d001.s005.t002	چیست	چیست	V	
d001.s005.t003	؟	؟	X	
d001.s006.t001	آلیمتا	آلیمتا	N	bn:00602447n
d001.s006.t002	پودری	پودر	N	bn:00063926n
d001.s006.t003	است	است	V	
d001.s006.t004	که	که	X	
d001.s006.t005	به	به	X	
d001.s006.t006	صورت	صورت	N	
d001.s006.t007	محلولی	محلول	N	bn:00072760n
d001.s006.t008	برای	برای	X	
d001.s006.t009	انفوزیون	انفوزیون	N	wn:00323532n
d001.s006.t010	(	(	X	
d001.s006.t011	قطره	قطره	N	bn:00028709n
d001.s006.t012	در	در	X	
d001.s006.t013	رگ	رگ	N	bn:00011396n
d001.s006.t014	)	)	X	
d001.s006.t015	ساخته_می‌شود	ساخت	V	bn:00083187v
d001.s006.t016	.	.	X	
d001.s007.t001	حاوی	حاوی	N	bn:09295126n
d001.s007.t002	ماده	ماده	N	bn:00074986n
d001.s007.t003	فعال	فعال	A	bn:00096387a
d001.s007.t004	پمترکسد	پمترکسد	N	bn:00602447n
d001.s007.t005	است	است	V	bn:00085499v
d001.s007.t006	.	.	X	
d001.s008.t001	آلیمتا	آلیمتا	N	bn:00602447n
d001.s008.t002	برای	برای	X	
d001.s008.t003	چه	چه	X	
d001.s008.t004	مواردی	موارد	N	
d001.s008.t005	استفاده می‌شود	استفاده شو	V	bn:00082705v
d001.s008.t006	؟	؟	X	
d001.s009.t001	آلیمتا	آلیمتا	N	bn:00602447n
d001.s009.t002	برای	برای	X	
d001.s009.t003	درمان	درمان	N	bn:00047235n
d001.s009.t004	دو	دو	X	
d001.s009.t005	نوع	نوع	N	bn:00078798n
d001.s009.t006	سرطان	سرطان	N	bn:00015180n
d001.s009.t007	استفاده می‌شود	استفاده شو	V	bn:00082705v
d001.s009.t008	:	:	X	
d001.s009.t009	مزوتلیومای	مزوتلیومای	N	bn:00054512n
d001.s009.t010	پلور	پلور	A	bn:00108692a
d001.s009.t011	(	(	X	
d001.s009.t012	سرطان	سرطان	N	bn:00015180n
d001.s009.t013	پوشش	پوشش	N	bn:00051366n
d001.s009.t014	ریه	ریه	N	bn:00052341n
d001.s009.t015	که	که	X	
d001.s009.t016	معمولا	معمولا	R	bn:00114778r
d001.s009.t017	در	در	X	
d001.s009.t018	اثر	اثر	N	
d001.s009.t019	قرار	قرار	N	
d001.s009.t020	گرفتن	گرفتن	N	
d001.s009.t021	در	در	X	
d001.s009.t022	معرض	معرض	N	bn:00032379n
d001.s009.t023	آزبست	آزبست	N	bn:00006236n
d001.s009.t024	ایجاد می‌شود	ایجاد شو	V	bn:00084069v
d001.s009.t025	)	)	X	
d001.s009.t026	.	.	X	
d001.s010.t001	آلیمتا	آلیمتا	N	bn:00602447n
d001.s010.t002	همراه	همراه	N	
d001.s010.t003	با	با	X	
d001.s010.t004	سیس	سیس	N	bn:00577781n
d001.s010.t005	پلاتین	پلاتین	N	bn:00577781n
d001.s010.t006	(	(	X	
d001.s010.t007	یکی	یکی	X	
d001.s010.t008	دیگر	دیگر	X	
d001.s010.t009	از	از	X	
d001.s010.t010	داروهای	دارو	N	bn:00054128n
d001.s010.t011	ضد سرطان	ضد سرطان	A	bn:00097220a
d001.s010.t012	)	)	X	
d001.s010.t013	زمانی	زمانی	N	
d001.s010.t014	که	که	X	
d001.s010.t015	سرطان	سرطان	N	bn:00015180n
d001.s010.t016	غیرقابل برداشت	غیرقابل برداشت	A	bn:13653537a
d001.s010.t017	(	(	X	
d001.s010.t018	به	به	X	
d001.s010.t019	تنهایی	تنهایی	A	bn:00096871a
d001.s010.t020	با	با	X	
d001.s010.t021	جراحی	جراحی	N	bn:00059129n
d001.s010.t022	قابل برداشتن	قابل برداشتن	N	bn:27213202n
d001.s010.t023	نیست	نیست	V	
