Token ID	Token	POS	Lemma	BN Synset
d001.s001.t001	این	X	این	
d001.s001.t002	سند	NOUN	سند	bn:00028015n
d001.s001.t003	خلاصه‌ای	NOUN	خلاصه	bn:00067409n
d001.s001.t004	از	X	از	
d001.s001.t005	گزارش	NOUN	گزارش	bn:00067181n
d001.s001.t006	ارزیابی	NOUN	ارزیابی	bn:00031973n
d001.s001.t007	عمومی	ADJ	عمومی	bn:00109211a
d001.s001.t008	اروپا	NOUN	اروپا	bn:00031896n
d001.s001.t009	(	X	(	
d001.s001.t010	EPAR	NOUN	EPAR	bn:00059060n
d001.s001.t011	)	X	)	
d001.s001.t012	است	VERB	است	bn:00090740v
d001.s001.t013	.	X	.	
d001.s002.t001	این	X	این	
d001.s002.t002	توضیح می‌دهد	VERB	توضیح ده	bn:00082214v
d001.s002.t003	که	X	که	
d001.s002.t004	چگونه	ADV	چگونه	bn:00115235r
d001.s002.t005	کمیته	NOUN	کمیته	bn:00021015n
d001.s002.t006	محصولات	NOUN	محصولات	bn:00031629n
d001.s002.t007	دارویی	ADJ	دارویی	bn:00108518a
d001.s002.t008	برای	X	برای	
d001.s002.t009	استفاده	NOUN	استفاده	bn:00030627n
d001.s002.t010	انسانی	ADJ	انسانی	bn:00044576n
d001.s002.t011	(	X	(	
d001.s002.t012	CHMP	NOUN	CHMP	bn:00033851n
d001.s002.t013	)	X	)	
d001.s002.t014	مطالعات	NOUN	مطالعات	bn:00074795n
d001.s002.t015	انجام‌شده	ADJ	انجام‌شده	bn:00107822a
d001.s002.t016	را	X	را	
d001.s002.t017	ارزیابی کرده	VERB	ارزیابی کرد	bn:00084848v
d001.s002.t018	تا	X	تا	
d001.s002.t019	به	X	به	
d001.s002.t020	توصیه‌های	NOUN	توصیه	bn:00066562n
d001.s002.t021	خود	X	خود	
d001.s002.t022	در	X	در	
d001.s002.t023	مورد	NOUN	مورد	bn:00032099n
d001.s002.t024	نحوه	NOUN	نحوه	bn:00032286n
d001.s002.t025	استفاده	NOUN	استفاده	bn:00030627n
d001.s002.t026	از	X	از	
d001.s002.t027	دارو	NOUN	دارو	bn:00028872n
d001.s002.t028	برسد	VERB	رسید#رس	bn:00085906v
d001.s002.t029	.	X	.	
d001.s003.t001	اگر	X	اگر	
d001.s003.t002	به	X	به	
d001.s003.t003	اطلاعات	NOUN	اطلاعات	bn:00025314n
d001.s003.t004	بیشتری	ADJ	بیشتری	bn:00102794a
d001.s003.t005	در	X	در	
d001.s003.t006	مورد	NOUN	مورد	bn:00032099n
d001.s003.t007	وضعیت	NOUN	وضعیت	bn:00063703n
d001.s003.t008	پزشکی	NOUN	پزشکی	bn:00054133n
d001.s003.t009	یا	X	یا	
d001.s003.t010	درمان	NOUN	درمان	bn:00066729n
d001.s003.t011	خود	X	خود	
d001.s003.t012	نیاز	NOUN	نیاز	bn:00026107n
d001.s003.t013	دارید	VERB	دار	bn:00073884n
d001.s003.t014	،	X	،	
d001.s003.t015	بروشور	NOUN	بروشور	bn:00012133n
d001.s003.t016	بسته بندی	NOUN	بسته بندی	bn:00035907n
d001.s003.t017	(	X	(	
d001.s003.t018	همچنین	X	همچنین	
d001.s003.t019	بخشی	NOUN	بخشی	bn:00021395n
d001.s003.t020	از	X	از	
d001.s003.t021	EPAR	NOUN	EPAR	bn:00028015n
d001.s003.t022	)	X	)	
d001.s003.t023	را	X	را	
d001.s003.t024	بخوانید	VERB	خوان	bn:00024323n
d001.s003.t025	یا	X	یا	
d001.s003.t026	با	X	با	
d001.s003.t027	پزشک	NOUN	پزشک	bn:00027976n
d001.s003.t028	یا	X	یا	
d001.s003.t029	داروساز	NOUN	داروساز	bn:00004992n
d001.s003.t030	خود	X	خود	
d001.s003.t031	تماس بگیرید	VERB	تماس گیر	bn:00091037v
d001.s003.t032	.	X	.	
d001.s004.t001	اگر	X	اگر	
d001.s004.t002	بر	X	بر	
d001.s004.t003	اساس	NOUN	اساس	bn:00008786n
d001.s004.t004	توصیه‌های	NOUN	توصیه	bn:00066562n
d001.s004.t005	CHMP	NOUN	CHMP	bn:00046516n
d001.s004.t006	اطلاعات	NOUN	اطلاعات	bn:00046705n
d001.s004.t007	بیشتری	ADJ	بیشتری	bn:00106124a
d001.s004.t008	می‌خواهید	VERB	خواه	bn:00084526v
d001.s004.t009	،	X	،	
d001.s004.t010	بحث	NOUN	بحث	bn:00027523n
d001.s004.t011	علمی	ADJ	علمی	bn:00110176a
d001.s004.t012	(	X	(	
d001.s004.t013	همچنین	X	همچنین	
d001.s004.t014	بخشی	NOUN	بخشی	bn:00021395n
d001.s004.t015	از	X	از	
d001.s004.t016	EPAR	NOUN	EPAR	bn:00046516n
d001.s004.t017	)	X	)	
d001.s004.t018	را	X	را	
d001.s004.t019	بخوانید	VERB	خوان	bn:00024323n
d001.s004.t020	.	X	.	
d001.s005.t001	آلیمتا	NOUN	آلیمتا	bn:00004467n
d001.s005.t002	چیست	VERB	چیست	bn:00088629v
d001.s005.t003	؟	X	؟	
d001.s006.t001	آلیمتا	NOUN	آلیمتا	bn:00006898n
d001.s006.t002	پودری	NOUN	پودر	bn:00063926n
d001.s006.t003	است	VERB	است	bn:00083294v
d001.s006.t004	که	X	که	
d001.s006.t005	به	X	به	
d001.s006.t006	صورت	NOUN	صورت	bn:00032600n
d001.s006.t007	محلولی	NOUN	محلول	bn:00072760n
d001.s006.t008	برای	X	برای	
d001.s006.t009	انفوزیون	NOUN	انفوزیون	bn:00046887n
d001.s006.t010	(	X	(	
d001.s006.t011	قطره	NOUN	قطره	bn:00008127n
d001.s006.t012	در	X	در	
d001.s006.t013	رگ	NOUN	رگ	bn:00011396n
d001.s006.t014	)	X	)	
d001.s006.t015	ساخته_می‌شود	VERB	ساخت	bn:00084198v
d001.s006.t016	.	X	.	
d001.s007.t001	حاوی	NOUN	حاوی	bn:00001173n
d001.s007.t002	ماده	NOUN	ماده	bn:00053867n
d001.s007.t003	فعال	ADJ	فعال	bn:00096392a
d001.s007.t004	پمترکسد	NOUN	پمترکسد	bn:00053983n
d001.s007.t005	است	VERB	است	bn:00087845v
d001.s007.t006	.	X	.	
d001.s008.t001	آلیمتا	NOUN	آلیمتا	bn:00058111n
d001.s008.t002	برای	X	برای	
d001.s008.t003	چه	X	چه	
d001.s008.t004	مواردی	NOUN	موارد	bn:00058539n
d001.s008.t005	استفاده می‌شود	VERB	استفاده شو	bn:00086013v
d001.s008.t006	؟	X	؟	
d001.s009.t001	آلیمتا	NOUN	آلیمتا	bn:00014207n
d001.s009.t002	برای	X	برای	
d001.s009.t003	درمان	NOUN	درمان	bn:00024461n
d001.s009.t004	دو	X	دو	
d001.s009.t005	نوع	NOUN	نوع	bn:00033729n
d001.s009.t006	سرطان	NOUN	سرطان	bn:00015180n
d001.s009.t007	استفاده می‌شود	VERB	استفاده شو	bn:00086013v
d001.s009.t008	:	X	:	
d001.s009.t009	مزوتلیومای	NOUN	مزوتلیومای	bn:00057300n
d001.s009.t010	پلور	ADJ	پلور	bn:00108692a
d001.s009.t011	(	X	(	
d001.s009.t012	سرطان	NOUN	سرطان	bn:00015180n
d001.s009.t013	پوشش	NOUN	پوشش	bn:00023361n
d001.s009.t014	ریه	NOUN	ریه	bn:00052341n
d001.s009.t015	که	X	که	
d001.s009.t016	معمولا	ADV	معمولا	bn:00114778r
d001.s009.t017	در	X	در	
d001.s009.t018	اثر	NOUN	اثر	bn:00029888n
d001.s009.t019	قرار	NOUN	قرار	bn:00080504n
d001.s009.t020	گرفتن	NOUN	گرفتن	bn:00019475n
d001.s009.t021	در	X	در	
d001.s009.t022	معرض	NOUN	معرض	bn:00032375n
d001.s009.t023	آزبست	NOUN	آزبست	bn:00006236n
d001.s009.t024	ایجاد می‌شود	VERB	ایجاد شو	bn:00085337v
d001.s009.t025	)	X	)	
d001.s009.t026	.	X	.	
d001.s010.t001	آلیمتا	NOUN	آلیمتا	bn:00026905n
d001.s010.t002	همراه	NOUN	همراه	bn:00006532n
d001.s010.t003	با	X	با	
d001.s010.t004	سیس	NOUN	سیس	bn:00046516n
d001.s010.t005	پلاتین	NOUN	پلاتین	bn:00006910n
d001.s010.t006	(	X	(	
d001.s010.t007	یکی	X	یکی	
d001.s010.t008	دیگر	X	دیگر	
d001.s010.t009	از	X	از	
d001.s010.t010	داروهای	NOUN	دارو	bn:00028872n
d001.s010.t011	ضد سرطان	ADJ	ضد سرطان	bn:00106554a
d001.s010.t012	)	X	)	
d001.s010.t013	زمانی	NOUN	زمانی	bn:00077270n
d001.s010.t014	که	X	که	
d001.s010.t015	سرطان	NOUN	سرطان	bn:00015180n
d001.s010.t016	غیرقابل برداشت	ADJ	غیرقابل برداشت	bn:00102469a
d001.s010.t017	(	X	(	
d001.s010.t018	به	X	به	
d001.s010.t019	تنهایی	ADJ	تنهایی	bn:00026574n
d001.s010.t020	با	X	با	
d001.s010.t021	جراحی	NOUN	جراحی	bn:00059129n
d001.s010.t022	قابل برداشتن	NOUN	قابل برداشتن	bn:00067087n
d001.s010.t023	نیست	VERB	نیست	bn:00084526v
d001.s010.t024	)	X	)	
d001.s010.t025	و	X	و	
d001.s010.t026	بدخیم	ADJ	بدخیم	bn:00057267n
d001.s010.t027	(	X	(	
d001.s010.t028	به	X	به	
d001.s010.t029	سایر	ADJ	سایر	bn:00108011a
d001.s010.t030	نقاط	NOUN	نقاط	bn:00035268n
d001.s010.t031	بدن	NOUN	بدن	bn:00011744n
d001.s010.t032	گسترش‌یافته	VERB	گسترش‌یافته	bn:00083294v
d001.s010.t033	یا	X	یا	
d001.s010.t034	احتمالا	ADV	احتمالا	bn:00116211r
d001.s010.t035	به	X	به	
d001.s010.t036	راحتی	ADV	راحتی	bn:00114771r
d001.s010.t037	منتشر شده_است	VERB	منتشر شد	bn:00088912v
d001.s010.t038	)	X	)	
d001.s010.t039	استفاده می‌شود	VERB	استفاده شو	bn:00093287v
d001.s010.t040	.	X	.	
d001.s010.t041	شیمی‌درمانی	NOUN	شیمی‌درمانی	bn:00018141n
d001.s010.t042	(	X	(	
d001.s010.t043	داروهای	NOUN	دارو	bn:00028872n
d001.s010.t044	سرطان	NOUN	سرطان	bn:00015180n
d001.s010.t045	)	X	)	
d001.s010.t046	را	X	را	
d001.s010.t047	قبل	X	قبل	
d001.s010.t048	از	X	از	
d001.s010.t049	سرطان	NOUN	سرطان	bn:00015180n
d001.s010.t050	ریه	NOUN	ریه	bn:00052341n
d001.s010.t051	سلول	NOUN	سلول	bn:00017027n
d001.s010.t052	غیر	NOUN	غیر	bn:00017027n
d001.s010.t053	کوچک	ADJ	کوچک	bn:00098029a
d001.s010.t054	پیشرفته	ADJ	پیشرفته	bn:00106719a
d001.s010.t055	یا	X	یا	
d001.s010.t056	متاستاتیک	ADJ	متاستاتیک	bn:00054585n
d001.s010.t057	دریافت کرد	VERB	دریافت کرد	bn:00088084v
d001.s010.t058	که	X	که	
d001.s010.t059	بر	X	بر	
d001.s010.t060	سلول‌های	NOUN	سلول	bn:00017027n
d001.s010.t061	سنگفرشی	ADJ	سنگفرش	bn:00101826a
d001.s010.t062	تأثیر نمی‌گذارد	VERB	تأثیرگذار	bn:00085337v
d001.s010.t063	.	X	.	
d001.s011.t001	آلیمتا	NOUN	آلیمتا	bn:00026905n
d001.s011.t002	در	X	در	
d001.s011.t003	ترکیب	NOUN	ترکیب	bn:00075743n
d001.s011.t004	با	X	با	
d001.s011.t005	سیس	NOUN	سیس	bn:00046516n
d001.s011.t006	پلاتین	NOUN	پلاتین	bn:00006910n
d001.s011.t007	در	X	در	
d001.s011.t008	بیمارانی	NOUN	بیمارانی	bn:00061017n
d001.s011.t009	که	X	که	
d001.s011.t010	قبلا	ADV	قبلا	bn:00114185r
d001.s011.t011	تحت	X	تحت	
d001.s011.t012	درمان	NOUN	درمان	bn:00024461n
d001.s011.t013	قرار نگرفته‌اند	VERB	قرار گرفت	bn:00085337v
d001.s011.t014	و	X	و	
d001.s011.t015	به	X	به	
d001.s011.t016	تنهایی	NOUN	تنهایی	bn:00026574n
d001.s011.t017	در	X	در	
d001.s011.t018	بیمارانی	NOUN	بیمارانی	bn:00061017n
d001.s011.t019	که	X	که	
d001.s011.t020	در	X	در	
d001.s011.t021	گذشته	ADV	گذشته	bn:00114629r
d001.s011.t022	نوع	NOUN	نوع	bn:00033729n
d001.s011.t023	دیگری	X	دیگری	
d001.s011.t024	از	X	از	
d001.s011.t025	شیمی‌درمانی	NOUN	شیمی‌درمانی	bn:00018141n
d001.s011.t026	را	X	را	
d001.s011.t027	دریافت کرده‌اند	VERB	دریافت کرد	bn:00085337v
d001.s011.t028	استفاده می‌شود	VERB	استفاده شو	bn:00082705v
d001.s011.t029	.	X	.	
d001.s012.t001	دارو	NOUN	دارو	bn:00028872n
d001.s012.t002	فقط	ADV	فقط	bn:00114234r
d001.s012.t003	با	X	با	
d001.s012.t004	نسخه	NOUN	نسخه	bn:00029773n
d001.s012.t005	قابل تهیه	ADJ	قابل تهیه	bn:00108488a
d001.s012.t006	است	VERB	است	bn:00082907v
d001.s012.t007	.	X	.	
d001.s013.t001	آلیمتا	NOUN	آلیمتا	bn:00040805n
d001.s013.t002	چگونه	ADV	چگونه	bn:00114790r
d001.s013.t003	استفاده می‌شود	VERB	استفاده شو	bn:00091493v
d001.s013.t004	؟	X	؟	
d001.s014.t001	آلیمتا	NOUN	آلیمتا	bn:00026905n
d001.s014.t002	فقط	ADV	فقط	bn:00114234r
d001.s014.t003	باید	ADV	باید	bn:00056508n
d001.s014.t004	تحت	X	تحت	
d001.s014.t005	نظر	NOUN	نظر	bn:00079569n
d001.s014.t006	پزشک	NOUN	پزشک	bn:00027976n
d001.s014.t007	متخصص	ADJ	متخصص	bn:00096445a
d001.s014.t008	در	X	در	
d001.s014.t009	استفاده	NOUN	استفاده	bn:00030627n
