ID,English,Farsi Translation,English-Farsi Alignment
d001.s001,This document is a summary of the European Public Assessment Report (EPAR).,این سند خلاصه‌ای از گزارش ارزیابی عمومی اروپا ( EPAR ) است .,0-0 1-1 2-11 3-2 4-2 5-3 7-7 8-6 9-5 10-4 11-8 12-9 13-10 14-12
d001.s002,"It explains how the Committee for Medicinal Products for Human Use (CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.",این توضیح می‌دهد که چگونه کمیته محصولات دارویی برای استفاده انسانی ( CHMP ) مطالعات انجام‌شده را ارزیابی کرده تا به توصیه‌های خود در مورد نحوه استفاده از دارو برسد .,0-0 1-1 1-2 2-4 3-3 4-5 6-7 7-6 8-8 9-10 10-9 11-11 12-12 13-13 14-17 14-18 16-14 17-15 18-30 19-19 20-29 21-22 22-21 23-24 24-25 25-23 26-26 27-27 28-28 29-30
d001.s003,"If you need more information about your medical condition or your treatment, read the Package Leaflet (also part of the EPAR) or contact your doctor or pharmacist.",اگر به اطلاعات بیشتری در مورد وضعیت پزشکی یا درمان خود نیاز دارید ، بروشور بسته بندی ( همچنین بخشی از EPAR ) را بخوانید یا با پزشک یا داروساز خود تماس بگیرید .,0-0 1-12 2-11 3-3 4-2 5-5 6-10 7-7 8-6 9-8 10-32 11-9 12-13 12-33 13-24 15-15 15-16 16-14 17-17 18-18 19-19 20-20 21-4 22-21 23-22 24-25 25-31 26-30 27-27 28-28 29-29 30-33
d001.s004,"If you want more information on the basis of the CHMP recommendations, read the Scientific Discussion (also part of the EPAR).",اگر بر اساس توصیه‌های CHMP اطلاعات بیشتری می‌خواهید ، بحث علمی ( همچنین بخشی از EPAR ) را بخوانید .,0-0 1-7 2-7 3-6 4-5 5-1 7-2 9-3 10-4 11-3 12-8 12-19 13-18 14-17 15-10 16-9 17-11 18-12 19-13 20-14 22-15 23-16 24-19
d001.s005,What is Alimta?,آلیمتا چیست ؟,0-1 2-0 3-2
d001.s006,Alimta is a powder that is made up into a solution for infusion (drip into a vein).,آلیمتا پودری است که به صورت محلولی برای انفوزیون ( قطره در رگ ) ساخته_می‌شود .,0-0 1-2 2-1 3-1 4-3 5-14 6-14 7-6 8-4 9-6 10-7 11-8 12-9 13-12 14-11 16-10 17-13 18-15
d001.s007,It contains the active substance pemetrexed.,حاوی ماده فعال پمترکسد است .,1-0 1-4 3-2 4-1 5-3 6-5
d001.s008,What is Alimta used for?,آلیمتا برای چه مواردی استفاده می‌شود ؟,0-2 1-5 2-0 3-4 4-1 5-6
d001.s009,Alimta is used to treat two types of cancer: pleural mesothelioma (cancer of the lining of the lungs that is usually caused by exposure to asbestos).,آلیمتا برای درمان دو نوع سرطان استفاده می‌شود : مزوتلیومای پلور ( سرطان پوشش ریه که معمولا در اثر قرار گرفتن در معرض آزبست ایجاد می‌شود ) .,0-0 1-7 2-6 3-1 4-2 5-3 6-4 8-5 9-8 10-10 11-9 12-11 13-12 15-21 16-13 19-14 20-15 21-25 22-16 23-24 24-18 25-22 26-20 27-23 28-26 29-27
d001.s010,"Alimta is used together with cisplatin (another anticancer medicine) when the cancer is unresectable (cannot be removed by surgery alone) and malignant (has spread, or is likely to spread easily, to other parts of the body), in patients who have not received chemotherapy (medicines for cancer) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells.",آلیمتا همراه با سیس پلاتین ( یکی دیگر از داروهای ضد سرطان ) زمانی که سرطان غیرقابل برداشت ( به تنهایی با جراحی قابل برداشتن نیست ) و بدخیم ( به سایر نقاط بدن گسترش‌یافته یا احتمالا به راحتی منتشر شده_است ) استفاده می‌شود . شیمی‌درمانی ( داروهای سرطان ) را قبل از سرطان ریه سلول غیر کوچک پیشرفته یا متاستاتیک دریافت کرد که بر سلول‌های سنگفرشی تأثیر نمی‌گذارد .,0-0 1-43 2-42 3-1 4-2 5-3 5-4 6-5 7-7 8-10 8-11 9-9 10-12 11-13 13-15 14-14 15-16 15-17 16-18 17-25 18-24 19-24 20-21 21-22 22-20 23-26 24-27 25-28 26-29 27-34 28-34 30-35 32-36 33-37 34-39 35-38 36-44 37-30 38-31 39-32 41-19 42-33 43-41 44-44 50-61 51-45 52-46 53-47 53-54 55-48 56-49 57-51 58-58 59-59 60-60 61-56 61-57 62-55 64-53 65-63 67-68 68-67 68-68 70-66 71-65 72-69
d001.s011,"Alimta is used in combination with cisplatin in patients who have not been treated before, and on its own in patients who have received another type of chemotherapy in the past.",آلیمتا در ترکیب با سیس پلاتین در بیمارانی که قبلا تحت درمان قرار نگرفته‌اند و به تنهایی در بیمارانی که در گذشته نوع دیگری از شیمی‌درمانی را دریافت کرده‌اند استفاده می‌شود .,0-0 1-30 2-29 3-1 4-2 5-3 6-4 6-5 7-6 8-7 9-8 10-13 11-13 12-13 13-11 14-9 15-18 16-14 17-15 19-16 20-17 21-18 22-19 23-28 24-27 25-23 26-22 27-24 28-25 29-20 31-21 32-31
d001.s012,The medicine can only be obtained with a prescription.,دارو فقط با نسخه قابل تهیه است .,1-0 2-6 3-1 5-4 5-5 6-2 8-3 9-7
d001.s013,How is Alimta used?,آلیمتا چگونه استفاده می‌شود ؟,0-1 1-3 2-0 3-2 4-4
d001.s014,Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy.,آلیمتا فقط باید تحت نظر پزشک متخصص در استفاده از شیمی‌درمانی ضد سرطان تجویز شود .,0-0 1-2 2-1 3-14 4-13 5-3 7-4 10-5 13-6 14-7 16-8 17-9 18-11 18-12 19-10 20-15
d001.s015,The recommended dose of Alimta is 500 mg per square metre of body surface area (calculated using the patient's height and weight).,دوز توصیه‌شده آلیمتا ۵۰۰ میلی‌گرم به ازای هر متر مربع از سطح بدن ( محاسبه با قد و وزن بیمار ) است .,0-0 1-1 2-0 4-2 5-21 6-3 7-4 8-7 10-8 11-10 12-12 13-11 14-9 15-13 16-1 16-14 17-15 19-19 21-16 22-17 23-18 24-20 25-22
d001.s016,It is given once every three weeks as an intravenous infusion lasting 10 minutes.,هر سه هفته یک‌بار به صورت انفوزیون داخل وریدی به مدت ۱۰ دقیقه تجویز می‌شود .,0-14 1-14 2-13 3-3 4-0 5-1 6-2 7-5 9-6 9-7 10-6 11-8 11-10 12-11 13-12 14-15
d001.s017,"To reduce side effects, patients should take a corticosteroid and folic acid (a type of vitamin), and receive injections of vitamin B12 during treatment with Alimta.",برای کاهش عوارض جانبی ، بیماران باید کورتیکواستروئید و اسید فولیک ( نوعی ویتامین ) مصرف کنند و در طول درمان با آلیمتا ، ویتامین B ۱۲ را تزریق کنند .,0-0 1-1 2-3 3-2 4-4 5-5 6-6 7-15 9-7 10-8 11-10 12-9 13-11 15-12 17-13 18-14 19-23 20-17 21-29 22-28 24-24 25-25 25-26 26-19 27-20 28-21 29-22 30-30
d001.s018,"When Alimta is given with cisplatin, an anti-emetic medicine (to prevent vomiting) and fluids (to prevent dehydration) should also be given before or after the cisplatin dose.",هنگامی‌که آلیمتا با سیس پلاتین تجویز می‌شود ، داروی ضد استفراغ ( برای جلوگیری از استفراغ ) و مایعات ( برای جلوگیری از کم آبی بدن ) نیز باید قبل یا بعد از دوز سیس پلاتین تجویز شود .,0-0 1-1 2-6 3-5 4-2 5-3 5-4 6-7 7-8 8-9 9-8 10-11 11-12 12-13 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-23 20-24 20-25 21-26 22-28 23-27 24-37 25-36 26-29 27-30 28-31 29-33 30-34 30-35 31-33 32-38
d001.s019,"Treatment should be delayed or discontinued, or the dose reduced, in patients whose blood counts are abnormal or who have certain other side effects.",در بیمارانی که شمارش خون آنها غیرطبیعی است یا عوارض جانبی خاصی دارند ، درمان باید به تعویق بیفتد یا قطع شود یا دوز کاهش یابد .,0-14 1-15 2-21 3-17 4-19 5-18 5-20 7-22 9-23 10-24 11-13 12-0 13-1 14-2 15-4 16-3 16-10 17-7 18-6 19-8 20-1 21-12 22-11 24-10 25-9 26-26
