ID	English	Farsi Translation
d001.s001	This document is a summary of the European Public Assessment Report ( EPAR ) .	این سند خلاصه ای از گزارش ارزیابی عمومی اروپا (EPAR) است.
d001.s002	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	این توضیح می دهد که چگونه کمیته فرآورده های دارویی برای استفاده انسانی (CHMP) مطالعات انجام شده را ارزیابی کرد تا به توصیه های آنها در مورد نحوه استفاده از دارو برسد.
d001.s003	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	اگر به اطلاعات بیشتری در مورد وضعیت پزشکی یا درمان خود نیاز دارید، بروشور بسته بندی را بخوانید (همچنین بخشی از EPAR است) یا با پزشک یا داروساز خود تماس بگیرید.
d001.s004	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	اگر بر اساس توصیه های CHMP اطلاعات بیشتری می خواهید، بحث علمی (همچنین بخشی از EPAR) را بخوانید.
d001.s005	What is Alimta ?	آلیمتا چیست؟
d001.s006	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	آلیمتا پودری است که به صورت محلول انفوزیون (قطره در رگ) ساخته می شود.
d001.s007	It contains the active substance pemetrexed .	حاوی ماده فعال پمترکسد است.
d001.s008	What is Alimta used for ?	Alimta برای چه مواردی استفاده می شود؟
d001.s009	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta برای درمان دو نوع سرطان استفاده می شود: مزوتلیومای پلور (سرطان پوشش ریه که معمولاً در اثر قرار گرفتن در معرض آزبست ایجاد می شود).
d001.s010	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	آلیمتا همراه با سیس پلاتین (یکی دیگر از داروهای ضد سرطان) در مواردی که سرطان قابل برداشتن نیست (به تنهایی با جراحی قابل برداشتن نیست) و بدخیم است (به راحتی به سایر نقاط بدن سرایت کرده است یا به احتمال زیاد به راحتی به سایر نقاط بدن سرایت کرده است) استفاده می شود. شیمی درمانی (داروهای سرطان) قبل از سرطان ریه سلول غیر کوچک پیشرفته یا متاستاتیک که بر سلول های سنگفرشی تأثیر نمی گذارد، دریافت کرد.
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	آلیمتا در ترکیب با سیس پلاتین در بیمارانی که قبلا تحت درمان قرار نگرفته اند و به تنهایی در بیمارانی که در گذشته نوع دیگری از شیمی درمانی را دریافت کرده اند استفاده می شود.
d001.s012	The medicine can only be obtained with a prescription .	دارو فقط با نسخه قابل تهیه است.
d001.s013	How is Alimta used ?	آلیمتا چگونه استفاده می شود؟
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	آلیمتا فقط باید تحت نظر پزشک متخصص در استفاده از شیمی درمانی ضد سرطان تجویز شود.
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .	دوز توصیه شده آلیمتا 500 میلی گرم به ازای هر متر مربع از سطح بدن (محاسبه با قد و وزن بیمار) است.
d001.s016	It is given once every three weeks as an intravenous infusion lasting 10 minutes .	هر سه هفته یک بار به صورت انفوزیون داخل وریدی به مدت 10 دقیقه تجویز می شود.
d001.s017	To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	برای کاهش عوارض جانبی، بیماران باید کورتیکواستروئید و اسید فولیک (نوعی ویتامین) مصرف کنند و در طول درمان با آلیمتا ویتامین B12 را تزریق کنند.
d001.s018	When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .	هنگامی که آلیمتا با سیس پلاتین تجویز می شود، باید قبل یا بعد از دوز سیس پلاتین، داروی ضد استفراغ (برای جلوگیری از استفراغ) و مایعات (برای جلوگیری از کم آبی بدن) تجویز شود.
d001.s019	Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .	در بیمارانی که شمارش خون آنها غیرطبیعی است یا عوارض جانبی خاصی دارند، درمان باید به تعویق بیفتد یا قطع شود یا دوز کاهش یابد.
d001.s020	Alimta is not recommended for use in patients with moderate or severe kidney problems .	استفاده از Alimta در بیماران مبتلا به مشکلات کلیوی متوسط یا شدید توصیه نمی شود.
d001.s021	For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	برای اطلاعات بیشتر، به خلاصه مشخصات محصول (همچنین بخشی از EPAR) مراجعه کنید.
d001.s022	How does Alimta work ?	آلیمتا چگونه کار می کند؟
