Start Sense
d001.s001.t002 bn:00028015n
d001.s001.t005 bn:00075142n
d001.s001.t008 bn:00067181n
d001.s001.t009 bn:00109211a
d001.s001.t011 bn:00031973n
d001.s001.t012 bn:00102440a
d001.s001.t014 bn:00010392n
d001.s002.t002 bn:00067181n
d001.s002.t003 bn:00082233v
d001.s002.t005 bn:00033729n
d001.s002.t009 bn:00021015n
d001.s002.t012 bn:00054128n
d001.s002.t014 bn:00030627n
d001.s002.t015 bn:00104386a
d001.s002.t017 bn:00092823v
d001.s002.t020 bn:00082720v
d001.s002.t022 bn:00074790n
d001.s002.t023 bn:00110176a
d001.s002.t024 bn:00096397a
d001.s002.t027 bn:00082799v
d001.s002.t029 bn:00066562n
d001.s002.t032 bn:00089140v
d001.s002.t034 bn:00054128n
d001.s003.t002 bn:00103782a
d001.s003.t003 bn:00046698n
d001.s003.t004 bn:00083240v
d001.s003.t007 bn:00021644n
d001.s003.t009 bn:00043358n
d001.s003.t012 bn:00076843n
d001.s003.t014 bn:00092424v
d001.s003.t016 bn:00062308n
d001.s003.t017 bn:00102587a
d001.s003.t019 bn:00087593v
d001.s003.t024 bn:00085574v
d001.s003.t026 bn:00027976n
d001.s003.t029 bn:00004992n
d001.s004.t002 bn:00103782a
d001.s004.t003 bn:00046698n
d001.s004.t006 bn:00048673n
d001.s004.t008 bn:00066562n
d001.s004.t010 bn:00041942n
d001.s004.t012 bn:00092424v
d001.s004.t014 bn:00027523n
d001.s004.t015 bn:00110176a
d001.s004.t017 bn:00046209n
d001.s004.t019 bn:00087593v
d001.s005.t004 bn:00097350a
d001.s006.t001 bn:00076647n
d001.s006.t004 bn:00063926n
d001.s006.t006 bn:00092532v
d001.s006.t008 bn:00072760n
d001.s006.t010 bn:00043783n
d001.s006.t012 bn:00046787n
d001.s006.t013 bn:00066052n
d001.s006.t017 bn:00079681n
d001.s007.t001 bn:00085499v
d001.s007.t003 bn:00064429n
d001.s007.t004 bn:00109075a
d001.s007.t005 bn:00054535n
d001.s008.t003 bn:00076924n
d001.s008.t005 bn:00082705v
d001.s009.t001 bn:00076647n
d001.s009.t003 bn:00089682v
d001.s009.t005 bn:00047235n
d001.s009.t008 bn:00078798n
d001.s009.t010 bn:00057267n
d001.s009.t014 bn:00108692a
d001.s009.t018 bn:00054285n
d001.s009.t020 bn:00090616v
d001.s009.t022 bn:00052341n
d001.s009.t024 bn:00114778r
d001.s009.t025 bn:00084699v
d001.s009.t027 bn:00032225n
d001.s009.t029 bn:00006236n
d001.s010.t001 bn:00041942n
d001.s010.t003 bn:00082705v
d001.s010.t005 bn:00020872n
d001.s010.t007 bn:00028512n
d001.s010.t010 bn:00108011a
d001.s010.t011 bn:00054128n
d001.s010.t012 bn:00004698n
d001.s010.t016 bn:00057267n
d001.s010.t017 bn:00116360r
d001.s010.t019 bn:00101262a
d001.s010.t024 bn:00092783v
d001.s010.t027 bn:00096869a
d001.s010.t028 bn:00059129n
d001.s010.t029 bn:00111516a
d001.s010.t033 bn:00107640a
d001.s010.t037 bn:00082489v
d001.s010.t041 bn:00105982a
d001.s010.t043 bn:00086806v
d001.s010.t044 bn:00115155r
d001.s010.t047 bn:00108011a
d001.s010.t048 bn:00021395n
d001.s010.t050 bn:00011744n
d001.s010.t054 bn:00061017n
d001.s010.t059 bn:00087888v
d001.s010.t061 bn:00064072n
d001.s010.t063 bn:00018141n
d001.s010.t065 bn:00099255a
d001.s010.t066 bn:00108724a
d001.s010.t069 bn:00106058a
d001.s010.t070 bn:00017027n
d001.s010.t072 bn:00025966n
d001.s010.t073 bn:00096528a
d001.s010.t075 bn:00106664a
d001.s010.t078 bn:00083240v
d001.s010.t081 bn:00104467a
d001.s011.t001 bn:00041942n
d001.s011.t003 bn:00082705v
d001.s011.t005 bn:00006539n
d001.s011.t007 bn:00028512n
d001.s011.t009 bn:00061017n
d001.s011.t010 bn:00116360r
d001.s011.t011 bn:00078126n
d001.s011.t013 bn:00060928n
d001.s011.t016 bn:00114235r
d001.s011.t024 bn:00087888v
d001.s011.t027 bn:00097165a
d001.s011.t028 bn:00078798n
d001.s011.t030 bn:00018141n
d001.s012.t002 bn:00054128n
d001.s012.t005 bn:00091124v
d001.s012.t006 bn:00114234r
d001.s012.t008 bn:00031708n
d001.s012.t009 bn:00106555a
d001.s013.t001 bn:00114354r
d001.s013.t003 bn:00082705v
d001.s014.t001 bn:00041942n
d001.s014.t004 bn:00082365v
d001.s014.t005 bn:00114234r
d001.s014.t008 bn:00059908n
d001.s014.t011 bn:00027976n
d001.s014.t012 bn:00096445a
d001.s014.t015 bn:00030627n
d001.s014.t017 bn:00018141n
d001.s014.t018 bn:00004698n
d001.s015.t002 bn:00099148a
d001.s015.t003 bn:00082418v
d001.s015.t005 bn:00026482n
d001.s015.t009 bn:00054701n
d001.s015.t011 bn:00052501n
d001.s015.t012 bn:00111084a
d001.s015.t014 bn:00075374n
d001.s015.t015 bn:00098648a
d001.s015.t017 bn:00084373v
d001.s015.t018 bn:00082705v
