Token ID	Token	Lemma	POS	BN Synset	Token ID IT	Token IT	Lemma IT	POS IT	Sense IT
d001.s001.t001	This		X	n/a	d001.s001.t001	Questo		X	n/a
d001.s001.t002	document	document	N	bn:00028015n;wiki:document;wn:document%1:10:00::;wn:papers%1:10:00::;wn:written_document%1:10:00::	d001.s001.t002	documento	documento	N	bn:00028015n;wiki:document;wn:document%1:10:00::;wn:papers%1:10:00::;wn:written_document%1:10:00::
d001.s001.t003	is	be	V	n/a	d001.s001.t003	è	essere	V	n/a
d001.s001.t004	a		X	n/a	d001.s001.t004	la		X	n/a
d001.s001.t005	summary	summary	N	bn:00075142n;wiki:summary_(law);wn:sum-up%1:10:00::;wn:summary%1:10:00::	d001.s001.t005	sintesi	sintesi	N	bn:00075142n;wiki:summary_(law);wn:sum-up%1:10:00::;wn:summary%1:10:00::
d001.s001.t006	of		X	n/a	d001.s001.t006	di		X	n/a
d001.s001.t007	the		X	n/a					n/a
d001.s001.t008	European	european	J	bn:00102440a;wn:european%3:01:00::	d001.s001.t012	europea	europeo	J	bn:00102440a;wn:european%3:01:00::
d001.s001.t009	Public	public	J	bn:00109211a;wn:public%3:00:00::	d001.s001.t009	pubblica	pubblico	J	bn:00109211a;wn:public%3:00:00::
d001.s001.t010	Assessment	assessment	N	bn:00006502n;wn:assessment%1:04:00::;wn:judgement%1:04:02::;wn:judgment%1:04:02::	d001.s001.t011	valutazione	valutazione	N	bn:00006502n;wn:assessment%1:04:00::;wn:judgement%1:04:02::;wn:judgment%1:04:02::
d001.s001.t011	Report	report	N	bn:00067181n;wiki:report;wn:report%1:10:03::;wn:study%1:10:00::;wn:written_report%1:10:00::	d001.s001.t008	relazione	relazione	N	bn:00067181n;wiki:report;wn:report%1:10:03::;wn:study%1:10:00::;wn:written_report%1:10:00::
d001.s001.t012	(		X	n/a	d001.s001.t013	(		X	n/a
d001.s001.t013	EPAR	epar	N	n/a	d001.s001.t014	EPAR	epar	N	n/a
d001.s001.t014	)		X	n/a	d001.s001.t015	)		X	n/a
d001.s001.t015	.		X	n/a	d001.s001.t016	.		X	n/a
d001.s002.t001	It		X	n/a					n/a
d001.s002.t002	explains	explain	V	bn:00087869v;bn:00087870v;wn:explain%2:32:00::;wn:explain%2:32:01::;wn:explicate%2:32:00::	d001.s002.t003	descrive	descrivere	V	bn:00087869v;bn:00087870v;wn:explain%2:32:00::;wn:explain%2:32:01::;wn:explicate%2:32:00::
d001.s002.t003	how		X	n/a	d001.s002.t005	modo	modo	N	n/a
d001.s002.t004	the		X	n/a	d001.s002.t008	il		X	n/a
d001.s002.t005	Committee	committee	N	bn:00021015n;wiki:committee;wn:commission%1:14:00::;wn:committee%1:14:00::					n/a
d001.s002.t006	for		X	n/a	d001.s002.t010	per		X	n/a
d001.s002.t007	Medicinal	medicinal	J	bn:00106556a;wn:medicative%5:00:00:healthful:00;wn:medicinal%5:00:00:healthful:00	d001.s002.t012	medicinali	medicinale	N	n/a
d001.s002.t008	Products	product	N	bn:00064584n;bn:01740339n;wiki:product_(business);wn:product%1:06:00::;wn:production%1:06:00::					n/a
d001.s002.t009	for		X	n/a	d001.s002.t013	per		X	n/a
d001.s002.t010	Human	human	J	bn:00104385a;wn:human%3:01:01::	d001.s002.t015	umano	umano	J	bn:00104385a;wn:human%3:01:01::
d001.s002.t011	Use	use	N	bn:00030627n;bn:00079370n;wn:employment%1:04:01::;wn:exercise%1:04:03::;wn:usage%1:04:00::;wn:use%1:04:00::;wn:use%1:07:02::;wn:utilisation%1:04:00::;wn:utilization%1:04:00::	d001.s002.t014	uso	uso	N	bn:00030627n;bn:00079370n;wn:employment%1:04:01::;wn:exercise%1:04:03::;wn:usage%1:04:00::;wn:use%1:04:00::;wn:use%1:07:02::;wn:utilisation%1:04:00::;wn:utilization%1:04:00::
d001.s002.t012	(		X	n/a	d001.s002.t016	(		X	n/a
d001.s002.t013	CHMP	chmp	N	n/a	d001.s002.t017	CHMP	chmp	N	n/a
d001.s002.t014	)		X	n/a	d001.s002.t018	)		X	n/a
d001.s002.t015	assessed	assess	V	bn:00082720v;wn:appraise%2:31:01::;wn:assess%2:31:00::;wn:evaluate%2:31:00::;wn:measure%2:31:01::;wn:valuate%2:31:00::;wn:value%2:31:00::	d001.s002.t020	valutato	valutare	V	bn:00082720v;wn:appraise%2:31:01::;wn:assess%2:31:00::;wn:evaluate%2:31:00::;wn:measure%2:31:01::;wn:valuate%2:31:00::;wn:value%2:31:00::
d001.s002.t016	the		X	n/a	d001.s002.t021	gli		X	n/a
d001.s002.t017	studies	study	N	bn:00074790n;wn:study%1:04:00::;wn:survey%1:04:02::	d001.s002.t022	studi	studio	N	bn:00074790n;wn:study%1:04:00::;wn:survey%1:04:02::
d001.s002.t018	performed	perform	V	bn:00087107v;wn:do%2:36:01::;wn:execute%2:36:01::;wn:perform%2:36:00::	d001.s002.t024	effettuati	effettuare	V	bn:00087107v;wn:do%2:36:01::;wn:execute%2:36:01::;wn:perform%2:36:00::
d001.s002.t019	,		X	n/a					n/a
d001.s002.t020	to		X	n/a					n/a
d001.s002.t021	reach	reach	V	bn:00082226v;bn:00088789v;wn:accomplish%2:41:00::;wn:achieve%2:41:00::;wn:attain%2:41:00::;wn:get_to%2:38:02::;wn:make%2:38:02::;wn:progress_to%2:38:00::;wn:reach%2:38:06::;wn:reach%2:41:00::					n/a
d001.s002.t022	their		X	n/a					n/a
d001.s002.t023	recommendations	recommendation	N	bn:00066562n;wn:recommendation%1:10:00::	d001.s002.t029	raccomandazioni	raccomandazione	N	bn:00066562n;wn:recommendation%1:10:00::
d001.s002.t024	on		X	n/a	d001.s002.t030	su		X	n/a
d001.s002.t025	how		X	n/a	d001.s002.t031	come		X	n/a
d001.s002.t026	to		X	n/a					n/a
d001.s002.t027	use	use	V	bn:00082705v;bn:00089140v;wn:apply%2:34:00::;wn:employ%2:34:00::;wn:habituate%2:34:00::;wn:use%2:34:01::;wn:use%2:34:02::;wn:utilise%2:34:00::;wn:utilize%2:34:00::	d001.s002.t032	usare	usare	V	bn:00082705v;bn:00089140v;wn:apply%2:34:00::;wn:employ%2:34:00::;wn:habituate%2:34:00::;wn:use%2:34:01::;wn:use%2:34:02::;wn:utilise%2:34:00::;wn:utilize%2:34:00::
d001.s002.t028	the		X	n/a	d001.s002.t033	il		X	n/a
d001.s002.t029	medicine	medicine	N	bn:00054128n;bn:00061887n;wiki:pharmaceutical_drug;wn:medicament%1:06:00::;wn:medication%1:06:00::;wn:medicinal_drug%1:06:00::;wn:medicine%1:06:00::;wn:pharmaceutic%1:06:00::;wn:pharmaceutical%1:06:00::	d001.s002.t034	medicinale	medicinale	N	bn:00054128n;bn:00061887n;wiki:pharmaceutical_drug;wn:medicament%1:06:00::;wn:medication%1:06:00::;wn:medicinal_drug%1:06:00::;wn:medicine%1:06:00::;wn:pharmaceutic%1:06:00::;wn:pharmaceutical%1:06:00::
d001.s002.t030	.		X	n/a	d001.s002.t035	.		X	n/a
d001.s003.t001	If		X	n/a	d001.s003.t001	Per		X	n/a
d001.s003.t002	you		X	n/a					n/a
d001.s003.t003	need	need	V	bn:00091028v;bn:00091029v;wn:need%2:34:00::;wn:need%2:34:01::;wn:require%2:34:00::;wn:want%2:34:00::					n/a
d001.s003.t004	more	more	J	bn:00106935a;wn:more%3:00:01::;wn:more_than%3:00:00::	d001.s003.t002	maggiori	maggiore	J	bn:00106935a;wn:more%3:00:01::;wn:more_than%3:00:00::
d001.s003.t005	information	information	N	bn:00025314n;bn:00046705n;wiki:data;wiki:information;wn:data%1:14:00::;wn:information%1:09:00::;wn:information%1:14:00::	d001.s003.t003	informazioni	informazione	N	bn:00025314n;bn:00046705n;wiki:data;wiki:information;wn:data%1:14:00::;wn:information%1:09:00::;wn:information%1:14:00::
