Start Sense
d001.s001.t002 bn:00028015n
d001.s001.t005 bn:00075142n
d001.s001.t008 bn:00067181n
d001.s001.t009 bn:00109211a
d001.s001.t011 bn:00006502n
d001.s001.t012 bn:00102440a
d001.s002.t003 bn:00087869v
d001.s002.t014 bn:00030627n
d001.s002.t015 bn:00104385a
d001.s002.t020 bn:00082720v
d001.s002.t022 bn:00074790n
d001.s002.t024 bn:00087107v
d001.s002.t029 bn:00066562n
d001.s002.t032 bn:00082705v
d001.s002.t034 bn:00054128n
d001.s003.t002 bn:00106935a
d001.s003.t003 bn:00025314n
d001.s003.t007 bn:00021648n
d001.s003.t012 bn:00047235n
d001.s003.t014 bn:00092424v
d001.s003.t016 bn:00012133n
d001.s003.t024 bn:00085696v
d001.s003.t026 bn:00027976n
d001.s003.t029 bn:00004992n
d001.s004.t002 bn:00106935a
d001.s004.t003 bn:00025314n
d001.s004.t008 bn:00066562n
d001.s004.t012 bn:00092424v
d001.s004.t014 bn:00027523n
d001.s004.t015 bn:00110175a
d001.s006.t004 bn:00063926n
d001.s006.t008 bn:00072760n
d001.s006.t010 bn:00046734n
d001.s006.t017 bn:00079681n
d001.s007.t001 bn:00085499v
d001.s007.t003 bn:00377649n
d001.s008.t005 bn:00082705v
d001.s009.t003 bn:00082705v
d001.s009.t008 bn:00078798n
d001.s009.t010 bn:00015180n
d001.s009.t013 bn:00054512n
d001.s009.t014 bn:00108692a
d001.s009.t016 bn:00015180n
d001.s009.t024 bn:00114778r
d001.s009.t025 bn:00084069v
d001.s009.t027 bn:00032379n
d001.s009.t029 bn:00006236n
d001.s010.t003 bn:00082705v
d001.s010.t007 bn:00577781n
d001.s010.t011 bn:00054128n
d001.s010.t016 bn:00015180n
d001.s010.t027 bn:00096871a
d001.s010.t028 bn:00059129n
d001.s010.t033 bn:00106363a
d001.s010.t037 bn:00092083v
d001.s010.t041 bn:00105981a
d001.s010.t044 bn:00115155r
d001.s010.t048 bn:00021395n
d001.s010.t050 bn:00011744n
d001.s010.t054 bn:00061017n
d001.s010.t058 bn:00087863v
d001.s010.t063 bn:00018141n
d001.s010.t073 bn:00096528a
d001.s010.t075 bn:00106664a
d001.s010.t078 bn:00082427v
d001.s010.t080 bn:00017027n
d001.s011.t003 bn:00082705v
d001.s011.t005 bn:00020872n
d001.s011.t007 bn:00577781n
d001.s011.t009 bn:00061017n
d001.s011.t011 bn:00084532v
d001.s011.t018 bn:00061017n
d001.s011.t021 bn:00060927n
d001.s011.t024 bn:00087863v
d001.s011.t028 bn:00078798n
d001.s011.t030 bn:00018141n
d001.s012.t002 bn:00054128n
d001.s012.t005 bn:00082276v
d001.s012.t006 bn:00116450r
d001.s012.t008 bn:00064195n
d001.s014.t004 bn:00088826v
d001.s014.t005 bn:00116450r
d001.s014.t008 bn:00059908n
d001.s014.t011 bn:00027976n
d001.s014.t015 bn:00030627n
d001.s014.t017 bn:00018141n
d001.s014.t018 bn:00097220a
d001.s015.t002 bn:00028320n
d001.s015.t009 bn:00054701n
d001.s015.t011 bn:00052501n
d001.s015.t014 bn:00005518n
d001.s015.t017 bn:00084373v
d001.s015.t018 bn:00082705v
d001.s015.t020 bn:00043545n
d001.s015.t023 bn:00080831n
d001.s015.t025 bn:00061017n
d001.s015.t030 bn:00046734n
d001.s015.t034 bn:00055094n
d001.s015.t037 bn:00102467a
d001.s015.t039 bn:00043484n
d001.s016.t002 bn:00084079v
d001.s016.t004 bn:00029874n
d001.s016.t008 bn:00061017n
d001.s016.t010 bn:00085689v
d001.s016.t012 bn:00001507n
d001.s016.t014 bn:00000902n
d001.s016.t018 bn:00078798n
d001.s016.t020 bn:00080147n
d001.s016.t024 bn:00046785n
d001.s016.t026 bn:00004712n
d001.s016.t030 bn:00047235n
d001.s017.t004 bn:00088826v
d001.s017.t006 bn:00577781n
d001.s017.t013 bn:00054128n
d001.s017.t017 bn:00088454v
d001.s017.t022 bn:00088826v
d001.s017.t032 bn:00114512r
d001.s017.t034 bn:00114165r
d001.s017.t036 bn:00028320n
d001.s017.t038 bn:00577781n
d001.s018.t002 bn:00047235n
d001.s018.t005 bn:00086514v
d001.s018.t007 bn:00083908v
d001.s018.t011 bn:00028320n
d001.s018.t014 bn:00084079v
d001.s018.t017 bn:00061017n
d001.s018.t025 bn:00088745v
d001.s018.t027 bn:00029874n
d001.s019.t002 bn:00030627n
d001.s019.t008 bn:00061017n
d001.s019.t012 bn:00110473a
d001.s019.t014 bn:00106826a
d001.s020.t002 bn:00106935a
d001.s020.t003 bn:00025314n
d001.s020.t008 bn:02075673n
d001.s020.t012 bn:00064584n
d001.s022.t002 bn:00074986n
d001.s022.t011 bn:00054128n
d001.s022.t012 bn:00100866a
d001.s022.t014 bn:00054128n
d001.s022.t016 bn:00090098v
d001.s022.t018 bn:00017027n
d001.s022.t030 bn:00083389v
d001.s022.t032 bn:00018111n
d001.s022.t034 bn:00004691n
d001.s023.t002 bn:00011744n
d001.s023.t004 bn:00602447n
d001.s023.t006 bn:00085761v
