Token ID	Token	Lemma	POS	Gold Senses	Silver Senses	Filtered Sense	Gold Gloss	Silver Gloss
d001.s001.t001	Questo		X					
d001.s001.t002	documento	documento	N	bn:00028015n	bn:00028015n	bn:00028015n		
d001.s001.t003	è	essere	V					
d001.s001.t004	la		X					
d001.s001.t005	sintesi	sintesi	N	bn:00075142n	bn:00075142n	bn:00075142n		
d001.s001.t006	di		X					
d001.s001.t007	una		X					
d001.s001.t008	relazione	relazione	N	bn:00067181n	bn:00067181n	bn:00067181n		
d001.s001.t009	pubblica	pubblico	J	bn:00109211a	bn:00109211a	bn:00109211a		
d001.s001.t010	di		X					
d001.s001.t011	valutazione	valutazione	N	bn:00005120n	bn:00006502n	bn:00006502n	The classification of someone or something with respect to its worth	The act of judging or assessing a person or situation or event
d001.s001.t012	europea	europeo	J	bn:00102440a	bn:00102440a	bn:00102440a		
d001.s001.t013	(		X					
d001.s001.t014	EPAR	epar	N					
d001.s001.t015	)		X					
d001.s001.t016	.		X					
d001.s002.t001	L		X					
d001.s002.t002	EPAR	epar	N					
d001.s002.t003	descrive	descrivere	V	bn:00086612v	bn:00087869v			
d001.s002.t004	il		X					
d001.s002.t005	modo	modo	N	bn:00001965n				
d001.s002.t006	in		X					
d001.s002.t007	cui		X					
d001.s002.t008	il		X					
d001.s002.t009	comitato	comitato	N	bn:00302314n	bn:00302314n	bn:00302314n		
d001.s002.t010	per		X					
d001.s002.t011	i		X					
d001.s002.t012	medicinali	medicinale	N	bn:00054128n	bn:00106556a	bn:00106556a	(medicine) something that treats or prevents or alleviates the symptoms of disease	Having the properties of medicine
d001.s002.t013	per		X					
d001.s002.t014	uso	uso	N	bn:00030627n	bn:00030627n	bn:00030627n		
d001.s002.t015	umano	umano	J	bn:00104385a	bn:00104385a	bn:00104385a		
d001.s002.t016	(		X					
d001.s002.t017	CHMP	chmp	N	bn:00302314n	bn:00302314n	bn:00302314n		
d001.s002.t018	)		X					
d001.s002.t019	ha	avere	V					
d001.s002.t020	valutato	valutare	V	bn:00082720v	bn:00082720v	bn:00082720v		
d001.s002.t021	gli		X					
d001.s002.t022	studi	studio	N	bn:00069678n	bn:00074790n	bn:00074790n	A method of investigation involving observation and theory to test scientific hypotheses	A detailed critical inspection
