Sentence ID	Sentence
d001.s001	Questo documento è la sintesi di una relazione pubblica di valutazione europea ( EPAR ) .
d001.s002	L EPAR descrive il modo in cui il comitato per i medicinali per uso umano ( CHMP ) ha valutato gli studi scientifici effettuati e ha formulato le raccomandazioni su come usare il medicinale .
d001.s003	Per maggiori informazioni riguardanti le proprie condizioni di salute o la terapia , leggere il foglio illustrativo ( allegato all EPAR ) oppure consultare il medico o il farmacista .
d001.s004	Per maggiori informazioni riguardo alle motivazioni delle raccomandazioni del CHMP , leggere la discussione scientifica ( anch essa allegato all EPAR ) .
d001.s005	Che cos è Alimta ?
d001.s006	Alimta è una polvere da ricostituire in soluzione per infusione ( iniezione goccia a goccia in vena ) .
d001.s007	Contiene il principio attivo pemetrexed .
d001.s008	Per che cosa si usa Alimta ?
d001.s009	Alimta è indicato nel trattamento di due tipi di tumore : il mesotelioma pleurico ( tumore della membrana che riveste i polmoni , generalmente provocato dall esposizione all amianto ) .
d001.s010	Alimta è utilizzato in combinazione con cisplatino ( un altro farmaco antitumorale ) quando il tumore non è asportabile ( non può essere asportato con il solo intervento chirurgico ) ed è maligno ( si è diffuso , o è probabile si diffonda facilmente , ad altre parti del corpo ) , in pazienti che non sono stati sottoposti in precedenza a chemioterapia il carcinoma polmonare non a piccole cellule in stadio avanzato o metastatico che non interessa le cellule squamose .
d001.s011	Alimta è usato in associazione con cisplatino in pazienti non trattati in passato e da solo in pazienti che in passato sono stati sottoposti ad un altro tipo di chemioterapia .
d001.s012	Il medicinale può essere ottenuto soltanto con prescrizione medica .
d001.s013	Come si usa Alimta ?
d001.s014	Alimta deve essere somministrato solamente sotto la supervisione di un medico qualificato per l uso della chemioterapia antitumorale .
d001.s015	La dose raccomandata di Alimta è di 500 mg per metro quadrato di superficie corporea ( calcolata utilizzando l altezza e il peso del paziente ) da somministrare per infusione endovenosa in 10 minuti una volta ogni tre settimane .
d001.s016	Per ridurre gli effetti indesiderati , i pazienti devono assumere un corticosteroide e acido folico ( un tipo di vitamina ) e ricevere iniezioni di vitamina B12 durante il trattamento con Alimta .
d001.s017	Quando Alimta è somministrato con cisplatino , i pazienti devono assumere un farmaco antiemetico ( per prevenire il vomito ) e ricevere un adeguata idratazione ( per prevenire la disidratazione ) prima o dopo l assunzione di cisplatino .
d001.s018	Il trattamento deve essere posticipato o interrotto , o la dose deve essere ridotta , nei pazienti con alterazioni nelle conte ematiche o che riportano altri effetti indesiderati .
d001.s019	L impiego di Alimta è sconsigliato nei pazienti con insufficienza renale grave o moderata .
d001.s020	Per maggiori informazioni , si rimanda al Riassunto delle caratteristiche del prodotto , anch esso allegato all EPAR .
d001.s021	Come agisce Alimta ?
d001.s022	Il principio attivo di Alimta , pemetrexed , è un medicinale citotossico ( medicinale che uccide le cellule in attiva divisione , come le cellule tumorali ) , che appartiene al gruppo degli antimetaboliti .
d001.s023	Nell organismo , pemetrexed viene trasformato in una forma attiva che blocca l attività degli enzimi coinvolti nella produzione dei nucleotidi ( gli elementi costitutivi di DNA e RNA , il materiale genetico delle cellule ) .
d001.s024	Quali studi sono stati effettuati su Alimta ?
d001.s025	Per il trattamento del mesotelioma pleurico maligno , Alimta è stato esaminato nell ambito di uno studio principale condotto su 456 pazienti che non erano stati sottoposti a chemioterapia in precedenza .
d001.s026	Gli effetti di Alimta somministrato in combinazione con cisplatino sono stati confrontati con quelli di cisplatino in monoterapia .
d001.s027	Per il trattamento del carcinoma polmonare non a piccole cellule , gli effetti di Alimta sono stati confrontati con quelli di docetaxel ( un altro farmaco antitumorale ) in uno studio condotto su 571 pazienti con tumore in fase avanzata o metastatica , già sottoposti in precedenza a chemioterapia .
d001.s028	Alimta è stato anche confrontato con gemcitabina ( altro medicinale antitumorale ) , entrambi in associazione con cisplatino , in uno studio su 1.725 pazienti che in passato non erano mai stati sottoposti a chemioterapia per tumore polmonare .
d001.s029	In tutti e tre gli studi , il principale indicatore dell efficacia era il tempo di sopravvivenza dei pazienti .
d001.s030	Quali benefici ha mostrato Alimta nel corso degli studi ?
d001.s031	Alimta ha aumentato il tempo di sopravvivenza dei pazienti affetti da mesotelioma pleurico maligno .
d001.s032	I soggetti a cui è stato somministrato Alimta in combinazione con cisplatino sono sopravvissuti in media 12,1 mesi , rispetto ai 9,3 mesi dei pazienti che hanno assunto cisplatino in monoterapia .
d001.s033	Nel trattamento dei pazienti con carcinoma polmonare non a piccole cellule , Alimta si è rivelato tanto efficace quanto i comparatori .
d001.s034	Nei pazienti che in passato erano stati sottoposti a chemioterapia , il tempo di sopravvivenza medio è stato di 8,3 mesi con Alimta , contro 7,9 con docetaxel .
d001.s035	Nei pazienti che in passato non erano stati sottoposti a chemioterapia , il tempo di sopravvivenza medio è stato di 10,3 mesi in entrambi i gruppi .
d001.s036	Tuttavia , in entrambi gli studi i pazienti il cui tumore non interessava cellule squamose hanno riportato tempi di sopravvivenza più lunghi se trattati con Alimta che se trattati con il comparatore .
d001.s037	Invece , i pazienti il cui tumore interessava cellule squamose hanno riportato tempi di sopravvivenza più brevi se trattati con Alimta .
d002.s001	kalgebra è una calcolatrice matematica basata sul linguaggio MathML .
d002.s002	Può eseguire semplici operazioni ( aritmetiche e logiche ) in MathML e può rappresentare grafici 2D e 3D .
d002.s003	Non è necessario conoscere MathML per usare kalgebra .
d002.s004	kalgebra è una calcolatrice grafica basata sul linguaggio MathML .
d002.s005	Anche se inizialmente era orientata all' uso usando MathML , può essere usata da chiunque con un minimo di conoscenza matematica .
d002.s006	Immagine della finestra principale di kalgebra
d002.s007	Finestra principale di kalgebra
d002.s008	La finestra principale di kalgebra è composta da una scheda Console , una scheda 2D , una scheda 3D e una scheda Dizionario .
d002.s009	Sotto queste schede si trova un campo di inserimento per scrivere le funzioni o fare calcoli .
d002.s010	Se vogliamo capire come funziona , la cosa migliore da fare è comprendere che ciò che viene inserito è convertito in MathML , anche se non è necessario conoscere MathML .
d002.s011	Ho basato la sintassi praticamente sul senso comune , e non dovrebbe essere difficile .
d002.s012	Ho dato un' occhiata alla sintassi di Maxima e di Maple , in modo da esserne abbastanza simile .
d002.s013	+ - * / : addizione , sottrazione , moltiplicazione e divisione .
d002.s014	^ , ** : elevamento a potenza , puoi usare entrambi .
d002.s015	È anche possibile usare il carattere Unicode ² .
d002.s016	Con gli elevamenti a potenza è anche possibile effettuare radici
d002.s017	-gt : È il modo di specificare la variabile vincolata in una funzione .
d002.s018	( ) : usato per specificare una priorità più alta .
d002.s019	abc(parametri) : Quando l' analizzatore trova una funzione , controlla se « abc » è un operatore .
d002.s020	Se lo è , sarà trattato come un operatore se non lo è , sarà trattato come una funzione utente .
d002.s021	: #ERROR! : Usata per definire il valore di una variabile .
d002.s022	? : Definizione di condizione definita a tratti .
d002.s023	Una definizione a tratti è il modo in cui possiamo definire operazioni condizionali in kalgebra .
d002.s024	Se introduciamo la condizione prima del « ? » , questa condizione sarà usata solo se è vera se viene trovato un « ? » senza condizione , verrà usato come ultima alternativa .
d002.s025	Utile principalmente per le funzioni definite a tratti .
d002.s026	Adesso potresti chiedermi : perché l' utente dovrebbe conoscere MathML ? Semplice : con il MathML possiamo operare con funzioni come cos() , sin() ( e qualsiasi altra funzione trigonometrica ) , sum() o product() .
d002.s027	Non importa che tipo di funzione sia .
d002.s028	Possiamo usare plus() , times() e qualunque cosa che ha un operatore .
d002.s029	La console di kalgebra è utile come calcolatrice .
d002.s030	C è una lista delle variabili dichiarate .
d002.s031	Facendo doppio clic su ognuna di esse puoi vedere una finestra di dialogo che ti permette di modificarne il valore ( un modo per ingannare il log ) .
d002.s032	Ogni volta che inserisci un' espressione , il valore della variabile « ans » sarà modificato all' ultimo risultato .
d002.s033	Ctrl N Nuovo
d002.s034	Pulisce la console .
d002.s035	Ctrl C Carica script
d002.s036	Esegue le istruzioni presenti in un file .
d002.s037	Un buon metodo per creare " librerie " o riprendere un lavoro interrotto in precedenza .
d002.s038	Ctrl S Salva script
d002.s039	Salva le istruzioni eseguite dall' inizio della sessione in modo da poterle riusare .
d002.s040	Genera file di testo semplice , quindi è possibile modificarli usando un qualsiasi editor di testo ( come Kate ) .
d002.s041	Ctrl L Salva log
d002.s042	Salva il log e tutti i risultati su file HTML che può essere stampato o pubblicato .
d002.s043	Ctrl Q Esci
d002.s044	Chiude il programma .
d002.s045	Per aggiungere un nuovo grafico 2D in kalgebra , devi andare nella scheda Grafico 2D e fare clic sulla scheda Aggiungi per aggiungere una nuova funzione .
d002.s046	Sarà quindi attivata la casella di testo dove puoi scrivere la funzione .
d002.s047	Se vuoi usare una tipica funzione f(x) non è necessario specificarla .
d002.s048	Quando hai inserito la funzione premi OK per visualizzare il grafico nella finestra principale .
d002.s049	Puoi avere più grafici nella stessa vista .
d002.s050	Usa il pulsante Aggiungi in modalità « lista » .
d002.s051	Puoi impostare un diverso colore per ogni grafico .
d003.s001	Recentemente la Fondazione ha partecipato all' organizzazione di una conferenza che ha affrontato questa sfida critica .
d003.s002	Hanno partecipato oltre 100 esponenti delle principali categorie interessate , i quali hanno discusso fra l' altro del ruolo degli attori chiave quali pubbliche autorità , parti sociali , organizzazioni di volontariato e locali nonché utenti dei servizi .
d003.s003	Si è anche preso atto della gamma di aioli diversi svolti
d003.s004	Unitamente alla Commissione europea , al Ministero degli affari sociali spagnolo e al governo regionale della Galizia , la Fondazione ha organizzato una conferenza europea sul tema Esclusione sociale : una grande sfida per i servizi pubblici di assistenza .
d003.s005	Recentemente la Fondazione ha pubblicato , nel quadro del progetto EPOC , uno studio comparativo che valuta la misura in cui la partecipazione diretta può umanizzare il lavoro migliorando allo stesso tempo la redditività .
d003.s006	Lo studio si basa su 195 interviste personali con alti dirigenti delle parti sociali , in rappresentanza delle principali organizzazioni nazionali di quindici paesi europei .
d003.s007	Quali settori industriali di rilievo , sono stati inclusi anche l' industria metallurgica e il settore bancario .
d003.s008	I principali oratori in occasione della conferenza sull' esclusione sociale ( da sinistra a destra ) : Cristina louro , Direzione generale per l' Occupazione , le relazioni industriali e gli affari sociali , Commissione europea Fernando Gomes , Comitato delle regioni Barbara Weiler , deputato al Parlamento europeo José María Gil-Robles Gil-Delgado , vicepresidente del Parlamento europeo John Cairoti , Comitato economico e sociale .
d003.s009	Studi di casi Ogni rapporto nazionale contiene una serie di 25-30 iniziative , selezionate fra quelle più idonee ad illustrare politiche e prassi volte a migliorare l' assunzione , la formazione e lo sviluppo dei lavoratori anziani nell' azienda e nella comunità .
d003.s010	Per ciascun paese due o tre iniziative sono state ulteriormente selezionate in vista di uno studio di caso più approfondito .
d003.s011	Questi studi hanno analizzato il contesto delle iniziative e il loro impatto sui modelli occupazionali e sulle organizzazioni del lavoro , valutando inoltre i vantaggi e i problemi dell' iniziativa .
d003.s012	Hanno anche avuto luogo visite e interviste con esponenti chiave del personale .
d003.s013	Gli studi nazionali sfoceranno in un rapporto europeo che sintetizzerà le prassi più comuni .
d003.s014	Questo rapporto e una raccolta di iniziative saranno pubblicati nel 1996 e costituiranno la base di una conferenza prevista per l' autunno dello stesso anno .
d003.s015	La Fondazione intende documentare le caratteristiche delle barriere inerenti all' età a livello di assunzione e formazione e analizzarne le cause .
d003.s016	Vengono esaminati anche i punti di vista delle parti sociali , dedicando un' attenzione particolare alle proposte volte ad eliminare le barriere inerenti all' età .
d003.s017	In terzo luogo , il progetto documenta e valuta iniziative , pubbliche e private , volte a lottare contro le barriere legate all' età , specialmente a favore dei lavoratori anziani .
d003.s018	Ricercando alternative al prepensionamento e al licenziamento , il progetto si interessa principalmente al mantenimento , alla reintegrazione e alla riqualificazione dei lavoratori anziani .
d003.s019	Sono presi in considerazione il sesso e l' appartenenza etnica dei lavoratori , e la loro correlazione con la discriminazione in base all' età .
d003.s020	Il progetto esamina anche iniziative volte a lottare contro la discriminazione basata sull' età nelle zone rurali e nelle piccole e medie imprese .
d003.s021	La ricerca ha per oggetto sette Stati membri : Belgio , Francia , Germania , Grecia , Italia , Paesi Bassi e Regno Unito .
d004.s003	Che cos è Cerenia ?
d004.s004	Cerenia contiene il principio attivo maropitant ed è disponibile sotto forma di compressa o di soluzione iniettabile .
d004.s005	Le compresse sono di color arancione chiaro e hanno una tacca su entrambi i lati , per facilitarne la divisione in due metà .
d004.s006	Ciascuna compressa è marcata da un lato con il logo Pfizer e dall altro lato con le lettere MPT e con numeri che indicano la quantità di maropitant .
d004.s007	Per che cosa si usa Cerenia ?
d004.s008	Cerenia è un antiemetico , ossia un medicinale che arresta il vomito .
d004.s009	È usato nei cani per prevenire il vomito causato , per esempio , dalla chemioterapia ( medicinali usati per la cura del cancro , alcuni dei quali noti per provocare il vomito ) .
d004.s010	In combinazione con altre misure di supporto , per esempio altre terapie veterinarie o una dieta speciale , Cerenia può anche essere usato nel trattamento del vomito ( sia come iniezione che come iniezione seguita da compresse ) .
d004.s011	Per tali scopi Cerenia può essere somministrato fino a un massimo di cinque giorni .
d004.s012	Come agisce Cerenia ?
d004.s013	Cerenia blocca un recettore della neurochinina ( NK1 ) che agisce a livello del sistema nervoso centrale .
d004.s014	Come è stata studiata l efficacia di Cerenia ?
d004.s015	Sono stati condotti numerosi studi con Cerenia , sia su cani da laboratorio sia su animali in cura presso studi veterinari di diversi paesi europei e negli Stati Uniti d America .
d004.s016	Quali benefici ha mostrato Cerenia nel corso degli studi ?
d004.s017	Dai risultati degli studi è emerso che Cerenia è più efficace del placebo : nei cani trattati con il medicinale gli attacchi di vomito sono stati meno frequenti rispetto agli animali trattati con il placebo , sia nel trattamento che nella prevenzione del vomito .
d004.s018	Il trattamento di un cane con vomito deve iniziare con l iniezione , perché gli animali con attacchi di vomito possono non essere in grado di trattenere la compressa nell organismo ( che può essere vomitata intatta ) .
d004.s019	Per il trattamento di follow-up , le compresse possono essere somministrate dal padrone del cane .
d004.s020	Inoltre , la cura del vomito deve essere associata ad altre misure di supporto o ad altre terapie veterinarie che intervengano sulle cause del vomito .
d004.s021	Quali sono i rischi associati a Cerenia ?
d004.s022	Cerenia è generalmente ben tollerato se somministrato giornalmente con dosi fino a 5 volte la dose raccomandata per un lungo periodo di tempo ( fino a 3 volte la durata di trattamento raccomandata ) .
d004.s023	Quali sono le precauzioni che deve prendere la persona che somministra il medicinale o entra in contatto con l animale ?
d004.s024	Cerenia non presenta particolari rischi per l uomo .
