Row	Source	Target
4	summary	sintesi
10	report	relazione
16	explain	descrivere
31	study	studio
32	perform	effettuare
35	reach	formulare
43	medicine	medicinale
48	more	maggiore
52	medical	salute
56	treatment	terapia
58	read	leggere
61	leaflet	foglio
70	contact	consultare
74	pharmacist	consultare
79	more	maggiore
89	read	leggere
110	be	ricostituire
118	drip	ricostituire
125	contain	contenere
127	active	principio
128	substance	attivo
139	use	indicare
141	treat	trattamento
156	lung	membrana
158	be	provocare
162	exposure	esposizione
170	together	combinazione
176	medicine	farmaco
186	remove	asportabile
188	surgery	intervento
189	alone	solo
192	malignant	maligno
195	spread	diffondere
201	spread	diffondere
215	have	essere
217	receive	essere
220	medicine	antitumorale
227	metastatic	metastatico
235	affect	interessare
237	squamous	squamoso
238	cell	tumore
244	combination	associazione
259	own	solo
263	have	essere
264	receive	sottoporre
274	medicine	medicinale
278	obtain	medicinale
292	give	somministrare
300	be	qualificato
301	qualify	qualificato
319	metre	metro
321	body	corporeo
323	area	corporeo
337	side	indesiderato
342	take	assumere
344	corticosteroid	corticosteroide
369	give	somministrare
374	anti-emetic	antiemetico
375	medicine	farmaco
379	vomit	vomito
382	fluid	idratazione
389	also	assumere
390	be	assumere
391	give	ricevere
397	dose	assunzione
402	delay	posticipare
415	count	riportare
417	abnormal	alterazione
420	have	riportare
428	not	sconsigliare
429	recommend	sconsigliare
431	use	impiego
437	severe	grave
439	problem	insufficienza
442	more	maggiore
445	see	rimandare
449	product	prodotto
460	do	agire
466	substance	principio
475	medicine	medicinale
478	medicine	medicinale
481	cell	medicinale
484	divide	divisione
487	cancer	tumorale
496	antimetabolites	antimetaboliti
500	body	organismo
503	be	venire
504	convert	trasformare
510	block	bloccare
518	involve	coinvolgere
520	produce	produzione
524	building block	elemento
538	have	essere
541	study	studio
547	malignant	maligno
552	have	essere
554	study	esaminare
558	study	studio
563	have	essere
565	receive	sottoporre
570	before	precedenza
586	alone	monoterapia
610	medicine	farmaco
614	study	studio
615	involve	condurre
619	locally	avanzato
622	metastatic	metastatico
623	disease	tumore
626	receive	sottoporre
630	past	precedenza
637	gemcitabine	gemcitabina
641	medicine	medicinale
646	combination	associazione
652	study	studio
653	involve	associazione
657	have	essere
659	receive	sottoporre
671	study	studio
675	measure	indicatore
683	survive	sopravvivenza
689	show	mostrare
692	study	studio
702	malignant	maligno
707	receive	essere
711	survive	essere
719	compare	rispetto
725	receive	assumere
727	alone	combinazione
735	non-small	carcinoma
738	cancer	carcinoma
751	have	essere
752	receive	sottoporre
771	month	sottoporre
778	have	essere
780	receive	essere
801	study	studio
806	be	interessare
808	affect	interessare
809	squamous	squamoso
810	cell	tumore
812	long	lungo
817	receive	riportare
822	receive	trattare
827	contrast	invece
832	be	interessare
833	affect	interessare
834	squamous	squamoso
842	receive	riportare
850	base	basare
854	mathml	mathml
855	language	linguaggio
859	be	potere
860	capable	potere
862	make	eseguire
864	mathml	mathml
873	representate	rappresentare
877	graph	grafico
885	know	conoscere
886	mathml	mathml
894	mathml	mathml
895	base	basare
896	graph	calcolatrice
903	mathml	mathml
904	orient	orientare
913	little	minimo
917	here	immagine
920	screenshot	principale
931	consist	essere
934	console	console
935	tab	scheda
940	tab	scheda
944	graph	dizionario
945	tab	scheda
949	tab	scheda
953	tab	scheda
958	input	inserimento
961	type	scrivere
965	do	fare
971	want	volere
976	work	funzionare
979	good	migliore
983	do	fare
986	realize	comprendere
989	input	inserire
991	be	venire
994	mathml	mathml
1001	know	conoscere
1002	mathml	mathml
1005	have	basare
1006	base	basare
1009	basically	praticamente
1011	common	comune
1024	look	dare
1029	maple	maxima
1043	addition	addizione
1072	character	carattere
1074	power	elevamento
1079	make	effettuare
1080	root	elevamento
1092	bound	variabile
1102	be	specificare
1107	high	alto
1114	parser	analizzatore
1120	check	controllare
1133	be	trattare
1146	be	trattare
1157	be	definire
1167	piecewise	definizione
1169	definition	definire
1171	piecewise	definizione
1178	conditional	definire
1204	find	venire
1213	enter	usare
1217	instance	alternativa
1222	work	funzione
1224	piecewise	tratto
1241	sin	cos
1248	sum	sin
1250	product	product
1255	matter	importare
1257	kind	tipo
1264	plus	plus
1268	everything	cosa
1276	console	console
1295	click	fare
1304	let	permettere
1314	trick	ingannare
1316	log	log
1320	time	volta
1322	enter	inserire
1333	be	modificare
1341	n	n
1343	window	nuovo
1344	flush	pulire
1349	l	c
1350	load	caricare
1358	sequentially	presente
1360	nice	buono
1367	library	libreria
1371	previous	precedenza
1375	g	s
1383	type	eseguire
1387	begin	inizio
1390	able	potere
1392	reuse	riusare
1401	easy	semplice
1403	fix	modificare
1407	editor	editor
1413	s	l
1415	log	log
1418	log	log
1428	able	potere
1436	quit	uscire
1447	graph	grafico
1462	graph	grafico
1463	tab	scheda
1465	click	clic
1469	tab	scheda
1483	input	attivare
1485	box	casella
1489	type	scrivere
1495	want	volere
1513	enter	inserire
1516	click	premere
1524	graph	grafico
1532	set	avere
1534	graph	grafico
1554	set	impostare
1556	graph	grafico
1558	own	diverso
1565	be	recentemente
1566	involve	partecipare
1572	deal	affrontare
1575	critical	critico
1584	interest	interessato
1585	group	categoria
1586	attend	avere
1588	debate	discutere
1596	actor	esponente
1597	include	quale
1602	partner	parte
1606	community	locale
1614	note	atto
1620	variety	gamma
1623	role	aioli
1624	play	svolto
1627	welfare	aioli
1630	organise	avere
1632	together	unitamente
1643	affairs	affare
1658	major	grande
1671	study	studio
1673	part	quadro
1676	epoc	epoc
1681	extent	misura
1684	direct	diretto
1687	humanise	umanizzare
1690	increase	migliorare
1694	study	studio
1696	base	basare
1702	senior	alto
1703	official	dirigente
1707	partner	parte
1713	peak	principale
1726	metal	metallurgico
1730	banking	metallurgico
1734	include	includere
1736	key	principale
1737	speaker	oratore
1752	employment	occupazione
1755	relations	relazione
1758	affair	generale
1759	directorate	direzione
1774	barbara	barbaro
1775	weiler	weiler
1777	member	deputato
1783	maria	maría
1786	vice-president	gil-robles
1792	carroll	cairoti
1800	study	studio
1803	report	rapporto
1804	contain	contenere
1806	portfolio	serie
1815	present	illustrare
1816	policy	politico
1822	recruitment	assunzione
1824	training	formazione
1828	age	anziano
1834	place	azienda
1847	have	essere
1855	study	studio
1859	study	studio
1862	background	contesto
1870	employment	occupazionale
1871	pattern	modello
1878	benefit	vantaggio
1889	key	esponente
1890	personnel	personale
1891	be	avere
1893	undertake	avere
1897	study	studio
1905	report	rapporto
1908	overall	comune
1912	report	rapporto
1916	book	raccolta
1920	be	costituire
1925	provide	costituire
1927	backdrop	base
1941	aim	intendere
1943	document	documentare
1951	recruitment	assunzione
1953	training	formazione
1958	cause	causa
1961	perspective	punto
1965	partner	parte
1966	be	venire
1968	be	venire
1974	pay	dedicare
1978	remove	eliminare
1982	thirdly	terzo
1986	document	documentare
1988	assess	documentare
1997	sector	lottare
1999	combat	lottare
2005	old	anziano
2008	seek	ricercare
2011	early	prepensionamento
2012	retirement	prepensionamento
2014	redundancy	licenziamento
2020	concern	interessare
2027	retrain	riqualificazione
2029	old	anziano
2033	gender	sesso
2035	ethnic	etnico
2036	background	appartenenza
2042	relate	correlazione
2047	examine	prendere
2052	consider	esaminare
2055	combat	lottare
2067	enterprise	rurale
2071	state	stati
2072	be	avere
2073	cover	oggetto
2076	project	ricerca
2092	united	unito
2093	kingdom	paesi
2100	contain	contenere
2102	active	principio
2103	substance	attivo
2109	tablet	compressa
2114	injection	iniettabile
2117	tablet	compressa
2119	pale-orange	arancione
2124	line	tacca
2133	halve	divisione
2136	tablet	compressa
2138	mark	marcare
2153	quantity	numero
2158	other	altro
2170	anti-emetic	antiemetico
2176	stop	arrestare
2186	vomit	vomito
2189	vomit	vomito
2194	medicine	medicinale
2195	use	usato
2198	treatment	cura
2205	be	provocare
2206	know	noto
2209	vomit	vomito
2219	other	altro
2221	treatment	terapia
2246	tablet	compressa
2256	give	somministrare
2267	block	bloccare
2269	neurokinin	neurochinina
2277	act	agire
2285	have	essere
2291	large	numeroso
2294	study	studio
2298	carry	condurre
2299	out	condurre
2307	patient	cura
2310	practise	studio
2312	several	diverso
2324	show	mostrare
2327	study	studio
2333	study	studio
2334	show	emergere
2351	receive	trattare
2353	medicine	medicinale
2356	dog	frequente
2358	receive	trattare
2377	vomiting	cane
2392	able	grado
2394	keep	trattenere
2402	throw	trattenere
2404	intact	organismo
2405	tablet	compressa
2415	animal	cane
2416	owner	padrone
2418	administer	somministrare
2420	tablet	compressa
2428	treatment	cura
2434	together	associare
2437	supportive	supporto
2444	address	intervenire
2447	cause	causa
2456	associate	associare
2463	well	bene
2466	administer	somministrare
2467	daily	giornalmente
2469	dosage	dose
2473	time	volta
2475	recommend	raccomandare
2479	extended	lungo
2487	time	volta
2504	give	somministrare
2506	medicine	medicinale
2508	come	entrare
2516	do	presentare
2518	represent	presentare
2523	people	uomo
