ID	English	Italian Translation
d001.s001	This document is a summary of the European Public Assessment Report ( EPAR ) .	Il presente documento è una sintesi della relazione di valutazione pubblica europea (EPAR).
d001.s002	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	Spiega come il comitato per i medicinali per uso umano (CHMP) ha valutato gli studi eseguiti per formulare raccomandazioni sull&#39;utilizzo del medicinale.
d001.s003	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	Se necessita di maggiori informazioni sulla sua condizione medica o sul suo trattamento, legga il foglio illustrativo (accluso all&#39;EPAR) oppure contatti il medico o il farmacista.
d001.s004	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	Se desiderate maggiori informazioni sulla base delle raccomandazioni del CHMP, leggete la Discussione Scientifica (anch&#39;essa parte dell&#39;EPAR).
d001.s005	What is Alimta ?	Cos&#39;è Alimta?
d001.s006	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	Alimta è una polvere da ricostituire in una soluzione per infusione (flebo in una vena).
d001.s007	It contains the active substance pemetrexed .	Contiene il principio attivo pemeterxed.
d001.s008	What is Alimta used for ?	A cosa serve Alimta?
d001.s009	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta è usato per trattare due tipi di cancro: il mesotelioma pleurico (cancro del rivestimento dei polmoni, solitamente causato dall&#39;esposizione all&#39;amianto).
d001.s010	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	Alimta è usato insieme al cisplatino (un altro medicinale antitumorale) quando il cancro non è resecabile (non può essere rimosso mediante il solo intervento chirurgico) e maligno (si è diffuso, o è probabile che si diffonda facilmente, ad altre parti del corpo), in pazienti che non hanno ha ricevuto chemioterapia (medicinali antitumorali) prima di un cancro polmonare non a piccole cellule in stadio avanzato o metastatico che non colpisce le cellule squamose.
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	Alimta è utilizzato in combinazione con cisplatino in pazienti che non sono stati trattati in precedenza e da solo in pazienti che hanno ricevuto in passato un altro tipo di chemioterapia.
d001.s012	The medicine can only be obtained with a prescription .	Il medicinale può essere ottenuto soltanto con prescrizione medica.
d001.s013	How is Alimta used ?	Come si usa Alimta?
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	Alimta deve essere somministrato solo sotto la supervisione di un medico qualificato nell&#39;uso della chemioterapia antitumorale.
