Token ID	Token	Lemma	POS	BN Synset	Token ID IT	Token IT	Lemma IT	POS IT	Sense IT
	This	this	DET	n/a	d001.s001.t001	Questo		X	n/a
d001.s001.t001	document	document	NOUN	bn:00028015n	d001.s001.t002	documento	documento	N	bn:00028015n
	is	be	VERB	n/a	d001.s001.t003	è	essere	V	n/a
	a	a	DET	n/a	d001.s001.t004	la		X	n/a
d001.s001.t002	summary	summary	NOUN	bn:00075142n	d001.s001.t005	sintesi	sintesi	N	bn:00075142n
	of	of	ADP	n/a	d001.s001.t006	di		X	n/a
	the	the	DET	n/a					n/a
d001.s001.t003	European	european	ADJ	bn:00102440a	d001.s001.t012	europea	europeo	J	bn:00102440a
d001.s001.t004	Public	public	ADJ	bn:00109211a	d001.s001.t009	pubblica	pubblico	J	bn:00109211a
d001.s001.t005	Assessment	assessment	NOUN	bn:00006502n	d001.s001.t011	valutazione	valutazione	N	bn:00006502n
d001.s001.t006	Report	report	NOUN	bn:00067181n	d001.s001.t008	relazione	relazione	N	bn:00067181n
	(	(	.	n/a	d001.s001.t013	(		X	n/a
	EPAR	epar	NOUN	n/a	d001.s001.t014	EPAR	epar	N	n/a
	)	)	.	n/a	d001.s001.t015	)		X	n/a
	.	.	.	n/a	d001.s001.t016	.		X	n/a
	-end-	-end-	-end-	n/a					n/a
	It	it	PRON	n/a					n/a
d001.s002.t001	explains	explain	VERB	bn:00087870v	d001.s002.t003	descrive	descrivere	V	n/a
	how	how	ADV	n/a	d001.s002.t005	modo	modo	N	n/a
	the	the	DET	n/a	d001.s002.t008	il		X	n/a
d001.s002.t002	Committee	committee	NOUN	bn:00021015n					n/a
	for	for	ADP	n/a	d001.s002.t010	per		X	n/a
d001.s002.t003	Medicinal	medicinal	ADJ	bn:00106556a	d001.s002.t012	medicinali	medicinale	N	n/a
d001.s002.t004	Products	product	NOUN	bn:00064584n					n/a
	for	for	ADP	n/a	d001.s002.t013	per		X	n/a
d001.s002.t005	Human	human	ADJ	bn:00104385a	d001.s002.t015	umano	umano	J	bn:00104385a
d001.s002.t006	Use	use	NOUN	bn:00030627n	d001.s002.t014	uso	uso	N	bn:00030627n
	(	(	.	n/a	d001.s002.t016	(		X	n/a
	CHMP	chmp	NOUN	n/a	d001.s002.t017	CHMP	chmp	N	n/a
	)	)	.	n/a	d001.s002.t018	)		X	n/a
d001.s002.t007	assessed	assess	VERB	bn:00082720v	d001.s002.t020	valutato	valutare	V	bn:00082720v
	the	the	DET	n/a	d001.s002.t021	gli		X	n/a
d001.s002.t008	studies	study	NOUN	bn:00074790n	d001.s002.t022	studi	studio	N	bn:00074790n
d001.s002.t009	performed	perform	VERB	bn:00087107v	d001.s002.t024	effettuati	effettuare	V	bn:00087107v
	,	,	.	n/a					n/a
	to	to	PRT	n/a					n/a
d001.s002.t010	reach	reach	VERB	bn:00088789v					n/a
	their	they	PRON	n/a					n/a
d001.s002.t011	recommendations	recommendation	NOUN	bn:00066562n	d001.s002.t029	raccomandazioni	raccomandazione	N	bn:00066562n
	on	on	ADP	n/a	d001.s002.t030	su		X	n/a
	how	how	ADV	n/a	d001.s002.t031	come		X	n/a
	to	to	PRT	n/a					n/a
d001.s002.t012	use	use	VERB	bn:00082705v	d001.s002.t032	usare	usare	V	bn:00082705v
	the	the	DET	n/a	d001.s002.t033	il		X	n/a
