Row	Source	Target
17	explain	descrivere
18	how	modo
52	about	riguardare
53	you	proprio
54	medical	salute
63	leaflet	foglio
72	contact	consultare
133	active	principio
147	use	indicare
149	treat	trattamento
153	cancer	tumore
158	cancer	tumore
180	cisplatin	cisplatino
183	anticancer	antitumorale
188	cancer	tumore
190	unresectable	asportabile
192	cannot	potere
228	medicine	antitumorale
232	before	precedenza
242	affect	interessare
253	cisplatin	cisplatino
266	own	solo
271	receive	sottoporre
310	be	qualificato
311	qualify	qualificato
316	anticancer	antitumorale
321	recommend	raccomandata
331	body	corporeo
347	once	volta
394	cisplatin	cisplatino
413	be	assumere
414	give	ricevere
419	cisplatin	cisplatino
420	dose	assunzione
440	abnormal	alterazione
443	have	riportare
451	not	sconsigliare
452	recommend	sconsigliare
492	substance	principio
510	divide	divisione
521	antimetabolite	antimetaboliti
546	produce	produzione
547	nucleotide	nucleotidi
568	study	effettuare
593	receive	sottoporre
598	before	precedenza
608	cisplatin	cisplatino
614	cisplatin	cisplatino
638	anticancer	antitumorale
644	involve	condurre
652	disease	tumore
659	past	precedenza
670	anticancer	antitumorale
678	cisplatin	cisplatino
689	receive	sottoporre
705	measure	indicatore
709	how	tempo
713	survive	sopravvivenza
721	during	corso
743	cisplatin	cisplatino
752	compare	rispetto
758	receive	assumere
759	cisplatin	cisplatino
786	receive	sottoporre
841	cancer	tumore
842	be	interessare
844	affect	interessare
857	receive	trattare
862	in	invece
867	cancer	tumore
868	be	interessare
869	affect	interessare
895	be	potere
959	screenshot	immagine
970	consist	comporre
998	input	inserimento
1013	to	comprendere
1030	input	inserire
1046	I	avere
1064	I	avere
1066	look	dare
1069	maximum	maxima
1074	so	modo
1076	look	essere
1129	it	essere
1158	parser	analizzatore
1177	will	essere
1190	will	essere
1225	operation	condizionale
1231	we	introdurre
1235	before	primo
1239	will	essere
1258	will	venire
1290	you	potere
1291	could	potere
1293	I	chiedere
1300	about	conoscere
1310	we	potere
1342	we	potere
1349	everything	cosa
1366	you	essere
1381	you	potere
1405	you	inserire
1416	will	essere
1428	window	nuovo
1430	flush	pulire
1436	l	c
1460	previous	precedenza
1465	g	s
1474	type	eseguire
1481	able	potere
1494	fix	modificare
1504	s	l
1520	able	potere
1521	to	stampare
1547	you	dovere
1575	will	essere
1583	you	potere
1605	it	specificare
1609	you	avere
1614	click	premere
1629	you	potere
1631	set	avere
1653	you	potere
1668	involve	partecipare
1670	organise	organizzazione
1683	participant	partecipare
1699	include	quale
1706	voluntary	volontariato
1732	involvement	isolamento
1750	variety	gamma
1753	role	aioli
1777	galician	galizia
1794	service	servizi
1805	part	quadro
1819	humanise	umanizzare
1821	while	migliorare
1822	increase	migliorare
1835	senior	alto
1836	official	dirigente
1842	representative	rappresentanza
1857	sector	industriale
1860	metal	metallurgico
1890	relations	relazione
1898	gome	gomes
1908	barbara	barbaro
1911	member	deputato
1926	carroll	cairoti
1940	portfolio	serie
1949	present	illustrare
1950	policy	politico
1962	age	anziano
1968	place	azienda
1988	depth	approfondire
2004	employment	occupazionale
2005	pattern	occupazionale
2024	key	esponente
2034	will	sfociare
2044	overall	comune
2048	the	questo
2052	casebook	raccolta
2055	will	essere
2061	provide	costituire
2063	backdrop	base
2069	stage	pubblicare
2078	aim	intendere
2079	to	documentare
2086	in	inerente
2094	they	analizzare
2099	perspective	punto
2109	with	dedicare
2112	pay	dedicare
2115	for	volto
2121	thirdly	luogo
2137	which	volta
2143	for	favore
2151	early	prepensionamento
2152	retirement	prepensionamento
2154	redundancy	licenziamento
2165	reintegrate	riqualificazione
2177	background	appartenenza
2183	relate	correlazione
2188	examine	considerazione
2213	state	stati
2222	france	francia
2226	greece	grecia
2233	the	unito
2289	active	principio
2290	substance	attivo
2312	line	tacca
2321	halve	divisione
2380	as	esempio
2387	use	usato
2397	be	provocare
2398	know	noto
2408	supportive	supporto
2409	measure	terapia
2411	as	esempio
2466	neurokinin	neurochinina
2512	usa	america
2520	during	corso
2530	show	emergere
2547	receive	trattare
2550	than	rispetto
2552	dog	animale
2554	receive	trattare
2635	supportive	supporto
2687	recommend	raccomandato
