Token ID	Token	Lemma	POS	BN Synset	Token ID IT	Token IT	Lemma IT	POS IT	Sense IT
	This	this	DET		d001.s001.t001	Questo		X	
d001.s001.t001	document	document	NOUN	bn:00028015n	d001.s001.t002	documento	documento	N	bn:00028015n
	is	be	VERB		d001.s001.t003	è	essere	V	
	a	a	DET		d001.s001.t004	la		X	
d001.s001.t002	summary	summary	NOUN	bn:00075142n	d001.s001.t005	sintesi	sintesi	N	bn:00075142n
	of	of	ADP		d001.s001.t006	di		X	
	the	the	DET						
d001.s001.t003	European	european	ADJ	bn:00102440a	d001.s001.t012	europea	europeo	J	bn:00102440a
d001.s001.t004	Public	public	ADJ	bn:00109211a	d001.s001.t009	pubblica	pubblico	J	bn:00109211a
d001.s001.t005	Assessment	assessment	NOUN	bn:00006502n	d001.s001.t011	valutazione	valutazione	N	bn:00006502n
d001.s001.t006	Report	report	NOUN	bn:00067181n	d001.s001.t008	relazione	relazione	N	bn:00067181n
	(	(	.		d001.s001.t013	(		X	
	EPAR	epar	NOUN		d001.s001.t014	EPAR	epar	N	
	)	)	.		d001.s001.t015	)		X	
	.	.	.		d001.s001.t016	.		X	
	-end-	-end-	-end-						
	It	it	PRON						
d001.s002.t001	explains	explain	VERB	bn:00087870v	d001.s002.t003	descrive	descrivere	V	bn:00087870v
	how	how	ADV		d001.s002.t005	modo	modo	N	
	the	the	DET		d001.s002.t008	il		X	
d001.s002.t002	Committee	committee	NOUN	bn:00021015n					
	for	for	ADP		d001.s002.t010	per		X	
d001.s002.t003	Medicinal	medicinal	ADJ	bn:00106556a	d001.s002.t012	medicinali	medicinale	N	bn:00106556a
d001.s002.t004	Products	product	NOUN	bn:00064584n					
	for	for	ADP		d001.s002.t013	per		X	
d001.s002.t005	Human	human	ADJ	bn:00104385a	d001.s002.t015	umano	umano	J	bn:00104385a
d001.s002.t006	Use	use	NOUN	bn:00030627n	d001.s002.t014	uso	uso	N	bn:00030627n
	(	(	.		d001.s002.t016	(		X	
	CHMP	chmp	NOUN		d001.s002.t017	CHMP	chmp	N	
	)	)	.		d001.s002.t018	)		X	
d001.s002.t007	assessed	assess	VERB	bn:00082720v	d001.s002.t020	valutato	valutare	V	bn:00082720v
	the	the	DET		d001.s002.t021	gli		X	
d001.s002.t008	studies	study	NOUN	bn:00074790n	d001.s002.t022	studi	studio	N	bn:00074790n
d001.s002.t009	performed	perform	VERB	bn:00087107v	d001.s002.t024	effettuati	effettuare	V	bn:00087107v
	,	,	.						
	to	to	PRT						
d001.s002.t010	reach	reach	VERB	bn:00088789v					
	their	they	PRON						
d001.s002.t011	recommendations	recommendation	NOUN	bn:00066562n	d001.s002.t029	raccomandazioni	raccomandazione	N	bn:00066562n
	on	on	ADP		d001.s002.t030	su		X	
	how	how	ADV		d001.s002.t031	come		X	
	to	to	PRT						
d001.s002.t012	use	use	VERB	bn:00082705v	d001.s002.t032	usare	usare	V	bn:00082705v
	the	the	DET		d001.s002.t033	il		X	
d001.s002.t013	medicine	medicine	NOUN	bn:00054128n	d001.s002.t034	medicinale	medicinale	N	bn:00054128n
	.	.	.		d001.s002.t035	.		X	
	-end-	-end-	-end-						
	If	if	ADP		d001.s003.t001	Per		X	
	you	you	PRON						
d001.s003.t001	need	need	VERB	bn:00091029v					
d001.s003.t002	more	more	ADJ	bn:00106935a	d001.s003.t002	maggiori	maggiore	J	bn:00106935a
d001.s003.t003	information	information	NOUN	bn:00025314n	d001.s003.t003	informazioni	informazione	N	bn:00025314n
	about	about	ADP		d001.s003.t004	riguardanti	riguardare	V	
	your	you	PRON		d001.s003.t006	proprie	proprio	J	
d001.s003.t004	medical	medical	ADJ	bn:00106555a	d001.s003.t009	salute	salute	N	bn:00106555a
d001.s003.t005	condition	condition	NOUN	bn:00021648n	d001.s003.t007	condizioni	condizione	N	bn:00021648n
	or	or	CONJ		d001.s003.t010	o		X	
	your	you	PRON						
d001.s003.t006	treatment	treatment	NOUN	bn:00047235n	d001.s003.t012	terapia	terapia	N	bn:00047235n
	,	,	.		d001.s003.t013	,		X	
d001.s003.t007	read	read	VERB	bn:00092424v	d001.s003.t014	leggere	leggere	V	bn:00092424v
	the	the	DET		d001.s003.t015	il		X	
d001.s003.t008	Package	package	NOUN	bn:00013882n					
d001.s003.t009	Leaflet	leaflet	NOUN	bn:00012133n	d001.s003.t016	foglio	foglio	N	bn:00012133n
	(	(	.		d001.s003.t018	(		X	
d001.s003.t010	also	also	ADV	bn:00114246r					
d001.s003.t011	part	part	NOUN	bn:00027912n					
	of	of	ADP						
	the	the	DET						
	EPAR	epar	NOUN		d001.s003.t021	EPAR	epar	N	
	)	)	.		d001.s003.t022	)		X	
	or	or	CONJ		d001.s003.t023	oppure		X	
d001.s003.t012	contact	contact	VERB	bn:00085696v	d001.s003.t024	consultare	consultare	V	bn:00085696v
	your	you	PRON		d001.s003.t025	il		X	
d001.s003.t013	doctor	doctor	NOUN	bn:00027976n	d001.s003.t026	medico	medico	N	bn:00027976n
	or	or	CONJ		d001.s003.t027	o		X	
d001.s003.t014	pharmacist	pharmacist	NOUN	bn:00004992n	d001.s003.t029	farmacista	farmacista	N	bn:00004992n
	.	.	.		d001.s003.t030	.		X	
	-end-	-end-	-end-						
	If	if	ADP		d001.s004.t001	Per		X	
	you	you	PRON						
d001.s004.t001	want	want	VERB	bn:00086682v					
d001.s004.t002	more	more	ADJ	bn:00106935a	d001.s004.t002	maggiori	maggiore	J	bn:00106935a
d001.s004.t003	information	information	NOUN	bn:00025314n	d001.s004.t003	informazioni	informazione	N	bn:00025314n
	on	on	ADP						
	the	the	DET		d001.s004.t005	alle		X	
d001.s004.t004	basis	basis	NOUN	bn:00008870n					
	of	of	ADP						
	the	the	DET		d001.s004.t009	del		X	
	CHMP	chmp	NOUN		d001.s004.t010	CHMP	chmp	N	
d001.s004.t005	recommendations	recommendation	NOUN	bn:00066562n	d001.s004.t008	raccomandazioni	raccomandazione	N	bn:00066562n
	,	,	.		d001.s004.t011	,		X	
d001.s004.t006	read	read	VERB	bn:00092424v	d001.s004.t012	leggere	leggere	V	bn:00092424v
	the	the	DET		d001.s004.t013	la		X	
d001.s004.t007	Scientific	scientific	ADJ	bn:00110176a	d001.s004.t015	scientifica	scientifico	J	bn:00110176a
d001.s004.t008	Discussion	discussion	NOUN	bn:00027523n	d001.s004.t014	discussione	discussione	N	bn:00027523n
	(	(	.		d001.s004.t016	(		X	
d001.s004.t009	also	also	ADV	bn:00114246r	d001.s004.t017	anch		X	bn:00114246r
d001.s004.t010	part	part	NOUN	bn:00027912n					
	of	of	ADP						
	the	the	DET						
	EPAR	epar	NOUN		d001.s004.t021	EPAR	epar	N	
	)	)	.		d001.s004.t022	)		X	
	.	.	.		d001.s004.t023	.		X	
	-end-	-end-	-end-						
	What	what	PRON		d001.s005.t002	cos	cosa	N	
	is	be	VERB		d001.s005.t003	è	essere	V	
	Alimta	alimta	NOUN		d001.s005.t004	Alimta	alimta	N	
	?	?	.		d001.s005.t005	?		X	
	-end-	-end-	-end-						
	Alimta	alimta	NOUN		d001.s006.t001	Alimta	alimta	N	
	is	be	VERB		d001.s006.t002	è	essere	V	
	a	a	DET		d001.s006.t003	una		X	
d001.s006.t001	powder	powder	NOUN	bn:00063927n	d001.s006.t004	polvere	polvere	N	bn:00063927n
	that	that	DET						
	is	be	VERB						
d001.s006.t002	made up	make_up	VERB	bn:00083187v					
	into	into	ADP		d001.s006.t007	in		X	
	a	a	DET						
d001.s006.t003	solution	solution	NOUN	bn:00072760n	d001.s006.t008	soluzione	soluzione	N	bn:00072760n
	for	for	ADP		d001.s006.t009	per		X	
d001.s006.t004	infusion	infusion	NOUN	bn:00046734n	d001.s006.t010	infusione	infusione	N	bn:00046734n
	(	(	.		d001.s006.t011	(		X	
d001.s006.t005	drip	drip	VERB	bn:00087306v					
	into	into	ADP		d001.s006.t016	in		X	
	a	a	DET						
d001.s006.t006	vein	vein	NOUN	bn:00079681n	d001.s006.t017	vena	vena	N	bn:00079681n
	)	)	.		d001.s006.t018	)		X	
	.	.	.		d001.s006.t019	.		X	
	-end-	-end-	-end-						
	It	it	PRON						
d001.s007.t001	contains	contain	VERB	bn:00085499v	d001.s007.t001	Contiene	contenere	V	bn:00085499v
	the	the	DET		d001.s007.t002	il		X	
d001.s007.t002	active	active	ADJ	bn:00096387a	d001.s007.t003	principio	principio	N	bn:00096387a
d001.s007.t003	substance	substance	NOUN	bn:00074987n					
	pemetrexed	pemetrex	VERB		d001.s007.t005	pemetrexed	pemetrexed	N	
	.	.	.		d001.s007.t006	.		X	
	-end-	-end-	-end-						
	What	what	PRON		d001.s008.t003	cosa	cosa	N	
	is	be	VERB						
	Alimta	alimta	NOUN		d001.s008.t006	Alimta	alimta	N	
d001.s008.t001	used	use	VERB	bn:00082705v	d001.s008.t005	usa	usare	V	bn:00082705v
	for	for	ADP		d001.s008.t001	Per		X	
	?	?	.		d001.s008.t007	?		X	
	-end-	-end-	-end-						
	Alimta	alimta	NOUN		d001.s009.t001	Alimta	alimta	N	
	is	be	VERB		d001.s009.t002	è	essere	V	
d001.s009.t001	used	use	VERB	bn:00082705v	d001.s009.t003	indicato	indicare	V	bn:00082705v
	to	to	PRT		d001.s009.t004	nel		X	
d001.s009.t002	treat	treat	VERB	bn:00084532v	d001.s009.t005	trattamento	trattamento	N	bn:00084532v
	two	two	NUM		d001.s009.t007	due	due	N	
d001.s009.t003	types	type	NOUN	bn:00078798n	d001.s009.t008	tipi	tipo	N	bn:00078798n
	of	of	ADP		d001.s009.t009	di		X	
d001.s009.t004	cancer	cancer	NOUN	bn:00015180n	d001.s009.t010	tumore	tumore	N	bn:00015180n
	:	:	.		d001.s009.t011	:		X	
d001.s009.t005	pleural	pleural	ADJ	bn:00108692a	d001.s009.t014	pleurico	pleurico	J	bn:00108692a
d001.s009.t006	mesothelioma	mesothelioma	NOUN	bn:00054512n	d001.s009.t013	mesotelioma	mesotelioma	N	bn:00054512n
	(	(	.		d001.s009.t015	(		X	
d001.s009.t007	cancer	cancer	NOUN	bn:00015180n	d001.s009.t016	tumore	tumore	N	bn:00015180n
	of	of	ADP						
	the	the	DET						
d001.s009.t008	lining	lining	NOUN	bn:00051366n					
	of	of	ADP		d001.s009.t017	della		X	
	the	the	DET						
d001.s009.t009	lungs	lung	NOUN	bn:00052341n	d001.s009.t022	polmoni	polmone	N	bn:00052341n
	that	that	DET		d001.s009.t019	che		X	
	is	be	VERB						
d001.s009.t010	usually	usually	ADV	bn:00114778r	d001.s009.t024	generalmente	generalmente	R	bn:00114778r
d001.s009.t011	caused	cause	VERB	bn:00084699v	d001.s009.t025	provocato	provocare	V	bn:00084699v
	by	by	ADP		d001.s009.t026	dall		X	
d001.s009.t012	exposure	exposure	NOUN	bn:00032384n	d001.s009.t027	esposizione	esposizione	N	bn:00032384n
	to	to	PRT		d001.s009.t028	all		X	
d001.s009.t013	asbestos	asbestos	NOUN	bn:00006236n	d001.s009.t029	amianto	amianto	N	bn:00006236n
	)	)	.		d001.s009.t030	)		X	
	.	.	.		d001.s009.t031	.		X	
	-end-	-end-	-end-						
	Alimta	alimta	NOUN		d001.s010.t001	Alimta	alimta	N	
	is	be	VERB		d001.s010.t002	è	essere	V	
d001.s010.t001	used	use	VERB	bn:00082705v	d001.s010.t003	utilizzato	utilizzare	V	bn:00082705v
d001.s010.t002	together with	together_with	ADV	bn:00114766r	d001.s010.t006	con		X	bn:00114766r
	cisplatin	cisplatin	X		d001.s010.t007	cisplatino	cisplatino	N	
	(	(	.		d001.s010.t008	(		X	
	another	another	DET		d001.s010.t010	altro	altro	J	
d001.s010.t003	anticancer	anticancer	ADJ	bn:00097220a	d001.s010.t012	antitumorale	antitumorale	J	bn:00097220a
d001.s010.t004	medicine	medicine	NOUN	bn:00054128n	d001.s010.t011	farmaco	farmaco	N	bn:00054128n
	)	)	.		d001.s010.t013	)		X	
	when	when	ADV		d001.s010.t014	quando		X	
	the	the	DET		d001.s010.t015	il		X	
d001.s010.t005	cancer	cancer	NOUN	bn:00015180n	d001.s010.t016	tumore	tumore	N	bn:00015180n
	is	be	VERB		d001.s010.t018	è	essere	V	
	unresectable	unresectable	ADJ		d001.s010.t019	asportabile	asportabile	J	
	(	(	.		d001.s010.t020	(		X	
	cannot	cannot	X		d001.s010.t022	può	potere	V	
	be	be	VERB		d001.s010.t023	essere	essere	V	
d001.s010.t006	removed	remove	VERB	bn:00092783v					
	by	by	ADP		d001.s010.t025	con		X	
d001.s010.t007	surgery	surgery	NOUN	bn:00059129n	d001.s010.t028	intervento	intervento	N	bn:00059129n
d001.s010.t008	alone	alone	ADJ	bn:00096871a	d001.s010.t027	solo	solo	J	bn:00096871a
	)	)	.		d001.s010.t030	)		X	
	and	and	CONJ		d001.s010.t031	ed		X	
d001.s010.t009	malignant	malignant	ADJ	bn:00106363a	d001.s010.t033	maligno	maligno	J	bn:00106363a
	(	(	.		d001.s010.t034	(		X	
	has	have	VERB						
d001.s010.t010	spread	spread	VERB	bn:00092083v	d001.s010.t037	diffuso	diffondere	V	bn:00092083v
	,	,	.		d001.s010.t038	,		X	
	or	or	CONJ		d001.s010.t039	o		X	
	is	be	VERB						
d001.s010.t011	likely	likely	ADJ	bn:00105982a	d001.s010.t041	probabile	probabile	J	bn:00105982a
	to	to	PRT						
d001.s010.t012	spread	spread	VERB	bn:00092083v					
d001.s010.t013	easily	easily	ADV	bn:00115155r	d001.s010.t044	facilmente	facilmente	R	bn:00115155r
	,	,	.		d001.s010.t045	,		X	
	to	to	PRT		d001.s010.t046	ad		X	
d001.s010.t014	other	other	ADJ	bn:00108011a	d001.s010.t047	altre		X	bn:00108011a
d001.s010.t015	parts	part	NOUN	bn:00060765n	d001.s010.t048	parti	parte	N	bn:00060765n
	of	of	ADP		d001.s010.t049	del		X	
	the	the	DET						
d001.s010.t016	body	body	NOUN	bn:00011744n	d001.s010.t050	corpo	corpo	N	bn:00011744n
	)	)	.		d001.s010.t051	)		X	
	,	,	.		d001.s010.t052	,		X	
	in	in	ADP		d001.s010.t053	in		X	
d001.s010.t017	patients	patient	NOUN	bn:00061017n	d001.s010.t054	pazienti	paziente	N	bn:00061017n
	who	who	PRON		d001.s010.t055	che		X	
	have	have	VERB		d001.s010.t057	sono	essere	V	
d001.s010.t018	not	not	ADV	bn:00116360r	d001.s010.t056	non		X	bn:00116360r
d001.s010.t019	received	receive	VERB	bn:00087863v	d001.s010.t058	stati	essere	V	bn:00087863v
d001.s010.t020	chemotherapy	chemotherapy	NOUN	bn:00018141n	d001.s010.t063	chemioterapia	chemioterapia	N	bn:00018141n
	(	(	.						
d001.s010.t021	medicines	medicine	NOUN	bn:00054128n	d001.s010.t012	antitumorale	antitumorale	J	bn:00054128n
	for	for	ADP						
d001.s010.t022	cancer	cancer	NOUN	bn:00015180n					
	)	)	.						
	before	before	ADP		d001.s010.t061	precedenza	precedenza	N	
d001.s010.t023	advanced	advanced	ADJ	bn:00096528a	d001.s010.t073	avanzato	avanzato	J	bn:00096528a
	or	or	CONJ		d001.s010.t074	o		X	
d001.s010.t024	metastatic	metastatic	ADJ	bn:00106664a	d001.s010.t075	metastatico	metastatico	J	bn:00106664a
	non-small	non-small	ADJ						
d001.s010.t025	cell	cell	NOUN	bn:00017027n					
d001.s010.t026	lung cancer	lung_cancer	NOUN	bn:00052343n					
	that	that	DET		d001.s010.t076	che		X	
	is	be	VERB						
d001.s010.t027	not	not	ADV	bn:00116360r	d001.s010.t077	non		X	bn:00116360r
d001.s010.t028	affecting	affect	VERB	bn:00082427v	d001.s010.t078	interessa	interessare	V	bn:00082427v
	the	the	DET		d001.s010.t079	le		X	
d001.s010.t029	squamous cells	squamous_cell	NOUN	bn:00073708n	d001.s010.t081	squamose	squamoso	J	bn:00073708n
	.	.	.		d001.s010.t082	.		X	
	-end-	-end-	-end-						
	Alimta	alimta	NOUN		d001.s011.t001	Alimta	alimta	N	
	is	be	VERB		d001.s011.t002	è	essere	V	
d001.s011.t001	used	use	VERB	bn:00082705v	d001.s011.t003	usato	usare	V	bn:00082705v
	in	in	ADP		d001.s011.t004	in		X	
d001.s011.t002	combination	combination	NOUN	bn:00020878n	d001.s011.t005	associazione	associazione	N	bn:00020878n
	with	with	ADP		d001.s011.t006	con		X	
	cisplatin	cisplatin	NOUN		d001.s011.t007	cisplatino	cisplatino	N	
	in	in	ADP		d001.s011.t008	in		X	
d001.s011.t003	patients	patient	NOUN	bn:00061017n	d001.s011.t009	pazienti	paziente	N	bn:00061017n
	who	who	PRON						
	have	have	VERB						
d001.s011.t004	not	not	ADV	bn:00116360r	d001.s011.t010	non		X	bn:00116360r
	been	be	VERB		d001.s011.t023	stati	essere	V	
d001.s011.t005	treated	treat	VERB	bn:00084532v	d001.s011.t011	trattati	trattare	V	bn:00084532v
	before	before	ADV						
	,	,	.						
	and	and	CONJ		d001.s011.t014	e		X	
	on	on	ADP						
	its	its	PRON						
	own	own	ADJ		d001.s011.t016	solo	solo	R	
	in	in	ADP		d001.s011.t017	in		X	
d001.s011.t006	patients	patient	NOUN	bn:00061017n	d001.s011.t018	pazienti	paziente	N	bn:00061017n
	who	who	PRON		d001.s011.t019	che		X	
	have	have	VERB		d001.s011.t022	sono	essere	V	
d001.s011.t007	received	receive	VERB	bn:00087863v	d001.s011.t024	sottoposti	sottoporre	V	bn:00087863v
	another	another	DET		d001.s011.t027	altro	altro	J	
