ID	English	Italian
d001.s001	This document is a summary of the European Public Assessment Report (EPAR).	Questo documento è la sintesi di una relazione pubblica di valutazione europea ( EPAR ) .
d001.s002	It explains how the Committee for Medicinal Products for Human Use (CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.	L EPAR descrive il modo in cui il comitato per i medicinali per uso umano ( CHMP ) ha valutato gli studi scientifici effettuati e ha formulato le raccomandazioni su come usare il medicinale .
d001.s003	If you need more information about your medical condition or your treatment, read the Package Leaflet (also part of the EPAR) or contact your doctor or pharmacist.	Per maggiori informazioni riguardanti le proprie condizioni di salute o la terapia , leggere il foglio illustrativo ( allegato all EPAR ) oppure consultare il medico o il farmacista .
d001.s004	If you want more information on the basis of the CHMP recommendations, read the Scientific Discussion (also part of the EPAR).	Per maggiori informazioni riguardo alle motivazioni delle raccomandazioni del CHMP , leggere la discussione scientifica ( anch essa allegato all EPAR ) .
d001.s005	What is Alimta?	Che cos è Alimta ?
d001.s006	Alimta is a powder that is made up into a solution for infusion (drip into a vein).	Alimta è una polvere da ricostituire in soluzione per infusione ( iniezione goccia a goccia in vena ) .
d001.s007	It contains the active substance pemetrexed.	Contiene il principio attivo pemetrexed .
d001.s008	What is Alimta used for?	Per che cosa si usa Alimta ?
d001.s009	Alimta is used to treat two types of cancer: pleural mesothelioma (cancer of the lining of the lungs that is usually caused by exposure to asbestos).	Alimta è indicato nel trattamento di due tipi di tumore : il mesotelioma pleurico ( tumore della membrana che riveste i polmoni , generalmente provocato dall esposizione all amianto ) .
d001.s010	Alimta is used together with cisplatin (another anticancer medicine) when the cancer is unresectable (cannot be removed by surgery alone) and malignant (has spread, or is likely to spread easily, to other parts of the body), in patients who have not received chemotherapy (medicines for cancer) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells.	Alimta è utilizzato in combinazione con cisplatino ( un altro farmaco antitumorale ) quando il tumore non è asportabile ( non può essere asportato con il solo intervento chirurgico ) ed è maligno ( si è diffuso , o è probabile si diffonda facilmente , ad altre parti del corpo ) , in pazienti che non sono stati sottoposti in precedenza a chemioterapia il carcinoma polmonare non a piccole cellule in stadio avanzato o metastatico che non interessa le cellule squamose .
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before, and on its own in patients who have received another type of chemotherapy in the past.	Alimta è usato in associazione con cisplatino in pazienti non trattati in passato e da solo in pazienti che in passato sono stati sottoposti ad un altro tipo di chemioterapia .
d001.s012	The medicine can only be obtained with a prescription.	Il medicinale può essere ottenuto soltanto con prescrizione medica .
d001.s013	How is Alimta used?	Come si usa Alimta ?
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy.	Alimta deve essere somministrato solamente sotto la supervisione di un medico qualificato per l uso della chemioterapia antitumorale .
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area (calculated using the patient's height and weight).	La dose raccomandata di Alimta è di 500 mg per metro quadrato di superficie corporea ( calcolata utilizzando l altezza e il peso del paziente ) da somministrare per infusione endovenosa in 10 minuti una volta ogni tre settimane .
d001.s016	It is given once every three weeks as an intravenous infusion lasting 10 minutes.	Per ridurre gli effetti indesiderati , i pazienti devono assumere un corticosteroide e acido folico ( un tipo di vitamina ) e ricevere iniezioni di vitamina B12 durante il trattamento con Alimta .
d001.s017	To reduce side effects, patients should take a corticosteroid and folic acid (a type of vitamin), and receive injections of vitamin B12 during treatment with Alimta.	Quando Alimta è somministrato con cisplatino , i pazienti devono assumere un farmaco antiemetico ( per prevenire il vomito ) e ricevere un adeguata idratazione ( per prevenire la disidratazione ) prima o dopo l assunzione di cisplatino .
d001.s018	When Alimta is given with cisplatin, an anti-emetic medicine (to prevent vomiting) and fluids (to prevent dehydration) should also be given before or after the cisplatin dose.	Il trattamento deve essere posticipato o interrotto , o la dose deve essere ridotta , nei pazienti con alterazioni nelle conte ematiche o che riportano altri effetti indesiderati .
d001.s019	Treatment should be delayed or discontinued, or the dose reduced, in patients whose blood counts are abnormal or who have certain other side effects.	L impiego di Alimta è sconsigliato nei pazienti con insufficienza renale grave o moderata .
d001.s020	Alimta is not recommended for use in patients with moderate or severe kidney problems.	Per maggiori informazioni , si rimanda al Riassunto delle caratteristiche del prodotto , anch esso allegato all EPAR .
d001.s021	For more information, see the Summary of Product Characteristics (also part of the EPAR).	Come agisce Alimta ?
d001.s022	How does Alimta work?	Il principio attivo di Alimta , pemetrexed , è un medicinale citotossico ( medicinale che uccide le cellule in attiva divisione , come le cellule tumorali ) , che appartiene al gruppo degli antimetaboliti .
d001.s023	The active substance in Alimta, pemetrexed, is a cytotoxic medicine (a medicine that kills cells that are dividing, such as cancer cells), which belongs to the group antimetabolites.	Nell organismo , pemetrexed viene trasformato in una forma attiva che blocca l attività degli enzimi coinvolti nella produzione dei nucleotidi ( gli elementi costitutivi di DNA e RNA , il materiale genetico delle cellule ) .
d001.s024	In the body, pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides (the building blocks of DNA and RNA, the genetic material of cells).	Quali studi sono stati effettuati su Alimta ?
d001.s025	How has Alimta been studied?	Per il trattamento del mesotelioma pleurico maligno , Alimta è stato esaminato nell ambito di uno studio principale condotto su 456 pazienti che non erano stati sottoposti a chemioterapia in precedenza .
d001.s026	For the treatment of malignant pleural mesothelioma, Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before.	Gli effetti di Alimta somministrato in combinazione con cisplatino sono stati confrontati con quelli di cisplatino in monoterapia .
d001.s027	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone.	Per il trattamento del carcinoma polmonare non a piccole cellule , gli effetti di Alimta sono stati confrontati con quelli di docetaxel ( un altro farmaco antitumorale ) in uno studio condotto su 571 pazienti con tumore in fase avanzata o metastatica , già sottoposti in precedenza a chemioterapia .
d001.s028	For the treatment of non-small cell lung cancer, the effects of Alimta were compared with those of docetaxel (another anticancer medicine) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past.	Alimta è stato anche confrontato con gemcitabina ( altro medicinale antitumorale ) , entrambi in associazione con cisplatino , in uno studio su 1.725 pazienti che in passato non erano mai stati sottoposti a chemioterapia per tumore polmonare .
d001.s029	Alimta was also compared with gemcitabine (another anticancer medicine), both in combination with cisplatin, in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past.	In tutti e tre gli studi , il principale indicatore dell efficacia era il tempo di sopravvivenza dei pazienti .
d001.s030	In all three studies, the main measure of effectiveness was how long the patients survived.	Quali benefici ha mostrato Alimta nel corso degli studi ?
d001.s031	What benefit has Alimta shown during the studies?	Alimta ha aumentato il tempo di sopravvivenza dei pazienti affetti da mesotelioma pleurico maligno .
d001.s032	Alimta increased the survival time of patients with malignant pleural mesothelioma.	I soggetti a cui è stato somministrato Alimta in combinazione con cisplatino sono sopravvissuti in media 12,1 mesi , rispetto ai 9,3 mesi dei pazienti che hanno assunto cisplatino in monoterapia .
d001.s033	Patients receiving Alimta and cisplatin survived for an average of 12.1 months, compared with 9.3 months in those receiving cisplatin alone.	Nel trattamento dei pazienti con carcinoma polmonare non a piccole cellule , Alimta si è rivelato tanto efficace quanto i comparatori .
d001.s034	In the treatment of patients with non-small cell lung cancer, Alimta was as effective as the comparators.	Nei pazienti che in passato erano stati sottoposti a chemioterapia , il tempo di sopravvivenza medio è stato di 8,3 mesi con Alimta , contro 7,9 con docetaxel .
d001.s035	In patients who had received chemotherapy in the past, the average survival time was 8.3 months with Alimta, compared with 7.9 months with docetaxel.	Nei pazienti che in passato non erano stati sottoposti a chemioterapia , il tempo di sopravvivenza medio è stato di 10,3 mesi in entrambi i gruppi .
d001.s036	In patients who had not received chemotherapy in the past, the average survival time was 10.3 months in both groups.	Tuttavia , in entrambi gli studi i pazienti il cui tumore non interessava cellule squamose hanno riportato tempi di sopravvivenza più lunghi se trattati con Alimta che se trattati con il comparatore .
d001.s037	However, in both studies, patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator.	Invece , i pazienti il cui tumore interessava cellule squamose hanno riportato tempi di sopravvivenza più brevi se trattati con Alimta .
d002.s001	kalgebra is a mathematical calculator based on content markup MathML language.	kalgebra è una calcolatrice matematica basata sul linguaggio MathML .
d002.s002	Nowadays it is capable to make simple MathML operations (arithmetic and logical) and to representate 2D and 3D graphs.	Può eseguire semplici operazioni ( aritmetiche e logiche ) in MathML e può rappresentare grafici 2D e 3D .
d002.s003	It is actually not necessary to know MathML to use kalgebra.	Non è necessario conoscere MathML per usare kalgebra .
d002.s004	kalgebra is a MathML based graph calculator.	kalgebra è una calcolatrice grafica basata sul linguaggio MathML .
d002.s005	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge.	Anche se inizialmente era orientata all' uso usando MathML , può essere usata da chiunque con un minimo di conoscenza matematica .
d002.s006	Here's a screenshot of kalgebra main window	Immagine della finestra principale di kalgebra
d002.s007	kalgebra main window	Finestra principale di kalgebra
d002.s008	kalgebra main window consists in a Console tab, a 2D Graph tab, a 3D Graph tab and a Dictionary tab.	La finestra principale di kalgebra è composta da una scheda Console , una scheda 2D , una scheda 3D e una scheda Dizionario .
d002.s009	Below these tabs you will find an input field to type your functions or do your calculations.	Sotto queste schede si trova un campo di inserimento per scrivere le funzioni o fare calcoli .
d002.s010	If we want to understand how it works, the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML.	Se vogliamo capire come funziona , la cosa migliore da fare è comprendere che ciò che viene inserito è convertito in MathML , anche se non è necessario conoscere MathML .
d002.s011	I have based the syntax basically on common sense, it should not be hard for anyone.	Ho basato la sintassi praticamente sul senso comune , e non dovrebbe essere difficile .
d002.s012	I've looked closely to maxima and maple's syntax so they look very similar.	Ho dato un' occhiata alla sintassi di Maxima e di Maple , in modo da esserne abbastanza simile .
d002.s013	#ERROR!	+ - * / : addizione , sottrazione , moltiplicazione e divisione .
d002.s014	^, **: Power, you can use them both.	^ , ** : elevamento a potenza , puoi usare entrambi .
d002.s015	Also it is possible to use the unicode² characters.	È anche possibile usare il carattere Unicode ² .
d002.s016	Powers are one way to make roots too.	Con gli elevamenti a potenza è anche possibile effettuare radici
d002.s017	-gt: It's the way to specify the bounded variable in a function.	-gt : È il modo di specificare la variabile vincolata in una funzione .
d002.s018	(): It is used to specify a higher priority.	( ) : usato per specificare una priorità più alta .
d002.s019	abc(params): When the parser finds a function, it checks if abc is an operator.	abc(parametri) : Quando l' analizzatore trova una funzione , controlla se « abc » è un operatore .
d002.s020	If it is, it will be treated as an operator, if it is not, it will be treated as a user function.	Se lo è , sarà trattato come un operatore se non lo è , sarà trattato come una funzione utente .
d002.s021	:=: It is used to define a variable value.	: = : Usata per definire il valore di una variabile .
d002.s022	?: Piecewise condition definition.	? : Definizione di condizione definita a tratti .
d002.s023	Piecewise is the way we can define conditional operations in kalgebra.	Una definizione " a tratti " è il modo in cui possiamo definire operazioni condizionali in kalgebra .
d002.s024	If we introduce the condition before the? it will use this condition only if it is true, if it finds a? without any condition, it will enter in the last instance.	Se introduciamo la condizione prima del « ? » , questa condizione sarà usata solo se è vera se viene trovato un « ? » senza condizione , verrà usato come ultima alternativa .
d002.s025	{}: MathML container.	{ } : contenitore MathML ; Può essere usato per definire un contenitore .
d002.s026	It can be used to define a container.	Utile principalmente per le funzioni definite a tratti .
d002.s027	Mainly useful for working with piecewise.	Adesso potresti chiedermi : perché l' utente dovrebbe conoscere MathML ? Semplice : con il MathML possiamo operare con funzioni come cos() , sin() ( e qualsiasi altra funzione trigonometrica ) , sum() o product() .
d002.s028	Now you could ask me, why should the user mind about MathML?	Non importa che tipo di funzione sia .
