ID	English	Italian Translation
i001.s001	This document is a summary of the European Public Assessment Report (EPAR).	Il presente documento è una sintesi della relazione di valutazione pubblica europea (EPAR).
i001.s002	It explains how the Committee for Medicinal Products for Human Use (CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.	Spiega come il comitato per i medicinali per uso umano (CHMP) ha valutato gli studi eseguiti per formulare raccomandazioni sull&#39;uso del medicinale.
i001.s003	If you need more information about your medical condition or your treatment, read the Package Leaflet (also part of the EPAR) or contact your doctor or pharmacist.	Se hai bisogno di maggiori informazioni sulla tua condizione medica o sul trattamento, leggi il foglio illustrativo (accluso all&#39;EPAR) oppure contatta il tuo medico o farmacista.
i001.s004	If you want more information on the basis of the CHMP recommendations, read the Scientific Discussion (also part of the EPAR).	Se desideri maggiori informazioni sulla base delle raccomandazioni del CHMP, leggi la discussione scientifica (anch&#39;essa parte dell&#39;EPAR).
i001.s005	What is Alimta?	Cos&#39;è Alimta?
i001.s006	Alimta is a powder that is made up into a solution for infusion (drip into a vein).	Alimta è una polvere che costituisce una soluzione per infusione (flebo in una vena).
i001.s007	It contains the active substance pemetrexed.	Contiene il principio attivo pemeterxed.
i001.s008	What is Alimta used for?	A cosa serve Alimta?
i001.s009	Alimta is used to treat two types of cancer: pleural mesothelioma (cancer of the lining of the lungs that is usually caused by exposure to asbestos).	Alimta è usato per trattare due tipi di cancro: il mesotelioma pleurico (cancro del rivestimento dei polmoni, solitamente causato dall&#39;esposizione all&#39;amianto).
i001.s010	Alimta is used together with cisplatin (another anticancer medicine) when the cancer is unresectable (cannot be removed by surgery alone) and malignant (has spread, or is likely to spread easily, to other parts of the body), in patients who have not received chemotherapy (medicines for cancer) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells.	Alimta è usato insieme al cisplatino (un altro medicinale antitumorale) quando il cancro non è resecabile (non può essere rimosso con il solo intervento chirurgico) e maligno (si è diffuso, o è probabile che si diffonda facilmente, ad altre parti del corpo), in pazienti che non hanno ha ricevuto chemioterapia (medicinali antitumorali) prima del cancro polmonare non a piccole cellule avanzato o metastatico che non colpisce le cellule squamose.
i001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before, and on its own in patients who have received another type of chemotherapy in the past.	Alimta è usato in combinazione con cisplatino in pazienti che non sono stati trattati in precedenza e da solo in pazienti che hanno ricevuto in passato un altro tipo di chemioterapia.
i001.s012	The medicine can only be obtained with a prescription.	Il medicinale può essere ottenuto soltanto con prescrizione medica.
i001.s013	How is Alimta used?	Come si usa Alimta?
i001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy.	Alimta deve essere somministrato solo sotto la supervisione di un medico qualificato nell’uso della chemioterapia antitumorale.
i001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area (calculated using the patient's height and weight).	La dose raccomandata di Alimta è di 500 mg per metro quadrato di superficie corporea (calcolata in base all&#39;altezza e al peso del paziente).
i001.s016	It is given once every three weeks as an intravenous infusion lasting 10 minutes.	Viene somministrato una volta ogni tre settimane come infusione endovenosa della durata di 10 minuti.
