ID	English	Italian	English-Italian Alignment
d001.s001	This document is a summary of the European Public Assessment Report (EPAR).	Questo documento è la sintesi di una relazione pubblica di valutazione europea ( EPAR ) .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-11 8-8 9-10 10-7 11-12 12-13 13-14 14-15
d001.s002	It explains how the Committee for Medicinal Products for Human Use (CHMP) assessed the studies performed, to reach their recommendations on how to use the medicine.	L EPAR descrive il modo in cui il comitato per i medicinali per uso umano ( CHMP ) ha valutato gli studi scientifici effettuati e ha formulato le raccomandazioni su come usare il medicinale .	0-0 1-2 2-4 3-7 4-8 5-9 6-11 8-12 9-14 10-13 11-15 12-16 13-17 14-19 15-20 16-21 17-23 18-24 20-26 21-28 22-28 23-29 24-30 25-26 26-31 27-32 28-33 29-34
d001.s003	If you need more information about your medical condition or your treatment, read the Package Leaflet (also part of the EPAR) or contact your doctor or pharmacist.	Per maggiori informazioni riguardanti le proprie condizioni di salute o la terapia , leggere il foglio illustrativo ( allegato all EPAR ) oppure consultare il medico o il farmacista .	0-0 1-3 3-1 4-2 5-3 6-5 7-8 8-6 9-9 10-10 11-11 12-12 13-13 14-14 16-15 16-16 17-17 21-27 22-20 23-21 24-22 25-23 26-24 27-25 28-26 29-23 29-28 30-29
d001.s004	If you want more information on the basis of the CHMP recommendations, read the Scientific Discussion (also part of the EPAR).	Per maggiori informazioni riguardo alle motivazioni delle raccomandazioni del CHMP , leggere la discussione scientifica ( anch essa allegato all EPAR ) .	0-0 3-1 4-2 6-4 8-6 9-8 10-9 11-7 12-10 13-11 14-12 15-14 16-13 17-15 18-16 21-14 22-20 23-21 24-22
d001.s005	What is Alimta?	Che cos è Alimta ?	0-1 1-2 2-3 3-4
d001.s006	Alimta is a powder that is made up into a solution for infusion (drip into a vein).	Alimta è una polvere da ricostituire in soluzione per infusione ( iniezione goccia a goccia in vena ) .	0-0 1-1 2-2 3-3 5-5 7-6 8-9 9-7 10-8 11-9 12-10 13-5 13-11 14-15 16-16 17-17 18-18
d001.s007	It contains the active substance pemetrexed.	Contiene il principio attivo pemetrexed .	0-0 1-0 2-1 3-2 4-3 5-4 6-5
d001.s008	What is Alimta used for?	Per che cosa si usa Alimta ?	0-2 1-3 2-5 3-4 4-0 5-6
d001.s009	Alimta is used to treat two types of cancer: pleural mesothelioma (cancer of the lining of the lungs that is usually caused by exposure to asbestos).	Alimta è indicato nel trattamento di due tipi di tumore : il mesotelioma pleurico ( tumore della membrana che riveste i polmoni , generalmente provocato dall esposizione all amianto ) .	0-0 1-1 2-2 3-3 4-4 5-6 6-7 7-8 8-9 9-10 10-13 11-12 12-14 13-15 17-16 18-20 19-17 19-21 20-18 21-24 22-23 23-24 24-25 25-26 26-27 27-28 28-29 29-30
d001.s010	Alimta is used together with cisplatin (another anticancer medicine) when the cancer is unresectable (cannot be removed by surgery alone) and malignant (has spread, or is likely to spread easily, to other parts of the body), in patients who have not received chemotherapy (medicines for cancer) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells.	Alimta è utilizzato in combinazione con cisplatino ( un altro farmaco antitumorale ) quando il tumore non è asportabile ( non può essere asportato con il solo intervento chirurgico ) ed è maligno ( si è diffuso , o è probabile si diffonda facilmente , ad altre parti del corpo ) , in pazienti che non sono stati sottoposti in precedenza a chemioterapia il carcinoma polmonare non a piccole cellule in stadio avanzato o metastatico che non interessa le cellule squamose .	0-0 1-1 2-2 3-4 4-5 5-6 6-7 7-9 8-11 9-10 10-12 11-13 12-14 13-15 14-17 15-16 15-18 16-19 17-21 18-22 19-18 20-24 21-27 22-26 23-29 24-30 25-32 26-33 28-36 29-37 30-38 31-31 32-40 34-42 35-43 36-44 37-45 38-46 39-47 40-48 41-25 42-49 43-50 44-51 45-52 46-53 47-54 48-56 49-55 50-57 51-62 53-11 56-12 57-60 58-72 59-73 60-74 61-66 61-68 62-69 65-75 67-76 68-77 69-78 70-80 71-15 71-79 72-81
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before, and on its own in patients who have received another type of chemotherapy in the past.	Alimta è usato in associazione con cisplatino in pazienti non trattati in passato e da solo in pazienti che in passato sono stati sottoposti ad un altro tipo di chemioterapia .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 11-9 12-22 13-10 14-12 15-4 16-13 17-14 19-15 20-16 21-17 22-18 23-21 24-23 25-26 26-27 27-28 28-29 29-11 30-19 31-20 32-30
d001.s012	The medicine can only be obtained with a prescription.	Il medicinale può essere ottenuto soltanto con prescrizione medica .	0-0 1-1 2-2 3-5 4-3 5-1 5-4 6-6 8-7 9-9
d001.s013	How is Alimta used?	Come si usa Alimta ?	0-0 1-1 2-3 3-2 4-4
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy.	Alimta deve essere somministrato solamente sotto la supervisione di un medico qualificato per l uso della chemioterapia antitumorale .	0-0 1-1 2-4 3-2 4-3 5-5 6-6 7-7 8-8 9-9 10-10 12-11 13-11 14-12 15-15 16-14 17-17 18-17 19-16 20-18
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area (calculated using the patient's height and weight).	La dose raccomandata di Alimta è di 500 mg per metro quadrato di superficie corporea ( calcolata utilizzando l altezza e il peso del paziente ) da somministrare per infusione endovenosa in 10 minuti una volta ogni tre settimane .	0-0 1-2 2-1 3-3 4-4 5-5 6-7 7-8 8-9 9-11 10-10 11-12 12-14 13-13 14-14 15-15 16-16 17-17 18-23 19-24 20-18 21-19 22-20 23-22 24-25 25-39
d001.s016	It is given once every three weeks as an intravenous infusion lasting 10 minutes.	Per ridurre gli effetti indesiderati , i pazienti devono assumere un corticosteroide e acido folico ( un tipo di vitamina ) e ricevere iniezioni di vitamina B12 durante il trattamento con Alimta .	0-0 1-9 2-22 6-7 8-10 9-4 10-23 11-5 12-26 14-32
