Token ID	Token	Lemma	POS	Sense	Token ID IT	Token IT	Lemma IT	POS IT	Sense IT
d001.s001.t007	the		X		i001.s001.t001	Il	il	DET	
d001.s001.t001	This		X		i001.s001.t002	presente	presente	ADJ	
d001.s001.t002	document	document	N	bn:00028015n	i001.s001.t003	documento	documento	NOUN	bn:00028015n
d001.s001.t003	is	be	V		i001.s001.t004	è	essere	AUX	
d001.s001.t004	a		X		i001.s001.t005	una	uno	DET	
d001.s001.t005	summary	summary	N	bn:00075142n	i001.s001.t006	sintesi	sintesi	NOUN	bn:00075142n
d001.s001.t006	of		X		i001.s001.t007	della	di il	ADP	
d001.s001.t011	Report	report	N	bn:00067181n	i001.s001.t008	relazione	relazione	NOUN	bn:00067181n
d001.s001.t010	Assessment	assessment	N	bn:00006502n	i001.s001.t010	valutazione	valutazione	NOUN	bn:00006502n
d001.s001.t009	Public	public	J	bn:00109211a	i001.s001.t011	pubblica	pubblico	ADJ	bn:00109211a
d001.s001.t008	European	european	J	bn:00102440a	i001.s001.t012	europea	europeo	ADJ	bn:00102440a
d001.s001.t012	(		X		i001.s001.t013	(	(	PUNCT	
d001.s001.t013	EPAR	epar	N		i001.s001.t014	EPAR	EPAR	PROPN	
d001.s001.t014	)		X		i001.s001.t015	)	)	PUNCT	
d001.s001.t015	.		X		i001.s001.t016	.	.	PUNCT	
d001.s002.t002	explains	explain	V	bn:00087869v	i001.s002.t001	Spiega	spiegare	VERB	bn:00087869v
d001.s002.t003	how		X		i001.s002.t002	come	come	ADP	
d001.s002.t005	Committee	committee	N	bn:00021015n	i001.s002.t004	comitato	comitato	NOUN	bn:00021015n
d001.s002.t004	the		X		i001.s002.t004	comitato	comitato	NOUN	
d001.s002.t006	for		X		i001.s002.t005	per	per	ADP	
d001.s002.t007	Medicinal	medicinal	J	bn:00106556a	i001.s002.t007	medicinali	medicinale	NOUN	bn:00106556a
d001.s002.t009	for		X		i001.s002.t008	per	per	ADP	
d001.s002.t011	Use	use	N	bn:00030627n	i001.s002.t009	uso	uso	NOUN	bn:00030627n
d001.s002.t010	Human	human	J	bn:00104385a	i001.s002.t010	umano	umano	ADJ	bn:00104385a
d001.s002.t012	(		X		i001.s002.t011	(	(	PUNCT	
d001.s002.t013	CHMP	chmp	N	bn:00302314n	i001.s002.t012	CHMP	CHMP	PROPN	bn:00302314n
d001.s002.t014	)		X		i001.s002.t013	)	)	PUNCT	
d001.s002.t015	assessed	assess	V	bn:00082720v	i001.s002.t015	valutato	valutare	VERB	bn:00082720v
d001.s002.t016	the		X		i001.s002.t016	gli	il	DET	
d001.s002.t017	studies	study	N	bn:00074790n	i001.s002.t017	studi	studio	NOUN	bn:00074790n
d001.s002.t018	performed	perform	V	bn:00087107v	i001.s002.t018	eseguiti	eseguire	VERB	bn:00087107v
d001.s002.t020	to		X		i001.s002.t019	per	per	ADP	
d001.s002.t021	reach	reach	V	bn:00082226v	i001.s002.t020	formulare	formulare	VERB	bn:00082226v
d001.s002.t023	recommendations	recommendation	N	bn:00066562n	i001.s002.t021	raccomandazioni	raccomandazione	NOUN	bn:00066562n
d001.s002.t022	their		X		i001.s002.t021	raccomandazioni	raccomandazione	NOUN	
d001.s002.t024	on		X		i001.s002.t022	sull&#39;uso	sull&#39;uso	ADJ	
d001.s002.t027	use	use	V	bn:00082705v	i001.s002.t022	sull&#39;uso	sull&#39;uso	ADJ	bn:00082705v
