ID	English	Italian Translation
d000.s000	This document is a summary of the European Public Assessment Report ( EPAR ) .	Il presente documento è una sintesi della relazione di valutazione pubblica europea (EPAR).
d000.s001	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	Spiega come il Comitato per i medicinali per uso umano (CHMP) ha valutato gli studi effettuati per giungere alle raccomandazioni su come utilizzare il medicinale.
d000.s002	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	Se hai bisogno di maggiori informazioni sulle tue condizioni mediche o sul tuo trattamento, leggi il foglio illustrativo (anch&#39;esso accluso all&#39;EPAR) oppure contatta il tuo medico o il farmacista.
d000.s003	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	Se desideri maggiori informazioni sulla base delle raccomandazioni del CHMP, leggi la Discussione scientifica (anch&#39;essa parte dell&#39;EPAR).
d000.s004	What is Alimta ?	Che cosa è Alimta?
d000.s005	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	Alimta è una polvere che viene preparata in una soluzione per infusione (flebo in vena).
d000.s006	It contains the active substance pemetrexed .	Contiene il principio attivo pemetrexed.
d000.s007	What is Alimta used for ?	A cosa serve Alimta?
d000.s008	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta è usato per trattare due tipi di cancro: il mesotelioma pleurico (tumore del rivestimento dei polmoni solitamente causato dall&#39;esposizione all&#39;amianto).
d000.s009	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	Alimta è usato insieme al cisplatino (un altro medicinale antitumorale) quando il cancro non è resecabile (non può essere rimosso chirurgicamente) ed è maligno (si è diffuso o è probabile che si diffonda facilmente ad altre parti del corpo), in pazienti che non hanno ricevuto chemioterapia (medicinali per il cancro) prima del carcinoma polmonare non a piccole cellule avanzato o metastatico che non colpisce le cellule squamose.
d000.s010	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	Alimta è utilizzato in combinazione con cisplatino nei pazienti che non sono mai stati trattati in precedenza e da solo nei pazienti che hanno ricevuto in passato un altro tipo di chemioterapia.
d000.s011	The medicine can only be obtained with a prescription .	Il medicinale può essere ottenuto solo con prescrizione medica.
d000.s012	How is Alimta used ?	Come si usa Alimta?
d000.s013	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	Alimta deve essere somministrato solo sotto la supervisione di un medico qualificato nell&#39;uso della chemioterapia antitumorale.
d000.s014	The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) . It is given once every three weeks as an intravenous infusion lasting 10 minutes .	La dose raccomandata di Alimta è di 500 mg per metro quadrato di superficie corporea (calcolata in base all&#39;altezza e al peso del paziente). Viene somministrata una volta ogni tre settimane come infusione endovenosa della durata di 10 minuti.
d000.s015	To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	Per ridurre gli effetti collaterali, i pazienti devono assumere un corticosteroide e acido folico (un tipo di vitamina) e ricevere iniezioni di vitamina B12 durante il trattamento con Alimta.
d000.s016	When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .	Quando Alimta viene somministrato con cisplatino, prima o dopo la dose di cisplatino devono essere somministrati anche un medicinale antiemetico (per prevenire il vomito) e liquidi (per prevenire la disidratazione).
d000.s017	Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .	Nei pazienti con valori ematici anormali o che presentano altri effetti collaterali, il trattamento deve essere ritardato o interrotto, oppure la dose deve essere ridotta.
d000.s018	Alimta is not recommended for use in patients with moderate or severe kidney problems .	L&#39;uso di Alimta non è raccomandato nei pazienti con problemi renali moderati o gravi.
d000.s019	For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	Per ulteriori informazioni, vedere il Riassunto delle Caratteristiche del Prodotto (anch&#39;esso parte dell&#39;EPAR).
d000.s020	How does Alimta work ?	Come funziona Alimta?
d000.s021	The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .	Il principio attivo di Alimta, pemetrexed, è un medicinale citotossico (un medicinale che uccide le cellule in divisione, come le cellule tumorali), che appartiene al gruppo degli antimetaboliti.
d000.s022	In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .	Nell&#39;organismo, il pemetrexed viene convertito in una forma attiva che blocca l&#39;attività degli enzimi coinvolti nella produzione di nucleotidi (i mattoni del DNA e dell&#39;RNA, il materiale genetico delle cellule).
d000.s023	How has Alimta been studied ?	Come è stato studiato Alimta?
d000.s024	For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .	Per il trattamento del mesotelioma pleurico maligno, Alimta è stato studiato in uno studio principale su 456 pazienti che non avevano mai ricevuto chemioterapia per la loro malattia.
d000.s025	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .	Gli effetti di Alimta in combinazione con cisplatino sono stati confrontati con quelli del solo cisplatino.
d000.s026	For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .	Per il trattamento del carcinoma polmonare non a piccole cellule, gli effetti di Alimta sono stati confrontati con quelli del docetaxel (un altro farmaco antitumorale) in uno studio su 571 pazienti con malattia localmente avanzata o metastatica che avevano ricevuto chemioterapia in passato.
d000.s027	Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .	Alimta è stato inoltre confrontato con la gemcitabina (un altro farmaco antitumorale), entrambi in combinazione con cisplatino, in uno studio condotto su 1.725 pazienti che in passato non avevano ricevuto chemioterapia per cancro ai polmoni.
d000.s028	In all three studies , the main measure of effectiveness was how long the patients survived .	In tutti e tre gli studi, la principale misura dell&#39;efficacia era la durata della sopravvivenza dei pazienti.
d000.s029	What benefit has Alimta shown during the studies ?	Quali benefici ha mostrato Alimta nel corso degli studi?
d000.s030	Alimta increased the survival time of patients with malignant pleural mesothelioma .	Alimta ha aumentato il tempo di sopravvivenza dei pazienti affetti da mesotelioma pleurico maligno.
d000.s031	Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .	I pazienti trattati con Alimta e cisplatino sono sopravvissuti in media 12,1 mesi, rispetto ai 9,3 mesi di quelli trattati con solo cisplatino.
d000.s032	In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .	Nel trattamento dei pazienti affetti da carcinoma polmonare non a piccole cellule, Alimta si è rivelato efficace quanto i farmaci di confronto.
d000.s033	In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .	Nei pazienti sottoposti in passato a chemioterapia, il tempo medio di sopravvivenza è stato di 8,3 mesi con Alimta, rispetto ai 7,9 mesi con docetaxel.
