Token ID	Token	Lemma	POS	BN Synset
d001.s001.t001	En		X	
d001.s001.t002	el		X	
d001.s001.t003	presente	presente	J	
d001.s001.t004	documento	documento	N	bn:00028015n;wiki:document;wn:document%1:10:00::;wn:papers%1:10:00::;wn:written_document%1:10:00::
d001.s001.t005	se		X	
d001.s001.t006	resume	resumir	V	
d001.s001.t007	el		X	
d001.s001.t008	Informe	informe	N	bn:00067181n;wiki:report;wn:report%1:10:03::;wn:study%1:10:00::;wn:written_report%1:10:00::
d001.s001.t009	Público	público	J	bn:00109211a;wn:public%3:00:00::
d001.s001.t010	Europeo	europeo	J	bn:00102440a;wn:european%3:01:00::
d001.s001.t011	de		X	
d001.s001.t012	Evaluación	evaluación	N	bn:00006502n;wn:assessment%1:04:00::;wn:judgement%1:04:02::;wn:judgment%1:04:02::
d001.s001.t013	(		X	
d001.s001.t014	EPAR	epar	N	
d001.s001.t015	)		X	
d001.s001.t016	.		X	
d001.s002.t001	En		X	
d001.s002.t002	él		X	
d001.s002.t003	se		X	
d001.s002.t004	explica	explicar	V	bn:00087869v;bn:00087870v;wn:explain%2:32:00::;wn:explain%2:32:01::;wn:explicate%2:32:00::
d001.s002.t005	cómo	cómo	R	
d001.s002.t006	el		X	
d001.s002.t007	Comité	comité	N	bn:00021015n;wiki:committee;wn:commission%1:14:00::;wn:committee%1:14:00::
d001.s002.t008	de		X	
d001.s002.t009	Medicamentos	medicamento	N	
d001.s002.t010	de		X	
d001.s002.t011	Uso	uso	N	bn:00030627n;bn:00079370n;wn:employment%1:04:01::;wn:exercise%1:04:03::;wn:usage%1:04:00::;wn:use%1:04:00::;wn:use%1:07:02::;wn:utilisation%1:04:00::;wn:utilization%1:04:00::
d001.s002.t012	Humano	humano	J	bn:00104385a;wn:human%3:01:01::
d001.s002.t013	(		X	
d001.s002.t014	CHMP	chmp	N	
d001.s002.t015	)		X	
d001.s002.t016	ha	haber	V	
d001.s002.t017	evaluado	evaluar	V	bn:00082720v;wn:appraise%2:31:01::;wn:assess%2:31:00::;wn:evaluate%2:31:00::;wn:measure%2:31:01::;wn:valuate%2:31:00::;wn:value%2:31:00::
d001.s002.t018	los		X	
d001.s002.t019	estudios	estudio	N	bn:00074790n;wn:study%1:04:00::;wn:survey%1:04:02::
d001.s002.t020	realizados	realizar	V	bn:00087107v;wn:do%2:36:01::;wn:execute%2:36:01::;wn:perform%2:36:00::
d001.s002.t021	con		X	
