Token ID	Token	Lemma	POS	BN Synset	Token ID ES	Token ES	Lemma ES	POS ES	Sense ES
d001.s001.t001	This		X	n/a	d001.s001.t003	presente	presente	J	n/a
d001.s001.t002	document	document	N	bn:00028015n;wiki:document;wn:document%1:10:00::;wn:papers%1:10:00::;wn:written_document%1:10:00::	d001.s001.t004	documento	documento	N	bn:00028015n;wiki:document;wn:document%1:10:00::;wn:papers%1:10:00::;wn:written_document%1:10:00::
d001.s001.t003	is	be	V	n/a	d001.s001.t005	se		X	n/a
d001.s001.t004	a		X	n/a					n/a
d001.s001.t005	summary	summary	N	bn:00075142n;wiki:summary_(law);wn:sum-up%1:10:00::;wn:summary%1:10:00::					n/a
d001.s001.t006	of		X	n/a					n/a
d001.s001.t007	the		X	n/a	d001.s001.t007	el		X	n/a
d001.s001.t008	European	european	J	bn:00102440a;wn:european%3:01:00::	d001.s001.t010	Europeo	europeo	J	bn:00102440a;wn:european%3:01:00::
d001.s001.t009	Public	public	J	bn:00109211a;wn:public%3:00:00::	d001.s001.t009	Público	público	J	bn:00109211a;wn:public%3:00:00::
d001.s001.t010	Assessment	assessment	N	bn:00006502n;wn:assessment%1:04:00::;wn:judgement%1:04:02::;wn:judgment%1:04:02::	d001.s001.t012	Evaluación	evaluación	N	bn:00006502n;wn:assessment%1:04:00::;wn:judgement%1:04:02::;wn:judgment%1:04:02::
d001.s001.t011	Report	report	N	bn:00067181n;wiki:report;wn:report%1:10:03::;wn:study%1:10:00::;wn:written_report%1:10:00::	d001.s001.t008	Informe	informe	N	bn:00067181n;wiki:report;wn:report%1:10:03::;wn:study%1:10:00::;wn:written_report%1:10:00::
d001.s001.t012	(		X	n/a	d001.s001.t013	(		X	n/a
d001.s001.t013	EPAR	epar	N	n/a	d001.s001.t014	EPAR	epar	N	n/a
d001.s001.t014	)		X	n/a	d001.s001.t015	)		X	n/a
d001.s001.t015	.		X	n/a	d001.s001.t016	.		X	n/a
d001.s002.t001	It		X	n/a	d001.s002.t002	él		X	n/a
