Row	Source	Target
21	medicinal	medicamento
22	product	medicamento
35	reach	emitir
47	need	desear
60	package	prospecto
63	also	incluir
70	contact	preguntar
111	make up	preparar
116	infusion	perfusión
139	use	indicar
141	treat	tratamiento
153	lining	revestimiento
169	use	administrar
170	together	combinación
182	unresectable	resecable
194	have	haber
215	have	haber
250	have	haber
263	have	haber
277	be	dispensar
278	obtain	dispensar
291	be	administrar
292	give	administrar
300	be	cualificar
310	recommended	recomendar
321	body	corporal
337	give	administrar
345	infusion	perfusión
361	folic	fólico
384	give	utilizar
406	give	administrar
429	blood	sanguíneo
430	count	sanguíneo
432	abnormal	alteración
436	certain	determinado
442	be	administrar
446	use	administrar
450	moderate	renal
460	see	consultar
465	characteristics	característica
477	work	actuar
495	kill	destruir
499	divide	división
502	cancer	canceroso
515	body	organismo
533	involve	participar
535	produce	producción
539	building block	esencial
553	have	haber
567	have	haber
569	study	evaluar
578	have	haber
595	be	comparar
607	non-small	no
616	be	comparar
635	advanced	avanzar
640	have	haber
645	past	previamente
648	be	comparar
672	have	haber
681	past	previamente
702	have	haber
710	increase	prolongar
750	non-small	no
761	comparator	comparación
766	have	haber
771	past	previamente
793	have	haber
812	however	no~obstante
821	be	afectar
827	long	grande
839	comparator	medicamento
842	contrast	por el contrario
852	short	más
868	markup	marcado
888	representate	representar
926	everyone	persona
935	screenshot	captura
976	type	introducir
1033	hard	asequible
1039	look	tener
1081	possible	poder
1094	make	expresar
1122	high	grande
1200	introduce	introducimos
1242	be	usar
1260	me	preguntar
1266	mind	preocupar
1279	operate	realizar
1312	everything	cosa
1327	there	aquí
1339	click	pulsar
1344	see	aparecer
1377	be	reproducir
1387	window	nuevo
1388	flush	refrescar
1404	nice	útil
1426	have	haber
1427	type	introducir
1434	able	poder
1436	reuse	reutilizarlas
1445	easy	poder
1447	fix	corregir
1472	able	poder
1497	have	tener~que
1509	click	pulsar
1520	then	continuación
1529	box	cuadro
1533	type	introducir
1556	have	haber
1560	click	pulsar
1563	ok	aceptar
1566	display	dibujar
1576	set	dibujar
1607	have	haber
1609	be	intervenir
1610	involve	intervenir
1639	key	principal
1640	actor	agente
1653	well	además
1661	few	no
1667	involve	enfoque
1686	be	tomar
1695	play	desempeñar
1698	welfare	servicio
1718	regional	comunidad
1729	major	grande
1744	part	marco
1773	senior	alto
1774	official	responsable
1778	partner	interlocutor
1792	important	importancia
1801	banking	bancario
1803	be	incluir
1807	key	principal
1811	social	socialfueron
1814	be	socialfueron
1825	industrial	laboral
1848	member	diputado
1886	present	reflejar
1918	have	seleccionar
1924	depth	detallar
1933	background	contexto
1939	impact	repercusión
1978	synthesise	resumir
1980	practice	práctico
1987	book	repertorio
1996	provide	servir
2032	perspective	punto
2036	partner	interlocutor
2072	barrier	limitación
2076	old	grande
2082	early	anticipado
2096	reintegrate	reintegración
2100	old	grande
2107	background	raza
2113	relate	influir
2123	consider	tener
2137	sized	mediano
2138	enterprise	rural
2143	be	incluir
2144	cover	incluir
2163	united	reino~unido
2164	kingdom	reino~unido
2168	be	resumir
2185	product	medicamento
2192	assess	evaluación
2195	perform	efectuar
2220	available	presentar
2230	tablet	comprimir
2232	pale-orange	naranja
2237	line	ranura
2246	halve	dividir
2250	be	ir
2298	prevent	prevención
2318	be	producir
2326	combination	combinar
2328	supportive	complementario
2359	tablet	comprimir
2364	purpose	efecto
2368	be	administrar
2369	give	administrar
2377	work	actuar
2382	neurokinin	neurocinina
2398	have	haber
2411	carry	realizar
2422	veterinary	clínico
2423	practise	clínico
2435	have	haber
2493	be	iniciarse
2507	keep	retener
2509	tablet	comprimir
2515	throw	vomitar
2524	follow-up	continuación
2533	tablet	medicamento
2545	only	siempre
2546	be	realizar
2547	together	asociación
2557	address	combatir
2559	underlie	subyacente
2568	risk	efecto
2575	generally	en~general
2592	extended	prolongar
2602	recommended	recomendar
2603	maximum	grande
2617	give	administrar
