Row	Source	Target
21	medicinal	medicamento
22	product	medicamento
35	reach	emitir
47	need	desear
53	condition	enfermedad
60	package	prospecto
63	also	incluir
70	contact	preguntar
111	make up	preparar
116	infusion	perfusión
139	use	indicar
141	treat	tratamiento
169	use	administrar
170	together	combinación
182	unresectable	resecable
227	metastatic	metastásico
277	be	dispensar
278	obtain	dispensar
291	be	administrar
300	be	cualificar
310	recommended	recomendar
321	body	corporal
345	infusion	perfusión
361	folic	fólico
384	give	utilizar
389	anti-emetic	antiemético
430	count	sanguíneo
432	abnormal	alteración
442	be	administrar
446	use	administrar
450	moderate	renal
453	kidney	renal
460	see	consultar
499	divide	división
502	cancer	canceroso
533	involve	participar
539	building block	esencial
541	dna	adn
543	rna	arn
569	study	evaluar
595	be	comparar
616	be	comparar
635	advanced	avanzar
637	metastatic	metastásico
645	past	previamente
648	be	comparar
681	past	previamente
698	survive	supervivencia
710	increase	prolongar
761	comparator	comparación
771	past	previamente
812	however	no~obstante
821	be	afectar
839	comparator	medicamento
842	contrast	por el contrario
852	short	más
868	markup	marcado
926	everyone	persona
935	screenshot	captura
976	type	introducir
1033	hard	asequible
1039	look	tener
1081	possible	poder
1094	make	expresar
1200	introduce	introducimos
1242	be	usar
1260	me	preguntar
1266	mind	preocupar
1279	operate	realizar
1289	trigonometric	trigonométrica
1312	everything	cosa
1344	see	aparecer
1377	be	reproducir
1387	window	nuevo
1388	flush	refrescar
1402	sequentially	secuencial
1404	nice	útil
1427	type	introducir
1436	reuse	reutilizarlas
1445	easy	poder
1497	have	tener~que
1520	then	continuación
1529	box	cuadro
1533	type	introducir
1563	ok	aceptar
1566	display	dibujar
1576	set	dibujar
1609	be	intervenir
1610	involve	intervenir
1612	organise	organización
1639	key	principal
1653	well	además
1661	few	no
1667	involve	enfoque
1686	be	tomar
1698	welfare	servicio
1717	galician	galicia
1718	regional	comunidad
1744	part	marco
1758	humanise	humanizar
1773	senior	alto
1774	official	responsable
1803	be	incluir
1807	key	principal
1811	social	socialfueron
1814	be	socialfueron
1825	industrial	laboral
1848	member	diputado
1854	Maria	maría
1886	present	reflejar
1891	improve	mejora
1918	have	seleccionar
1924	depth	detallar
1933	background	contexto
1939	impact	repercusión
1978	synthesise	resumir
1980	practice	práctico
1987	book	repertorio
1996	provide	servir
2032	perspective	punto
2072	barrier	limitación
2076	old	grande
2082	early	anticipado
2091	concern	ocupar
2096	reintegrate	reintegración
2100	old	grande
2107	background	raza
2113	relate	influir
2123	consider	tener
2137	sized	mediano
2138	enterprise	rural
2143	be	incluir
2144	cover	incluir
2151	france	francia
2153	germany	alemania
2155	greece	grecia
2157	italy	italia
2163	united	reino~unido
2164	kingdom	reino~unido
2168	be	resumir
2185	product	medicamento
2192	assess	evaluación
2195	perform	efectuar
2220	available	presentar
2230	tablet	comprimir
2237	line	ranura
2283	anti-emetic	antiemético
2298	prevent	prevención
2318	be	producir
2326	combination	combinar
2328	supportive	complementario
2359	tablet	comprimir
2368	be	administrar
2382	neurokinin	neurocinina
2422	veterinary	clínico
2423	practise	clínico
2431	usa	ee.uu.
2493	be	iniciarse
2500	vomiting	vomitar
2509	tablet	comprimir
2515	throw	vomitar
2533	tablet	medicamento
2545	only	siempre
2547	together	asociación
2550	supportive	apoyo
2557	address	combatir
2559	underlie	subyacente
2568	risk	efecto
2575	generally	en~general
2592	extended	prolongar
2602	recommended	recomendar
2603	maximum	grande
