ID	Sentence	English-Spanish Alignment
d001.s001	En el presente documento se resume el Informe Público Europeo de Evaluación ( EPAR ) .	0-2 1-3 2-4 6-6 7-9 8-8 9-11 10-7 11-12 12-13 13-14 14-15
d001.s002	En él se explica cómo el Comité de Medicamentos de Uso Humano ( CHMP ) ha evaluado los estudios realizados con el medicamento a fin de emitir unas recomendaciones sobre su uso .	0-1 1-3 2-4 3-5 4-6 5-7 6-8 6-11 7-8 8-9 9-11 10-10 11-12 12-13 13-14 14-16 15-17 16-18 17-19 19-23 20-24 21-28 22-26 23-27 26-29 27-21 28-22 29-30
d001.s003	Si desea más información sobre su enfermedad o el tratamiento de la misma , le aconsejamos que lea el prospecto ( incluido en el EPAR ) o pregunte a su médico o su farmacéutico .	0-0 2-1 3-2 4-3 5-4 6-5 8-6 9-7 11-9 12-13 13-17 14-18 15-19 17-20 18-21 21-23 22-24 23-25 24-26 25-27 26-29 27-30 28-31 29-33 30-34
d001.s004	Si desea más información sobre el fundamento en el que se han basado las recomendaciones del CHMP , le aconsejamos que lea el Debate Científico ( también incluido en el EPAR ) .	0-0 2-1 3-2 4-3 5-4 6-5 7-6 10-16 11-14 12-17 13-21 14-22 16-23 17-25 18-26 21-29 22-30 23-31 24-32
d001.s005	¿Qué es Alimta ?	0-0 1-1 2-2 3-3
d001.s006	Alimta es un polvo con el que se prepara una solución para perfusión ( goteo en vena ) .	0-0 1-1 2-2 4-6 6-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 16-16 17-17 18-18
d001.s007	Contiene el principio activo pemetrexed .	1-0 2-1 3-3 5-4 6-5
d001.s008	¿Para qué se utiliza Alimta ?	0-1 2-4 3-3 5-5
d001.s009	Alimta está indicado para el tratamiento de dos tipos de cáncer : mesotelioma pleural ( cáncer del revestimiento de los pulmones causado generalmente por la exposición al amianto ) .	0-0 1-1 2-2 3-3 4-5 5-7 6-8 7-9 8-10 9-11 10-13 11-12 12-14 13-15 14-16 16-17 17-18 18-19 19-20 22-22 23-21 24-23 25-25 26-26 27-27 28-28 29-29
d001.s010	Alimta se administra en combinación con cisplatino ( otro medicamento contra el cáncer ) cuando el tumor « no es resecable » ( no puede extirparse sólo mediante cirugía ) y es « maligno » ( se ha extendido , o es probable que se extienda fácilmente , a otras partes del cuerpo ) , en pacientes que no han recibido quimioterapia ( medicamentos contra el cáncer ) previamente , cáncer de pulmón « no microcítico » avanzado o metastásico que no afecte a las células « escamosas » .	0-0 1-1 2-2 3-4 4-5 5-6 6-7 7-8 8-10 9-9 10-13 11-14 12-15 13-12 14-19 15-20 16-22 17-24 20-27 21-28 22-26 23-29 24-30 25-33 26-35 27-37 28-38 29-39 30-40 32-42 33-43 35-46 36-47 37-48 38-49 39-50 40-51 42-52 43-53 44-54 45-55 46-56 47-57 48-59 49-58 50-60 51-61 52-62 53-63 56-67 57-68 58-77 59-78 60-79 64-70 65-80 67-81 68-82 71-85 71-87 72-89
d001.s011	Alimta se utiliza en combinación con cisplatino en pacientes que no han sido tratados previamente y en monoterapia en pacientes que han sido tratado previamente con otros tipos de quimioterapia .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-11 11-10 12-12 13-13 14-14 16-15 20-18 21-19 22-20 23-21 25-26 26-27 27-28 28-29 32-30
d001.s012	Este medicamento sólo podrá dispensarse con receta médica .	0-0 1-1 2-3 3-2 4-4 5-4 6-5 8-6 9-8
d001.s013	¿Cómo se usa Alimta ?	0-0 2-3 3-2 4-4
d001.s014	Alimta sólo debe administrarse bajo la supervisión de un médico cualificado en el uso de quimioterapia contra el cáncer .	0-0 1-2 2-1 3-3 4-3 5-4 6-5 7-6 8-7 9-8 10-9 12-10 13-10 14-11 15-12 16-13 17-14 18-16 18-18 19-15 20-19
d001.s015	La dosis recomendada de Alimta es de 500 mg por metro cuadrado de superficie corporal ( calculada a partir de la estatura y el peso del paciente ) . Se administra una vez cada tres semanas por perfusión intravenosa durante 10 minutos .	0-0 1-2 2-1 3-3 4-4 5-5 6-7 7-8 8-9 10-10 11-12 12-14 13-13 15-15 16-16 17-17 18-23 19-24 21-19 22-20 23-22 24-25 25-26 27-27 28-28 29-30 30-31 31-32 32-33 33-34 35-36 36-35 38-38 39-39 40-40
d001.s016	Con el fin de reducir los efectos secundarios , los pacientes deben recibir un corticosteroide y ácido fólico ( un tipo de vitamina ) , así como inyecciones de vitamina B12 durante el tratamiento con Alimta .	0-0 1-4 3-6 4-8 5-10 6-11 8-13 9-14 10-15 11-17 12-16 13-18 14-19 15-20 16-21 17-22 18-23 19-24 21-12 22-26 23-27 24-28 25-29 26-30 27-32 28-33 29-34 30-35
d001.s017	Cuando Alimta se utiliza conjuntamente con cisplatino , hay que administrar además un medicamento « antiemético » ( para evitar los vómitos ) y líquidos ( para evitar la deshidratación ) antes o después de la dosis de cisplatino .	0-0 1-1 2-2 3-3 4-5 5-6 6-7 7-11 8-14 9-12 10-16 13-20 14-21 15-22 16-23 17-24 18-17 19-18 20-28 21-29 22-8 23-10 25-9 26-30 27-31 28-32 29-33 30-36 31-34 32-37
d001.s018	Será necesario retrasar o suspender el tratamiento , o reducir la dosis , en pacientes que presenten alteraciones en los recuentos sanguíneos o determinados efectos secundarios .	0-6 1-1 3-2 4-3 5-4 6-7 7-8 8-10 9-11 10-9 11-12 12-13 13-14 14-15 15-21 16-21 18-17 19-22 21-16 22-23 25-24 26-26
d001.s019	No se recomienda administrar Alimta a pacientes con problemas renales moderados o graves .	0-4 1-3 2-0 3-2 5-3 6-5 7-6 8-7 9-9 9-10 10-11 11-12 12-9 13-8 14-13
d001.s020	Si desea más información , consulte el Resumen de las Características del Producto , que también forma parte del EPAR .	0-0 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-12 9-10 11-15 12-17 14-18 15-19 17-20
d001.s021	¿Cómo actúa Alimta ?	0-0 2-2 3-1 4-3
d001.s022	El principio activo de Alimta , el pemetrexed , es un medicamento citotóxico ( un medicamento que destruye las células que están en fase de división , como las cancerosas ) que pertenece al grupo de los « antimetabolitos » .	0-0 1-2 3-3 4-4 5-5 6-7 7-8 8-9 9-10 10-12 11-11 12-13 13-14 14-15 15-16 16-17 17-18 17-19 18-20 19-21 20-25 21-26 22-27 23-29 25-30 27-31 28-32 29-33 30-36 31-34 32-38 33-40
d001.s023	En el organismo , el pemetrexed se convierte en una forma activa que bloquea la actividad de las enzimas que participan en la producción de « nucleótidos » ( elementos esenciales del ADN y el ARN , el material genético de las células ) .	0-0 1-1 2-2 3-3 4-5 5-6 6-7 7-8 8-9 9-11 10-10 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 20-20 21-21 22-23 23-26 24-28 26-30 27-31 28-32 29-33 30-35 31-36 32-37 33-39 34-38 35-40 36-42 37-43 38-44
d001.s024	¿Qué tipo de estudios se han realizado con Alimta ?	0-0 1-5 2-8 4-3 5-9
d001.s025	Por lo que se refiere al tratamiento del mesotelioma pleural maligno , Alimta ha sido evaluado en un estudio principal realizado en 456 pacientes que no habían recibido quimioterapia anteriormente .	0-0 2-6 3-7 4-10 5-9 6-8 7-11 8-12 9-13 10-14 11-15 12-16 13-17 14-19 15-18 16-21 17-22 18-23 19-24 20-26 21-25 22-27 23-28 27-29 28-30
d001.s026	Se compararon los efectos de Alimta en combinación con cisplatino con los efectos del cisplatino administrado en solitario .	0-2 1-3 2-4 3-5 4-6 5-7 6-8 7-9 8-1 9-1 10-10 13-14 14-17 15-18
d001.s027	En cuanto al tratamiento del cáncer de pulmón no microcítico , se compararon los efectos de Alimta con los del docetaxel ( otro medicamento contra el cáncer ) en un estudio realizado en 571 pacientes con enfermedad localmente avanzada o metastásica que habían recibido quimioterapia previamente .	1-2 2-3 3-4 4-8 6-7 7-5 8-10 9-13 10-14 11-15 12-16 13-12 14-12 15-17 16-18 17-19 18-20 19-21 20-22 21-24 22-23 23-27 24-28 25-29 26-30 28-33 29-34 30-35 31-37 32-38 33-39 34-40 35-36 36-41 37-42 38-43 39-44 42-45 43-46
d001.s028	Alimta también se comparó con gemcitabina ( otro medicamento contra el cáncer ) , ambos en combinación con cisplatino , en un estudio con 1.725 pacientes que no habían recibido quimioterapia contra el cáncer de pulmón previamente .	0-0 1-3 2-1 3-3 4-4 5-5 6-6 7-7 8-9 9-8 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24 23-25 24-26 25-28 26-27 27-29 28-30 29-31 30-35 31-33 33-32 34-36 35-37
d001.s029	En los tres estudios , el criterio principal de valoración de la eficacia fue el tiempo de supervivencia de los pacientes .	0-0 2-2 3-3 4-4 5-5 6-7 7-6 8-8 9-12 10-13 13-19 14-20 15-17 16-21
d001.s030	¿Qué beneficio ha demostrado tener Alimta durante los estudios ?	0-0 1-1 2-2 3-5 4-3 5-6 6-7 7-8 8-9
d001.s031	Alimta prolongó el tiempo de supervivencia de los pacientes con mesotelioma pleural maligno .	0-0 1-1 2-2 3-5 4-3 5-6 6-8 7-9 8-12 9-11 10-10 11-13
d001.s032	Los pacientes que recibieron Alimta y cisplatino sobrevivieron una media de 12,1 meses , mientras que la supervivencia de los enfermos tratados sólo con cisplatino fue de 9,3 meses .	0-1 0-19 1-3 2-4 3-5 4-6 5-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-14 15-26 18-18 20-23 21-21 22-28
d001.s033	En el tratamiento de pacientes con cáncer de pulmón no microcítico , Alimta fue tan efectivo como los medicamentos de comparación .	0-0 1-1 2-2 3-3 4-4 5-5 6-9 8-8 9-6 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-20 18-21
d001.s034	En los pacientes que habían recibido quimioterapia previamente , el tiempo medio de supervivencia fue de 8,3 meses con Alimta frente a 7,9 meses con docetaxel .	0-0 1-2 2-3 3-4 4-5 5-6 7-1 8-7 9-8 10-9 11-11 12-13 13-10 14-14 15-16 16-17 17-18 18-19 20-20 21-20 22-21 23-22 24-23 25-24 26-25
d001.s035	En pacientes que no habían recibido previamente quimioterapia , el tiempo medio de supervivencia fue de 10,3 meses en ambos grupos .	0-0 1-1 2-2 3-4 4-3 5-5 6-7 10-8 11-9 12-11 13-13 14-10 15-14 16-16 17-17 18-18 19-19 20-20 21-21
d001.s036	No obstante , los pacientes de ambos estudios cuyo cáncer no afectaba a las células escamosas presentaban un mayor tiempo de supervivencia cuando recibían Alimta que cuando recibían el medicamento de comparación .	0-0 1-1 3-5 4-6 5-1 6-3 7-7 8-8 9-10 10-9 11-10 13-13 13-14 14-15 15-17 16-20 17-18 18-21 19-22 20-22 21-23 22-24 23-25 24-26 25-26 26-27 27-28 27-30 28-31
d001.s037	Por el contrario , los pacientes cuyo cáncer estaba afectando a las células escamosas presentaron tiempos de supervivencia más breve si se les trataba con Alimta . kalgebra es una calculadora matemática basada en el lenguaje de marcado MathML .	0-0 1-0 2-1 3-3 4-4 5-5 6-6 7-7 9-10 9-11 10-12 11-16 11-17 12-15 13-13 14-18 15-20 16-22 17-23 18-24 19-25 20-26 21-27 23-28 24-30 25-31 27-35 28-36 29-33 30-37
d001.s038	Hoy en día es capaz de realizar operaciones simples ( aritméticas y lógicas ) usando MathML y de representarlas en gráficas de dos y tres dimensiones .	0-0 2-3 3-4 4-5 5-6 6-8 7-15 8-7 8-10 9-9 10-10 11-11 12-12 13-13 14-16 15-17 16-18 18-23 19-24 20-20 21-26
d001.s039	No es necesario conocer MathML para usar kalgebra . kalgebra es una calculadora gráfica basada en MathML .	1-1 3-0 4-2 6-3 7-4 8-5 9-6 10-7 11-8 12-9 13-10 14-11 15-16 16-14 18-12 19-17
d001.s040	Aunque en un principio estuvo orientado a MathML , actualmente puede ser usado por cualquier persona , aunque posea pocos conocimientos matemáticos .	0-0 2-4 3-2 3-3 4-7 5-5 6-8 7-10 8-9 9-11 10-12 11-13 12-15 14-19 15-21 16-20 17-22
d001.s041	Aquí se muestra una captura de la ventana principal de kalgebra . Ventana principal de kalgebra La ventana principal de kalgebra consta de cuatro pestañas : Consola , Gráfica 2D , Gráfica 3D y Diccionario .	0-0 2-3 3-4 4-5 5-10 6-8 11-15 11-20 12-13 13-17 14-21 15-22 17-26 19-27 21-29 24-30 26-32 27-28 29-33 31-34 33-35
d001.s042	Bajo estas pestañas encontrará un campo de entrada donde podrá introducir sus funciones o realizar sus cálculos .	0-0 1-1 5-3 6-4 7-7 8-5 9-8 10-10 11-11 12-12 12-16 13-13 14-14 15-15 16-16 17-17
d001.s043	Para entender cómo funciona , conviene comprender que lo que introducimos está siendo convertido a MathML , aunque no es necesario conocer MathML .	0-0 4-1 5-2 7-3 8-4 18-7 19-10 20-10 21-11 22-12 23-13 24-14 25-15 26-17 28-19 29-18 30-20 32-21 33-22 34-23
