Start Sense
d001.s001.t004 bn:00028015n
d001.s001.t008 bn:00067181n
d001.s001.t009 bn:00109211a
d001.s001.t010 bn:00102440a
d001.s001.t012 bn:00006502n
d001.s002.t004 bn:00087869v
d001.s002.t007 bn:00021015n
d001.s002.t011 bn:00030627n
d001.s002.t012 bn:00104385a
d001.s002.t017 bn:00082720v
d001.s002.t019 bn:00074790n
d001.s002.t020 bn:00087107v
d001.s002.t023 bn:00054128n
d001.s002.t027 bn:00066562n
d001.s003.t004 bn:00025314n
d001.s003.t010 bn:00047235n
d001.s003.t018 bn:00092424v
d001.s003.t031 bn:00027976n
d001.s003.t034 bn:00004992n
d001.s004.t002 bn:00086682v
d001.s004.t004 bn:00025314n
d001.s004.t007 bn:00008786n
d001.s004.t015 bn:00066562n
d001.s004.t022 bn:00092424v
d001.s004.t024 bn:00027523n
d001.s004.t027 bn:00114246r
d001.s006.t011 bn:00072760n
d001.s006.t017 bn:00079681n
d001.s007.t001 bn:00085499v
d001.s008.t004 bn:00082705v
d001.s009.t009 bn:00078798n
d001.s009.t011 bn:00015180n
d001.s009.t013 bn:00054512n
d001.s009.t014 bn:00108692a
d001.s009.t016 bn:00015180n
d001.s009.t021 bn:00052341n
d001.s009.t022 bn:00084069v
d001.s009.t023 bn:00114778r
d001.s009.t026 bn:00032379n
d001.s009.t028 bn:00006236n
d001.s010.t007 bn:00577781n
d001.s010.t010 bn:00054128n
d001.s010.t013 bn:00015180n
d001.s010.t029 bn:00059129n
d001.s010.t034 bn:00106363a
d001.s010.t039 bn:00092083v
d001.s010.t043 bn:00105981a
d001.s010.t047 bn:00115155r
d001.s010.t051 bn:00021395n
d001.s010.t053 bn:00011744n
d001.s010.t057 bn:00061017n
d001.s010.t059 bn:00116360r
d001.s010.t061 bn:00087863v
d001.s010.t062 bn:00018141n
d001.s010.t064 bn:00054128n
d001.s010.t071 bn:00015180n
d001.s010.t078 bn:00096528a
d001.s010.t082 bn:00116360r
d001.s010.t083 bn:00082427v
d001.s011.t003 bn:00082705v
d001.s011.t005 bn:00020872n
d001.s011.t007 bn:00577781n
d001.s011.t009 bn:00061017n
d001.s011.t011 bn:00116360r
d001.s011.t014 bn:00084532v
d001.s011.t020 bn:00061017n
d001.s011.t028 bn:00078798n
d001.s011.t030 bn:00018141n
d001.s012.t002 bn:00054128n
d001.s012.t003 bn:00116450r
d001.s012.t007 bn:00064195n
d001.s013.t003 bn:00082705v
d001.s014.t002 bn:00116450r
d001.s014.t007 bn:00059908n
d001.s014.t010 bn:00027976n
d001.s014.t014 bn:00030627n
d001.s014.t016 bn:00018141n
d001.s015.t002 bn:00028320n
d001.s015.t009 bn:00054701n
d001.s015.t011 bn:00052501n
d001.s015.t014 bn:00005518n
d001.s015.t017 bn:00084373v
d001.s015.t020 bn:00043545n
d001.s015.t023 bn:00080831n
d001.s015.t025 bn:00061017n
d001.s015.t034 bn:00043484n
d001.s015.t040 bn:00055094n
d001.s016.t005 bn:00084079v
d001.s016.t007 bn:00029874n
d001.s016.t011 bn:00061017n
d001.s016.t015 bn:00001507n
d001.s016.t017 bn:00000902n
d001.s016.t021 bn:00078798n
d001.s016.t023 bn:00080147n
d001.s016.t027 bn:00046785n
d001.s016.t029 bn:00004712n
d001.s016.t033 bn:00047235n
d001.s017.t007 bn:00577781n
d001.s017.t011 bn:00114246r
d001.s017.t013 bn:00054128n
d001.s017.t019 bn:00088454v
d001.s017.t024 bn:00035426n
d001.s017.t029 bn:00025983n
d001.s017.t035 bn:00028320n
d001.s017.t037 bn:00577781n
d001.s018.t003 bn:00086514v
d001.s018.t005 bn:00083908v
d001.s018.t007 bn:00047235n
d001.s018.t010 bn:00084079v
d001.s018.t012 bn:00028320n
d001.s018.t015 bn:00061017n
d001.s018.t017 bn:00088745v
d001.s018.t025 bn:00029874n
d001.s019.t001 bn:00116360r
d001.s019.t003 bn:00082418v
d001.s019.t007 bn:00061017n
d001.s019.t009 bn:00048242n
d001.s019.t013 bn:00110473a
d001.s020.t004 bn:00025314n
d001.s020.t008 bn:02075673n
d001.s020.t013 bn:00064584n
d001.s020.t016 bn:00114246r
d001.s020.t018 bn:00021395n
d001.s022.t012 bn:00054128n
d001.s022.t016 bn:00054128n
d001.s022.t033 bn:00083389v
d001.s022.t035 bn:00018111n
d001.s022.t039 bn:00004691n
d001.s023.t006 bn:00602447n
d001.s023.t008 bn:00085761v
d001.s023.t011 bn:00035913n
d001.s023.t012 bn:00096382a
d001.s023.t014 bn:00083623v
d001.s023.t016 bn:00001130n
d001.s023.t019 bn:00031085n
d001.s023.t027 bn:00008788n
d001.s023.t039 bn:00053801n
d001.s023.t043 bn:00017027n
d001.s025.t007 bn:00047235n
d001.s025.t009 bn:00054512n
d001.s025.t010 bn:00108692a
d001.s025.t019 bn:00074790n
d001.s025.t020 bn:00099598a
d001.s025.t024 bn:00061017n
d001.s025.t026 bn:00116360r
d001.s025.t028 bn:00087863v
d001.s025.t029 bn:00018141n
d001.s025.t030 bn:00114512r
d001.s026.t002 bn:00085450v
d001.s026.t004 bn:00029874n
d001.s026.t008 bn:00020872n
d001.s026.t010 bn:00577781n
d001.s026.t015 bn:00577781n
d001.s027.t004 bn:00047235n
d001.s027.t006 bn:00015180n
d001.s027.t008 bn:00052343n
d001.s027.t009 bn:03421664n
d001.s027.t013 bn:00085450v
d001.s027.t015 bn:00029874n
d001.s027.t021 bn:01537207n
d001.s027.t024 bn:00054128n
d001.s027.t031 bn:00074790n
d001.s027.t035 bn:00061017n
d001.s027.t037 bn:00027546n
d001.s027.t038 bn:00116147r
d001.s027.t041 bn:00054585n
d001.s027.t044 bn:00087863v
d001.s027.t045 bn:00018141n
d001.s028.t002 bn:00114246r
d001.s028.t004 bn:00085450v
d001.s028.t006 bn:00848690n
d001.s028.t009 bn:00054128n
d001.s028.t017 bn:00020872n
d001.s028.t019 bn:00577781n
d001.s028.t023 bn:00074790n
d001.s028.t026 bn:00061017n
d001.s028.t030 bn:00087863v
d001.s028.t031 bn:00018141n
d001.s028.t034 bn:00015180n
d001.s028.t036 bn:00052343n
d001.s029.t004 bn:00067181n
d001.s029.t007 bn:00054019n
d001.s029.t008 bn:00099598a
d001.s029.t013 bn:00029876n
d001.s029.t021 bn:00061017n
d001.s030.t002 bn:00037022n
d001.s030.t004 bn:00086567v
d001.s030.t009 bn:00074790n
d001.s031.t004 bn:00077268n
d001.s031.t006 bn:00030811n
d001.s031.t009 bn:00061017n
d001.s031.t011 bn:00054512n
d001.s031.t012 bn:00108692a
d001.s032.t004 bn:00087863v
d001.s032.t007 bn:00577781n
d001.s032.t008 bn:00085382v
d001.s032.t010 bn:00054001n
d001.s032.t013 bn:00055794n
d001.s032.t022 bn:00114235r
d001.s032.t024 bn:00577781n
d001.s033.t003 bn:00047235n
d001.s033.t005 bn:00061017n
d001.s033.t007 bn:00015180n
d001.s033.t009 bn:00052343n
d001.s033.t010 bn:03421664n
d001.s033.t015 bn:00114354r
d001.s033.t016 bn:00102038a
d001.s034.t003 bn:00061017n
d001.s034.t006 bn:00087863v
d001.s034.t007 bn:00018141n
d001.s034.t011 bn:00077268n
d001.s034.t012 bn:00097854a
d001.s034.t014 bn:00030811n
d001.s034.t018 bn:00055794n
d001.s034.t023 bn:00055794n
d001.s034.t025 bn:01537207n
d001.s035.t002 bn:00061017n
d001.s035.t006 bn:00087863v
d001.s035.t008 bn:00018141n
d001.s035.t011 bn:00077268n
d001.s035.t012 bn:00097854a
d001.s035.t014 bn:00030811n
d001.s035.t018 bn:00055794n
d001.s035.t021 bn:00041942n
d001.s036.t004 bn:00061017n
d001.s036.t007 bn:00074790n
d001.s036.t009 bn:00015180n
d001.s036.t011 bn:00082427v
d001.s036.t016 bn:00088078v
d001.s036.t019 bn:00077268n
d001.s036.t021 bn:00030811n
d001.s037.t004 bn:00061017n
d001.s037.t006 bn:00015180n
d001.s037.t008 bn:00082427v
d001.s037.t013 bn:00088078v
d001.s037.t014 bn:00077268n
d001.s037.t016 bn:00030811n
d001.s037.t029 bn:00946167n
d001.s037.t031 bn:00083141v
d001.s037.t034 bn:00213650n
d001.s037.t036 bn:00053491n
d001.s038.t001 bn:00116382r
d001.s038.t005 bn:00099215a
d001.s038.t007 bn:00090557v
d001.s038.t009 bn:00102111a
d001.s038.t011 bn:00097495a
