Token ID	Token	POS	Lemma	BN Synset
d001.s001.t000	en	ADP	en	
d001.s001.t001	el	DET	el	
d001.s001.t002	presente	ADJ	presente	bn:00108977a
d001.s001.t003	documento	NOUN	documento	bn:00028015n
d001.s001.t004	se	PRON	él	
d001.s001.t005	resume	VERB	resumir	bn:00094585v
d001.s001.t006	el	DET	el	
d001.s001.t007	informe	NOUN	informe	bn:00067181n
d001.s001.t008	público	ADJ	público	bn:00109211a
d001.s001.t009	europeo	ADJ	europeo	bn:00102440a
d001.s001.t010	de	ADP	de	
d001.s001.t011	evaluación	PROPN	evaluación	
d001.s001.t012	(	PUNCT	(	
d001.s001.t013	epar	PROPN	epar	
d001.s001.t014	)	PUNCT	)	
d001.s001.t015	.	PUNCT	.	
d001.s002.t000	en	ADP	en	
d001.s002.t001	él	PRON	él	
d001.s002.t002	se	PRON	él	
d001.s002.t003	explica	VERB	explicar	bn:00087870v
d001.s002.t004	cómo	PRON	cómo	
d001.s002.t005	el	DET	el	
d001.s002.t006	comité	NOUN	comité	bn:00021015n
d001.s002.t007	de	ADP	de	
d001.s002.t008	medicamentos	NOUN	medicamento	bn:00028872n
d001.s002.t009	de	ADP	de	
d001.s002.t010	uso	NOUN	uso	bn:00030627n
d001.s002.t011	humano	ADJ	humano	bn:00104386a
d001.s002.t012	(	PUNCT	(	
d001.s002.t013	chmp	PROPN	chmp	
d001.s002.t014	)	PUNCT	)	
d001.s002.t015	ha	AUX	haber	
d001.s002.t016	evaluado	VERB	evaluar	bn:00082720v
d001.s002.t017	los	DET	el	
d001.s002.t018	estudios	NOUN	estudio	bn:00074790n
d001.s002.t019	realizados	ADJ	realizado	bn:00096276a
d001.s002.t020	con	ADP	con	
d001.s002.t021	el	DET	el	
d001.s002.t022	medicamento	NOUN	medicamento	bn:00028872n
d001.s002.t023	a	ADP	a	
d001.s002.t024	fin	NOUN	fin	bn:00030721n
d001.s002.t025	de	ADP	de	
d001.s002.t026	emitir	VERB	emitir	bn:00086535v
d001.s002.t027	unas	DET	uno	
d001.s002.t028	recomendaciones	NOUN	recomendación	bn:00066562n
d001.s002.t029	sobre	ADP	sobre	
d001.s002.t030	su	DET	su	
d001.s002.t031	uso	NOUN	uso	bn:00030627n
d001.s002.t032	.	PUNCT	.	
d001.s003.t000	si	SCONJ	si	
d001.s003.t001	desea	VERB	desear	bn:00086682v
d001.s003.t002	más	ADV	más	bn:00116284r
d001.s003.t003	información	NOUN	información	bn:00046698n
d001.s003.t004	sobre	ADP	sobre	
d001.s003.t005	su	DET	su	
d001.s003.t006	enfermedad	NOUN	enfermedad	bn:00045952n
d001.s003.t007	o	CCONJ	o	
d001.s003.t008	el	DET	el	
d001.s003.t009	tratamiento	NOUN	tratamiento	bn:00047235n
d001.s003.t010	de	ADP	de	
d001.s003.t011	la	DET	el	
d001.s003.t012	misma	PRON	mismo	
d001.s003.t013	,	PUNCT	,	
d001.s003.t014	le	PRON	él	
d001.s003.t015	aconsejamos	VERB	aconsejamos	bn:00084932v
d001.s003.t016	que	SCONJ	que	
d001.s003.t017	lea	VERB	lear	bn:00092424v
d001.s003.t018	el	DET	el	
d001.s003.t019	prospecto	NOUN	prospecto	bn:00023292n
d001.s003.t020	(	PUNCT	(	
d001.s003.t021	incluido	ADJ	incluido	bn:00102195a
d001.s003.t022	en	ADP	en	
d001.s003.t023	el	DET	el	
d001.s003.t024	epar	NOUN	epar	bn:00026716n
d001.s003.t025	)	PUNCT	)	
d001.s003.t026	o	CCONJ	o	
d001.s003.t027	pregunte	ADV	pregunte	bn:00116326r
d001.s003.t028	a	ADP	a	
d001.s003.t029	su	DET	su	
d001.s003.t030	médico	NOUN	médico	bn:00027976n
d001.s003.t031	o	CCONJ	o	
d001.s003.t032	su	DET	su	
d001.s003.t033	farmacéutico	NOUN	farmacéutico	bn:00004992n
d001.s003.t034	.	PUNCT	.	
d001.s004.t000	si	SCONJ	si	
d001.s004.t001	desea	VERB	desear	bn:00086682v
d001.s004.t002	más	ADV	más	bn:00116284r
d001.s004.t003	información	NOUN	información	bn:00046698n
d001.s004.t004	sobre	ADP	sobre	
d001.s004.t005	el	DET	el	
d001.s004.t006	fundamento	NOUN	fundamento	bn:00036063n
d001.s004.t007	en	ADP	en	
d001.s004.t008	el	DET	el	
d001.s004.t009	que	PRON	que	
d001.s004.t010	se	PRON	él	
d001.s004.t011	han	AUX	haber	
d001.s004.t012	basado	VERB	basar	bn:00083141v
d001.s004.t013	las	DET	el	
d001.s004.t014	recomendaciones	NOUN	recomendación	bn:00066562n
d001.s004.t015	del	ADP	del	
d001.s004.t016	chmp	PROPN	chmp	
d001.s004.t017	,	PUNCT	,	
d001.s004.t018	le	PRON	él	
d001.s004.t019	aconsejamos	VERB	aconsejamos	bn:00084785v
d001.s004.t020	que	SCONJ	que	
d001.s004.t021	lea	VERB	lear	bn:00092424v
d001.s004.t022	el	DET	el	
d001.s004.t023	debate	NOUN	debate	bn:00025621n
d001.s004.t024	científico	ADJ	científico	bn:00110176a
d001.s004.t025	(	PUNCT	(	
d001.s004.t026	también	ADV	también	bn:00114246r
d001.s004.t027	incluido	ADJ	incluido	bn:00102195a
d001.s004.t028	en	ADP	en	
d001.s004.t029	el	DET	el	
d001.s004.t030	epar	NOUN	epar	bn:00078738n
d001.s004.t031	)	PUNCT	)	
d001.s004.t032	.	PUNCT	.	
d001.s005.t000	¿	PUNCT	¿	
d001.s005.t001	qué	PRON	qué	
d001.s005.t002	es	AUX	ser	
d001.s005.t003	alimta	NOUN	alimta	bn:00053569n
d001.s005.t004	?	PUNCT	?	
d001.s006.t000	alimta	NOUN	alimta	bn:00027142n
d001.s006.t001	es	AUX	ser	
d001.s006.t002	un	DET	uno	
d001.s006.t003	polvo	NOUN	polvo	bn:00063926n
d001.s006.t004	con	ADP	con	
d001.s006.t005	el	DET	el	
d001.s006.t006	que	PRON	que	
d001.s006.t007	se	PRON	él	
d001.s006.t008	prepara	VERB	preparar	bn:00088250v
d001.s006.t009	una	DET	uno	
d001.s006.t010	solución	NOUN	solución	bn:00072760n
d001.s006.t011	para	ADP	para	
d001.s006.t012	perfusión	NOUN	perfusión	bn:00061571n
d001.s006.t013	(	PUNCT	(	
d001.s006.t014	goteo	NOUN	goteo	bn:00028710n
d001.s006.t015	en	ADP	en	
d001.s006.t016	vena	NOUN	vena	bn:00079681n
d001.s006.t017	)	PUNCT	)	
d001.s006.t018	.	PUNCT	.	
d001.s007.t000	contiene	VERB	contener	bn:00085499v
d001.s007.t001	el	DET	el	
d001.s007.t002	principio	NOUN	principio	bn:00064429n
d001.s007.t003	activo	ADJ	activo	bn:00096387a
d001.s007.t004	pemetrexed	ADJ	pemetrexed	bn:00096374a
d001.s007.t005	.	PUNCT	.	
d001.s008.t000	¿	PUNCT	¿	
d001.s008.t001	para	ADP	para	
d001.s008.t002	qué	PRON	qué	
d001.s008.t003	se	PRON	él	
d001.s008.t004	utiliza	VERB	utilizar	bn:00082705v
d001.s008.t005	alimta	NOUN	alimta	bn:00018552n
d001.s008.t006	?	PUNCT	?	
d001.s009.t000	alimta	NOUN	alimta	bn:00076647n
d001.s009.t001	está	AUX	estar	
d001.s009.t002	indicado	ADJ	indicado	bn:00096449a
d001.s009.t003	para	ADP	para	
