Token ID	Token	Lemma	POS
d001.s001.t001	En		X
d001.s001.t002	el		X
d001.s001.t003	presente	presente	J
d001.s001.t004	documento	documento	N
d001.s001.t005	se		X
d001.s001.t006	resume	resumir	V
d001.s001.t007	el		X
d001.s001.t008	Informe	informe	N
d001.s001.t009	Público	público	J
d001.s001.t010	Europeo	europeo	J
d001.s001.t011	de		X
d001.s001.t012	Evaluación	evaluación	N
d001.s001.t013	(		X
d001.s001.t014	EPAR	epar	N
d001.s001.t015	)		X
d001.s001.t016	.		X
d001.s002.t001	En		X
d001.s002.t002	él		X
d001.s002.t003	se		X
d001.s002.t004	explica	explicar	V
d001.s002.t005	cómo	cómo	R
d001.s002.t006	el		X
d001.s002.t007	Comité	comité	N
d001.s002.t008	de		X
d001.s002.t009	Medicamentos	medicamento	N
d001.s002.t010	de		X
d001.s002.t011	Uso	uso	N
d001.s002.t012	Humano	humano	J
d001.s002.t013	(		X
d001.s002.t014	CHMP	chmp	N
d001.s002.t015	)		X
d001.s002.t016	ha	haber	V
d001.s002.t017	evaluado	evaluar	V
d001.s002.t018	los		X
d001.s002.t019	estudios	estudio	N
d001.s002.t020	realizados	realizar	V
d001.s002.t021	con		X
d001.s002.t022	el		X
d001.s002.t023	medicamento	medicamento	N
d001.s002.t024	a fin de		X
d001.s002.t025	emitir	emitir	V
d001.s002.t026	unas		X
d001.s002.t027	recomendaciones	recomendación	N
d001.s002.t028	sobre		X
d001.s002.t029	su		X
d001.s002.t030	uso	uso	N
d001.s002.t031	.		X
d001.s003.t001	Si		X
d001.s003.t002	desea	desear	V
d001.s003.t003	más	más	R
d001.s003.t004	información	información	N
d001.s003.t005	sobre		X
d001.s003.t006	su		X
d001.s003.t007	enfermedad	enfermedad	N
d001.s003.t008	o		X
d001.s003.t009	el		X
d001.s003.t010	tratamiento	tratamiento	N
d001.s003.t011	de		X
d001.s003.t012	la		X
d001.s003.t013	misma	mismo	J
d001.s003.t014	,		X
d001.s003.t015	le		X
d001.s003.t016	aconsejamos	aconsejar	V
d001.s003.t017	que		X
d001.s003.t018	lea	leer	V
d001.s003.t019	el		X
d001.s003.t020	prospecto	prospecto	N
d001.s003.t021	(		X
d001.s003.t022	incluido	incluir	V
d001.s003.t023	en		X
d001.s003.t024	el		X
d001.s003.t025	EPAR	epar	N
d001.s003.t026	)		X
d001.s003.t027	o		X
d001.s003.t028	pregunte	preguntar	V
d001.s003.t029	a		X
