d000.s000.t000 bn:00108977a
d000.s000.t001 bn:00028015n
d000.s000.t002 bn:00082392v
d000.s000.t003 bn:00067181n
d000.s000.t004 bn:00109211a
d000.s000.t005 bn:00102440a
d000.s000.t006 bn:00005120n
d000.s001.t000 bn:00087869v
d000.s001.t001 bn:00021015n
d000.s001.t002 bn:00031708n
d000.s001.t003 bn:00030627n
d000.s001.t004 bn:00104385a
d000.s001.t005 bn:00082720v
d000.s001.t006 bn:00074790n
d000.s001.t007 bn:00082225v
d000.s001.t008 bn:00031708n
d000.s001.t009 bn:00084099v
d000.s001.t010 bn:00066562n
d000.s001.t011 bn:00030627n
d000.s002.t000 bn:00086682v
d000.s002.t001 bn:00116285r
d000.s002.t002 bn:00046705n
d000.s002.t003 bn:00002171n
d000.s002.t004 bn:00047235n
d000.s002.t005 bn:00110075a
d000.s002.t006 bn:00082418v
d000.s002.t007 bn:00092424v
d000.s002.t008 bn:02573503n
d000.s002.t009 bn:00085499v
d000.s002.t010 bn:00082821v
d000.s002.t011 bn:00027976n
d000.s002.t012 bn:00004992n
d000.s003.t000 bn:00086682v
d000.s003.t001 bn:00116285r
d000.s003.t002 bn:00046705n
d000.s003.t003 bn:00008786n
d000.s003.t004 bn:00083141v
d000.s003.t005 bn:00066562n
d000.s003.t006 bn:00302314n
d000.s003.t007 bn:00082418v
d000.s003.t008 bn:00092424v
d000.s003.t009 bn:00005601n
d000.s003.t010 bn:00110175a
d000.s003.t011 bn:00114246r
d000.s003.t012 bn:00085499v
d000.s004.t000 bn:00063926n
d000.s004.t001 bn:00090556v
d000.s004.t002 bn:00072760n
d000.s004.t003 bn:00061571n
d000.s004.t004 bn:00028771n
d000.s004.t005 bn:00057343n
d000.s005.t000 bn:00085499v
d000.s005.t001 bn:00377649n
d000.s005.t002 bn:00096382a
d000.s006.t000 bn:00082705v
d000.s007.t000 bn:00087644v
d000.s007.t001 bn:00047235n
d000.s007.t002 bn:00035907n
d000.s007.t003 bn:00015180n
d000.s007.t004 bn:00054512n
d000.s007.t005 bn:00108692a
d000.s007.t006 bn:00015180n
d000.s007.t007 bn:00020185n
d000.s007.t008 bn:00052341n
d000.s007.t009 bn:00084069v
d000.s007.t010 bn:00114634r
d000.s007.t011 bn:00032375n
d000.s007.t012 bn:00006236n
d000.s008.t000 bn:00082365v
d000.s008.t001 bn:00020872n
d000.s008.t002 bn:00577781n
d000.s008.t003 bn:00031708n
d000.s008.t004 bn:00015180n
d000.s008.t005 bn:00057267n
d000.s008.t006 bn:00116348r
d000.s008.t007 bn:00087923v
d000.s008.t008 bn:00114234r
d000.s008.t009 bn:00059129n
d000.s008.t010 bn:00106363a
d000.s008.t011 bn:00087063v
d000.s008.t012 bn:00105981a
d000.s008.t013 bn:00087063v
d000.s008.t014 bn:00115155r
d000.s008.t015 bn:00027912n
d000.s008.t016 bn:00011769n
d000.s008.t017 bn:00003882n
