Token ID	Token	Lemma	POS	Gold Senses	Silver Senses	Filtered Senses	Gold Gloss	Silver Gloss	Filtered Sense
d001.s001.t001	En		X						
d001.s001.t002	el		X						
d001.s001.t003	presente	presente	J	bn:00108977a					
d001.s001.t004	documento	documento	N	bn:00028015n	bn:00028015n	bn:00028015n			bn:00028015n
d001.s001.t005	se		X						
d001.s001.t006	resume	resumir	V	bn:00082392v	bn:00075142n				
d001.s001.t007	el		X						
d001.s001.t008	Informe	informe	N	bn:00067181n	bn:00067181n	bn:00067181n			bn:00067181n
d001.s001.t009	Público	público	J	bn:00109211a	bn:00109211a	bn:00109211a			bn:00109211a
d001.s001.t010	Europeo	europeo	J	bn:00102440a	bn:00102440a	bn:00102440a			bn:00102440a
d001.s001.t011	de		X						
d001.s001.t012	Evaluación	evaluación	N	bn:00005120n	bn:00006502n	bn:00006502n	The classification of someone or something with respect to its worth	The act of judging or assessing a person or situation or event	bn:00006502n
d001.s001.t013	(		X						
d001.s001.t014	EPAR	epar	N						
d001.s001.t015	)		X						
d001.s001.t016	.		X						
d001.s002.t001	En		X						
d001.s002.t002	él		X						
d001.s002.t003	se		X						
d001.s002.t004	explica	explicar	V	bn:00087869v					
d001.s002.t005	cómo	cómo	R						
d001.s002.t006	el		X						
d001.s002.t007	Comité	comité	N	bn:00302314n	bn:00302314n	bn:00302314n			bn:00302314n
d001.s002.t008	de		X						
d001.s002.t009	Medicamentos	medicamento	N	bn:00031708n	bn:00064584n				
d001.s002.t010	de		X						
d001.s002.t011	Uso	uso	N	bn:00030627n	bn:00030627n	bn:00030627n			bn:00030627n
d001.s002.t012	Humano	humano	J	bn:00104385a	bn:00104385a	bn:00104385a			bn:00104385a
d001.s002.t013	(		X						
d001.s002.t014	CHMP	chmp	N	bn:00302314n	bn:00302314n	bn:00302314n			bn:00302314n
d001.s002.t015	)		X						
d001.s002.t016	ha	haber	V						
d001.s002.t017	evaluado	evaluar	V	bn:00082720v	bn:00082720v	bn:00082720v			bn:00082720v
d001.s002.t018	los		X						
d001.s002.t019	estudios	estudio	N	bn:00074790n	bn:00074790n	bn:00074790n			bn:00074790n
d001.s002.t020	realizados	realizar	V	bn:00082225v	bn:00087107v	bn:00087107v	Put in effect	Carry out or perform an action	bn:00087107v
d001.s002.t021	con		X						
d001.s002.t022	el		X						
