ID	Sentence
es001.s001	En el presente documento se resume el Informe Público Europeo de Evaluación ( EPAR ) .
es001.s002	En él se explica cómo el Comité de Medicamentos de Uso Humano ( CHMP ) ha evaluado los estudios realizados con el medicamento a fin de emitir unas recomendaciones sobre su uso .
es001.s003	Si desea más información sobre su enfermedad o el tratamiento de la misma , le aconsejamos que lea el prospecto ( incluido en el EPAR ) o pregunte a su médico o su farmacéutico .
es001.s004	Si desea más información sobre el fundamento en el que se han basado las recomendaciones del CHMP , le aconsejamos que lea el Debate Científico ( también incluido en el EPAR ) .
es001.s005	¿Qué es Alimta ?
es001.s006	Alimta es un polvo con el que se prepara una solución para perfusión ( goteo en vena ) .
es001.s007	Contiene el principio activo pemetrexed .
es001.s008	¿Para qué se utiliza Alimta ?
es001.s009	Alimta está indicado para el tratamiento de dos tipos de cáncer : mesotelioma pleural ( cáncer del revestimiento de los pulmones causado generalmente por la exposición al amianto ) .
es001.s010	Alimta se administra en combinación con cisplatino ( otro medicamento contra el cáncer ) cuando el tumor « no es resecable » ( no puede extirparse sólo mediante cirugía ) y es « maligno » ( se ha extendido , o es probable que se extienda fácilmente , a otras partes del cuerpo ) , en pacientes que no han recibido quimioterapia ( medicamentos contra el cáncer ) previamente , cáncer de pulmón « no microcítico » avanzado o metastásico que no afecte a las células « escamosas » .
es001.s011	Alimta se utiliza en combinación con cisplatino en pacientes que no han sido tratados previamente y en monoterapia en pacientes que han sido tratado previamente con otros tipos de quimioterapia .
es001.s012	Este medicamento sólo podrá dispensarse con receta médica .
es001.s013	¿Cómo se usa Alimta ?
es001.s014	Alimta sólo debe administrarse bajo la supervisión de un médico cualificado en el uso de quimioterapia contra el cáncer .
es001.s015	La dosis recomendada de Alimta es de 500 mg por metro cuadrado de superficie corporal ( calculada a partir de la estatura y el peso del paciente ) .
es001.s016	Se administra una vez cada tres semanas por perfusión intravenosa durante 10 minutos .
es001.s017	Con el fin de reducir los efectos secundarios , los pacientes deben recibir un corticosteroide y ácido fólico ( un tipo de vitamina ) , así como inyecciones de vitamina B12 durante el tratamiento con Alimta .
es001.s018	Cuando Alimta se utiliza conjuntamente con cisplatino , hay que administrar además un medicamento « antiemético » ( para evitar los vómitos ) y líquidos ( para evitar la deshidratación ) antes o después de la dosis de cisplatino .
es001.s019	Será necesario retrasar o suspender el tratamiento , o reducir la dosis , en pacientes que presenten alteraciones en los recuentos sanguíneos o determinados efectos secundarios .
es001.s020	No se recomienda administrar Alimta a pacientes con problemas renales moderados o graves .
es001.s021	Si desea más información , consulte el Resumen de las Características del Producto , que también forma parte del EPAR .
es001.s022	¿Cómo actúa Alimta ?
es001.s023	El principio activo de Alimta , el pemetrexed , es un medicamento citotóxico ( un medicamento que destruye las células que están en fase de división , como las cancerosas ) que pertenece al grupo de los « antimetabolitos » .
es001.s024	En el organismo , el pemetrexed se convierte en una forma activa que bloquea la actividad de las enzimas que participan en la producción de « nucleótidos » ( elementos esenciales del ADN y el ARN , el material genético de las células ) .
es001.s025	¿Qué tipo de estudios se han realizado con Alimta ?
es001.s026	Por lo que se refiere al tratamiento del mesotelioma pleural maligno , Alimta ha sido evaluado en un estudio principal realizado en 456 pacientes que no habían recibido quimioterapia anteriormente .
es001.s027	Se compararon los efectos de Alimta en combinación con cisplatino con los efectos del cisplatino administrado en solitario .
es001.s028	En cuanto al tratamiento del cáncer de pulmón no microcítico , se compararon los efectos de Alimta con los del docetaxel ( otro medicamento contra el cáncer ) en un estudio realizado en 571 pacientes con enfermedad localmente avanzada o metastásica que habían recibido quimioterapia previamente .
es001.s029	Alimta también se comparó con gemcitabina ( otro medicamento contra el cáncer ) , ambos en combinación con cisplatino , en un estudio con 1.725 pacientes que no habían recibido quimioterapia contra el cáncer de pulmón previamente .
es001.s030	En los tres estudios , el criterio principal de valoración de la eficacia fue el tiempo de supervivencia de los pacientes .
es001.s031	¿Qué beneficio ha demostrado tener Alimta durante los estudios ?
es001.s032	Alimta prolongó el tiempo de supervivencia de los pacientes con mesotelioma pleural maligno .
es001.s033	Los pacientes que recibieron Alimta y cisplatino sobrevivieron una media de 12,1 meses , mientras que la supervivencia de los enfermos tratados sólo con cisplatino fue de 9,3 meses .
es001.s034	En el tratamiento de pacientes con cáncer de pulmón no microcítico , Alimta fue tan efectivo como los medicamentos de comparación .
es001.s035	En los pacientes que habían recibido quimioterapia previamente , el tiempo medio de supervivencia fue de 8,3 meses con Alimta frente a 7,9 meses con docetaxel .
es001.s036	En pacientes que no habían recibido previamente quimioterapia , el tiempo medio de supervivencia fue de 10,3 meses en ambos grupos .
es001.s037	No obstante , los pacientes de ambos estudios cuyo cáncer no afectaba a las células escamosas presentaban un mayor tiempo de supervivencia cuando recibían Alimta que cuando recibían el medicamento de comparación .
es001.s038	Por el contrario , los pacientes cuyo cáncer estaba afectando a las células escamosas presentaron tiempos de supervivencia más breve si se les trataba con Alimta .
es002.s001	kalgebra es una calculadora matemática basada en el lenguaje de marcado MathML .
es002.s002	Hoy en día es capaz de realizar operaciones simples ( aritméticas y lógicas ) usando MathML y de representarlas en gráficas de dos y tres dimensiones .
es002.s003	No es necesario conocer MathML para usar kalgebra .
es002.s004	kalgebra es una calculadora gráfica basada en MathML .
es002.s005	Aunque en un principio estuvo orientado a MathML , actualmente puede ser usado por cualquier persona , aunque posea pocos conocimientos matemáticos .
es002.s006	Aquí se muestra una captura de la ventana principal de kalgebra .
es002.s007	Ventana principal de kalgebra
