Token ID	Token	Lemma	POS	BN Synset
d001.s001.t001	En		X	
d001.s001.t002	el		X	
d001.s001.t003	presente	presente	J	bn:00108977a
d001.s001.t004	documento	documento	N	bn:00028015n
d001.s001.t005	se		X	
d001.s001.t006	resume	resumir	V	bn:00082392v
d001.s001.t007	el		X	
d001.s001.t008	Informe	informe	N	bn:00067181n
d001.s001.t009	Público	público	J	bn:00109211a
d001.s001.t010	Europeo	europeo	J	bn:00102440a
d001.s001.t011	de		X	
d001.s001.t012	Evaluación	evaluación	N	bn:00005120n
d001.s001.t013	(		X	
d001.s001.t014	EPAR	epar	N	
d001.s001.t015	)		X	
d001.s001.t016	.		X	
d001.s002.t001	En		X	
d001.s002.t002	él		X	
d001.s002.t003	se		X	
d001.s002.t004	explica	explicar	V	bn:00087869v
d001.s002.t005	cómo	cómo	R	
d001.s002.t006	el		X	
d001.s002.t007	Comité	comité	N	bn:00302314n
d001.s002.t008	de		X	
d001.s002.t009	Medicamentos	medicamento	N	bn:00031708n
d001.s002.t010	de		X	
d001.s002.t011	Uso	uso	N	bn:00030627n
d001.s002.t012	Humano	humano	J	bn:00104385a
d001.s002.t013	(		X	
d001.s002.t014	CHMP	chmp	N	bn:00302314n
d001.s002.t015	)		X	
d001.s002.t016	ha	haber	V	
d001.s002.t017	evaluado	evaluar	V	bn:00082720v
d001.s002.t018	los		X	
d001.s002.t019	estudios	estudio	N	bn:00074790n
d001.s002.t020	realizados	realizar	V	bn:00082225v
d001.s002.t021	con		X	
d001.s002.t022	el		X	
d001.s002.t023	medicamento	medicamento	N	bn:00031708n
d001.s002.t024	a fin de		X	
d001.s002.t025	emitir	emitir	V	bn:00084099v
d001.s002.t026	unas		X	
d001.s002.t027	recomendaciones	recomendación	N	bn:00066562n
d001.s002.t028	sobre		X	
d001.s002.t029	su		X	
d001.s002.t030	uso	uso	N	bn:00030627n
d001.s002.t031	.		X	
d001.s003.t001	Si		X	
d001.s003.t002	desea	desear	V	bn:00086682v
d001.s003.t003	más	más	R	bn:00116285r
d001.s003.t004	información	información	N	bn:00046705n
d001.s003.t005	sobre		X	
d001.s003.t006	su		X	
d001.s003.t007	enfermedad	enfermedad	N	bn:00002171n
d001.s003.t008	o		X	
d001.s003.t009	el		X	
d001.s003.t010	tratamiento	tratamiento	N	bn:00047235n
d001.s003.t011	de		X	
d001.s003.t012	la		X	
d001.s003.t013	misma	mismo	J	bn:00110075a
d001.s003.t014	,		X	
