Row	Source	Target
4	summary	resumir
21	medicinal	medicamento
22	product	medicamento
31	study	estudio
35	reach	emitir
43	medicine	medicamento
47	need	desear
53	condition	enfermedad
60	package	prospecto
63	also	incluir
70	contact	preguntar
78	want	desear
92	discussion	debate
95	part	incluir
108	powder	polvo
111	make up	preparar
116	infusion	perfusión
128	substance	principio
138	be	estar
139	use	indicar
148	mesothelioma	mesotelioma
162	exposure	exposición
169	use	administrar
170	together	combinación
176	medicine	medicamento
182	unresectable	no
185	be	extirpar
186	remove	extirpar
189	alone	sólo
192	malignant	maligno
195	spread	extender
201	spread	extender
220	medicine	medicamento
228	non-small	no
235	affect	extender
237	squamous	pulmón
264	receive	ser
271	past	previamente
274	medicine	medicamento
277	be	dispensar
278	obtain	medicamento
281	prescription	receta
291	be	administrar
292	give	administrar
300	be	cualificar
301	qualify	cualificar
319	metre	metro
323	area	cuadrado
330	height	estatura
337	side	secundario
342	take	corticosteroide
344	corticosteroid	corticosteroide
369	give	utilizar
374	anti-emetic	antiemético
375	medicine	medicamento
379	vomit	vómito
390	be	administrar
391	give	administrar
415	count	sanguíneo
416	be	presentar
417	abnormal	alteración
420	have	presentar
421	certain	determinado
423	side	secundario
427	be	administrar
431	use	administrar
435	moderate	renal
437	severe	grave
445	see	consultar
460	do	actuar
462	work	actuar
466	substance	principio
475	medicine	medicamento
478	medicine	medicamento
480	kill	destruir
483	be	estar
484	divide	división
487	cancer	canceroso
488	cell	medicamento
496	antimetabolites	antimetabolitos
500	body	organismo
510	block	bloquear
518	involve	participar
520	produce	producción
524	building block	elemento
528	rna	arn
541	study	estudio
547	malignant	maligno
549	mesothelioma	mesotelioma
554	study	evaluar
558	study	estudio
570	before	anteriormente
580	be	comparar
586	alone	solitario
592	non-small	no
601	be	comparar
606	docetaxel	docetaxel
610	medicine	medicamento
614	study	estudio
620	advanced	avanzar
630	past	previamente
633	be	comparar
637	gemcitabine	gemcitabina
641	medicine	medicamento
652	study	estudio
653	involve	medicamento
666	past	previamente
671	study	estudio
675	measure	criterio
683	survive	supervivencia
689	show	demostrar
692	study	estudio
695	increase	prolongar
702	malignant	maligno
704	mesothelioma	mesotelioma
714	average	media
725	receive	tratar
727	alone	sólo
735	non-small	pulmón
742	as	tan
746	comparator	medicamento
756	past	previamente
759	average	medio
773	docetaxel	docetaxel
784	past	previamente
787	average	medio
797	however	no~obstante
801	study	estudio
806	be	afectar
809	squamous	escamosas
811	have	presentar
812	long	grande
824	comparator	medicamento
827	contrast	por el contrario
832	be	estar
834	squamous	escamosas
836	have	presentar
837	short	más
848	mathematical	calculadora
850	base	basar
853	markup	marcado
854	mathml	mathml
855	language	lenguaje
862	make	realizar
864	mathml	mathml
873	representate	representar
877	graph	lógico
885	know	conocer
886	mathml	mathml
894	mathml	mathml
895	base	basar
896	graph	calculadora
901	be	estar
903	mathml	mathml
904	orient	orientar
911	everyone	persona
920	screenshot	captura
931	consist	constar
939	graph	gráfica
944	graph	gráfica
949	tab	diccionario
958	input	entrada
961	type	introducir
965	do	realizar
971	want	convenir
976	work	funcionar
986	realize	comprender
989	input	introducir
990	be	estar
994	mathml	mathml
1001	know	conocer
1002	mathml	mathml
1005	have	basar
1006	base	basar
1018	hard	asequible
1023	have	también
1024	look	tener
1029	maple	maxima
1034	look	ser
1043	addition	suma
1045	subtraction	división
1066	possible	poder
1072	character	carácter
1077	way	forma
1079	make	expresar
1081	too	también
1092	bound	limitar
1102	be	especificar
1107	high	grande
1114	parser	analizador
1167	piecewise	trozo
1171	piecewise	permitir
1185	introduce	introducimos
1219	mainly	muy
1224	piecewise	función
1235	operate	operación
1241	sin	sin
1248	sum	sum
1250	product	product
1255	matter	importar
1257	kind	tipo
1283	there	aquí
1295	click	pulsar
1300	see	aparecer
1304	let	ser
1312	way	forma
1314	trick	engañar
1316	log	registro
1322	enter	introducir
1333	be	reproducir
1343	window	nuevo
1344	flush	refrescar
1346	log	registro
1360	nice	útil
1363	want	desear
1376	save	guardar
1378	save	guardar
1383	type	introducir
1390	able	poder
1392	reuse	reutilizarlas
1401	easy	poder
1414	save	guardar
1415	log	registro
1416	save	guardar
1418	log	registro
1427	be	archivo
1428	able	poder
1436	quit	salir
1447	graph	gráfico
1453	have	tener~que
1455	do	hacer
1462	graph	gráfico
1465	click	pulsar
1476	then	continuación
1480	go	dirigirse
1483	input	entrada
1485	box	cuadro
1489	type	introducir
1495	want	querer
1513	enter	introducir
1516	click	pulsar
1519	ok	aceptar
1522	display	dibujar
1532	set	dibujar
1534	graph	dibujar
1540	just	simplemente
1547	be	encontrar
1554	set	ajustar
1556	graph	gráfica
1565	be	intervenir
1566	involve	intervenir
1568	organise	recientemente
1575	critical	decisivo
1588	debate	discutir
1595	key	principal
1596	actor	agente
1614	note	nota
1615	be	tomar
1620	variety	diversidad
1622	different	diversidad
1623	role	función
1624	play	desempeñar
1627	welfare	servicio
1643	affairs	asunto
1646	galician	social
1647	regional	comunidad
1648	government	autónomo
1658	major	grande
1662	welfare	protección
1671	study	estudio
1673	part	marco
1676	epoc	epoc
1681	extent	punto
1684	direct	directo
1687	humanise	humanizar
1694	study	estudio
1696	base	basar
1700	interview	entrevistar
1702	senior	alto
1703	official	responsable
1707	partner	interlocutor
1713	peak	importante
1721	important	importancia
1732	be	incluir
1734	include	incluir
1736	key	principal
1740	social	socialfueron
1743	be	socialfueron
1754	industrial	laboral
1755	relations	relación
1758	affair	asunto
1759	directorate	dirección
1777	member	diputado
1786	vice-president	gil-delgado
1804	contain	incluir
1815	present	reflejar
1822	recruitment	contratación
1824	training	formación
1847	have	seleccionar
1853	depth	detallar
1855	study	estudio
1859	study	estudio
1862	background	contexto
1868	impact	repercusión
1871	pattern	pauta
1878	benefit	ventaja
1885	visit	visita
1890	personnel	personal
1891	be	haber
1897	study	estudio
1899	form	constituir
1907	synthesise	resumir
1908	overall	general
1909	practice	práctico
1915	case	repertorio
1916	book	repertorio
1925	provide	servir
1933	stage	celebrar
1941	aim	proponer
1943	document	documentar
1948	barrier	obstáculo
1951	recruitment	contratación
1953	training	formación
1961	perspective	punto
1965	partner	interlocutor
1966	be	estar
1972	particular	especial
1974	pay	prestar
1980	barrier	obstáculo
1986	document	documentar
1999	combat	combatir
2001	barrier	limitación
2005	old	grande
2011	early	anticipado
2014	redundancy	anticipado
2020	concern	ocupar
2027	retrain	reconversión
2029	old	grande
2033	gender	sexo
2035	ethnic	raza
2036	background	raza
2042	relate	influir
2047	examine	estudiar
2052	consider	tener
2055	combat	luchar
2067	enterprise	rural
2072	be	incluir
2073	cover	incluir
2092	united	reino~unido
2093	kingdom	reino~unido
2103	substance	principio
2107	available	presentar
2109	tablet	comprimir
2114	injection	comprimir
2117	tablet	comprimir
2119	pale-orange	naranja
2123	score	ranura
2124	line	ranura
2127	side	cara
2133	halve	dividir
2136	tablet	comprimido
2137	be	ir
2138	mark	marcar
2145	side	cara
2149	letter	letra
2150	mpt	mpt
2153	quantity	comprimido
2170	anti-emetic	antiemético
2177	vomit	vómito
2185	prevent	prevención
2186	vomit	vómito
2194	medicine	fármaco
2205	be	producir
2208	cause	producir
2209	vomit	vómito
2215	supportive	complementario
2216	measure	medida
2246	tablet	comprimir
2251	purpose	efecto
2255	be	administrar
2256	give	administrar
2262	do	actuar
2264	work	actuar
2267	block	bloquear
2269	neurokinin	neurocinina
2274	receptor	receptor
2277	act	receptor
2288	study	estudio
2291	large	grande
2294	study	estudio
2297	be	haber
2298	carry	realizar
2306	animal	perro
2309	veterinary	clínico
2310	practise	clínico
2318	usa	ee.uu.
2324	show	demostrar
2327	study	estudio
2333	study	estudio
2334	show	demostrar
2346	be	observar
2347	see	observar
2353	medicine	medicamento
2380	be	iniciarse
2381	start	iniciarse
2394	keep	retener
2396	tablet	comprimir
2402	throw	vomitar
2405	tablet	comprimir
2411	follow-up	continuación
2420	tablet	medicamento
2432	only	siempre
2433	be	realizar
2434	together	asociación
2438	measure	medida
2442	therapy	tratamiento
2444	address	combatir
2455	risk	efecto
2456	associate	secundario
2462	generally	en~general
2463	well	bien
2473	time	vez
2479	extended	prolongar
2487	time	vez
2490	maximum	grande
2497	be	deber
2504	give	administrar
2506	medicine	medicamento
2508	come	estar
2518	represent	presentar
2520	particular	especial
2523	people	humano
