ID	English	Spanish Translation
d001.s001	This document is a summary of the European Public Assessment Report ( EPAR ) .	Este documento es un resumen del Informe Público Europeo de Evaluación (EPAR).
d001.s002	It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	Explica cómo el Comité de Medicamentos de Uso Humano (CHMP) evaluó los estudios realizados para llegar a sus recomendaciones sobre cómo utilizar el medicamento.
d001.s003	If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	Si necesita más información sobre su condición médica o su tratamiento, lea el prospecto (también parte del EPAR) o comuníquese con su médico o farmacéutico.
d001.s004	If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	Si desea obtener más información sobre la base de las recomendaciones del CHMP, lea el debate científico (también parte del EPAR).
d001.s005	What is Alimta ?	¿Qué es Alimta?
d001.s006	Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	Alimta es un polvo que se convierte en una solución para perfusión (goteo en una vena).
d001.s007	It contains the active substance pemetrexed .	Contiene el principio activo pemetrexed.
d001.s008	What is Alimta used for ?	¿Para qué se utiliza Alimta?
d001.s009	Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	Alimta se utiliza para tratar dos tipos de cáncer: mesotelioma pleural (cáncer del revestimiento de los pulmones que generalmente es causado por la exposición al asbesto).
d001.s010	Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	Alimta se utiliza junto con cisplatino ( otro medicamento anticancerígeno ) cuando el cáncer es irresecable ( no puede extirparse únicamente mediante cirugía ) y maligno ( se ha extendido o es probable que se extienda fácilmente a otras partes del cuerpo ) , en pacientes que no recibió quimioterapia (medicamentos para el cáncer) antes de un cáncer de pulmón de células no pequeñas avanzado o metastásico que no afecta a las células escamosas.
d001.s011	Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	Alimta se utiliza en combinación con cisplatino en pacientes que no han sido tratados antes, y solo en pacientes que han recibido otro tipo de quimioterapia en el pasado.
d001.s012	The medicine can only be obtained with a prescription .	El medicamento sólo podrá dispensarse con receta médica .
d001.s013	How is Alimta used ?	¿Cómo se utiliza Alimta?
d001.s014	Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	Alimta sólo debe administrarse bajo la supervisión de un médico cualificado en el uso de quimioterapia anticancerígena.
d001.s015	The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .	La dosis recomendada de Alimta es de 500 mg por metro cuadrado de superficie corporal (calculada utilizando la altura y el peso del paciente).
d001.s016	To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	Para reducir los efectos secundarios, los pacientes deben tomar un corticosteroide y ácido fólico (un tipo de vitamina) y recibir inyecciones de vitamina B12 durante el tratamiento con Alimta.
d001.s017	When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .	Cuando Alimta se administra con cisplatino, también se debe administrar un medicamento antiemético (para prevenir los vómitos) y líquidos (para prevenir la deshidratación) antes o después de la dosis de cisplatino.
d001.s018	Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .	El tratamiento debe retrasarse o suspenderse, o reducirse la dosis, en pacientes cuyos recuentos sanguíneos son anormales o que tienen otros efectos secundarios.
d001.s019	Alimta is not recommended for use in patients with moderate or severe kidney problems .	No se recomienda el uso de Alimta en pacientes con problemas renales moderados o graves.
d001.s020	For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	Para obtener más información, consulte el Resumen de las características del producto (también parte del EPAR).
d001.s021	How does Alimta work ?	¿Cómo funciona Alimta?
d001.s022	The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .	El principio activo de Alimta, pemetrexed, es un medicamento citotóxico (un medicamento que mata las células que se están dividiendo, como las células cancerosas), que pertenece al grupo de los antimetabolitos.
d001.s023	In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .	En el cuerpo, el pemetrexed se convierte en una forma activa que bloquea la actividad de las enzimas que participan en la producción de nucleótidos (los componentes básicos del ADN y el ARN, el material genético de las células).
d001.s024	How has Alimta been studied ?	¿Cómo se ha estudiado Alimta?
d001.s025	For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .	Para el tratamiento del mesotelioma pleural maligno, Alimta se ha estudiado en un estudio principal en 456 pacientes que no habían recibido quimioterapia para su enfermedad antes.
