Token ID	Token	POS	Lemma	BN Synset
d001.s001.t001	En	X	En	
d001.s001.t002	el	X	el	
d001.s001.t003	presente	ADJ	presente	bn:00108977a
d001.s001.t004	documento	NOUN	documento	bn:00028015n
d001.s001.t005	se	X	se	
d001.s001.t006	resume	VERB	resumir	bn:00094585v
d001.s001.t007	el	X	el	
d001.s001.t008	Informe	NOUN	informe	bn:00067181n
d001.s001.t009	Público	ADJ	público	bn:00109211a
d001.s001.t010	Europeo	ADJ	europeo	bn:00102440a
d001.s001.t011	de	X	de	
d001.s001.t012	Evaluación	NOUN	evaluación	bn:00031972n
d001.s001.t013	(	X	(	
d001.s001.t014	EPAR	NOUN	epar	bn:00010392n
d001.s001.t015	)	X	)	
d001.s001.t016	.	X	.	
d001.s002.t001	En	X	En	
d001.s002.t002	él	X	él	
d001.s002.t003	se	X	se	
d001.s002.t004	explica	VERB	explicar	bn:00087870v
d001.s002.t005	cómo	ADV	cómo	bn:00114525r
d001.s002.t006	el	X	el	
d001.s002.t007	Comité	NOUN	comité	bn:00021015n
d001.s002.t008	de	X	de	
d001.s002.t009	Medicamentos	NOUN	medicamento	bn:00028872n
d001.s002.t010	de	X	de	
d001.s002.t011	Uso	NOUN	uso	bn:00030627n
d001.s002.t012	Humano	ADJ	humano	bn:00104386a
d001.s002.t013	(	X	(	
d001.s002.t014	CHMP	NOUN	chmp	bn:00041942n
d001.s002.t015	)	X	)	
d001.s002.t016	ha	VERB	haber	bn:00083183v
d001.s002.t017	evaluado	VERB	evaluar	bn:00082720v
d001.s002.t018	los	X	los	
d001.s002.t019	estudios	NOUN	estudio	bn:00074790n
d001.s002.t020	realizados	VERB	realizar	bn:00091550v
d001.s002.t021	con	X	con	
d001.s002.t022	el	X	el	
d001.s002.t023	medicamento	NOUN	medicamento	bn:00028872n
d001.s002.t024	a fin de	X	a fin de	
d001.s002.t025	emitir	VERB	emitir	bn:00086535v
d001.s002.t026	unas	X	unas	
d001.s002.t027	recomendaciones	NOUN	recomendación	bn:00066562n
d001.s002.t028	sobre	X	sobre	
d001.s002.t029	su	X	su	
d001.s002.t030	uso	NOUN	uso	bn:00030627n
d001.s002.t031	.	X	.	
d001.s003.t001	Si	X	Si	
d001.s003.t002	desea	VERB	desear	bn:00086682v
d001.s003.t003	más	ADV	más	bn:00116284r
d001.s003.t004	información	NOUN	información	bn:00046698n
d001.s003.t005	sobre	X	sobre	
d001.s003.t006	su	X	su	
d001.s003.t007	enfermedad	NOUN	enfermedad	bn:00045952n
d001.s003.t008	o	X	o	
d001.s003.t009	el	X	el	
d001.s003.t010	tratamiento	NOUN	tratamiento	bn:00047235n
d001.s003.t011	de	X	de	
d001.s003.t012	la	X	la	
d001.s003.t013	misma	ADJ	mismo	bn:00110075a
d001.s003.t014	,	X	,	
d001.s003.t015	le	X	le	
d001.s003.t016	aconsejamos	VERB	aconsejar	bn:00082418v
d001.s003.t017	que	X	que	
d001.s003.t018	lea	VERB	leer	bn:00092424v
d001.s003.t019	el	X	el	
d001.s003.t020	prospecto	NOUN	prospecto	bn:00023292n
d001.s003.t021	(	X	(	
d001.s003.t022	incluido	VERB	incluir	bn:00089660v
d001.s003.t023	en	X	en	
d001.s003.t024	el	X	el	
d001.s003.t025	EPAR	NOUN	epar	bn:00028015n
d001.s003.t026	)	X	)	
d001.s003.t027	o	X	o	
d001.s003.t028	pregunte	VERB	preguntar	bn:00082817v
d001.s003.t029	a	X	a	
d001.s003.t030	su	X	su	
d001.s003.t031	médico	NOUN	médico	bn:00027976n
d001.s003.t032	o	X	o	
d001.s003.t033	su	X	su	
d001.s003.t034	farmacéutico	NOUN	farmacéutico	bn:00004992n
d001.s003.t035	.	X	.	
d001.s004.t001	Si	X	Si	
d001.s004.t002	desea	VERB	desear	bn:00086682v
