Token ID	Token	Lemma	POS	BN Synset	Token ID ES	Token ES	Lemma ES	POS ES	Sense ES
	This	this	DET	n/a	d001.s001.t003	presente	presente	J	n/a
d001.s001.t001	document	document	NOUN	bn:00028015n	d001.s001.t004	documento	documento	N	bn:00028015n
	is	be	VERB	n/a	d001.s001.t005	se		X	n/a
	a	a	DET	n/a					n/a
d001.s001.t002	summary	summary	NOUN	bn:00075142n					n/a
	of	of	ADP	n/a					n/a
	the	the	DET	n/a	d001.s001.t007	el		X	n/a
d001.s001.t003	European	european	ADJ	bn:00102440a	d001.s001.t010	Europeo	europeo	J	bn:00102440a
d001.s001.t004	Public	public	ADJ	bn:00109211a	d001.s001.t009	Público	público	J	bn:00109211a
d001.s001.t005	Assessment	assessment	NOUN	bn:00006502n	d001.s001.t012	Evaluación	evaluación	N	bn:00006502n
d001.s001.t006	Report	report	NOUN	bn:00067181n	d001.s001.t008	Informe	informe	N	bn:00067181n
	(	(	.	n/a	d001.s001.t013	(		X	n/a
	EPAR	epar	NOUN	n/a	d001.s001.t014	EPAR	epar	N	n/a
	)	)	.	n/a	d001.s001.t015	)		X	n/a
	.	.	.	n/a	d001.s001.t016	.		X	n/a
	-end-	-end-	-end-	n/a					n/a
	It	it	PRON	n/a	d001.s002.t002	él		X	n/a
d001.s002.t001	explains	explain	VERB	bn:00087870v	d001.s002.t004	explica	explicar	V	bn:00087870v
	how	how	ADV	n/a	d001.s002.t005	cómo	cómo	R	n/a
	the	the	DET	n/a	d001.s002.t006	el		X	n/a
d001.s002.t002	Committee	committee	NOUN	bn:00021015n	d001.s002.t007	Comité	comité	N	bn:00021015n
	for	for	ADP	n/a	d001.s002.t008	de		X	n/a
d001.s002.t003	Medicinal	medicinal	ADJ	bn:00106556a	d001.s002.t009➕d001.s002.t012	Medicamentos➕Humano	medicamento	N➕J	n/a
d001.s002.t004	Products	product	NOUN	bn:00064584n	d001.s002.t009	Medicamentos	medicamento	N	n/a
	for	for	ADP	n/a	d001.s002.t010	de		X	n/a
d001.s002.t005	Human	human	ADJ	bn:00104385a	d001.s002.t012	Humano	humano	J	bn:00104385a
d001.s002.t006	Use	use	NOUN	bn:00030627n	d001.s002.t011	Uso	uso	N	bn:00030627n
	(	(	.	n/a	d001.s002.t013	(		X	n/a
	CHMP	chmp	NOUN	n/a	d001.s002.t014	CHMP	chmp	N	n/a
	)	)	.	n/a	d001.s002.t015	)		X	n/a
d001.s002.t007	assessed	assess	VERB	bn:00082720v	d001.s002.t017	evaluado	evaluar	V	bn:00082720v
	the	the	DET	n/a	d001.s002.t018	los		X	n/a
d001.s002.t008	studies	study	NOUN	bn:00074790n	d001.s002.t019	estudios	estudio	N	bn:00074790n
d001.s002.t009	performed	perform	VERB	bn:00087107v	d001.s002.t020	realizados	realizar	V	bn:00087107v
	,	,	.	n/a					n/a
	to	to	PRT	n/a	d001.s002.t024	a fin de		X	n/a
d001.s002.t010	reach	reach	VERB	bn:00088789v	d001.s002.t025	emitir	emitir	V	n/a
	their	they	PRON	n/a	d001.s002.t029	su		X	n/a
d001.s002.t011	recommendations	recommendation	NOUN	bn:00066562n	d001.s002.t027	recomendaciones	recomendación	N	bn:00066562n
	on	on	ADP	n/a	d001.s002.t028	sobre		X	n/a
	how	how	ADV	n/a					n/a
	to	to	PRT	n/a					n/a
d001.s002.t012	use	use	VERB	bn:00082705v	d001.s002.t030	uso	uso	N	n/a
	the	the	DET	n/a	d001.s002.t022	el		X	n/a
d001.s002.t013	medicine	medicine	NOUN	bn:00054128n	d001.s002.t023	medicamento	medicamento	N	bn:00054128n
	.	.	.	n/a	d001.s002.t031	.		X	n/a
	-end-	-end-	-end-	n/a					n/a
	If	if	ADP	n/a	d001.s003.t001	Si		X	n/a
	you	you	PRON	n/a					n/a
d001.s003.t001	need	need	VERB	bn:00091029v	d001.s003.t002	desea	desear	V	n/a
d001.s003.t002	more	more	ADJ	bn:00106935a	d001.s003.t003	más	más	R	n/a
d001.s003.t003	information	information	NOUN	bn:00025314n	d001.s003.t004	información	información	N	bn:00025314n
	about	about	ADP	n/a	d001.s003.t005	sobre		X	n/a
	your	you	PRON	n/a	d001.s003.t006	su		X	n/a
d001.s003.t004	medical	medical	ADJ	bn:00106555a					n/a
d001.s003.t005	condition	condition	NOUN	bn:00021648n	d001.s003.t007	enfermedad	enfermedad	N	n/a
