Row	Source	Target
0	this	presente
22	medicinal	medicamento
23	product	medicamento
36	reach	emitir
49	need	desear
62	package	prospecto
65	also	incluir
72	contact	preguntar
116	make_up	preparar
121	infusion	perfusión
135	pemetrex	pemetrexed
147	use	indicar
149	treat	tratamiento
161	lining	revestimiento
178	use	administrar
179	together_with	combinación
190	unresectable	resecable
192	cannot	poder
202	have	haber
223	have	haber
238	lung_cancer	cáncer
244	squamous_cell	célula
257	have	haber
270	have	haber
285	be	dispensar
286	obtain	dispensar
292	how	¿cómo
299	should	deber
301	be	administrar
302	give	administrar
310	be	cualificar
329	square_metre	metro
331	body	corporal
346	give	administrar
354	infusion	perfusión
362	side_effect	efecto
365	should	deber
370	folic_acid	ácido
382	vitamin_b12	vitamina
392	give	utilizar
411	should	haber~que
414	give	administrar
424	should	necesario
438	blood_count	sanguíneo
440	abnormal	alteración
444	certain	determinado
446	side_effect	efecto
450	be	administrar
454	use	administrar
458	moderate	renal
469	see	consultar
487	work	actuar
496	pemetrex	pemetrexed
506	kill	destruir
510	divide	división
514	cancer_cell	canceroso
526	body	organismo
528	pemetrex	pemetrexed
544	involve	participar
546	produce	producción
550	building_block	esencial
564	how	qué
565	have	haber
580	have	haber
582	study	evaluar
591	have	haber
609	be	comparar
622	non-small	no
624	lung_cancer	cáncer
630	be	comparar
649	advanced	avanzar
654	have	haber
659	past	previamente
663	be	comparar
687	have	haber
692	lung_cancer	cáncer
695	past	previamente
716	what	¿qué
718	have	haber
727	increase	prolongar
769	non-small	no
771	lung_cancer	cáncer
779	comparator	comparación
785	have	haber
790	past	previamente
813	have	haber
833	however	no~obstante
842	be	afectar
845	squamous_cell	célula
847	long	grande
851	they	recibir
856	they	recibir
859	comparator	medicamento
862	in	por el contrario
863	contrast	por el contrario
870	squamous_cell	célula
872	short	más
888	markup	marcado
909	representate	representar
949	everyone	persona
959	screenshot	captura
1000	to	donde
1001	type	introducir
1029	we	introducir
1046	i	haber
1056	should	deber
1059	hard	asequible
1064	i	haber
1066	look	tener
1069	maximum	maxima
1109	possible	poder
1123	make	expresar
1129	it	permitir
1151	high	grande
1231	we	introducimos
1232	introduce	introducimos
1243	only_if	solo
1260	in	en~cambio
1273	be	usar
1291	could	poder
1293	i	preguntar
1295	why	por~qué
1296	should	deber
1299	mind	preocupar
1304	s	ser
1312	operate	realizar
1326	()	sum
1329	()	product
1342	we	poder
1349	everything	cosa
1365	there	aquí
1378	click	pulsar
1382	will	aparecer
1383	see	aparecer
1412	an	ans
1416	will	cambiar
1417	be	reproducir
1428	window	nuevo
1430	flush	refrescar
1449	nice	útil
1473	have	haber
1474	type	introducir
1481	able	poder
1483	reuse	reutilizarlas
1487	text_file	archivo
1492	easy	poder
1494	fix	corregir
1499	like	por~ejemplo
1520	able	poder
1548	have	tener~que
1549	to	tener~que
1560	click	pulsar
1572	then	continuación
1581	box	cuadro
1585	type	introducir
1610	have	haber
1614	click	pulsar
1617	ok	aceptar
1620	display	dibujar
1629	you	ser
1630	can	posible
1631	set	dibujar
1665	have	haber
1667	be	intervenir
1668	involve	intervenir
1681	over	más
1687	interest_group	grupo
1697	key	principal
1698	actor	agente
1719	few	no
1725	involve	enfoque
1745	be	tomar
1754	play	desempeñar
1757	welfare	servicio
1778	regional	comunidad
1789	major	grande
1805	part	marco
1835	senior	alto
1836	official	responsable
1840	partner	interlocutor
1855	important	importancia
1864	banking	bancario
1866	be	incluir
1871	key	principal
1875	social	socialfueron
1878	be	socialfueron
1889	industrial	laboral
1892	social_affair	social
1898	gome	gomes
1911	member	diputado
1917	marium	maría
1918	gil-roble	gil-robles
1948	best	bueno
1949	present	reflejar
1982	have	seleccionar
1988	depth	detallar
1989	case_study	estudio
1993	case_study	estudio
1996	background	contexto
2002	impact	repercusión
2034	will	constituir
2043	synthesise	resumir
2045	practice	práctico
2052	casebook	repertorio
2055	will	publicar
2061	provide	servir
2099	perspective	punto
2103	partner	interlocutor
2140	barrier	limitación
2144	old	grande
2151	early	anticipado
2165	reintegrate	reintegración
2169	old	grande
2177	background	raza
2183	relate	influir
2194	consider	tener
2201	rural_area	zona
2207	size	mediano
2208	enterprise	rural
2214	be	incluir
2215	cover	incluir
2234	united	reino~unido
2235	kingdom	reino~unido
2238	this	presente
2240	be	resumir
2257	product	medicamento
2264	assess	evaluación
2267	perform	efectuar
2281	what	¿qué
2294	available	presentar
2305	tablet	comprimir
2307	pale-orange	naranja
2312	line	ranura
2318	they	dividir
2319	can	permitir
2321	halve	dividir
2326	be	ir
2377	prevent	prevención
2380	as	por~ejemplo
2397	be	producir
2406	combination	combinar
2408	supportive	complementario
2439	tablet	comprimir
2445	purpose	efecto
2449	be	administrar
2450	give	administrar
2457	how	¿cómo
2460	work	actuar
2466	neurokinin	neurocinina
2477	central_nervous_system	sistema
2480	how	¿qué
2481	have	haber
2488	large_number	grande
2504	veterinary	clínico
2505	practise	clínico
2508	european_country	país
2513	.	ee.uu.
2515	what	¿qué
2517	have	haber
2576	should	deber
2577	be	iniciarse
2590	to	retener
2591	keep	retener
2593	tablet	comprimir
2599	throw	vomitar
2609	follow-up	continuación
2618	tablet	medicamento
2630	should	deber
2631	only	siempre
2632	be	realizar
2633	together_with	asociación
2642	address	combatir
2644	underlie	subyacente
2651	what	¿cuáles
2654	risk	efecto
2662	generally	en~general
2679	extended	prolongar
2688	maximum	grande
2695	what	¿qué
2703	give	administrar
2707	come_into	estar
